symbol,timestamp,open,high,low,close,volume,source,last_updated
360ONE,2026-02-26 09:15:00,1134.6,1141.2,1134.6,1138.1,5021,DHAN_HISTORY,2026-03-15 17:53:59
360ONE,2026-02-26 09:16:00,1138.7,1138.7,1136.0,1136.0,4292,DHAN_HISTORY,2026-03-15 17:53:59
360ONE,2026-02-26 09:17:00,1136.7,1136.7,1135.3,1136.5,2041,DHAN_HISTORY,2026-03-15 17:53:59
360ONE,2026-02-26 09:18:00,1136.5,1139.1,1133.2,1135.3,5808,DHAN_HISTORY,2026-03-15 17:53:59
360ONE,2026-02-26 09:19:00,1134.7,1137.9,1133.2,1133.2,7982,DHAN_HISTORY,2026-03-15 17:53:59
360ONE,2026-02-26 09:20:00,1134.1,1138.4,1133.5,1137.2,10465,DHAN_HISTORY,2026-03-15 17:53:59
360ONE,2026-02-26 09:21:00,1137.7,1141.4,1134.5,1137.2,8684,DHAN_HISTORY,2026-03-15 17:53:59
360ONE,2026-02-26 09:22:00,1138.1,1141.1,1137.6,1139.3,4874,DHAN_HISTORY,2026-03-15 17:53:59
360ONE,2026-02-26 09:23:00,1139.3,1142.0,1139.3,1141.8,3883,DHAN_HISTORY,2026-03-15 17:53:59
360ONE,2026-02-26 09:24:00,1142.6,1142.9,1140.9,1141.6,1795,DHAN_HISTORY,2026-03-15 17:53:59
360ONE,2026-02-26 09:25:00,1141.7,1141.7,1139.1,1139.6,1626,DHAN_HISTORY,2026-03-15 17:53:59
360ONE,2026-02-26 09:26:00,1139.7,1140.1,1138.2,1138.2,2356,DHAN_HISTORY,2026-03-15 17:53:59
360ONE,2026-02-26 09:27:00,1138.6,1139.1,1137.4,1139.1,1416,DHAN_HISTORY,2026-03-15 17:53:59
360ONE,2026-02-26 09:28:00,1139.6,1139.7,1138.5,1138.5,496,DHAN_HISTORY,2026-03-15 17:53:59
360ONE,2026-02-26 09:29:00,1139.3,1139.7,1139.0,1139.1,291,DHAN_HISTORY,2026-03-15 17:53:59
360ONE,2026-02-26 09:30:00,1139.6,1139.6,1136.2,1136.2,1721,DHAN_HISTORY,2026-03-15 17:53:59
360ONE,2026-02-26 09:31:00,1136.2,1137.0,1135.0,1135.2,489,DHAN_HISTORY,2026-03-15 17:53:59
360ONE,2026-02-26 09:32:00,1135.3,1136.3,1135.1,1135.8,261,DHAN_HISTORY,2026-03-15 17:53:59
360ONE,2026-02-26 09:33:00,1136.3,1136.3,1135.0,1135.8,413,DHAN_HISTORY,2026-03-15 17:53:59
360ONE,2026-02-26 09:34:00,1136.0,1136.7,1135.8,1136.5,285,DHAN_HISTORY,2026-03-15 17:53:59
360ONE,2026-02-26 09:35:00,1136.7,1136.9,1136.0,1136.0,3210,DHAN_HISTORY,2026-03-15 17:53:59
360ONE,2026-02-26 09:36:00,1136.5,1137.5,1136.0,1136.7,1599,DHAN_HISTORY,2026-03-15 17:53:59
360ONE,2026-02-26 09:37:00,1137.4,1138.3,1136.7,1138.3,374,DHAN_HISTORY,2026-03-15 17:53:59
360ONE,2026-02-26 09:38:00,1137.7,1139.1,1137.7,1139.1,351,DHAN_HISTORY,2026-03-15 17:53:59
360ONE,2026-02-26 09:39:00,1139.1,1139.1,1137.6,1137.6,489,DHAN_HISTORY,2026-03-15 17:53:59
360ONE,2026-02-26 09:40:00,1138.2,1138.2,1138.2,1138.2,40,DHAN_HISTORY,2026-03-15 17:53:59
360ONE,2026-02-26 09:41:00,1138.4,1138.8,1138.2,1138.2,362,DHAN_HISTORY,2026-03-15 17:53:59
360ONE,2026-02-26 09:42:00,1138.3,1138.8,1138.3,1138.8,74,DHAN_HISTORY,2026-03-15 17:53:59
360ONE,2026-02-26 09:43:00,1138.8,1140.0,1138.0,1139.2,131,DHAN_HISTORY,2026-03-15 17:53:59
360ONE,2026-02-26 09:44:00,1139.3,1139.9,1139.1,1139.1,408,DHAN_HISTORY,2026-03-15 17:53:59
360ONE,2026-02-26 09:45:00,1139.3,1139.3,1138.6,1139.2,247,DHAN_HISTORY,2026-03-15 17:53:59
360ONE,2026-02-26 09:46:00,1139.6,1139.6,1138.5,1138.7,751,DHAN_HISTORY,2026-03-15 17:53:59
360ONE,2026-02-26 09:47:00,1138.8,1139.6,1138.1,1138.7,2269,DHAN_HISTORY,2026-03-15 17:53:59
360ONE,2026-02-26 09:48:00,1139.2,1139.6,1139.2,1139.6,45,DHAN_HISTORY,2026-03-15 17:53:59
360ONE,2026-02-26 09:49:00,1139.6,1139.6,1137.4,1137.4,3547,DHAN_HISTORY,2026-03-15 17:53:59
360ONE,2026-02-26 09:50:00,1138.1,1138.1,1137.5,1137.5,229,DHAN_HISTORY,2026-03-15 17:53:59
360ONE,2026-02-26 09:51:00,1138.1,1138.5,1136.1,1137.7,3657,DHAN_HISTORY,2026-03-15 17:53:59
360ONE,2026-02-26 09:52:00,1137.9,1138.2,1137.5,1138.0,208,DHAN_HISTORY,2026-03-15 17:53:59
360ONE,2026-02-26 09:53:00,1137.9,1137.9,1136.4,1136.4,846,DHAN_HISTORY,2026-03-15 17:53:59
360ONE,2026-02-26 09:54:00,1136.5,1137.1,1136.1,1136.1,250,DHAN_HISTORY,2026-03-15 17:53:59
360ONE,2026-02-26 09:55:00,1136.2,1136.2,1134.0,1135.2,1408,DHAN_HISTORY,2026-03-15 17:53:59
360ONE,2026-02-26 09:56:00,1134.2,1135.4,1132.2,1132.2,1285,DHAN_HISTORY,2026-03-15 17:53:59
360ONE,2026-02-26 09:57:00,1133.5,1133.8,1132.1,1133.2,2787,DHAN_HISTORY,2026-03-15 17:53:59
360ONE,2026-02-26 09:58:00,1133.2,1133.4,1131.8,1131.8,303,DHAN_HISTORY,2026-03-15 17:53:59
360ONE,2026-02-26 09:59:00,1132.6,1132.6,1132.5,1132.5,61,DHAN_HISTORY,2026-03-15 17:53:59
360ONE,2026-02-26 10:00:00,1132.6,1132.6,1131.9,1132.5,83,DHAN_HISTORY,2026-03-15 17:53:59
360ONE,2026-02-26 10:01:00,1132.6,1132.6,1131.2,1132.0,560,DHAN_HISTORY,2026-03-15 17:53:59
360ONE,2026-02-26 10:02:00,1132.0,1132.0,1131.8,1132.0,134,DHAN_HISTORY,2026-03-15 17:53:59
360ONE,2026-02-26 10:03:00,1132.0,1132.0,1130.5,1131.4,228,DHAN_HISTORY,2026-03-15 17:53:59
360ONE,2026-02-26 10:04:00,1131.4,1131.4,1130.4,1130.4,155,DHAN_HISTORY,2026-03-15 17:53:59
360ONE,2026-02-26 10:05:00,1131.2,1131.2,1130.1,1131.0,497,DHAN_HISTORY,2026-03-15 17:53:59
360ONE,2026-02-26 10:06:00,1131.0,1131.0,1130.8,1130.8,49,DHAN_HISTORY,2026-03-15 17:53:59
360ONE,2026-02-26 10:07:00,1131.2,1131.2,1130.3,1130.3,53,DHAN_HISTORY,2026-03-15 17:53:59
360ONE,2026-02-26 10:08:00,1131.0,1131.0,1130.0,1130.7,3799,DHAN_HISTORY,2026-03-15 17:53:59
360ONE,2026-02-26 10:09:00,1130.9,1131.6,1130.1,1130.1,1119,DHAN_HISTORY,2026-03-15 17:53:59
360ONE,2026-02-26 10:10:00,1131.1,1131.1,1130.3,1130.3,279,DHAN_HISTORY,2026-03-15 17:53:59
360ONE,2026-02-26 10:11:00,1131.1,1131.1,1130.5,1131.0,48,DHAN_HISTORY,2026-03-15 17:53:59
360ONE,2026-02-26 10:12:00,1130.9,1132.1,1129.1,1131.1,10427,DHAN_HISTORY,2026-03-15 17:53:59
360ONE,2026-02-26 10:13:00,1130.8,1131.7,1130.0,1130.4,2675,DHAN_HISTORY,2026-03-15 17:53:59
360ONE,2026-02-26 10:14:00,1131.1,1131.3,1129.9,1129.9,1875,DHAN_HISTORY,2026-03-15 17:53:59
360ONE,2026-02-26 10:15:00,1129.5,1130.9,1129.0,1129.0,1616,DHAN_HISTORY,2026-03-15 17:53:59
360ONE,2026-02-26 10:16:00,1129.7,1129.9,1128.9,1129.9,800,DHAN_HISTORY,2026-03-15 17:53:59
360ONE,2026-02-26 10:17:00,1129.5,1130.0,1129.5,1129.5,100,DHAN_HISTORY,2026-03-15 17:53:59
360ONE,2026-02-26 10:18:00,1129.4,1129.4,1128.3,1129.0,130,DHAN_HISTORY,2026-03-15 17:53:59
360ONE,2026-02-26 10:19:00,1129.3,1129.7,1129.3,1129.7,41,DHAN_HISTORY,2026-03-15 17:53:59
360ONE,2026-02-26 10:20:00,1129.8,1130.6,1129.8,1130.6,69,DHAN_HISTORY,2026-03-15 17:53:59
360ONE,2026-02-26 10:21:00,1130.4,1130.4,1129.3,1130.1,249,DHAN_HISTORY,2026-03-15 17:53:59
360ONE,2026-02-26 10:22:00,1130.2,1130.3,1128.2,1128.2,1056,DHAN_HISTORY,2026-03-15 17:53:59
