symbol,timestamp,open,high,low,close,volume,source,last_updated
ABCAPITAL,2025-10-21 13:45:00,306.2,306.8,305.7,305.85,32083,DHAN_HISTORY,2026-03-15 17:23:16
ABCAPITAL,2025-10-21 13:46:00,306.0,306.2,305.75,306.0,17840,DHAN_HISTORY,2026-03-15 17:23:16
ABCAPITAL,2025-10-21 13:47:00,306.0,306.2,305.75,305.9,7997,DHAN_HISTORY,2026-03-15 17:23:16
ABCAPITAL,2025-10-21 13:48:00,305.75,306.0,305.3,305.85,27169,DHAN_HISTORY,2026-03-15 17:23:16
ABCAPITAL,2025-10-21 13:49:00,305.9,305.9,305.3,305.6,7888,DHAN_HISTORY,2026-03-15 17:23:16
ABCAPITAL,2025-10-21 13:50:00,305.6,305.8,305.25,305.55,11252,DHAN_HISTORY,2026-03-15 17:23:16
ABCAPITAL,2025-10-21 13:51:00,305.55,305.6,305.0,305.05,15330,DHAN_HISTORY,2026-03-15 17:23:16
ABCAPITAL,2025-10-21 13:52:00,305.05,305.2,304.45,304.8,19339,DHAN_HISTORY,2026-03-15 17:23:16
ABCAPITAL,2025-10-21 13:53:00,304.6,304.85,304.6,304.75,6055,DHAN_HISTORY,2026-03-15 17:23:16
ABCAPITAL,2025-10-21 13:54:00,304.75,305.2,304.7,305.1,8087,DHAN_HISTORY,2026-03-15 17:23:16
ABCAPITAL,2025-10-21 13:55:00,305.3,305.5,305.1,305.5,5496,DHAN_HISTORY,2026-03-15 17:23:16
ABCAPITAL,2025-10-21 13:56:00,305.5,305.5,305.15,305.2,6087,DHAN_HISTORY,2026-03-15 17:23:16
ABCAPITAL,2025-10-21 13:57:00,305.2,305.2,304.7,304.8,9229,DHAN_HISTORY,2026-03-15 17:23:16
ABCAPITAL,2025-10-21 13:58:00,304.8,305.05,304.7,305.05,3410,DHAN_HISTORY,2026-03-15 17:23:16
ABCAPITAL,2025-10-21 13:59:00,304.8,305.05,304.7,304.95,4092,DHAN_HISTORY,2026-03-15 17:23:16
ABCAPITAL,2025-10-21 14:00:00,304.95,305.0,304.75,305.0,3150,DHAN_HISTORY,2026-03-15 17:23:16
ABCAPITAL,2025-10-21 14:01:00,305.0,305.0,304.7,304.9,3425,DHAN_HISTORY,2026-03-15 17:23:16
ABCAPITAL,2025-10-21 14:02:00,304.9,305.0,304.7,304.95,3337,DHAN_HISTORY,2026-03-15 17:23:16
ABCAPITAL,2025-10-21 14:03:00,304.95,304.95,304.5,304.55,8404,DHAN_HISTORY,2026-03-15 17:23:16
ABCAPITAL,2025-10-21 14:04:00,304.6,304.7,304.5,304.5,2094,DHAN_HISTORY,2026-03-15 17:23:16
ABCAPITAL,2025-10-21 14:05:00,304.6,304.75,304.3,304.4,2477,DHAN_HISTORY,2026-03-15 17:23:16
ABCAPITAL,2025-10-21 14:06:00,304.3,304.6,304.2,304.5,4899,DHAN_HISTORY,2026-03-15 17:23:16
ABCAPITAL,2025-10-21 14:07:00,304.25,304.7,304.25,304.7,2561,DHAN_HISTORY,2026-03-15 17:23:16
ABCAPITAL,2025-10-21 14:08:00,304.75,304.8,304.5,304.8,4587,DHAN_HISTORY,2026-03-15 17:23:16
ABCAPITAL,2025-10-21 14:09:00,304.8,304.9,304.6,304.8,3795,DHAN_HISTORY,2026-03-15 17:23:16
ABCAPITAL,2025-10-21 14:10:00,304.85,304.85,304.6,304.85,1956,DHAN_HISTORY,2026-03-15 17:23:16
ABCAPITAL,2025-10-21 14:11:00,304.85,304.9,304.65,304.85,811,DHAN_HISTORY,2026-03-15 17:23:16
ABCAPITAL,2025-10-21 14:12:00,304.65,304.9,304.55,304.55,4540,DHAN_HISTORY,2026-03-15 17:23:16
