symbol,timestamp,open,high,low,close,volume,source,last_updated
ACC,2025-12-23 09:15:00,1794.9,1804.8,1775.1,1776.9,25993,DHAN_HISTORY,2026-03-15 17:48:30
ACC,2025-12-23 09:16:00,1777.0,1783.3,1776.0,1777.0,19612,DHAN_HISTORY,2026-03-15 17:48:30
ACC,2025-12-23 09:17:00,1774.9,1774.9,1756.4,1757.5,28761,DHAN_HISTORY,2026-03-15 17:48:30
ACC,2025-12-23 09:18:00,1756.9,1762.7,1752.0,1762.3,17734,DHAN_HISTORY,2026-03-15 17:48:30
ACC,2025-12-23 09:19:00,1762.0,1762.4,1752.8,1752.8,22210,DHAN_HISTORY,2026-03-15 17:48:30
ACC,2025-12-23 09:20:00,1752.8,1763.0,1752.8,1762.1,13568,DHAN_HISTORY,2026-03-15 17:48:30
ACC,2025-12-23 09:21:00,1760.1,1761.8,1754.6,1758.9,8584,DHAN_HISTORY,2026-03-15 17:48:30
ACC,2025-12-23 09:22:00,1758.9,1758.9,1752.0,1757.7,12299,DHAN_HISTORY,2026-03-15 17:48:30
ACC,2025-12-23 09:23:00,1757.2,1765.8,1757.2,1761.8,17204,DHAN_HISTORY,2026-03-15 17:48:30
ACC,2025-12-23 09:24:00,1761.5,1766.5,1760.0,1763.4,11254,DHAN_HISTORY,2026-03-15 17:48:30
ACC,2025-12-23 09:25:00,1762.1,1765.4,1761.9,1764.0,7479,DHAN_HISTORY,2026-03-15 17:48:30
ACC,2025-12-23 09:26:00,1764.0,1764.0,1762.4,1763.4,10321,DHAN_HISTORY,2026-03-15 17:48:30
ACC,2025-12-23 09:27:00,1764.0,1764.0,1760.1,1761.6,8426,DHAN_HISTORY,2026-03-15 17:48:30
ACC,2025-12-23 09:28:00,1761.1,1764.6,1761.1,1763.6,8114,DHAN_HISTORY,2026-03-15 17:48:30
ACC,2025-12-23 09:29:00,1762.9,1763.5,1756.1,1757.8,8145,DHAN_HISTORY,2026-03-15 17:48:30
ACC,2025-12-23 09:30:00,1756.4,1756.4,1753.2,1754.3,13000,DHAN_HISTORY,2026-03-15 17:48:30
ACC,2025-12-23 09:31:00,1755.3,1755.3,1749.1,1749.1,21760,DHAN_HISTORY,2026-03-15 17:48:30
ACC,2025-12-23 09:32:00,1748.5,1756.8,1746.0,1755.9,16133,DHAN_HISTORY,2026-03-15 17:48:30
ACC,2025-12-23 09:33:00,1756.7,1765.1,1756.2,1761.0,21653,DHAN_HISTORY,2026-03-15 17:48:30
ACC,2025-12-23 09:34:00,1761.1,1766.9,1759.6,1764.0,19030,DHAN_HISTORY,2026-03-15 17:48:30
ACC,2025-12-23 09:35:00,1764.2,1765.6,1761.0,1761.0,5061,DHAN_HISTORY,2026-03-15 17:48:30
ACC,2025-12-23 09:36:00,1761.7,1763.9,1760.2,1761.8,6058,DHAN_HISTORY,2026-03-15 17:48:30
ACC,2025-12-23 09:37:00,1761.5,1765.0,1761.5,1764.0,7490,DHAN_HISTORY,2026-03-15 17:48:30
ACC,2025-12-23 09:38:00,1763.1,1765.0,1762.3,1765.0,4614,DHAN_HISTORY,2026-03-15 17:48:30
ACC,2025-12-23 09:39:00,1765.0,1765.9,1764.0,1765.8,4254,DHAN_HISTORY,2026-03-15 17:48:30
ACC,2025-12-23 09:40:00,1765.8,1765.8,1764.6,1765.0,2743,DHAN_HISTORY,2026-03-15 17:48:30
ACC,2025-12-23 09:41:00,1764.9,1765.4,1761.5,1761.5,1918,DHAN_HISTORY,2026-03-15 17:48:30
ACC,2025-12-23 09:42:00,1761.5,1764.9,1761.5,1762.5,5242,DHAN_HISTORY,2026-03-15 17:48:30
