symbol,timestamp,open,high,low,close,volume,source,last_updated
ADANIENT,2025-10-24 09:15:00,2554.8,2554.8,2548.2,2550.8,5661,DHAN_HISTORY,2026-03-15 17:54:45
ADANIENT,2025-10-24 09:16:00,2553.6,2553.6,2544.9,2546.2,5072,DHAN_HISTORY,2026-03-15 17:54:45
ADANIENT,2025-10-24 09:17:00,2545.7,2547.3,2544.0,2545.0,3894,DHAN_HISTORY,2026-03-15 17:54:45
ADANIENT,2025-10-24 09:18:00,2544.0,2544.8,2538.0,2540.5,4079,DHAN_HISTORY,2026-03-15 17:54:45
ADANIENT,2025-10-24 09:19:00,2540.1,2541.5,2538.0,2538.9,2333,DHAN_HISTORY,2026-03-15 17:54:45
ADANIENT,2025-10-24 09:20:00,2538.1,2539.3,2536.5,2537.0,4230,DHAN_HISTORY,2026-03-15 17:54:45
ADANIENT,2025-10-24 09:21:00,2537.5,2540.2,2536.5,2540.0,1305,DHAN_HISTORY,2026-03-15 17:54:45
ADANIENT,2025-10-24 09:22:00,2540.0,2542.1,2538.0,2538.8,2910,DHAN_HISTORY,2026-03-15 17:54:45
ADANIENT,2025-10-24 09:23:00,2538.6,2539.7,2535.6,2537.0,6119,DHAN_HISTORY,2026-03-15 17:54:45
ADANIENT,2025-10-24 09:24:00,2537.0,2540.0,2535.3,2540.0,742,DHAN_HISTORY,2026-03-15 17:54:45
ADANIENT,2025-10-24 09:25:00,2540.0,2541.2,2537.4,2539.7,2189,DHAN_HISTORY,2026-03-15 17:54:45
ADANIENT,2025-10-24 09:26:00,2539.3,2541.5,2539.3,2540.0,743,DHAN_HISTORY,2026-03-15 17:54:45
ADANIENT,2025-10-24 09:27:00,2540.0,2540.0,2538.0,2539.0,838,DHAN_HISTORY,2026-03-15 17:54:45
ADANIENT,2025-10-24 09:28:00,2539.0,2542.9,2539.0,2541.5,1118,DHAN_HISTORY,2026-03-15 17:54:45
ADANIENT,2025-10-24 09:29:00,2542.2,2543.9,2540.5,2540.5,1076,DHAN_HISTORY,2026-03-15 17:54:45
ADANIENT,2025-10-24 09:30:00,2541.0,2541.9,2540.0,2541.2,727,DHAN_HISTORY,2026-03-15 17:54:45
ADANIENT,2025-10-24 09:31:00,2540.1,2540.1,2538.0,2538.0,3313,DHAN_HISTORY,2026-03-15 17:54:45
ADANIENT,2025-10-24 09:32:00,2538.5,2539.2,2538.0,2538.0,270,DHAN_HISTORY,2026-03-15 17:54:45
ADANIENT,2025-10-24 09:33:00,2539.0,2539.0,2536.5,2537.2,2978,DHAN_HISTORY,2026-03-15 17:54:45
ADANIENT,2025-10-24 09:34:00,2537.2,2538.9,2536.7,2537.5,824,DHAN_HISTORY,2026-03-15 17:54:45
ADANIENT,2025-10-24 09:35:00,2536.9,2539.0,2536.6,2538.8,798,DHAN_HISTORY,2026-03-15 17:54:45
ADANIENT,2025-10-24 09:36:00,2538.4,2540.4,2538.0,2540.4,1328,DHAN_HISTORY,2026-03-15 17:54:45
ADANIENT,2025-10-24 09:37:00,2540.3,2540.8,2539.2,2540.7,1566,DHAN_HISTORY,2026-03-15 17:54:45
ADANIENT,2025-10-24 09:38:00,2541.4,2543.9,2541.1,2543.4,1187,DHAN_HISTORY,2026-03-15 17:54:45
ADANIENT,2025-10-24 09:39:00,2543.4,2543.4,2540.9,2542.0,961,DHAN_HISTORY,2026-03-15 17:54:45
ADANIENT,2025-10-24 09:40:00,2542.0,2544.6,2540.9,2544.2,2072,DHAN_HISTORY,2026-03-15 17:54:45
ADANIENT,2025-10-24 09:41:00,2543.5,2544.0,2541.8,2542.0,579,DHAN_HISTORY,2026-03-15 17:54:45
ADANIENT,2025-10-24 09:42:00,2541.8,2542.0,2538.8,2539.0,1212,DHAN_HISTORY,2026-03-15 17:54:45
ADANIENT,2025-10-24 09:43:00,2538.9,2540.9,2538.8,2539.7,572,DHAN_HISTORY,2026-03-15 17:54:45
ADANIENT,2025-10-24 09:44:00,2540.0,2541.3,2540.0,2540.9,500,DHAN_HISTORY,2026-03-15 17:54:45
