symbol,timestamp,open,high,low,close,volume,source,last_updated
AMBUJACEM,2025-11-04 09:15:00,582.8,583.4,580.0,582.8,225817,DHAN_HISTORY,2026-03-15 17:55:46
AMBUJACEM,2025-11-04 09:16:00,582.5,587.1,581.7,587.1,236413,DHAN_HISTORY,2026-03-15 17:55:46
AMBUJACEM,2025-11-04 09:17:00,586.75,588.75,585.35,585.65,189883,DHAN_HISTORY,2026-03-15 17:55:46
AMBUJACEM,2025-11-04 09:18:00,585.05,585.6,582.35,583.35,90129,DHAN_HISTORY,2026-03-15 17:55:46
AMBUJACEM,2025-11-04 09:19:00,583.4,584.3,583.25,583.8,55244,DHAN_HISTORY,2026-03-15 17:55:46
AMBUJACEM,2025-11-04 09:20:00,583.25,584.55,582.75,584.0,39358,DHAN_HISTORY,2026-03-15 17:55:46
AMBUJACEM,2025-11-04 09:21:00,584.0,584.0,582.9,582.9,30754,DHAN_HISTORY,2026-03-15 17:55:46
AMBUJACEM,2025-11-04 09:22:00,583.15,583.2,581.1,581.65,53809,DHAN_HISTORY,2026-03-15 17:55:46
AMBUJACEM,2025-11-04 09:23:00,581.35,582.0,581.2,581.55,38864,DHAN_HISTORY,2026-03-15 17:55:46
AMBUJACEM,2025-11-04 09:24:00,581.55,581.8,581.2,581.4,16683,DHAN_HISTORY,2026-03-15 17:55:46
AMBUJACEM,2025-11-04 09:25:00,581.4,581.4,580.4,580.85,57836,DHAN_HISTORY,2026-03-15 17:55:46
AMBUJACEM,2025-11-04 09:26:00,580.65,580.85,579.25,579.85,93343,DHAN_HISTORY,2026-03-15 17:55:46
AMBUJACEM,2025-11-04 09:27:00,579.9,580.8,579.9,580.8,13508,DHAN_HISTORY,2026-03-15 17:55:46
AMBUJACEM,2025-11-04 09:28:00,580.6,581.0,580.35,580.9,18380,DHAN_HISTORY,2026-03-15 17:55:46
AMBUJACEM,2025-11-04 09:29:00,580.9,582.75,580.9,582.45,46099,DHAN_HISTORY,2026-03-15 17:55:46
