symbol,timestamp,open,high,low,close,volume,source,last_updated
ASHOKLEY,2025-10-13 09:15:00,137.49,137.49,135.7,136.51,313666,DHAN_HISTORY,2026-03-15 17:23:50
ASHOKLEY,2025-10-13 09:16:00,136.34,136.47,136.07,136.31,181263,DHAN_HISTORY,2026-03-15 17:23:50
ASHOKLEY,2025-10-13 09:17:00,136.18,136.48,136.1,136.23,77346,DHAN_HISTORY,2026-03-15 17:23:50
ASHOKLEY,2025-10-13 09:18:00,136.26,136.61,136.26,136.57,75824,DHAN_HISTORY,2026-03-15 17:23:50
ASHOKLEY,2025-10-13 09:19:00,136.57,137.12,136.55,136.98,45303,DHAN_HISTORY,2026-03-15 17:23:50
ASHOKLEY,2025-10-13 09:20:00,137.02,137.09,136.75,136.88,51316,DHAN_HISTORY,2026-03-15 17:23:50
ASHOKLEY,2025-10-13 09:21:00,136.86,136.92,136.68,136.78,19899,DHAN_HISTORY,2026-03-15 17:23:50
ASHOKLEY,2025-10-13 09:22:00,136.86,137.19,136.77,137.19,36983,DHAN_HISTORY,2026-03-15 17:23:50
ASHOKLEY,2025-10-13 09:23:00,137.08,137.16,136.97,137.04,31971,DHAN_HISTORY,2026-03-15 17:23:50
ASHOKLEY,2025-10-13 09:24:00,136.94,136.98,136.8,136.94,46974,DHAN_HISTORY,2026-03-15 17:23:50
ASHOKLEY,2025-10-13 09:25:00,136.86,136.9,136.4,136.43,66927,DHAN_HISTORY,2026-03-15 17:23:50
ASHOKLEY,2025-10-13 09:26:00,136.43,136.43,136.17,136.28,40961,DHAN_HISTORY,2026-03-15 17:23:50
ASHOKLEY,2025-10-13 09:27:00,136.28,136.59,136.2,136.53,148485,DHAN_HISTORY,2026-03-15 17:23:50
ASHOKLEY,2025-10-13 09:28:00,136.53,136.58,136.3,136.33,32893,DHAN_HISTORY,2026-03-15 17:23:50
ASHOKLEY,2025-10-13 09:29:00,136.41,136.41,136.22,136.3,19994,DHAN_HISTORY,2026-03-15 17:23:50
ASHOKLEY,2025-10-13 09:30:00,136.29,136.31,136.02,136.1,57816,DHAN_HISTORY,2026-03-15 17:23:50
ASHOKLEY,2025-10-13 09:31:00,136.07,136.21,136.0,136.08,40383,DHAN_HISTORY,2026-03-15 17:23:50
ASHOKLEY,2025-10-13 09:32:00,136.16,136.16,136.0,136.16,16717,DHAN_HISTORY,2026-03-15 17:23:50
ASHOKLEY,2025-10-13 09:33:00,136.06,136.29,136.06,136.13,15940,DHAN_HISTORY,2026-03-15 17:23:50
ASHOKLEY,2025-10-13 09:34:00,136.19,136.23,136.08,136.1,5396,DHAN_HISTORY,2026-03-15 17:23:50
ASHOKLEY,2025-10-13 09:35:00,136.16,136.17,136.0,136.0,34078,DHAN_HISTORY,2026-03-15 17:23:50
ASHOKLEY,2025-10-13 09:36:00,136.0,136.08,135.9,136.06,20811,DHAN_HISTORY,2026-03-15 17:23:50
ASHOKLEY,2025-10-13 09:37:00,136.06,136.07,135.96,135.99,11867,DHAN_HISTORY,2026-03-15 17:23:50
ASHOKLEY,2025-10-13 09:38:00,135.99,136.27,135.95,136.24,19875,DHAN_HISTORY,2026-03-15 17:23:50
ASHOKLEY,2025-10-13 09:39:00,136.24,136.45,136.2,136.35,17000,DHAN_HISTORY,2026-03-15 17:23:50
ASHOKLEY,2025-10-13 09:40:00,136.29,136.57,136.29,136.54,23203,DHAN_HISTORY,2026-03-15 17:23:50
ASHOKLEY,2025-10-13 09:41:00,136.55,136.55,136.45,136.55,6791,DHAN_HISTORY,2026-03-15 17:23:50
ASHOKLEY,2025-10-13 09:42:00,136.55,136.78,136.53,136.7,29164,DHAN_HISTORY,2026-03-15 17:23:50
ASHOKLEY,2025-10-13 09:43:00,136.71,136.71,136.45,136.55,16144,DHAN_HISTORY,2026-03-15 17:23:50
ASHOKLEY,2025-10-13 09:44:00,136.56,136.7,136.51,136.7,9411,DHAN_HISTORY,2026-03-15 17:23:50
ASHOKLEY,2025-10-13 09:45:00,136.7,136.86,136.61,136.79,26245,DHAN_HISTORY,2026-03-15 17:23:50
