symbol,timestamp,open,high,low,close,volume,source,last_updated
ATGL,2025-11-24 09:15:00,608.8,610.0,605.7,605.7,11094,DHAN_HISTORY,2026-03-15 17:48:48
ATGL,2025-11-24 09:16:00,606.2,606.65,605.0,605.4,4201,DHAN_HISTORY,2026-03-15 17:48:48
ATGL,2025-11-24 09:17:00,605.15,606.05,605.15,605.2,1801,DHAN_HISTORY,2026-03-15 17:48:48
ATGL,2025-11-24 09:18:00,605.45,607.45,605.1,607.45,2914,DHAN_HISTORY,2026-03-15 17:48:48
ATGL,2025-11-24 09:19:00,606.6,607.0,606.15,606.6,1102,DHAN_HISTORY,2026-03-15 17:48:48
ATGL,2025-11-24 09:20:00,606.15,606.7,606.15,606.65,718,DHAN_HISTORY,2026-03-15 17:48:48
ATGL,2025-11-24 09:21:00,606.8,607.0,606.25,606.25,2241,DHAN_HISTORY,2026-03-15 17:48:48
ATGL,2025-11-24 09:22:00,606.55,607.0,606.25,606.25,976,DHAN_HISTORY,2026-03-15 17:48:48
ATGL,2025-11-24 09:23:00,606.45,606.75,605.8,606.0,1566,DHAN_HISTORY,2026-03-15 17:48:48
ATGL,2025-11-24 09:24:00,606.0,606.25,605.8,606.0,2359,DHAN_HISTORY,2026-03-15 17:48:48
ATGL,2025-11-24 09:25:00,606.0,606.25,606.0,606.1,616,DHAN_HISTORY,2026-03-15 17:48:48
ATGL,2025-11-24 09:26:00,605.55,606.15,605.5,606.0,957,DHAN_HISTORY,2026-03-15 17:48:48
ATGL,2025-11-24 09:27:00,605.5,605.95,605.45,605.45,868,DHAN_HISTORY,2026-03-15 17:48:48
ATGL,2025-11-24 09:28:00,606.05,606.05,605.45,605.75,1548,DHAN_HISTORY,2026-03-15 17:48:48
ATGL,2025-11-24 09:29:00,605.45,605.75,605.3,605.5,1024,DHAN_HISTORY,2026-03-15 17:48:48
ATGL,2025-11-24 09:30:00,605.5,605.75,605.4,605.4,976,DHAN_HISTORY,2026-03-15 17:48:48
ATGL,2025-11-24 09:31:00,605.7,606.0,605.25,605.65,2695,DHAN_HISTORY,2026-03-15 17:48:48
ATGL,2025-11-24 09:32:00,605.55,605.9,604.4,604.4,8678,DHAN_HISTORY,2026-03-15 17:48:48
ATGL,2025-11-24 09:33:00,604.65,605.2,604.05,604.85,5358,DHAN_HISTORY,2026-03-15 17:48:48
ATGL,2025-11-24 09:34:00,604.95,605.0,604.5,604.6,1872,DHAN_HISTORY,2026-03-15 17:48:48
ATGL,2025-11-24 09:35:00,605.05,605.2,604.4,604.4,2164,DHAN_HISTORY,2026-03-15 17:48:48
ATGL,2025-11-24 09:36:00,604.6,605.0,604.0,604.4,1369,DHAN_HISTORY,2026-03-15 17:48:48
ATGL,2025-11-24 09:37:00,604.35,604.45,603.75,604.0,3767,DHAN_HISTORY,2026-03-15 17:48:48
ATGL,2025-11-24 09:38:00,603.65,604.0,603.3,603.9,700,DHAN_HISTORY,2026-03-15 17:48:48
ATGL,2025-11-24 09:39:00,603.7,603.9,603.45,603.8,1563,DHAN_HISTORY,2026-03-15 17:48:48
ATGL,2025-11-24 09:40:00,603.6,603.8,603.15,603.4,2885,DHAN_HISTORY,2026-03-15 17:48:48
ATGL,2025-11-24 09:41:00,603.45,603.5,603.1,603.4,699,DHAN_HISTORY,2026-03-15 17:48:48
ATGL,2025-11-24 09:42:00,603.1,603.45,602.7,602.75,6297,DHAN_HISTORY,2026-03-15 17:48:48
ATGL,2025-11-24 09:43:00,602.55,603.45,602.55,603.0,3026,DHAN_HISTORY,2026-03-15 17:48:48
