symbol,timestamp,open,high,low,close,volume,source,last_updated
BAJAJ-AUTO,2025-10-28 09:15:00,9100.0,9130.0,9090.0,9105.0,9682,DHAN_HISTORY,2026-03-15 17:58:03
BAJAJ-AUTO,2025-10-28 09:16:00,9100.5,9115.0,9093.0,9110.0,2152,DHAN_HISTORY,2026-03-15 17:58:03
BAJAJ-AUTO,2025-10-28 09:17:00,9114.5,9115.0,9108.0,9110.0,2998,DHAN_HISTORY,2026-03-15 17:58:03
BAJAJ-AUTO,2025-10-28 09:18:00,9110.0,9115.0,9108.5,9109.5,2097,DHAN_HISTORY,2026-03-15 17:58:03
BAJAJ-AUTO,2025-10-28 09:19:00,9109.5,9109.5,9101.0,9102.0,1429,DHAN_HISTORY,2026-03-15 17:58:03
BAJAJ-AUTO,2025-10-28 09:20:00,9102.0,9104.5,9095.0,9099.5,957,DHAN_HISTORY,2026-03-15 17:58:03
BAJAJ-AUTO,2025-10-28 09:21:00,9098.5,9109.5,9096.0,9098.5,1768,DHAN_HISTORY,2026-03-15 17:58:03
BAJAJ-AUTO,2025-10-28 09:22:00,9098.5,9108.0,9096.5,9105.0,666,DHAN_HISTORY,2026-03-15 17:58:03
BAJAJ-AUTO,2025-10-28 09:23:00,9102.0,9111.5,9102.0,9109.5,851,DHAN_HISTORY,2026-03-15 17:58:03
BAJAJ-AUTO,2025-10-28 09:24:00,9109.5,9115.0,9102.0,9107.0,1069,DHAN_HISTORY,2026-03-15 17:58:03
BAJAJ-AUTO,2025-10-28 09:25:00,9107.0,9113.5,9096.5,9112.5,706,DHAN_HISTORY,2026-03-15 17:58:03
BAJAJ-AUTO,2025-10-28 09:26:00,9111.5,9111.5,9109.0,9110.0,607,DHAN_HISTORY,2026-03-15 17:58:03
BAJAJ-AUTO,2025-10-28 09:27:00,9111.0,9111.0,9097.0,9103.0,1170,DHAN_HISTORY,2026-03-15 17:58:03
BAJAJ-AUTO,2025-10-28 09:28:00,9101.0,9102.5,9095.0,9098.0,311,DHAN_HISTORY,2026-03-15 17:58:03
BAJAJ-AUTO,2025-10-28 09:29:00,9096.0,9100.0,9094.0,9096.5,289,DHAN_HISTORY,2026-03-15 17:58:03
BAJAJ-AUTO,2025-10-28 09:30:00,9096.0,9099.5,9093.0,9099.5,679,DHAN_HISTORY,2026-03-15 17:58:03
BAJAJ-AUTO,2025-10-28 09:31:00,9099.5,9108.0,9097.0,9097.0,780,DHAN_HISTORY,2026-03-15 17:58:03
BAJAJ-AUTO,2025-10-28 09:32:00,9097.0,9106.5,9092.5,9105.5,755,DHAN_HISTORY,2026-03-15 17:58:03
BAJAJ-AUTO,2025-10-28 09:33:00,9106.5,9110.0,9105.5,9109.0,924,DHAN_HISTORY,2026-03-15 17:58:03
BAJAJ-AUTO,2025-10-28 09:34:00,9109.0,9110.0,9107.0,9107.5,509,DHAN_HISTORY,2026-03-15 17:58:03
BAJAJ-AUTO,2025-10-28 09:35:00,9107.5,9110.0,9106.0,9109.0,2055,DHAN_HISTORY,2026-03-15 17:58:03
BAJAJ-AUTO,2025-10-28 09:36:00,9108.5,9111.0,9108.5,9110.5,537,DHAN_HISTORY,2026-03-15 17:58:03
BAJAJ-AUTO,2025-10-28 09:37:00,9109.5,9112.0,9109.5,9112.0,590,DHAN_HISTORY,2026-03-15 17:58:03
BAJAJ-AUTO,2025-10-28 09:38:00,9112.0,9112.0,9110.0,9112.0,584,DHAN_HISTORY,2026-03-15 17:58:03
BAJAJ-AUTO,2025-10-28 09:39:00,9112.0,9113.5,9106.5,9106.5,1237,DHAN_HISTORY,2026-03-15 17:58:03
