symbol,timestamp,open,high,low,close,volume,source,last_updated
BANDHANBNK,2026-02-02 09:15:00,148.3,149.63,147.25,148.85,70518,DHAN_HISTORY,2026-03-15 17:25:06
BANDHANBNK,2026-02-02 09:16:00,148.91,149.32,148.53,148.79,34492,DHAN_HISTORY,2026-03-15 17:25:06
BANDHANBNK,2026-02-02 09:17:00,148.89,149.01,148.56,148.68,66508,DHAN_HISTORY,2026-03-15 17:25:06
BANDHANBNK,2026-02-02 09:18:00,148.76,148.8,148.19,148.41,49337,DHAN_HISTORY,2026-03-15 17:25:06
BANDHANBNK,2026-02-02 09:19:00,148.42,148.53,148.26,148.49,27791,DHAN_HISTORY,2026-03-15 17:25:06
BANDHANBNK,2026-02-02 09:20:00,148.7,148.83,148.38,148.66,20111,DHAN_HISTORY,2026-03-15 17:25:06
BANDHANBNK,2026-02-02 09:21:00,148.8,149.15,148.55,148.55,20441,DHAN_HISTORY,2026-03-15 17:25:06
BANDHANBNK,2026-02-02 09:22:00,148.57,148.64,148.5,148.64,7577,DHAN_HISTORY,2026-03-15 17:25:06
BANDHANBNK,2026-02-02 09:23:00,148.45,148.88,148.45,148.79,19586,DHAN_HISTORY,2026-03-15 17:25:06
BANDHANBNK,2026-02-02 09:24:00,148.88,148.89,148.52,148.63,11392,DHAN_HISTORY,2026-03-15 17:25:06
BANDHANBNK,2026-02-02 09:25:00,148.55,148.61,148.35,148.45,19614,DHAN_HISTORY,2026-03-15 17:25:06
BANDHANBNK,2026-02-02 09:26:00,148.52,148.63,148.45,148.5,9656,DHAN_HISTORY,2026-03-15 17:25:06
BANDHANBNK,2026-02-02 09:27:00,148.54,148.54,148.2,148.42,24239,DHAN_HISTORY,2026-03-15 17:25:06
BANDHANBNK,2026-02-02 09:28:00,148.46,148.54,148.4,148.5,12311,DHAN_HISTORY,2026-03-15 17:25:06
BANDHANBNK,2026-02-02 09:29:00,148.5,148.61,148.4,148.42,25435,DHAN_HISTORY,2026-03-15 17:25:06
BANDHANBNK,2026-02-02 09:30:00,148.51,148.95,148.41,148.89,12908,DHAN_HISTORY,2026-03-15 17:25:06
BANDHANBNK,2026-02-02 09:31:00,148.89,148.95,148.71,148.71,13500,DHAN_HISTORY,2026-03-15 17:25:06
BANDHANBNK,2026-02-02 09:32:00,148.73,148.9,148.73,148.9,2854,DHAN_HISTORY,2026-03-15 17:25:06
BANDHANBNK,2026-02-02 09:33:00,148.9,149.39,148.9,149.02,48424,DHAN_HISTORY,2026-03-15 17:25:06
BANDHANBNK,2026-02-02 09:34:00,149.12,149.12,148.83,148.86,9801,DHAN_HISTORY,2026-03-15 17:25:06
BANDHANBNK,2026-02-02 09:35:00,148.91,148.92,148.7,148.78,5968,DHAN_HISTORY,2026-03-15 17:25:06
BANDHANBNK,2026-02-02 09:36:00,148.8,148.98,148.7,148.77,10262,DHAN_HISTORY,2026-03-15 17:25:06
BANDHANBNK,2026-02-02 09:37:00,148.82,149.0,148.82,148.94,9657,DHAN_HISTORY,2026-03-15 17:25:06
BANDHANBNK,2026-02-02 09:38:00,148.87,149.06,148.85,148.96,7691,DHAN_HISTORY,2026-03-15 17:25:06
BANDHANBNK,2026-02-02 09:39:00,148.98,149.05,148.79,148.79,7578,DHAN_HISTORY,2026-03-15 17:25:06
BANDHANBNK,2026-02-02 09:40:00,148.73,148.81,148.48,148.48,3825,DHAN_HISTORY,2026-03-15 17:25:06
BANDHANBNK,2026-02-02 09:41:00,148.48,148.8,148.48,148.71,19274,DHAN_HISTORY,2026-03-15 17:25:06
BANDHANBNK,2026-02-02 09:42:00,148.67,148.73,148.64,148.67,17749,DHAN_HISTORY,2026-03-15 17:25:06
BANDHANBNK,2026-02-02 09:43:00,148.7,148.75,148.51,148.51,5063,DHAN_HISTORY,2026-03-15 17:25:06
BANDHANBNK,2026-02-02 09:44:00,148.54,148.63,148.25,148.25,39589,DHAN_HISTORY,2026-03-15 17:25:06
BANDHANBNK,2026-02-02 09:45:00,148.39,148.64,148.33,148.56,2182,DHAN_HISTORY,2026-03-15 17:25:06
BANDHANBNK,2026-02-02 09:46:00,148.56,148.71,148.56,148.71,27664,DHAN_HISTORY,2026-03-15 17:25:06
BANDHANBNK,2026-02-02 09:47:00,148.65,148.66,148.44,148.49,18599,DHAN_HISTORY,2026-03-15 17:25:06
BANDHANBNK,2026-02-02 09:48:00,148.56,148.66,148.5,148.66,4660,DHAN_HISTORY,2026-03-15 17:25:06
BANDHANBNK,2026-02-02 09:49:00,148.73,148.75,148.63,148.72,7914,DHAN_HISTORY,2026-03-15 17:25:06
BANDHANBNK,2026-02-02 09:50:00,148.72,148.84,148.57,148.57,6870,DHAN_HISTORY,2026-03-15 17:25:06
BANDHANBNK,2026-02-02 09:51:00,148.6,148.74,148.33,148.47,17105,DHAN_HISTORY,2026-03-15 17:25:06
BANDHANBNK,2026-02-02 09:52:00,148.4,148.63,148.4,148.6,19844,DHAN_HISTORY,2026-03-15 17:25:06
BANDHANBNK,2026-02-02 09:53:00,148.54,148.7,148.47,148.7,9730,DHAN_HISTORY,2026-03-15 17:25:06
BANDHANBNK,2026-02-02 09:54:00,148.73,148.8,148.62,148.77,4675,DHAN_HISTORY,2026-03-15 17:25:06
BANDHANBNK,2026-02-02 09:55:00,148.77,148.81,148.61,148.65,4080,DHAN_HISTORY,2026-03-15 17:25:06
BANDHANBNK,2026-02-02 09:56:00,148.6,148.65,148.54,148.64,2651,DHAN_HISTORY,2026-03-15 17:25:06
BANDHANBNK,2026-02-02 09:57:00,148.64,148.92,148.64,148.75,14932,DHAN_HISTORY,2026-03-15 17:25:06
BANDHANBNK,2026-02-02 09:58:00,148.74,148.74,148.28,148.3,7180,DHAN_HISTORY,2026-03-15 17:25:06
BANDHANBNK,2026-02-02 09:59:00,148.05,148.15,147.95,147.95,20245,DHAN_HISTORY,2026-03-15 17:25:06
BANDHANBNK,2026-02-02 10:00:00,147.95,148.06,147.79,147.93,16763,DHAN_HISTORY,2026-03-15 17:25:06
BANDHANBNK,2026-02-02 10:01:00,147.94,148.03,147.91,147.92,1535,DHAN_HISTORY,2026-03-15 17:25:06
BANDHANBNK,2026-02-02 10:02:00,147.91,147.92,147.7,147.86,13172,DHAN_HISTORY,2026-03-15 17:25:06
BANDHANBNK,2026-02-02 10:03:00,147.86,147.96,147.8,147.84,26893,DHAN_HISTORY,2026-03-15 17:25:06
BANDHANBNK,2026-02-02 10:04:00,147.87,147.87,147.64,147.66,10130,DHAN_HISTORY,2026-03-15 17:25:06
BANDHANBNK,2026-02-02 10:05:00,147.71,147.8,147.55,147.8,28876,DHAN_HISTORY,2026-03-15 17:25:06
BANDHANBNK,2026-02-02 10:06:00,147.79,147.92,147.76,147.88,7643,DHAN_HISTORY,2026-03-15 17:25:06
BANDHANBNK,2026-02-02 10:07:00,147.92,147.92,147.71,147.75,7522,DHAN_HISTORY,2026-03-15 17:25:06
BANDHANBNK,2026-02-02 10:08:00,147.7,147.7,147.55,147.55,7966,DHAN_HISTORY,2026-03-15 17:25:06
BANDHANBNK,2026-02-02 10:09:00,147.62,147.75,147.61,147.67,3502,DHAN_HISTORY,2026-03-15 17:25:06
BANDHANBNK,2026-02-02 10:10:00,147.67,147.75,147.64,147.73,2656,DHAN_HISTORY,2026-03-15 17:25:06
BANDHANBNK,2026-02-02 10:11:00,147.72,148.2,147.64,148.15,16936,DHAN_HISTORY,2026-03-15 17:25:06
BANDHANBNK,2026-02-02 10:12:00,148.14,148.5,148.03,148.49,19239,DHAN_HISTORY,2026-03-15 17:25:06
BANDHANBNK,2026-02-02 10:13:00,148.58,148.61,148.27,148.31,13697,DHAN_HISTORY,2026-03-15 17:25:06
BANDHANBNK,2026-02-02 10:14:00,148.38,148.38,148.29,148.29,2729,DHAN_HISTORY,2026-03-15 17:25:06
BANDHANBNK,2026-02-02 10:15:00,148.36,148.36,148.21,148.25,4827,DHAN_HISTORY,2026-03-15 17:25:06
BANDHANBNK,2026-02-02 10:16:00,148.21,148.25,148.06,148.06,2942,DHAN_HISTORY,2026-03-15 17:25:06
BANDHANBNK,2026-02-02 10:17:00,148.1,148.1,147.9,147.91,3643,DHAN_HISTORY,2026-03-15 17:25:06
BANDHANBNK,2026-02-02 10:18:00,147.85,148.02,147.85,147.87,15411,DHAN_HISTORY,2026-03-15 17:25:06
BANDHANBNK,2026-02-02 10:19:00,147.99,147.99,147.8,147.8,5627,DHAN_HISTORY,2026-03-15 17:25:06
BANDHANBNK,2026-02-02 10:20:00,147.78,147.79,147.66,147.72,4852,DHAN_HISTORY,2026-03-15 17:25:06
BANDHANBNK,2026-02-02 10:21:00,147.72,147.75,147.7,147.73,594,DHAN_HISTORY,2026-03-15 17:25:06
BANDHANBNK,2026-02-02 10:22:00,147.72,147.83,147.6,147.6,6269,DHAN_HISTORY,2026-03-15 17:25:06
BANDHANBNK,2026-02-02 10:23:00,147.52,147.62,147.35,147.42,10400,DHAN_HISTORY,2026-03-15 17:25:06
BANDHANBNK,2026-02-02 10:24:00,147.46,147.68,147.44,147.44,8363,DHAN_HISTORY,2026-03-15 17:25:06
BANDHANBNK,2026-02-02 10:25:00,147.44,147.51,147.3,147.3,14521,DHAN_HISTORY,2026-03-15 17:25:06
BANDHANBNK,2026-02-02 10:26:00,147.3,147.44,147.13,147.43,24792,DHAN_HISTORY,2026-03-15 17:25:06
BANDHANBNK,2026-02-02 10:27:00,147.43,147.55,147.4,147.55,15417,DHAN_HISTORY,2026-03-15 17:25:06
BANDHANBNK,2026-02-02 10:28:00,147.55,147.68,147.55,147.62,3238,DHAN_HISTORY,2026-03-15 17:25:06
BANDHANBNK,2026-02-02 10:29:00,147.6,147.6,147.55,147.6,2005,DHAN_HISTORY,2026-03-15 17:25:06
BANDHANBNK,2026-02-02 10:30:00,147.6,147.7,147.55,147.57,13670,DHAN_HISTORY,2026-03-15 17:25:06
BANDHANBNK,2026-02-02 10:31:00,147.64,147.83,147.64,147.8,3068,DHAN_HISTORY,2026-03-15 17:25:06
BANDHANBNK,2026-02-02 10:32:00,147.8,147.8,147.67,147.7,25363,DHAN_HISTORY,2026-03-15 17:25:06
BANDHANBNK,2026-02-02 10:33:00,147.69,147.7,147.49,147.5,4436,DHAN_HISTORY,2026-03-15 17:25:06
BANDHANBNK,2026-02-02 10:34:00,147.5,147.5,147.4,147.44,2430,DHAN_HISTORY,2026-03-15 17:25:06
BANDHANBNK,2026-02-02 10:35:00,147.44,147.5,147.41,147.49,656,DHAN_HISTORY,2026-03-15 17:25:06
BANDHANBNK,2026-02-02 10:36:00,147.49,147.49,147.43,147.49,2691,DHAN_HISTORY,2026-03-15 17:25:06
BANDHANBNK,2026-02-02 10:37:00,147.47,147.47,147.29,147.37,5477,DHAN_HISTORY,2026-03-15 17:25:06
BANDHANBNK,2026-02-02 10:38:00,147.35,147.35,147.03,147.06,7708,DHAN_HISTORY,2026-03-15 17:25:06
BANDHANBNK,2026-02-02 10:39:00,147.06,147.19,146.87,147.08,29042,DHAN_HISTORY,2026-03-15 17:25:06
BANDHANBNK,2026-02-02 10:40:00,147.17,147.43,147.16,147.41,18973,DHAN_HISTORY,2026-03-15 17:25:06
BANDHANBNK,2026-02-02 10:41:00,147.41,147.44,147.31,147.41,3507,DHAN_HISTORY,2026-03-15 17:25:06
BANDHANBNK,2026-02-02 10:42:00,147.41,147.44,147.35,147.4,2541,DHAN_HISTORY,2026-03-15 17:25:06
BANDHANBNK,2026-02-02 10:43:00,147.42,147.59,147.4,147.47,4634,DHAN_HISTORY,2026-03-15 17:25:06
BANDHANBNK,2026-02-02 10:44:00,147.47,147.47,147.31,147.39,2308,DHAN_HISTORY,2026-03-15 17:25:06
BANDHANBNK,2026-02-02 10:45:00,147.32,147.32,147.08,147.14,2423,DHAN_HISTORY,2026-03-15 17:25:06
BANDHANBNK,2026-02-02 10:46:00,147.1,147.1,147.02,147.09,4136,DHAN_HISTORY,2026-03-15 17:25:06
BANDHANBNK,2026-02-02 10:47:00,147.05,147.09,147.05,147.08,445,DHAN_HISTORY,2026-03-15 17:25:06
BANDHANBNK,2026-02-02 10:48:00,147.08,147.08,146.98,146.98,4188,DHAN_HISTORY,2026-03-15 17:25:06
BANDHANBNK,2026-02-02 10:49:00,146.95,146.97,146.94,146.96,6974,DHAN_HISTORY,2026-03-15 17:25:06
BANDHANBNK,2026-02-02 10:50:00,146.96,147.09,146.86,147.09,16316,DHAN_HISTORY,2026-03-15 17:25:06
BANDHANBNK,2026-02-02 10:51:00,147.09,147.1,147.04,147.08,2262,DHAN_HISTORY,2026-03-15 17:25:06
BANDHANBNK,2026-02-02 10:52:00,147.05,147.05,146.88,146.95,6707,DHAN_HISTORY,2026-03-15 17:25:06
BANDHANBNK,2026-02-02 10:53:00,146.93,146.95,146.54,146.65,29435,DHAN_HISTORY,2026-03-15 17:25:06
BANDHANBNK,2026-02-02 10:54:00,146.62,146.76,146.53,146.65,36027,DHAN_HISTORY,2026-03-15 17:25:06
BANDHANBNK,2026-02-02 10:55:00,146.57,146.61,146.51,146.51,12822,DHAN_HISTORY,2026-03-15 17:25:06
BANDHANBNK,2026-02-02 10:56:00,146.58,146.59,146.51,146.53,6581,DHAN_HISTORY,2026-03-15 17:25:06
BANDHANBNK,2026-02-02 10:57:00,146.58,146.59,146.3,146.45,30500,DHAN_HISTORY,2026-03-15 17:25:06
BANDHANBNK,2026-02-02 10:58:00,146.45,146.45,146.26,146.26,6717,DHAN_HISTORY,2026-03-15 17:25:06
BANDHANBNK,2026-02-02 10:59:00,146.31,146.36,146.12,146.3,70560,DHAN_HISTORY,2026-03-15 17:25:06
BANDHANBNK,2026-02-02 11:00:00,146.32,146.32,146.2,146.21,5296,DHAN_HISTORY,2026-03-15 17:25:06
BANDHANBNK,2026-02-02 11:01:00,146.27,146.27,146.09,146.09,15225,DHAN_HISTORY,2026-03-15 17:25:06
BANDHANBNK,2026-02-02 11:02:00,146.12,146.29,146.02,146.29,36927,DHAN_HISTORY,2026-03-15 17:25:06
BANDHANBNK,2026-02-02 11:03:00,146.28,146.28,146.0,146.0,17957,DHAN_HISTORY,2026-03-15 17:25:06
BANDHANBNK,2026-02-02 11:04:00,146.0,146.06,145.92,146.05,11785,DHAN_HISTORY,2026-03-15 17:25:06
BANDHANBNK,2026-02-02 11:05:00,146.04,146.04,145.81,145.9,18329,DHAN_HISTORY,2026-03-15 17:25:06
BANDHANBNK,2026-02-02 11:06:00,145.91,145.98,145.86,145.9,4802,DHAN_HISTORY,2026-03-15 17:25:06
BANDHANBNK,2026-02-02 11:07:00,145.9,145.9,145.7,145.7,22962,DHAN_HISTORY,2026-03-15 17:25:06
BANDHANBNK,2026-02-02 11:08:00,145.7,145.81,145.67,145.75,35294,DHAN_HISTORY,2026-03-15 17:25:06
BANDHANBNK,2026-02-02 11:09:00,145.77,145.77,145.6,145.75,5787,DHAN_HISTORY,2026-03-15 17:25:06
BANDHANBNK,2026-02-02 11:10:00,145.75,145.87,145.64,145.82,8760,DHAN_HISTORY,2026-03-15 17:25:06
BANDHANBNK,2026-02-02 11:11:00,145.9,146.26,145.9,146.25,69976,DHAN_HISTORY,2026-03-15 17:25:06
BANDHANBNK,2026-02-02 11:12:00,146.25,146.31,146.18,146.21,24697,DHAN_HISTORY,2026-03-15 17:25:06
BANDHANBNK,2026-02-02 11:13:00,146.28,146.39,146.25,146.35,11936,DHAN_HISTORY,2026-03-15 17:25:06
BANDHANBNK,2026-02-02 11:14:00,146.35,146.4,146.35,146.38,9178,DHAN_HISTORY,2026-03-15 17:25:06
BANDHANBNK,2026-02-02 11:15:00,146.33,146.37,146.22,146.3,5975,DHAN_HISTORY,2026-03-15 17:25:06
BANDHANBNK,2026-02-02 11:16:00,146.3,146.36,146.24,146.34,11143,DHAN_HISTORY,2026-03-15 17:25:06
BANDHANBNK,2026-02-02 11:17:00,146.36,146.36,146.11,146.11,4967,DHAN_HISTORY,2026-03-15 17:25:06
BANDHANBNK,2026-02-02 11:18:00,146.21,146.21,146.02,146.08,4372,DHAN_HISTORY,2026-03-15 17:25:06
BANDHANBNK,2026-02-02 11:19:00,146.02,146.05,145.91,146.0,61265,DHAN_HISTORY,2026-03-15 17:25:06
BANDHANBNK,2026-02-02 11:20:00,145.97,145.97,145.89,145.95,426,DHAN_HISTORY,2026-03-15 17:25:06
BANDHANBNK,2026-02-02 11:21:00,145.94,145.94,145.85,145.89,3017,DHAN_HISTORY,2026-03-15 17:25:06
BANDHANBNK,2026-02-02 11:22:00,145.89,145.94,145.82,145.86,6894,DHAN_HISTORY,2026-03-15 17:25:06
BANDHANBNK,2026-02-02 11:23:00,145.79,145.82,145.57,145.61,10744,DHAN_HISTORY,2026-03-15 17:25:06
BANDHANBNK,2026-02-02 11:24:00,145.71,145.85,145.69,145.82,8610,DHAN_HISTORY,2026-03-15 17:25:06
BANDHANBNK,2026-02-02 11:25:00,145.75,145.82,145.71,145.82,4362,DHAN_HISTORY,2026-03-15 17:25:06
BANDHANBNK,2026-02-02 11:26:00,145.82,145.96,145.82,145.96,4536,DHAN_HISTORY,2026-03-15 17:25:06
BANDHANBNK,2026-02-02 11:27:00,145.98,146.15,145.95,146.0,12181,DHAN_HISTORY,2026-03-15 17:25:06
BANDHANBNK,2026-02-02 11:28:00,145.99,146.09,145.88,146.0,3996,DHAN_HISTORY,2026-03-15 17:25:06
BANDHANBNK,2026-02-02 11:29:00,146.0,146.05,145.96,146.0,1248,DHAN_HISTORY,2026-03-15 17:25:06
BANDHANBNK,2026-02-02 11:30:00,146.05,146.1,146.0,146.1,18106,DHAN_HISTORY,2026-03-15 17:25:06
BANDHANBNK,2026-02-02 11:31:00,146.1,146.2,146.09,146.2,4667,DHAN_HISTORY,2026-03-15 17:25:06
BANDHANBNK,2026-02-02 11:32:00,146.21,146.5,146.21,146.5,4334,DHAN_HISTORY,2026-03-15 17:25:06
BANDHANBNK,2026-02-02 11:33:00,146.55,146.8,146.5,146.69,17265,DHAN_HISTORY,2026-03-15 17:25:06
BANDHANBNK,2026-02-02 11:34:00,146.69,146.89,146.62,146.89,5957,DHAN_HISTORY,2026-03-15 17:25:06
BANDHANBNK,2026-02-02 11:35:00,146.9,146.9,146.7,146.74,3909,DHAN_HISTORY,2026-03-15 17:25:06
BANDHANBNK,2026-02-02 11:36:00,146.75,146.75,146.55,146.62,4814,DHAN_HISTORY,2026-03-15 17:25:06
BANDHANBNK,2026-02-02 11:37:00,146.62,146.62,146.5,146.5,3694,DHAN_HISTORY,2026-03-15 17:25:06
BANDHANBNK,2026-02-02 11:38:00,146.48,146.6,146.48,146.6,4210,DHAN_HISTORY,2026-03-15 17:25:06
BANDHANBNK,2026-02-02 11:39:00,146.64,146.65,146.59,146.65,2429,DHAN_HISTORY,2026-03-15 17:25:06
BANDHANBNK,2026-02-02 11:40:00,146.65,146.65,146.48,146.51,7267,DHAN_HISTORY,2026-03-15 17:25:06
BANDHANBNK,2026-02-02 11:41:00,146.5,146.68,146.38,146.59,11852,DHAN_HISTORY,2026-03-15 17:25:06
