symbol,timestamp,open,high,low,close,volume,source,last_updated
BANKINDIA,2025-12-22 09:15:00,143.23,143.75,143.2,143.24,68754,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 09:16:00,143.24,143.35,142.85,142.96,87210,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 09:17:00,142.96,143.06,142.78,142.78,45088,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 09:18:00,142.8,142.89,142.62,142.66,38403,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 09:19:00,142.65,142.91,142.61,142.91,32231,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 09:20:00,142.94,142.98,142.7,142.72,23827,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 09:21:00,142.8,142.9,142.75,142.81,17163,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 09:22:00,142.81,142.93,142.7,142.82,24709,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 09:23:00,142.87,143.11,142.8,143.05,22326,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 09:24:00,143.03,143.11,142.9,142.91,24277,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 09:25:00,142.85,142.97,142.72,142.85,28286,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 09:26:00,142.82,143.13,142.81,143.09,23236,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 09:27:00,143.13,143.34,143.06,143.29,17871,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 09:28:00,143.36,143.37,143.09,143.11,94996,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 09:29:00,143.11,143.28,143.02,143.07,48524,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 09:30:00,143.07,143.21,143.07,143.21,7593,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 09:31:00,143.21,143.25,143.02,143.14,43699,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 09:32:00,143.14,143.2,143.07,143.1,19805,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 09:33:00,143.1,143.14,143.01,143.07,2729,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 09:34:00,143.09,143.3,143.0,143.3,15370,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 09:35:00,143.3,143.57,143.29,143.57,21554,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 09:36:00,143.52,143.57,143.43,143.46,22457,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 09:37:00,143.49,143.5,143.27,143.33,32751,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 09:38:00,143.33,143.38,143.11,143.18,26593,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 09:39:00,143.1,143.18,143.04,143.04,18721,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 09:40:00,143.1,143.1,143.03,143.07,1966,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 09:41:00,143.1,143.2,143.04,143.05,25112,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 09:42:00,143.04,143.25,143.04,143.15,21472,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 09:43:00,143.15,143.23,143.1,143.11,8011,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 09:44:00,143.11,143.15,143.05,143.05,11578,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 09:45:00,143.05,143.35,143.04,143.23,16209,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 09:46:00,143.23,143.31,143.21,143.26,16894,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 09:47:00,143.3,143.51,143.3,143.35,22068,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 09:48:00,143.34,143.42,143.23,143.34,10573,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 09:49:00,143.29,143.35,143.27,143.31,13931,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 09:50:00,143.28,143.48,143.24,143.4,13086,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 09:51:00,143.49,143.49,143.33,143.4,9009,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 09:52:00,143.47,143.48,143.3,143.39,13418,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 09:53:00,143.4,143.45,143.32,143.32,5322,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 09:54:00,143.32,143.32,143.25,143.27,18409,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 09:55:00,143.27,143.45,143.27,143.39,12908,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 09:56:00,143.45,143.45,143.35,143.35,5274,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 09:57:00,143.42,143.51,143.35,143.47,17702,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 09:58:00,143.52,143.52,143.47,143.48,13455,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 09:59:00,143.49,143.56,143.39,143.45,42756,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 10:00:00,143.45,143.46,143.29,143.35,29729,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 10:01:00,143.33,143.45,143.25,143.26,18364,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 10:02:00,143.28,143.35,143.26,143.3,5679,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 10:03:00,143.3,143.34,143.3,143.3,4630,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 10:04:00,143.34,143.36,143.31,143.32,2531,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 10:05:00,143.35,143.39,143.3,143.3,5543,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 10:06:00,143.3,143.34,143.26,143.28,2367,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 10:07:00,143.29,143.34,143.26,143.32,4809,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 10:08:00,143.26,143.3,143.06,143.07,68997,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 10:09:00,143.04,143.11,143.0,143.0,5934,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 10:10:00,143.0,143.06,142.83,142.83,62310,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 10:11:00,142.89,143.02,142.83,142.95,15012,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 10:12:00,143.01,143.15,142.95,143.1,6281,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 10:13:00,143.16,143.42,143.05,143.26,22917,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 10:14:00,143.34,143.34,142.9,143.09,321553,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 10:15:00,143.08,143.3,143.06,143.13,17558,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 10:16:00,143.09,143.31,143.09,143.11,29939,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 10:17:00,143.18,143.57,143.11,143.54,29419,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 10:18:00,143.54,143.55,143.27,143.44,30293,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 10:19:00,143.47,143.48,143.32,143.37,30216,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 10:20:00,143.41,143.41,143.23,143.25,44365,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 10:21:00,143.26,143.35,143.24,143.3,3224,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 10:22:00,143.3,143.35,143.14,143.15,13185,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 10:23:00,143.15,143.25,143.11,143.11,4231,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 10:24:00,143.15,143.21,143.15,143.15,7506,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 10:25:00,143.19,143.21,143.0,143.0,51658,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 10:26:00,143.0,143.04,142.93,142.93,15320,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 10:27:00,142.98,143.08,142.91,143.0,24148,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 10:28:00,143.0,143.07,143.0,143.03,4124,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 10:29:00,143.05,143.05,143.0,143.01,1607,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 10:30:00,143.01,143.04,142.91,142.92,25363,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 10:31:00,142.94,142.99,142.88,142.9,9974,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 10:32:00,142.9,142.96,142.9,142.91,1091,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 10:33:00,142.91,142.97,142.85,142.88,33293,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 10:34:00,142.88,142.94,142.86,142.9,5411,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 10:35:00,142.91,142.94,142.91,142.91,3989,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 10:36:00,142.92,142.94,142.9,142.94,3173,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 10:37:00,142.95,142.96,142.85,142.85,41575,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 10:38:00,142.84,142.98,142.7,142.9,41235,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 10:39:00,142.9,143.09,142.9,143.05,23258,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 10:40:00,143.08,143.11,143.05,143.07,435,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 10:41:00,143.07,143.13,143.05,143.13,3256,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 10:42:00,143.07,143.2,143.07,143.12,7340,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 10:43:00,143.2,143.25,143.12,143.2,2204,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 10:44:00,143.21,143.24,143.1,143.1,16941,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 10:45:00,143.12,143.18,143.1,143.11,2320,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 10:46:00,143.17,143.25,143.11,143.25,1290,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 10:47:00,143.25,143.3,143.21,143.25,3409,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 10:48:00,143.3,143.3,143.25,143.26,2059,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 10:49:00,143.29,143.32,143.22,143.22,10838,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 10:50:00,143.22,143.26,143.22,143.23,3548,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 10:51:00,143.25,143.26,143.13,143.14,12725,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 10:52:00,143.14,143.22,143.13,143.15,5771,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 10:53:00,143.2,143.22,143.14,143.18,526,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 10:54:00,143.22,143.23,143.15,143.18,5896,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 10:55:00,143.18,143.24,143.13,143.16,17316,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 10:56:00,143.16,143.2,143.16,143.18,2297,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 10:57:00,143.18,143.24,143.18,143.21,7396,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 10:58:00,143.23,143.23,143.21,143.21,1099,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 10:59:00,143.23,143.25,143.21,143.23,971,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 11:00:00,143.25,143.26,143.23,143.23,5016,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 11:01:00,143.23,143.25,143.15,143.16,14462,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 11:02:00,143.17,143.23,143.15,143.15,5325,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 11:03:00,143.18,143.18,143.06,143.1,51777,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 11:04:00,143.13,143.13,142.95,143.03,46374,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 11:05:00,143.03,143.03,142.84,142.85,18020,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 11:06:00,142.88,142.88,142.75,142.76,9014,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 11:07:00,142.79,142.8,142.64,142.71,17356,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 11:08:00,142.71,142.72,142.65,142.66,6238,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 11:09:00,142.66,142.75,142.66,142.7,10902,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 11:10:00,142.73,142.75,142.65,142.65,12425,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 11:11:00,142.68,142.7,142.65,142.65,5420,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 11:12:00,142.65,142.66,142.51,142.59,14348,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 11:13:00,142.6,142.6,142.59,142.6,3533,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 11:14:00,142.63,142.64,142.6,142.6,2799,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 11:15:00,142.64,142.64,142.6,142.6,2168,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 11:16:00,142.6,142.66,142.6,142.6,13265,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 11:17:00,142.6,142.67,142.6,142.65,3057,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 11:18:00,142.67,142.67,142.65,142.67,5983,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 11:19:00,142.65,142.67,142.58,142.58,15802,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 11:20:00,142.57,142.61,142.51,142.55,11427,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 11:21:00,142.59,142.63,142.55,142.6,3182,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 11:22:00,142.63,142.66,142.61,142.63,2426,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 11:23:00,142.66,142.68,142.58,142.63,25263,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 11:24:00,142.63,142.67,142.59,142.6,5626,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 11:25:00,142.66,142.68,142.6,142.67,1597,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 11:26:00,142.7,142.75,142.7,142.71,7046,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 11:27:00,142.75,142.77,142.71,142.73,948,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 11:28:00,142.8,142.8,142.7,142.7,6432,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 11:29:00,142.71,142.77,142.71,142.72,6195,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 11:30:00,142.72,142.77,142.72,142.72,4322,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 11:31:00,142.76,142.76,142.65,142.65,13102,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 11:32:00,142.65,142.7,142.57,142.57,8270,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 11:33:00,142.6,142.61,142.45,142.52,15765,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 11:34:00,142.5,142.52,142.45,142.5,4920,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 11:35:00,142.5,142.52,142.49,142.49,3193,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 11:36:00,142.51,142.51,142.47,142.51,5773,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 11:37:00,142.51,142.51,142.41,142.46,10395,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 11:38:00,142.45,142.46,142.45,142.46,2106,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 11:39:00,142.46,142.5,142.45,142.45,4841,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 11:40:00,142.48,142.54,142.45,142.54,1095,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 11:41:00,142.54,142.65,142.53,142.55,3006,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 11:42:00,142.56,142.59,142.5,142.59,1705,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 11:43:00,142.57,142.6,142.51,142.6,3199,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 11:44:00,142.6,142.67,142.6,142.63,5748,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 11:45:00,142.63,142.66,142.6,142.6,2768,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 11:46:00,142.6,142.63,142.59,142.59,3338,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 11:47:00,142.6,142.62,142.58,142.59,3583,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 11:48:00,142.61,142.61,142.59,142.6,2400,DHAN_HISTORY,2026-03-15 17:25:44
BANKINDIA,2025-12-22 11:49:00,142.6,142.64,142.59,142.62,2004,DHAN_HISTORY,2026-03-15 17:25:44
