symbol,timestamp,open,high,low,close,volume,source,last_updated
BHARATCOAL,2026-03-06 09:15:00,33.01,33.17,33.01,33.1,46864,DHAN_HISTORY,2026-03-15 16:36:39
BHARATCOAL,2026-03-06 09:16:00,33.04,33.06,32.93,32.98,77253,DHAN_HISTORY,2026-03-15 16:36:39
BHARATCOAL,2026-03-06 09:17:00,32.95,32.95,32.77,32.8,133160,DHAN_HISTORY,2026-03-15 16:36:39
BHARATCOAL,2026-03-06 09:18:00,32.84,32.93,32.84,32.92,57949,DHAN_HISTORY,2026-03-15 16:36:39
BHARATCOAL,2026-03-06 09:19:00,32.92,32.98,32.92,32.98,34009,DHAN_HISTORY,2026-03-15 16:36:39
BHARATCOAL,2026-03-06 09:20:00,32.98,33.09,32.92,33.07,59286,DHAN_HISTORY,2026-03-15 16:36:39
BHARATCOAL,2026-03-06 09:21:00,33.07,33.24,33.05,33.2,123180,DHAN_HISTORY,2026-03-15 16:36:39
BHARATCOAL,2026-03-06 09:22:00,33.21,33.25,33.2,33.21,16721,DHAN_HISTORY,2026-03-15 16:36:39
BHARATCOAL,2026-03-06 09:23:00,33.21,33.29,33.18,33.18,78502,DHAN_HISTORY,2026-03-15 16:36:39
BHARATCOAL,2026-03-06 09:24:00,33.2,33.2,33.15,33.2,28676,DHAN_HISTORY,2026-03-15 16:36:39
BHARATCOAL,2026-03-06 09:25:00,33.19,33.2,33.16,33.2,25999,DHAN_HISTORY,2026-03-15 16:36:39
BHARATCOAL,2026-03-06 09:26:00,33.2,33.2,33.15,33.16,14039,DHAN_HISTORY,2026-03-15 16:36:39
BHARATCOAL,2026-03-06 09:27:00,33.16,33.2,33.15,33.2,17503,DHAN_HISTORY,2026-03-15 16:36:39
BHARATCOAL,2026-03-06 09:28:00,33.2,33.2,33.18,33.19,2802,DHAN_HISTORY,2026-03-15 16:36:39
BHARATCOAL,2026-03-06 09:29:00,33.18,33.2,33.17,33.17,24540,DHAN_HISTORY,2026-03-15 16:36:39
BHARATCOAL,2026-03-06 09:30:00,33.18,33.23,33.17,33.22,21091,DHAN_HISTORY,2026-03-15 16:36:39
BHARATCOAL,2026-03-06 09:31:00,33.22,33.25,33.22,33.25,9695,DHAN_HISTORY,2026-03-15 16:36:39
BHARATCOAL,2026-03-06 09:32:00,33.25,33.35,33.23,33.27,60801,DHAN_HISTORY,2026-03-15 16:36:39
BHARATCOAL,2026-03-06 09:33:00,33.28,33.3,33.23,33.28,42054,DHAN_HISTORY,2026-03-15 16:36:39
BHARATCOAL,2026-03-06 09:34:00,33.26,33.29,33.23,33.23,20151,DHAN_HISTORY,2026-03-15 16:36:39
BHARATCOAL,2026-03-06 09:35:00,33.24,33.28,33.23,33.25,75080,DHAN_HISTORY,2026-03-15 16:36:39
BHARATCOAL,2026-03-06 09:36:00,33.27,33.28,33.25,33.27,12391,DHAN_HISTORY,2026-03-15 16:36:39
