symbol,timestamp,open,high,low,close,volume,source,last_updated
BHARTIHEXA,2025-10-30 09:15:00,1885.0,1899.0,1882.0,1884.9,2696,DHAN_HISTORY,2026-03-15 17:49:06
BHARTIHEXA,2025-10-30 09:16:00,1880.5,1883.8,1870.4,1871.1,1874,DHAN_HISTORY,2026-03-15 17:49:06
BHARTIHEXA,2025-10-30 09:17:00,1871.0,1877.9,1871.0,1877.9,924,DHAN_HISTORY,2026-03-15 17:49:06
BHARTIHEXA,2025-10-30 09:18:00,1877.9,1882.7,1877.9,1882.7,1170,DHAN_HISTORY,2026-03-15 17:49:06
BHARTIHEXA,2025-10-30 09:19:00,1882.0,1882.0,1875.0,1875.6,1874,DHAN_HISTORY,2026-03-15 17:49:06
BHARTIHEXA,2025-10-30 09:20:00,1875.6,1879.5,1874.9,1879.5,576,DHAN_HISTORY,2026-03-15 17:49:06
BHARTIHEXA,2025-10-30 09:21:00,1879.5,1880.7,1875.1,1875.1,558,DHAN_HISTORY,2026-03-15 17:49:06
BHARTIHEXA,2025-10-30 09:22:00,1876.5,1876.5,1873.3,1873.3,448,DHAN_HISTORY,2026-03-15 17:49:06
BHARTIHEXA,2025-10-30 09:23:00,1875.0,1877.2,1872.1,1875.3,919,DHAN_HISTORY,2026-03-15 17:49:06
BHARTIHEXA,2025-10-30 09:24:00,1871.5,1881.9,1871.5,1881.1,1428,DHAN_HISTORY,2026-03-15 17:49:06
BHARTIHEXA,2025-10-30 09:25:00,1879.7,1880.1,1878.0,1880.1,439,DHAN_HISTORY,2026-03-15 17:49:06
BHARTIHEXA,2025-10-30 09:26:00,1878.8,1883.9,1878.8,1882.0,742,DHAN_HISTORY,2026-03-15 17:49:06
BHARTIHEXA,2025-10-30 09:27:00,1881.3,1885.1,1881.0,1881.9,1778,DHAN_HISTORY,2026-03-15 17:49:06
BHARTIHEXA,2025-10-30 09:28:00,1883.6,1884.3,1883.5,1883.6,240,DHAN_HISTORY,2026-03-15 17:49:06
BHARTIHEXA,2025-10-30 09:29:00,1883.7,1884.6,1882.3,1882.6,69,DHAN_HISTORY,2026-03-15 17:49:06
BHARTIHEXA,2025-10-30 09:30:00,1881.0,1884.9,1877.4,1878.3,1036,DHAN_HISTORY,2026-03-15 17:49:06
BHARTIHEXA,2025-10-30 09:31:00,1882.0,1882.0,1879.3,1880.0,391,DHAN_HISTORY,2026-03-15 17:49:06
BHARTIHEXA,2025-10-30 09:32:00,1880.0,1880.0,1876.2,1876.2,336,DHAN_HISTORY,2026-03-15 17:49:06
BHARTIHEXA,2025-10-30 09:33:00,1877.4,1877.5,1871.0,1876.4,2578,DHAN_HISTORY,2026-03-15 17:49:06
BHARTIHEXA,2025-10-30 09:34:00,1874.6,1877.1,1873.5,1876.3,285,DHAN_HISTORY,2026-03-15 17:49:06
BHARTIHEXA,2025-10-30 09:35:00,1877.5,1877.8,1875.0,1875.0,236,DHAN_HISTORY,2026-03-15 17:49:06
BHARTIHEXA,2025-10-30 09:36:00,1875.0,1875.7,1873.7,1873.7,97,DHAN_HISTORY,2026-03-15 17:49:06
BHARTIHEXA,2025-10-30 09:37:00,1874.5,1874.5,1874.3,1874.4,310,DHAN_HISTORY,2026-03-15 17:49:06
BHARTIHEXA,2025-10-30 09:38:00,1875.3,1876.7,1873.8,1876.7,182,DHAN_HISTORY,2026-03-15 17:49:06
BHARTIHEXA,2025-10-30 09:39:00,1877.4,1877.7,1875.9,1876.2,455,DHAN_HISTORY,2026-03-15 17:49:06
BHARTIHEXA,2025-10-30 09:40:00,1875.7,1877.2,1875.7,1876.2,365,DHAN_HISTORY,2026-03-15 17:49:06
BHARTIHEXA,2025-10-30 09:41:00,1877.0,1877.0,1872.4,1876.5,1185,DHAN_HISTORY,2026-03-15 17:49:06
BHARTIHEXA,2025-10-30 09:42:00,1874.6,1875.2,1874.1,1874.9,1107,DHAN_HISTORY,2026-03-15 17:49:06
BHARTIHEXA,2025-10-30 09:43:00,1875.0,1876.7,1874.1,1876.4,195,DHAN_HISTORY,2026-03-15 17:49:06
BHARTIHEXA,2025-10-30 09:44:00,1876.2,1876.3,1874.8,1874.8,45,DHAN_HISTORY,2026-03-15 17:49:06
BHARTIHEXA,2025-10-30 09:45:00,1874.1,1877.5,1872.0,1877.5,937,DHAN_HISTORY,2026-03-15 17:49:06
BHARTIHEXA,2025-10-30 09:46:00,1875.8,1876.5,1874.4,1875.4,54,DHAN_HISTORY,2026-03-15 17:49:06
BHARTIHEXA,2025-10-30 09:47:00,1874.6,1876.9,1862.0,1864.8,2915,DHAN_HISTORY,2026-03-15 17:49:06
BHARTIHEXA,2025-10-30 09:48:00,1863.9,1865.0,1863.2,1864.0,341,DHAN_HISTORY,2026-03-15 17:49:06
BHARTIHEXA,2025-10-30 09:49:00,1863.5,1863.8,1861.2,1863.8,653,DHAN_HISTORY,2026-03-15 17:49:06
BHARTIHEXA,2025-10-30 09:50:00,1862.6,1864.5,1862.1,1864.3,336,DHAN_HISTORY,2026-03-15 17:49:06
BHARTIHEXA,2025-10-30 09:51:00,1863.2,1864.0,1862.0,1863.4,641,DHAN_HISTORY,2026-03-15 17:49:06
BHARTIHEXA,2025-10-30 09:52:00,1863.0,1863.0,1860.1,1860.1,754,DHAN_HISTORY,2026-03-15 17:49:06
BHARTIHEXA,2025-10-30 09:53:00,1860.2,1861.5,1857.6,1859.6,1944,DHAN_HISTORY,2026-03-15 17:49:06
BHARTIHEXA,2025-10-30 09:54:00,1860.7,1860.8,1859.5,1859.6,111,DHAN_HISTORY,2026-03-15 17:49:06
BHARTIHEXA,2025-10-30 09:55:00,1860.9,1860.9,1859.0,1859.0,129,DHAN_HISTORY,2026-03-15 17:49:06
BHARTIHEXA,2025-10-30 09:56:00,1861.4,1862.7,1861.4,1862.7,117,DHAN_HISTORY,2026-03-15 17:49:06
BHARTIHEXA,2025-10-30 09:57:00,1863.9,1863.9,1861.4,1863.1,335,DHAN_HISTORY,2026-03-15 17:49:06
BHARTIHEXA,2025-10-30 09:58:00,1862.3,1863.3,1861.4,1863.3,400,DHAN_HISTORY,2026-03-15 17:49:06
BHARTIHEXA,2025-10-30 09:59:00,1863.3,1865.0,1863.3,1865.0,361,DHAN_HISTORY,2026-03-15 17:49:06
BHARTIHEXA,2025-10-30 10:00:00,1863.4,1863.9,1862.8,1863.9,178,DHAN_HISTORY,2026-03-15 17:49:06
BHARTIHEXA,2025-10-30 10:01:00,1862.8,1863.5,1860.0,1860.0,549,DHAN_HISTORY,2026-03-15 17:49:06
BHARTIHEXA,2025-10-30 10:02:00,1860.0,1863.0,1860.0,1863.0,310,DHAN_HISTORY,2026-03-15 17:49:06
BHARTIHEXA,2025-10-30 10:03:00,1862.6,1863.6,1862.6,1863.6,24,DHAN_HISTORY,2026-03-15 17:49:06
BHARTIHEXA,2025-10-30 10:04:00,1863.4,1863.4,1861.0,1861.1,411,DHAN_HISTORY,2026-03-15 17:49:06
BHARTIHEXA,2025-10-30 10:05:00,1860.2,1861.2,1860.2,1861.1,7,DHAN_HISTORY,2026-03-15 17:49:06
BHARTIHEXA,2025-10-30 10:06:00,1860.2,1862.8,1860.2,1862.3,152,DHAN_HISTORY,2026-03-15 17:49:06
BHARTIHEXA,2025-10-30 10:07:00,1863.7,1863.7,1861.3,1861.3,590,DHAN_HISTORY,2026-03-15 17:49:06
BHARTIHEXA,2025-10-30 10:08:00,1862.6,1862.6,1860.1,1862.2,218,DHAN_HISTORY,2026-03-15 17:49:06
BHARTIHEXA,2025-10-30 10:09:00,1862.1,1862.1,1860.0,1860.0,80,DHAN_HISTORY,2026-03-15 17:49:06
BHARTIHEXA,2025-10-30 10:10:00,1859.6,1860.1,1859.6,1860.1,21,DHAN_HISTORY,2026-03-15 17:49:06
BHARTIHEXA,2025-10-30 10:11:00,1860.5,1860.5,1859.1,1859.1,60,DHAN_HISTORY,2026-03-15 17:49:06
BHARTIHEXA,2025-10-30 10:12:00,1859.9,1860.0,1858.2,1860.0,325,DHAN_HISTORY,2026-03-15 17:49:06
BHARTIHEXA,2025-10-30 10:13:00,1860.3,1862.1,1858.2,1862.1,223,DHAN_HISTORY,2026-03-15 17:49:06
BHARTIHEXA,2025-10-30 10:14:00,1861.3,1863.5,1860.7,1861.8,209,DHAN_HISTORY,2026-03-15 17:49:06
BHARTIHEXA,2025-10-30 10:15:00,1861.9,1863.1,1861.2,1862.1,106,DHAN_HISTORY,2026-03-15 17:49:06
BHARTIHEXA,2025-10-30 10:16:00,1860.7,1861.9,1860.7,1861.9,72,DHAN_HISTORY,2026-03-15 17:49:06
BHARTIHEXA,2025-10-30 10:17:00,1861.8,1861.8,1860.6,1860.6,5,DHAN_HISTORY,2026-03-15 17:49:06
BHARTIHEXA,2025-10-30 10:18:00,1862.8,1862.8,1860.9,1862.3,99,DHAN_HISTORY,2026-03-15 17:49:06
BHARTIHEXA,2025-10-30 10:19:00,1862.3,1862.3,1860.9,1861.8,302,DHAN_HISTORY,2026-03-15 17:49:06
BHARTIHEXA,2025-10-30 10:20:00,1860.4,1861.9,1860.2,1861.9,132,DHAN_HISTORY,2026-03-15 17:49:06
BHARTIHEXA,2025-10-30 10:21:00,1861.8,1863.0,1861.8,1863.0,62,DHAN_HISTORY,2026-03-15 17:49:06
BHARTIHEXA,2025-10-30 10:22:00,1863.0,1863.1,1861.4,1862.9,55,DHAN_HISTORY,2026-03-15 17:49:06
BHARTIHEXA,2025-10-30 10:23:00,1863.9,1863.9,1858.9,1860.4,232,DHAN_HISTORY,2026-03-15 17:49:06
BHARTIHEXA,2025-10-30 10:24:00,1860.4,1861.7,1860.2,1861.6,57,DHAN_HISTORY,2026-03-15 17:49:06
BHARTIHEXA,2025-10-30 10:25:00,1861.4,1861.4,1860.1,1861.4,42,DHAN_HISTORY,2026-03-15 17:49:06
BHARTIHEXA,2025-10-30 10:26:00,1860.6,1861.3,1859.0,1861.3,591,DHAN_HISTORY,2026-03-15 17:49:06
BHARTIHEXA,2025-10-30 10:27:00,1861.0,1865.4,1861.0,1863.2,675,DHAN_HISTORY,2026-03-15 17:49:06
BHARTIHEXA,2025-10-30 10:28:00,1862.9,1863.5,1861.2,1861.2,142,DHAN_HISTORY,2026-03-15 17:49:06
BHARTIHEXA,2025-10-30 10:29:00,1864.0,1864.0,1860.9,1860.9,345,DHAN_HISTORY,2026-03-15 17:49:06
BHARTIHEXA,2025-10-30 10:30:00,1861.5,1862.8,1860.9,1860.9,46,DHAN_HISTORY,2026-03-15 17:49:06
BHARTIHEXA,2025-10-30 10:31:00,1861.7,1863.9,1861.6,1861.7,324,DHAN_HISTORY,2026-03-15 17:49:06
BHARTIHEXA,2025-10-30 10:32:00,1861.7,1861.7,1861.7,1861.7,10,DHAN_HISTORY,2026-03-15 17:49:06
BHARTIHEXA,2025-10-30 10:33:00,1861.5,1862.1,1861.1,1861.1,86,DHAN_HISTORY,2026-03-15 17:49:06
BHARTIHEXA,2025-10-30 10:34:00,1860.8,1864.7,1860.8,1863.4,447,DHAN_HISTORY,2026-03-15 17:49:06
BHARTIHEXA,2025-10-30 10:35:00,1863.6,1863.9,1862.3,1862.5,50,DHAN_HISTORY,2026-03-15 17:49:06
BHARTIHEXA,2025-10-30 10:36:00,1862.2,1863.9,1862.0,1862.0,104,DHAN_HISTORY,2026-03-15 17:49:06
BHARTIHEXA,2025-10-30 10:37:00,1864.3,1864.3,1861.0,1861.5,348,DHAN_HISTORY,2026-03-15 17:49:06
BHARTIHEXA,2025-10-30 10:38:00,1860.6,1861.8,1860.6,1861.8,257,DHAN_HISTORY,2026-03-15 17:49:06
BHARTIHEXA,2025-10-30 10:39:00,1861.6,1861.6,1861.6,1861.6,22,DHAN_HISTORY,2026-03-15 17:49:06
BHARTIHEXA,2025-10-30 10:40:00,1861.7,1861.7,1861.7,1861.7,12,DHAN_HISTORY,2026-03-15 17:49:06
BHARTIHEXA,2025-10-30 10:41:00,1861.6,1863.2,1861.6,1863.2,39,DHAN_HISTORY,2026-03-15 17:49:06
BHARTIHEXA,2025-10-30 10:42:00,1863.0,1863.0,1862.0,1862.9,182,DHAN_HISTORY,2026-03-15 17:49:06
BHARTIHEXA,2025-10-30 10:43:00,1861.7,1862.2,1860.6,1861.5,369,DHAN_HISTORY,2026-03-15 17:49:06
BHARTIHEXA,2025-10-30 10:44:00,1861.6,1862.1,1861.6,1862.1,35,DHAN_HISTORY,2026-03-15 17:49:06
BHARTIHEXA,2025-10-30 10:45:00,1862.1,1862.3,1861.0,1861.1,27,DHAN_HISTORY,2026-03-15 17:49:06
BHARTIHEXA,2025-10-30 10:46:00,1860.5,1861.8,1859.9,1859.9,496,DHAN_HISTORY,2026-03-15 17:49:06
BHARTIHEXA,2025-10-30 10:47:00,1859.1,1859.5,1859.1,1859.1,224,DHAN_HISTORY,2026-03-15 17:49:06
BHARTIHEXA,2025-10-30 10:48:00,1858.6,1861.2,1858.2,1861.2,136,DHAN_HISTORY,2026-03-15 17:49:06
BHARTIHEXA,2025-10-30 10:49:00,1860.3,1860.9,1858.5,1858.5,66,DHAN_HISTORY,2026-03-15 17:49:06
BHARTIHEXA,2025-10-30 10:50:00,1858.3,1860.4,1858.1,1859.1,80,DHAN_HISTORY,2026-03-15 17:49:06
BHARTIHEXA,2025-10-30 10:51:00,1858.6,1859.4,1858.6,1858.6,47,DHAN_HISTORY,2026-03-15 17:49:06
BHARTIHEXA,2025-10-30 10:52:00,1858.0,1858.7,1857.1,1858.7,162,DHAN_HISTORY,2026-03-15 17:49:06
BHARTIHEXA,2025-10-30 10:53:00,1858.3,1858.3,1855.3,1856.7,1329,DHAN_HISTORY,2026-03-15 17:49:06
BHARTIHEXA,2025-10-30 10:54:00,1856.0,1857.8,1856.0,1857.8,51,DHAN_HISTORY,2026-03-15 17:49:06
BHARTIHEXA,2025-10-30 10:55:00,1857.7,1858.0,1856.7,1856.7,85,DHAN_HISTORY,2026-03-15 17:49:06
BHARTIHEXA,2025-10-30 10:56:00,1856.0,1856.0,1852.5,1852.9,1761,DHAN_HISTORY,2026-03-15 17:49:06
BHARTIHEXA,2025-10-30 10:57:00,1853.3,1854.6,1853.3,1854.4,161,DHAN_HISTORY,2026-03-15 17:49:06
BHARTIHEXA,2025-10-30 10:58:00,1853.5,1854.4,1853.5,1854.4,14,DHAN_HISTORY,2026-03-15 17:49:06
BHARTIHEXA,2025-10-30 10:59:00,1854.4,1854.4,1852.1,1852.9,437,DHAN_HISTORY,2026-03-15 17:49:06
BHARTIHEXA,2025-10-30 11:00:00,1854.3,1854.4,1852.9,1854.4,83,DHAN_HISTORY,2026-03-15 17:49:06
BHARTIHEXA,2025-10-30 11:01:00,1854.4,1854.6,1852.1,1853.9,364,DHAN_HISTORY,2026-03-15 17:49:06
BHARTIHEXA,2025-10-30 11:02:00,1853.9,1853.9,1852.7,1853.2,50,DHAN_HISTORY,2026-03-15 17:49:06
BHARTIHEXA,2025-10-30 11:03:00,1852.7,1854.1,1852.0,1852.5,589,DHAN_HISTORY,2026-03-15 17:49:06
BHARTIHEXA,2025-10-30 11:04:00,1853.7,1853.9,1852.9,1853.9,16,DHAN_HISTORY,2026-03-15 17:49:06
BHARTIHEXA,2025-10-30 11:05:00,1853.8,1853.9,1853.0,1853.9,737,DHAN_HISTORY,2026-03-15 17:49:06
BHARTIHEXA,2025-10-30 11:06:00,1854.0,1855.0,1854.0,1854.7,92,DHAN_HISTORY,2026-03-15 17:49:06
BHARTIHEXA,2025-10-30 11:07:00,1854.7,1855.0,1854.0,1854.0,111,DHAN_HISTORY,2026-03-15 17:49:06
BHARTIHEXA,2025-10-30 11:08:00,1854.4,1855.0,1854.4,1855.0,35,DHAN_HISTORY,2026-03-15 17:49:06
BHARTIHEXA,2025-10-30 11:09:00,1855.0,1855.1,1853.3,1853.3,174,DHAN_HISTORY,2026-03-15 17:49:06
BHARTIHEXA,2025-10-30 11:10:00,1854.5,1855.0,1854.4,1855.0,139,DHAN_HISTORY,2026-03-15 17:49:06
BHARTIHEXA,2025-10-30 11:11:00,1855.0,1855.0,1854.0,1854.9,301,DHAN_HISTORY,2026-03-15 17:49:06
BHARTIHEXA,2025-10-30 11:12:00,1855.0,1855.7,1854.9,1855.4,413,DHAN_HISTORY,2026-03-15 17:49:06
BHARTIHEXA,2025-10-30 11:13:00,1855.3,1864.6,1855.3,1862.8,4604,DHAN_HISTORY,2026-03-15 17:49:06
BHARTIHEXA,2025-10-30 11:14:00,1862.1,1862.6,1853.0,1853.0,3339,DHAN_HISTORY,2026-03-15 17:49:06
BHARTIHEXA,2025-10-30 11:15:00,1854.5,1854.8,1853.1,1854.6,770,DHAN_HISTORY,2026-03-15 17:49:06
BHARTIHEXA,2025-10-30 11:16:00,1854.7,1854.8,1854.5,1854.5,44,DHAN_HISTORY,2026-03-15 17:49:06
BHARTIHEXA,2025-10-30 11:17:00,1854.5,1855.0,1854.0,1854.9,375,DHAN_HISTORY,2026-03-15 17:49:06
BHARTIHEXA,2025-10-30 11:18:00,1854.9,1854.9,1853.7,1854.4,233,DHAN_HISTORY,2026-03-15 17:49:06
BHARTIHEXA,2025-10-30 11:19:00,1854.4,1855.0,1854.1,1855.0,421,DHAN_HISTORY,2026-03-15 17:49:06
BHARTIHEXA,2025-10-30 11:20:00,1854.1,1855.0,1854.1,1855.0,108,DHAN_HISTORY,2026-03-15 17:49:06
BHARTIHEXA,2025-10-30 11:21:00,1854.1,1854.9,1854.1,1854.1,35,DHAN_HISTORY,2026-03-15 17:49:06
BHARTIHEXA,2025-10-30 11:22:00,1854.9,1854.9,1854.1,1854.9,168,DHAN_HISTORY,2026-03-15 17:49:06
BHARTIHEXA,2025-10-30 11:23:00,1854.9,1855.0,1854.8,1854.8,109,DHAN_HISTORY,2026-03-15 17:49:06
BHARTIHEXA,2025-10-30 11:24:00,1855.0,1855.0,1854.8,1854.9,272,DHAN_HISTORY,2026-03-15 17:49:06
