symbol,timestamp,open,high,low,close,volume,source,last_updated
BIOCON,2026-01-29 09:15:00,371.2,371.2,363.95,364.2,46795,DHAN_HISTORY,2026-03-15 17:59:44
BIOCON,2026-01-29 09:16:00,364.2,365.5,364.2,365.5,13142,DHAN_HISTORY,2026-03-15 17:59:44
BIOCON,2026-01-29 09:17:00,365.6,366.1,365.2,365.45,9155,DHAN_HISTORY,2026-03-15 17:59:44
BIOCON,2026-01-29 09:18:00,365.65,365.9,365.45,365.85,14515,DHAN_HISTORY,2026-03-15 17:59:44
BIOCON,2026-01-29 09:19:00,365.85,365.85,365.25,365.5,6659,DHAN_HISTORY,2026-03-15 17:59:44
BIOCON,2026-01-29 09:20:00,365.5,365.6,364.8,364.8,11622,DHAN_HISTORY,2026-03-15 17:59:44
BIOCON,2026-01-29 09:21:00,364.8,365.1,364.6,365.1,13543,DHAN_HISTORY,2026-03-15 17:59:44
BIOCON,2026-01-29 09:22:00,365.1,365.4,364.8,364.8,11236,DHAN_HISTORY,2026-03-15 17:59:44
BIOCON,2026-01-29 09:23:00,364.8,365.0,364.15,365.0,12836,DHAN_HISTORY,2026-03-15 17:59:44
BIOCON,2026-01-29 09:24:00,365.05,365.45,364.75,364.75,10817,DHAN_HISTORY,2026-03-15 17:59:44
BIOCON,2026-01-29 09:25:00,364.6,365.25,364.6,365.1,3837,DHAN_HISTORY,2026-03-15 17:59:44
BIOCON,2026-01-29 09:26:00,365.2,365.7,365.1,365.45,3223,DHAN_HISTORY,2026-03-15 17:59:44
BIOCON,2026-01-29 09:27:00,365.7,366.05,365.15,365.15,5831,DHAN_HISTORY,2026-03-15 17:59:44
BIOCON,2026-01-29 09:28:00,365.1,365.3,364.75,364.75,4565,DHAN_HISTORY,2026-03-15 17:59:44
BIOCON,2026-01-29 09:29:00,364.7,364.8,364.55,364.8,3692,DHAN_HISTORY,2026-03-15 17:59:44
BIOCON,2026-01-29 09:30:00,364.8,364.8,364.25,364.45,2840,DHAN_HISTORY,2026-03-15 17:59:44
BIOCON,2026-01-29 09:31:00,364.5,364.9,364.5,364.85,1548,DHAN_HISTORY,2026-03-15 17:59:44
BIOCON,2026-01-29 09:32:00,364.65,364.95,364.5,364.5,2543,DHAN_HISTORY,2026-03-15 17:59:44
BIOCON,2026-01-29 09:33:00,364.55,364.8,364.5,364.6,3948,DHAN_HISTORY,2026-03-15 17:59:44
BIOCON,2026-01-29 09:34:00,364.55,364.9,364.45,364.9,6006,DHAN_HISTORY,2026-03-15 17:59:44
BIOCON,2026-01-29 09:35:00,364.6,364.9,364.2,364.2,3199,DHAN_HISTORY,2026-03-15 17:59:44
BIOCON,2026-01-29 09:36:00,364.4,364.4,363.55,363.6,9197,DHAN_HISTORY,2026-03-15 17:59:44
BIOCON,2026-01-29 09:37:00,363.6,363.8,363.3,363.75,4893,DHAN_HISTORY,2026-03-15 17:59:44
BIOCON,2026-01-29 09:38:00,363.55,363.75,363.3,363.7,3878,DHAN_HISTORY,2026-03-15 17:59:44
BIOCON,2026-01-29 09:39:00,363.55,363.7,363.4,363.6,5974,DHAN_HISTORY,2026-03-15 17:59:44
BIOCON,2026-01-29 09:40:00,363.6,364.45,363.4,364.25,7251,DHAN_HISTORY,2026-03-15 17:59:44
BIOCON,2026-01-29 09:41:00,364.2,364.3,363.5,363.9,6094,DHAN_HISTORY,2026-03-15 17:59:44
BIOCON,2026-01-29 09:42:00,363.85,364.25,363.85,364.25,1449,DHAN_HISTORY,2026-03-15 17:59:44
BIOCON,2026-01-29 09:43:00,363.95,364.0,363.8,363.8,2322,DHAN_HISTORY,2026-03-15 17:59:44
BIOCON,2026-01-29 09:44:00,363.8,363.8,363.35,363.35,2217,DHAN_HISTORY,2026-03-15 17:59:44
BIOCON,2026-01-29 09:45:00,363.35,363.75,363.3,363.35,2804,DHAN_HISTORY,2026-03-15 17:59:44
BIOCON,2026-01-29 09:46:00,363.5,363.75,363.2,363.75,4305,DHAN_HISTORY,2026-03-15 17:59:44
BIOCON,2026-01-29 09:47:00,363.6,363.85,363.1,363.2,5353,DHAN_HISTORY,2026-03-15 17:59:44
BIOCON,2026-01-29 09:48:00,363.3,363.8,363.1,363.55,4847,DHAN_HISTORY,2026-03-15 17:59:44
BIOCON,2026-01-29 09:49:00,363.8,363.85,363.55,363.85,1598,DHAN_HISTORY,2026-03-15 17:59:44
BIOCON,2026-01-29 09:50:00,363.75,363.85,363.65,363.7,2149,DHAN_HISTORY,2026-03-15 17:59:44
BIOCON,2026-01-29 09:51:00,363.7,363.9,363.55,363.65,3260,DHAN_HISTORY,2026-03-15 17:59:44
BIOCON,2026-01-29 09:52:00,363.5,363.5,362.7,362.75,13225,DHAN_HISTORY,2026-03-15 17:59:44
BIOCON,2026-01-29 09:53:00,362.75,363.0,362.4,362.7,13016,DHAN_HISTORY,2026-03-15 17:59:44
BIOCON,2026-01-29 09:54:00,362.65,362.75,362.2,362.2,2873,DHAN_HISTORY,2026-03-15 17:59:44
BIOCON,2026-01-29 09:55:00,362.1,362.3,362.05,362.3,3289,DHAN_HISTORY,2026-03-15 17:59:44
BIOCON,2026-01-29 09:56:00,362.45,362.45,362.05,362.05,4526,DHAN_HISTORY,2026-03-15 17:59:44
