symbol,timestamp,open,high,low,close,volume,source,last_updated
BLISSGVS,2026-01-14 09:15:00,164.0,164.92,162.86,163.69,27865,DHAN_HISTORY,2026-03-15 16:37:10
BLISSGVS,2026-01-14 09:16:00,163.37,164.79,163.21,164.77,19519,DHAN_HISTORY,2026-03-15 16:37:10
BLISSGVS,2026-01-14 09:17:00,164.26,164.79,163.7,163.92,16584,DHAN_HISTORY,2026-03-15 16:37:10
BLISSGVS,2026-01-14 09:18:00,163.92,163.92,163.0,163.0,35200,DHAN_HISTORY,2026-03-15 16:37:10
BLISSGVS,2026-01-14 09:19:00,163.0,163.6,163.0,163.24,11573,DHAN_HISTORY,2026-03-15 16:37:10
BLISSGVS,2026-01-14 09:20:00,163.21,163.21,163.01,163.15,2247,DHAN_HISTORY,2026-03-15 16:37:10
BLISSGVS,2026-01-14 09:21:00,163.31,163.88,163.31,163.88,12116,DHAN_HISTORY,2026-03-15 16:37:10
BLISSGVS,2026-01-14 09:22:00,163.81,164.47,163.8,164.4,9443,DHAN_HISTORY,2026-03-15 16:37:10
BLISSGVS,2026-01-14 09:23:00,164.39,164.53,164.03,164.45,26871,DHAN_HISTORY,2026-03-15 16:37:10
BLISSGVS,2026-01-14 09:24:00,164.46,164.94,164.36,164.4,25196,DHAN_HISTORY,2026-03-15 16:37:10
BLISSGVS,2026-01-14 09:25:00,164.46,164.99,164.4,164.79,6758,DHAN_HISTORY,2026-03-15 16:37:10
BLISSGVS,2026-01-14 09:26:00,164.95,164.95,164.48,164.65,19730,DHAN_HISTORY,2026-03-15 16:37:10
BLISSGVS,2026-01-14 09:27:00,164.48,164.48,164.22,164.25,6734,DHAN_HISTORY,2026-03-15 16:37:10
BLISSGVS,2026-01-14 09:28:00,164.22,164.49,164.02,164.49,17537,DHAN_HISTORY,2026-03-15 16:37:10
BLISSGVS,2026-01-14 09:29:00,164.49,164.49,163.89,163.95,22501,DHAN_HISTORY,2026-03-15 16:37:10
BLISSGVS,2026-01-14 09:30:00,164.15,165.3,164.14,165.3,39195,DHAN_HISTORY,2026-03-15 16:37:10
BLISSGVS,2026-01-14 09:31:00,165.27,165.79,165.04,165.51,33085,DHAN_HISTORY,2026-03-15 16:37:10
BLISSGVS,2026-01-14 09:32:00,165.64,166.04,165.12,165.17,40950,DHAN_HISTORY,2026-03-15 16:37:10
BLISSGVS,2026-01-14 09:33:00,165.23,165.28,164.72,164.72,9156,DHAN_HISTORY,2026-03-15 16:37:10
BLISSGVS,2026-01-14 09:34:00,164.9,165.5,164.75,165.28,6306,DHAN_HISTORY,2026-03-15 16:37:10
BLISSGVS,2026-01-14 09:35:00,165.28,165.28,164.04,164.25,30142,DHAN_HISTORY,2026-03-15 16:37:10
BLISSGVS,2026-01-14 09:36:00,164.43,164.61,164.26,164.59,1071,DHAN_HISTORY,2026-03-15 16:37:10
BLISSGVS,2026-01-14 09:37:00,164.42,164.6,164.42,164.5,2551,DHAN_HISTORY,2026-03-15 16:37:10
BLISSGVS,2026-01-14 09:38:00,164.5,164.64,164.31,164.64,7702,DHAN_HISTORY,2026-03-15 16:37:10
BLISSGVS,2026-01-14 09:39:00,164.65,164.65,164.3,164.36,9584,DHAN_HISTORY,2026-03-15 16:37:10
BLISSGVS,2026-01-14 09:40:00,164.36,164.36,164.08,164.08,14913,DHAN_HISTORY,2026-03-15 16:37:10
BLISSGVS,2026-01-14 09:41:00,164.23,164.23,163.58,163.98,17400,DHAN_HISTORY,2026-03-15 16:37:10
BLISSGVS,2026-01-14 09:42:00,163.84,164.08,163.58,163.72,13099,DHAN_HISTORY,2026-03-15 16:37:10
BLISSGVS,2026-01-14 09:43:00,163.89,163.89,163.59,163.84,2651,DHAN_HISTORY,2026-03-15 16:37:10
BLISSGVS,2026-01-14 09:44:00,163.6,163.62,163.32,163.49,5660,DHAN_HISTORY,2026-03-15 16:37:10
BLISSGVS,2026-01-14 09:45:00,163.5,163.5,163.16,163.16,2705,DHAN_HISTORY,2026-03-15 16:37:10
BLISSGVS,2026-01-14 09:46:00,163.38,163.44,163.21,163.35,2175,DHAN_HISTORY,2026-03-15 16:37:10
BLISSGVS,2026-01-14 09:47:00,163.13,163.35,163.13,163.35,7770,DHAN_HISTORY,2026-03-15 16:37:10
BLISSGVS,2026-01-14 09:48:00,163.2,163.31,163.05,163.24,3977,DHAN_HISTORY,2026-03-15 16:37:10
BLISSGVS,2026-01-14 09:49:00,163.26,163.44,163.01,163.39,11388,DHAN_HISTORY,2026-03-15 16:37:10
BLISSGVS,2026-01-14 09:50:00,163.39,163.75,163.12,163.75,7131,DHAN_HISTORY,2026-03-15 16:37:10
BLISSGVS,2026-01-14 09:51:00,163.88,163.92,163.68,163.92,2130,DHAN_HISTORY,2026-03-15 16:37:10
BLISSGVS,2026-01-14 09:52:00,163.74,163.74,163.67,163.67,499,DHAN_HISTORY,2026-03-15 16:37:10
BLISSGVS,2026-01-14 09:53:00,163.77,163.8,163.67,163.8,2948,DHAN_HISTORY,2026-03-15 16:37:10
BLISSGVS,2026-01-14 09:54:00,163.96,164.0,163.76,163.84,3991,DHAN_HISTORY,2026-03-15 16:37:10
