symbol,timestamp,open,high,low,close,volume,source,last_updated
BLUESTARCO,2025-11-12 09:15:00,1780.0,1781.5,1775.8,1777.3,947,DHAN_HISTORY,2026-03-15 17:59:53
BLUESTARCO,2025-11-12 09:16:00,1776.3,1784.1,1776.3,1781.0,835,DHAN_HISTORY,2026-03-15 17:59:53
BLUESTARCO,2025-11-12 09:17:00,1780.0,1781.0,1775.2,1777.4,1449,DHAN_HISTORY,2026-03-15 17:59:53
BLUESTARCO,2025-11-12 09:18:00,1776.8,1778.0,1776.1,1777.8,723,DHAN_HISTORY,2026-03-15 17:59:53
BLUESTARCO,2025-11-12 09:19:00,1777.5,1777.8,1774.4,1774.5,1537,DHAN_HISTORY,2026-03-15 17:59:53
BLUESTARCO,2025-11-12 09:20:00,1775.7,1777.2,1773.6,1774.7,808,DHAN_HISTORY,2026-03-15 17:59:53
BLUESTARCO,2025-11-12 09:21:00,1775.1,1777.2,1775.1,1777.0,49,DHAN_HISTORY,2026-03-15 17:59:53
BLUESTARCO,2025-11-12 09:22:00,1775.7,1780.7,1775.7,1779.3,1582,DHAN_HISTORY,2026-03-15 17:59:53
BLUESTARCO,2025-11-12 09:23:00,1780.7,1781.1,1779.6,1780.0,784,DHAN_HISTORY,2026-03-15 17:59:53
BLUESTARCO,2025-11-12 09:24:00,1780.1,1783.8,1780.1,1780.7,2493,DHAN_HISTORY,2026-03-15 17:59:53
BLUESTARCO,2025-11-12 09:25:00,1781.6,1782.7,1780.7,1781.2,697,DHAN_HISTORY,2026-03-15 17:59:53
BLUESTARCO,2025-11-12 09:26:00,1781.3,1781.4,1780.2,1781.4,560,DHAN_HISTORY,2026-03-15 17:59:53
BLUESTARCO,2025-11-12 09:27:00,1782.1,1783.5,1782.1,1783.5,148,DHAN_HISTORY,2026-03-15 17:59:53
BLUESTARCO,2025-11-12 09:28:00,1782.1,1782.1,1780.1,1780.1,292,DHAN_HISTORY,2026-03-15 17:59:53
BLUESTARCO,2025-11-12 09:29:00,1780.1,1780.1,1778.1,1778.3,625,DHAN_HISTORY,2026-03-15 17:59:53
BLUESTARCO,2025-11-12 09:30:00,1778.0,1779.7,1776.6,1779.7,433,DHAN_HISTORY,2026-03-15 17:59:53
BLUESTARCO,2025-11-12 09:31:00,1778.9,1778.9,1777.5,1778.0,495,DHAN_HISTORY,2026-03-15 17:59:53
BLUESTARCO,2025-11-12 09:32:00,1776.6,1776.6,1773.0,1773.0,626,DHAN_HISTORY,2026-03-15 17:59:53
BLUESTARCO,2025-11-12 09:33:00,1772.2,1773.0,1772.0,1773.0,45,DHAN_HISTORY,2026-03-15 17:59:53
BLUESTARCO,2025-11-12 09:34:00,1772.0,1775.3,1772.0,1775.3,513,DHAN_HISTORY,2026-03-15 17:59:53
BLUESTARCO,2025-11-12 09:35:00,1774.0,1774.8,1774.0,1774.8,8,DHAN_HISTORY,2026-03-15 17:59:53
BLUESTARCO,2025-11-12 09:36:00,1774.5,1774.8,1773.2,1773.2,78,DHAN_HISTORY,2026-03-15 17:59:53
BLUESTARCO,2025-11-12 09:37:00,1775.0,1775.0,1775.0,1775.0,159,DHAN_HISTORY,2026-03-15 17:59:53
BLUESTARCO,2025-11-12 09:38:00,1774.5,1779.1,1774.5,1778.3,748,DHAN_HISTORY,2026-03-15 17:59:53
BLUESTARCO,2025-11-12 09:39:00,1779.5,1779.5,1777.0,1777.1,516,DHAN_HISTORY,2026-03-15 17:59:53
BLUESTARCO,2025-11-12 09:40:00,1777.0,1778.1,1776.8,1776.8,184,DHAN_HISTORY,2026-03-15 17:59:53
BLUESTARCO,2025-11-12 09:41:00,1776.9,1778.0,1776.9,1778.0,117,DHAN_HISTORY,2026-03-15 17:59:53
BLUESTARCO,2025-11-12 09:42:00,1777.4,1778.4,1777.0,1777.8,372,DHAN_HISTORY,2026-03-15 17:59:53
BLUESTARCO,2025-11-12 09:43:00,1777.0,1778.8,1777.0,1778.8,191,DHAN_HISTORY,2026-03-15 17:59:53
BLUESTARCO,2025-11-12 09:44:00,1779.4,1780.7,1779.4,1780.1,593,DHAN_HISTORY,2026-03-15 17:59:53
BLUESTARCO,2025-11-12 09:45:00,1780.5,1780.5,1780.5,1780.5,31,DHAN_HISTORY,2026-03-15 17:59:53
BLUESTARCO,2025-11-12 09:46:00,1780.5,1783.0,1780.5,1782.2,473,DHAN_HISTORY,2026-03-15 17:59:53
BLUESTARCO,2025-11-12 09:47:00,1783.2,1783.5,1783.0,1783.0,43,DHAN_HISTORY,2026-03-15 17:59:53
BLUESTARCO,2025-11-12 09:48:00,1782.2,1784.0,1781.2,1782.4,882,DHAN_HISTORY,2026-03-15 17:59:53
BLUESTARCO,2025-11-12 09:49:00,1782.7,1782.7,1782.7,1782.7,43,DHAN_HISTORY,2026-03-15 17:59:53
BLUESTARCO,2025-11-12 09:50:00,1783.3,1783.4,1783.2,1783.4,36,DHAN_HISTORY,2026-03-15 17:59:53
