symbol,timestamp,open,high,low,close,volume,source,last_updated
BPCL,2025-10-09 09:15:00,347.25,347.6,344.1,344.4,84752,DHAN_HISTORY,2026-03-15 17:26:53
BPCL,2025-10-09 09:16:00,344.0,344.8,344.0,344.6,25264,DHAN_HISTORY,2026-03-15 17:26:53
BPCL,2025-10-09 09:17:00,344.95,346.6,344.95,346.2,61591,DHAN_HISTORY,2026-03-15 17:26:53
BPCL,2025-10-09 09:18:00,346.2,346.8,346.05,346.35,31688,DHAN_HISTORY,2026-03-15 17:26:53
BPCL,2025-10-09 09:19:00,346.2,346.6,346.0,346.2,36488,DHAN_HISTORY,2026-03-15 17:26:53
BPCL,2025-10-09 09:20:00,346.1,346.1,345.5,345.9,12167,DHAN_HISTORY,2026-03-15 17:26:53
BPCL,2025-10-09 09:21:00,346.0,346.55,345.95,346.05,29482,DHAN_HISTORY,2026-03-15 17:26:53
BPCL,2025-10-09 09:22:00,346.35,347.0,346.35,346.85,40916,DHAN_HISTORY,2026-03-15 17:26:53
BPCL,2025-10-09 09:23:00,346.75,347.2,346.3,347.05,38445,DHAN_HISTORY,2026-03-15 17:26:53
BPCL,2025-10-09 09:24:00,347.0,349.25,347.0,349.0,78802,DHAN_HISTORY,2026-03-15 17:26:53
BPCL,2025-10-09 09:25:00,349.0,349.8,348.95,349.45,80513,DHAN_HISTORY,2026-03-15 17:26:53
BPCL,2025-10-09 09:26:00,349.35,350.25,349.3,349.65,112089,DHAN_HISTORY,2026-03-15 17:26:53
BPCL,2025-10-09 09:27:00,349.6,349.7,349.3,349.6,24197,DHAN_HISTORY,2026-03-15 17:26:53
BPCL,2025-10-09 09:28:00,349.55,350.2,349.5,350.0,43402,DHAN_HISTORY,2026-03-15 17:26:53
BPCL,2025-10-09 09:29:00,350.05,350.3,349.5,349.55,46392,DHAN_HISTORY,2026-03-15 17:26:53
BPCL,2025-10-09 09:30:00,349.5,349.65,348.65,348.65,43115,DHAN_HISTORY,2026-03-15 17:26:53
BPCL,2025-10-09 09:31:00,348.65,349.15,348.3,348.5,30998,DHAN_HISTORY,2026-03-15 17:26:53
BPCL,2025-10-09 09:32:00,348.35,348.8,348.0,348.1,61816,DHAN_HISTORY,2026-03-15 17:26:53
BPCL,2025-10-09 09:33:00,348.15,348.4,348.1,348.1,15253,DHAN_HISTORY,2026-03-15 17:26:53
BPCL,2025-10-09 09:34:00,348.1,348.45,348.0,348.0,17390,DHAN_HISTORY,2026-03-15 17:26:53
BPCL,2025-10-09 09:35:00,348.0,348.05,347.75,347.75,11904,DHAN_HISTORY,2026-03-15 17:26:53
BPCL,2025-10-09 09:36:00,347.85,348.35,347.7,348.1,14004,DHAN_HISTORY,2026-03-15 17:26:53
BPCL,2025-10-09 09:37:00,348.1,348.5,348.1,348.5,7424,DHAN_HISTORY,2026-03-15 17:26:53
BPCL,2025-10-09 09:38:00,348.35,348.9,348.35,348.8,15729,DHAN_HISTORY,2026-03-15 17:26:53
BPCL,2025-10-09 09:39:00,348.9,349.0,348.7,348.7,9414,DHAN_HISTORY,2026-03-15 17:26:53
BPCL,2025-10-09 09:40:00,348.7,348.7,348.15,348.15,6931,DHAN_HISTORY,2026-03-15 17:26:53
BPCL,2025-10-09 09:41:00,348.15,348.2,348.0,348.05,4067,DHAN_HISTORY,2026-03-15 17:26:53
BPCL,2025-10-09 09:42:00,348.05,348.25,347.85,347.9,17628,DHAN_HISTORY,2026-03-15 17:26:53
BPCL,2025-10-09 09:43:00,348.0,348.0,347.65,347.85,6810,DHAN_HISTORY,2026-03-15 17:26:53
BPCL,2025-10-09 09:44:00,347.85,347.85,347.35,347.6,19078,DHAN_HISTORY,2026-03-15 17:26:53
BPCL,2025-10-09 09:45:00,347.55,347.6,347.3,347.3,11832,DHAN_HISTORY,2026-03-15 17:26:53
BPCL,2025-10-09 09:46:00,347.35,347.55,347.35,347.45,10464,DHAN_HISTORY,2026-03-15 17:26:53
BPCL,2025-10-09 09:47:00,347.4,348.0,347.4,347.9,4482,DHAN_HISTORY,2026-03-15 17:26:53
BPCL,2025-10-09 09:48:00,348.0,348.0,347.75,347.95,12814,DHAN_HISTORY,2026-03-15 17:26:53
BPCL,2025-10-09 09:49:00,348.0,348.0,347.5,347.75,11828,DHAN_HISTORY,2026-03-15 17:26:53
BPCL,2025-10-09 09:50:00,347.75,348.15,347.75,347.85,11787,DHAN_HISTORY,2026-03-15 17:26:53
