symbol,timestamp,open,high,low,close,volume,source,last_updated
CASTROLIND,2026-02-17 09:15:00,186.9,187.1,186.42,186.79,11454,DHAN_HISTORY,2026-03-15 16:37:51
CASTROLIND,2026-02-17 09:16:00,186.65,186.89,186.5,186.55,8586,DHAN_HISTORY,2026-03-15 16:37:51
CASTROLIND,2026-02-17 09:17:00,186.88,186.9,186.7,186.75,3048,DHAN_HISTORY,2026-03-15 16:37:51
CASTROLIND,2026-02-17 09:18:00,186.73,186.88,186.72,186.86,1301,DHAN_HISTORY,2026-03-15 16:37:51
CASTROLIND,2026-02-17 09:19:00,186.57,186.79,186.57,186.7,2589,DHAN_HISTORY,2026-03-15 16:37:51
CASTROLIND,2026-02-17 09:20:00,186.7,186.7,186.61,186.61,885,DHAN_HISTORY,2026-03-15 16:37:51
CASTROLIND,2026-02-17 09:21:00,186.7,186.75,186.61,186.75,1776,DHAN_HISTORY,2026-03-15 16:37:51
CASTROLIND,2026-02-17 09:22:00,186.74,187.0,186.6,187.0,9592,DHAN_HISTORY,2026-03-15 16:37:51
CASTROLIND,2026-02-17 09:23:00,187.0,187.07,186.85,186.95,4326,DHAN_HISTORY,2026-03-15 16:37:51
CASTROLIND,2026-02-17 09:24:00,186.88,186.92,186.63,186.79,2100,DHAN_HISTORY,2026-03-15 16:37:51
CASTROLIND,2026-02-17 09:25:00,186.65,186.79,186.65,186.79,549,DHAN_HISTORY,2026-03-15 16:37:51
CASTROLIND,2026-02-17 09:26:00,186.79,186.98,186.69,186.84,22949,DHAN_HISTORY,2026-03-15 16:37:51
CASTROLIND,2026-02-17 09:27:00,187.0,187.0,186.78,186.84,1052,DHAN_HISTORY,2026-03-15 16:37:51
CASTROLIND,2026-02-17 09:28:00,186.85,186.85,186.68,186.83,1475,DHAN_HISTORY,2026-03-15 16:37:51
CASTROLIND,2026-02-17 09:29:00,186.83,186.83,186.63,186.79,3086,DHAN_HISTORY,2026-03-15 16:37:51
CASTROLIND,2026-02-17 09:30:00,186.88,186.91,186.63,186.66,4723,DHAN_HISTORY,2026-03-15 16:37:51
CASTROLIND,2026-02-17 09:31:00,186.66,186.82,186.66,186.82,2142,DHAN_HISTORY,2026-03-15 16:37:51
CASTROLIND,2026-02-17 09:32:00,186.9,187.05,186.8,187.01,2141,DHAN_HISTORY,2026-03-15 16:37:51
CASTROLIND,2026-02-17 09:33:00,187.07,187.3,187.02,187.11,8444,DHAN_HISTORY,2026-03-15 16:37:51
CASTROLIND,2026-02-17 09:34:00,187.2,187.32,187.07,187.25,4221,DHAN_HISTORY,2026-03-15 16:37:51
CASTROLIND,2026-02-17 09:35:00,187.23,187.23,187.02,187.1,4068,DHAN_HISTORY,2026-03-15 16:37:51
CASTROLIND,2026-02-17 09:36:00,187.1,187.17,187.02,187.17,1571,DHAN_HISTORY,2026-03-15 16:37:51
CASTROLIND,2026-02-17 09:37:00,187.21,187.21,187.1,187.2,1361,DHAN_HISTORY,2026-03-15 16:37:51
CASTROLIND,2026-02-17 09:38:00,187.2,187.48,187.05,187.32,18144,DHAN_HISTORY,2026-03-15 16:37:51
CASTROLIND,2026-02-17 09:39:00,187.33,187.49,187.17,187.29,5263,DHAN_HISTORY,2026-03-15 16:37:51
CASTROLIND,2026-02-17 09:40:00,187.31,187.41,187.2,187.35,901,DHAN_HISTORY,2026-03-15 16:37:51
CASTROLIND,2026-02-17 09:41:00,187.35,187.37,187.2,187.23,2280,DHAN_HISTORY,2026-03-15 16:37:51
