symbol,timestamp,open,high,low,close,volume,source,last_updated
COROMANDEL,2026-02-03 09:15:00,2245.1,2259.9,2235.0,2251.8,4632,DHAN_HISTORY,2026-03-15 17:50:02
COROMANDEL,2026-02-03 09:16:00,2254.1,2264.5,2248.2,2248.2,1152,DHAN_HISTORY,2026-03-15 17:50:02
COROMANDEL,2026-02-03 09:17:00,2242.6,2247.2,2237.2,2244.9,1163,DHAN_HISTORY,2026-03-15 17:50:02
COROMANDEL,2026-02-03 09:18:00,2246.9,2246.9,2240.9,2241.0,720,DHAN_HISTORY,2026-03-15 17:50:02
COROMANDEL,2026-02-03 09:19:00,2241.5,2242.9,2241.0,2242.9,1281,DHAN_HISTORY,2026-03-15 17:50:02
COROMANDEL,2026-02-03 09:20:00,2242.9,2244.4,2235.5,2240.0,831,DHAN_HISTORY,2026-03-15 17:50:02
COROMANDEL,2026-02-03 09:21:00,2240.0,2243.3,2240.0,2242.7,638,DHAN_HISTORY,2026-03-15 17:50:02
COROMANDEL,2026-02-03 09:22:00,2244.3,2249.9,2242.7,2246.7,973,DHAN_HISTORY,2026-03-15 17:50:02
COROMANDEL,2026-02-03 09:23:00,2246.7,2247.8,2236.0,2236.0,503,DHAN_HISTORY,2026-03-15 17:50:02
COROMANDEL,2026-02-03 09:24:00,2236.0,2237.8,2235.0,2235.0,585,DHAN_HISTORY,2026-03-15 17:50:02
COROMANDEL,2026-02-03 09:25:00,2236.9,2236.9,2233.4,2234.6,144,DHAN_HISTORY,2026-03-15 17:50:02
COROMANDEL,2026-02-03 09:26:00,2234.7,2235.0,2233.5,2234.1,462,DHAN_HISTORY,2026-03-15 17:50:02
COROMANDEL,2026-02-03 09:27:00,2232.1,2233.1,2229.4,2233.1,420,DHAN_HISTORY,2026-03-15 17:50:02
COROMANDEL,2026-02-03 09:28:00,2231.6,2233.6,2231.2,2232.8,163,DHAN_HISTORY,2026-03-15 17:50:02
COROMANDEL,2026-02-03 09:29:00,2230.7,2232.0,2227.7,2227.7,142,DHAN_HISTORY,2026-03-15 17:50:02
COROMANDEL,2026-02-03 09:30:00,2229.3,2229.3,2227.0,2228.8,83,DHAN_HISTORY,2026-03-15 17:50:02
COROMANDEL,2026-02-03 09:31:00,2228.8,2230.9,2228.8,2230.9,720,DHAN_HISTORY,2026-03-15 17:50:02
COROMANDEL,2026-02-03 09:32:00,2229.0,2229.6,2227.6,2229.5,129,DHAN_HISTORY,2026-03-15 17:50:02
COROMANDEL,2026-02-03 09:33:00,2227.4,2231.0,2225.2,2226.0,673,DHAN_HISTORY,2026-03-15 17:50:02
COROMANDEL,2026-02-03 09:34:00,2222.0,2222.7,2221.2,2222.7,601,DHAN_HISTORY,2026-03-15 17:50:02
COROMANDEL,2026-02-03 09:35:00,2222.7,2222.7,2220.0,2220.0,229,DHAN_HISTORY,2026-03-15 17:50:02
COROMANDEL,2026-02-03 09:36:00,2220.0,2222.7,2219.4,2221.5,364,DHAN_HISTORY,2026-03-15 17:50:02
COROMANDEL,2026-02-03 09:37:00,2222.7,2222.7,2219.5,2220.4,265,DHAN_HISTORY,2026-03-15 17:50:02
COROMANDEL,2026-02-03 09:38:00,2218.0,2228.9,2217.7,2227.4,495,DHAN_HISTORY,2026-03-15 17:50:02
COROMANDEL,2026-02-03 09:39:00,2226.7,2228.9,2223.2,2223.2,581,DHAN_HISTORY,2026-03-15 17:50:02
COROMANDEL,2026-02-03 09:40:00,2222.0,2224.8,2222.0,2223.1,204,DHAN_HISTORY,2026-03-15 17:50:02
COROMANDEL,2026-02-03 09:41:00,2222.0,2225.0,2220.8,2222.7,334,DHAN_HISTORY,2026-03-15 17:50:02
COROMANDEL,2026-02-03 09:42:00,2222.2,2223.3,2220.8,2223.0,311,DHAN_HISTORY,2026-03-15 17:50:02
COROMANDEL,2026-02-03 09:43:00,2221.9,2221.9,2220.3,2221.0,372,DHAN_HISTORY,2026-03-15 17:50:02
COROMANDEL,2026-02-03 09:44:00,2221.0,2230.0,2221.0,2229.1,777,DHAN_HISTORY,2026-03-15 17:50:02
COROMANDEL,2026-02-03 09:45:00,2227.7,2230.5,2227.7,2230.5,137,DHAN_HISTORY,2026-03-15 17:50:02
COROMANDEL,2026-02-03 09:46:00,2226.6,2230.4,2224.3,2230.2,460,DHAN_HISTORY,2026-03-15 17:50:02
COROMANDEL,2026-02-03 09:47:00,2231.7,2233.8,2229.7,2233.7,391,DHAN_HISTORY,2026-03-15 17:50:02
COROMANDEL,2026-02-03 09:48:00,2231.5,2234.5,2231.1,2231.1,291,DHAN_HISTORY,2026-03-15 17:50:02
COROMANDEL,2026-02-03 09:49:00,2231.1,2233.7,2231.1,2233.6,227,DHAN_HISTORY,2026-03-15 17:50:02
COROMANDEL,2026-02-03 09:50:00,2233.7,2233.7,2230.0,2232.8,273,DHAN_HISTORY,2026-03-15 17:50:02
