symbol,timestamp,open,high,low,close,volume,source,last_updated
CUMMINSIND,2025-11-12 09:15:00,4420.0,4423.9,4400.0,4400.0,3361,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 09:16:00,4401.8,4404.7,4391.7,4399.8,3131,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 09:17:00,4399.8,4401.7,4396.0,4397.8,906,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 09:18:00,4398.0,4402.0,4398.0,4401.0,499,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 09:19:00,4399.1,4402.3,4392.4,4394.4,1754,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 09:20:00,4394.4,4400.0,4391.5,4396.6,4616,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 09:21:00,4394.3,4401.1,4391.2,4396.2,2557,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 09:22:00,4398.5,4398.5,4391.2,4392.3,819,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 09:23:00,4392.3,4395.5,4379.8,4382.0,4999,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 09:24:00,4383.5,4388.4,4380.4,4383.3,1516,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 09:25:00,4383.6,4385.5,4380.4,4382.4,1405,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 09:26:00,4383.1,4383.9,4380.0,4380.0,1199,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 09:27:00,4378.5,4381.2,4375.6,4381.2,832,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 09:28:00,4380.9,4383.9,4375.1,4377.1,889,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 09:29:00,4377.8,4381.8,4377.8,4380.2,592,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 09:30:00,4380.0,4382.9,4380.0,4382.9,393,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 09:31:00,4382.9,4385.2,4382.6,4384.9,448,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 09:32:00,4385.0,4385.0,4380.0,4381.9,1002,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 09:33:00,4380.1,4380.2,4370.0,4373.4,3782,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 09:34:00,4373.4,4376.5,4372.0,4376.5,369,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 09:35:00,4373.7,4377.6,4371.7,4377.6,1751,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 09:36:00,4379.2,4379.2,4374.4,4375.8,838,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 09:37:00,4375.6,4382.9,4375.3,4382.9,248,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 09:38:00,4383.0,4389.7,4383.0,4389.4,830,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 09:39:00,4390.2,4390.2,4385.0,4385.0,825,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 09:40:00,4385.2,4388.1,4384.3,4386.1,1026,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 09:41:00,4386.1,4392.7,4385.3,4392.7,919,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 09:42:00,4392.7,4395.0,4390.6,4395.0,843,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 09:43:00,4395.0,4399.0,4394.3,4398.1,2724,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 09:44:00,4397.4,4399.0,4396.0,4397.7,567,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 09:45:00,4397.2,4400.0,4397.0,4398.5,2510,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 09:46:00,4398.4,4402.7,4396.5,4402.0,2717,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 09:47:00,4400.2,4403.8,4400.2,4403.3,870,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 09:48:00,4403.3,4404.0,4401.0,4402.3,1103,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 09:49:00,4403.1,4403.1,4399.2,4402.0,1085,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 09:50:00,4401.6,4402.3,4400.2,4402.1,671,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 09:51:00,4402.1,4403.9,4401.0,4403.0,700,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 09:52:00,4402.4,4404.0,4400.6,4400.9,1756,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 09:53:00,4400.9,4403.0,4400.9,4400.9,360,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 09:54:00,4400.9,4405.0,4398.3,4398.3,2713,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 09:55:00,4400.6,4403.3,4398.8,4401.5,1003,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 09:56:00,4401.5,4401.5,4396.0,4396.0,406,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 09:57:00,4396.0,4396.0,4390.6,4394.2,1381,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 09:58:00,4394.2,4394.2,4389.7,4392.3,1667,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 09:59:00,4392.4,4398.0,4390.6,4391.0,827,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 10:00:00,4392.0,4395.3,4390.3,4394.1,631,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 10:01:00,4392.5,4394.6,4392.5,4394.2,40,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 10:02:00,4394.2,4396.0,4393.9,4393.9,168,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 10:03:00,4392.7,4394.8,4386.2,4388.5,1685,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 10:04:00,4387.7,4392.8,4386.0,4386.0,531,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 10:05:00,4385.5,4393.4,4385.5,4389.0,806,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 10:06:00,4390.1,4392.0,4389.3,4390.4,608,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 10:07:00,4391.8,4392.0,4390.4,4391.5,243,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 10:08:00,4394.5,4395.7,4393.7,4394.3,757,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 10:09:00,4394.3,4395.4,4390.6,4395.4,579,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 10:10:00,4394.7,4397.7,4392.5,4394.2,693,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 10:11:00,4394.2,4399.4,4394.2,4398.7,788,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 10:12:00,4396.4,4398.5,4395.0,4396.0,183,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 10:13:00,4396.2,4397.3,4396.2,4396.7,21,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 10:14:00,4396.0,4399.3,4396.0,4399.3,315,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 10:15:00,4397.5,4399.2,4397.5,4398.5,248,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 10:16:00,4398.5,4400.9,4398.0,4400.0,619,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 10:17:00,4400.0,4401.8,4399.7,4400.4,261,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 10:18:00,4399.0,4402.5,4399.0,4400.4,303,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 10:19:00,4401.7,4404.4,4401.7,4404.3,665,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 10:20:00,4403.0,4404.0,4403.0,4404.0,378,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 10:21:00,4404.0,4405.0,4403.1,4403.2,195,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 10:22:00,4403.3,4405.7,4403.3,4405.7,349,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 10:23:00,4404.2,4406.4,4404.2,4406.4,29,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 10:24:00,4406.4,4406.4,4406.4,4406.4,141,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 10:25:00,4406.1,4409.3,4406.1,4407.7,545,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 10:26:00,4409.5,4410.8,4408.7,4410.3,158,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 10:27:00,4409.4,4409.4,4408.0,4408.0,894,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 10:28:00,4408.7,4408.7,4406.4,4406.4,352,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 10:29:00,4408.7,4409.3,4408.0,4408.3,204,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 10:30:00,4408.7,4410.0,4408.7,4410.0,1097,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 10:31:00,4410.0,4420.9,4410.0,4416.4,5033,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 10:32:00,4420.5,4420.5,4413.2,4415.6,959,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 10:33:00,4414.7,4418.2,4413.7,4416.9,1626,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 10:34:00,4417.5,4419.6,4416.9,4419.1,438,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 10:35:00,4418.0,4419.0,4415.5,4417.5,928,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 10:36:00,4416.1,4417.5,4416.1,4416.1,621,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 10:37:00,4416.1,4418.3,4416.1,4418.3,171,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 10:38:00,4417.8,4419.0,4414.5,4415.9,274,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 10:39:00,4415.0,4415.9,4414.3,4415.2,90,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 10:40:00,4410.1,4412.8,4410.1,4410.3,948,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 10:41:00,4411.0,4411.0,4410.1,4411.0,157,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 10:42:00,4410.1,4412.4,4410.0,4410.9,366,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 10:43:00,4410.3,4411.0,4410.3,4410.7,83,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 10:44:00,4410.7,4412.4,4410.0,4411.0,251,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 10:45:00,4410.3,4412.4,4408.1,4409.7,654,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 10:46:00,4408.8,4408.8,4403.7,4406.0,662,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 10:47:00,4406.7,4406.7,4406.1,4406.3,190,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 10:48:00,4406.0,4406.3,4404.0,4406.2,149,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 10:49:00,4406.2,4406.2,4403.3,4405.5,201,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 10:50:00,4405.5,4405.5,4403.8,4405.2,19,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 10:51:00,4403.8,4405.2,4395.8,4401.9,5568,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 10:52:00,4400.2,4403.2,4400.2,4402.9,63,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 10:53:00,4402.9,4404.2,4401.7,4404.2,55,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 10:54:00,4402.8,4403.7,4402.8,4403.5,9,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 10:55:00,4403.5,4403.5,4402.8,4403.4,229,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 10:56:00,4403.4,4403.4,4397.4,4397.4,720,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 10:57:00,4400.0,4400.0,4396.0,4398.8,197,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 10:58:00,4396.8,4398.8,4396.5,4396.5,655,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 10:59:00,4398.9,4399.8,4392.8,4396.4,3225,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 11:00:00,4398.0,4404.0,4396.8,4401.8,2180,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 11:01:00,4401.6,4403.0,4401.2,4403.0,181,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 11:02:00,4403.0,4409.3,4402.8,4408.3,712,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 11:03:00,4406.1,4409.9,4405.2,4409.9,516,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 11:04:00,4409.9,4415.0,4409.5,4415.0,568,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 11:05:00,4416.3,4416.4,4412.4,4413.7,437,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 11:06:00,4414.4,4416.1,4412.3,4416.0,840,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 11:07:00,4416.0,4416.0,4409.7,4415.3,1067,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 11:08:00,4413.7,4415.6,4413.3,4415.6,591,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 11:09:00,4415.6,4416.7,4414.1,4416.1,1694,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 11:10:00,4416.2,4416.8,4410.3,4411.7,2123,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 11:11:00,4412.4,4414.1,4411.2,4414.1,247,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 11:12:00,4414.1,4417.9,4413.0,4414.1,1540,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 11:13:00,4416.1,4416.1,4409.6,4411.8,1537,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 11:14:00,4411.8,4411.8,4402.1,4404.9,6512,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 11:15:00,4403.1,4404.9,4398.7,4404.0,4668,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 11:16:00,4404.0,4404.0,4395.2,4396.3,1657,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 11:17:00,4396.2,4396.2,4393.4,4394.5,2911,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 11:18:00,4396.2,4399.3,4396.0,4399.0,317,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 11:19:00,4399.0,4399.0,4388.2,4388.2,6881,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 11:20:00,4388.2,4391.2,4388.2,4391.2,443,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 11:21:00,4391.2,4391.2,4382.4,4384.4,10030,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 11:22:00,4384.3,4385.7,4382.4,4384.6,1718,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 11:23:00,4384.6,4384.9,4380.0,4381.1,2630,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 11:24:00,4382.0,4383.2,4380.4,4381.7,1593,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 11:25:00,4380.7,4382.0,4379.7,4382.0,1767,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 11:26:00,4382.0,4382.0,4381.1,4381.9,1151,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 11:27:00,4381.9,4382.7,4381.3,4381.8,378,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 11:28:00,4381.8,4381.8,4378.5,4378.8,1808,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 11:29:00,4380.0,4381.9,4375.8,4375.8,901,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 11:30:00,4377.6,4377.6,4375.1,4377.5,181,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 11:31:00,4378.4,4383.8,4378.4,4382.0,2768,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 11:32:00,4382.0,4382.7,4380.9,4381.9,1207,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 11:33:00,4381.9,4382.0,4381.6,4381.9,624,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 11:34:00,4382.1,4392.4,4381.3,4392.4,18134,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 11:35:00,4392.4,4393.5,4383.4,4386.5,1354,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 11:36:00,4384.4,4386.4,4384.2,4386.0,184,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 11:37:00,4386.0,4386.0,4385.4,4386.0,203,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 11:38:00,4386.0,4386.0,4381.7,4384.3,366,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 11:39:00,4384.3,4384.6,4382.3,4384.5,152,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 11:40:00,4384.5,4384.6,4378.3,4378.7,805,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 11:41:00,4380.0,4380.4,4378.1,4379.8,12387,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 11:42:00,4380.0,4381.4,4379.8,4379.9,7209,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 11:43:00,4379.9,4380.0,4378.0,4378.0,543,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 11:44:00,4378.3,4379.8,4378.2,4379.1,740,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 11:45:00,4380.0,4380.0,4378.6,4378.6,1022,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 11:46:00,4379.2,4381.3,4379.1,4379.2,1966,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 11:47:00,4379.0,4380.0,4378.1,4379.7,1696,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 11:48:00,4380.0,4391.8,4379.8,4386.3,3652,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 11:49:00,4385.8,4386.5,4384.0,4386.5,1375,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 11:50:00,4386.0,4386.5,4385.3,4386.3,467,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 11:51:00,4386.3,4386.5,4385.6,4386.4,1644,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 11:52:00,4386.5,4386.5,4386.4,4386.4,119,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 11:53:00,4386.2,4388.3,4385.1,4386.0,864,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 11:54:00,4386.0,4386.5,4385.0,4385.0,1283,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 11:55:00,4385.4,4388.9,4385.2,4388.0,3004,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 11:56:00,4390.2,4394.8,4390.2,4394.7,1021,DHAN_HISTORY,2026-03-15 18:02:20
CUMMINSIND,2025-11-12 11:57:00,4394.8,4394.8,4386.9,4390.4,2037,DHAN_HISTORY,2026-03-15 18:02:20
