symbol,timestamp,open,high,low,close,volume,source,last_updated
CUPID,2025-11-26 09:15:00,67.2,67.85,67.15,67.8,150380,DHAN_HISTORY,2026-03-15 16:38:22
CUPID,2025-11-26 09:16:00,67.8,67.8,67.6,67.65,45220,DHAN_HISTORY,2026-03-15 16:38:22
CUPID,2025-11-26 09:17:00,67.6,67.6,67.5,67.55,41935,DHAN_HISTORY,2026-03-15 16:38:22
CUPID,2025-11-26 09:18:00,67.55,67.55,67.4,67.5,37505,DHAN_HISTORY,2026-03-15 16:38:22
CUPID,2025-11-26 09:19:00,67.4,67.5,67.4,67.5,65470,DHAN_HISTORY,2026-03-15 16:38:22
CUPID,2025-11-26 09:20:00,67.45,67.75,67.35,67.65,122030,DHAN_HISTORY,2026-03-15 16:38:22
CUPID,2025-11-26 09:21:00,67.75,67.75,67.45,67.45,139005,DHAN_HISTORY,2026-03-15 16:38:22
CUPID,2025-11-26 09:22:00,67.45,67.55,67.4,67.45,23055,DHAN_HISTORY,2026-03-15 16:38:22
CUPID,2025-11-26 09:23:00,67.45,67.45,67.35,67.35,40770,DHAN_HISTORY,2026-03-15 16:38:22
CUPID,2025-11-26 09:24:00,67.4,67.4,67.35,67.35,12930,DHAN_HISTORY,2026-03-15 16:38:22
CUPID,2025-11-26 09:25:00,67.35,67.35,67.3,67.3,23815,DHAN_HISTORY,2026-03-15 16:38:22
CUPID,2025-11-26 09:26:00,67.35,67.35,67.3,67.3,8535,DHAN_HISTORY,2026-03-15 16:38:22
CUPID,2025-11-26 09:27:00,67.3,67.3,67.25,67.3,40810,DHAN_HISTORY,2026-03-15 16:38:22
CUPID,2025-11-26 09:28:00,67.3,67.3,67.2,67.25,61260,DHAN_HISTORY,2026-03-15 16:38:22
CUPID,2025-11-26 09:29:00,67.2,67.2,67.15,67.15,62980,DHAN_HISTORY,2026-03-15 16:38:22
CUPID,2025-11-26 09:30:00,67.15,67.15,67.15,67.15,13175,DHAN_HISTORY,2026-03-15 16:38:22
CUPID,2025-11-26 09:31:00,67.15,67.15,67.1,67.1,18965,DHAN_HISTORY,2026-03-15 16:38:22
CUPID,2025-11-26 09:32:00,67.1,67.15,67.1,67.1,7235,DHAN_HISTORY,2026-03-15 16:38:22
CUPID,2025-11-26 09:33:00,67.1,67.15,67.05,67.1,21765,DHAN_HISTORY,2026-03-15 16:38:22
CUPID,2025-11-26 09:34:00,67.0,67.1,66.9,67.05,99265,DHAN_HISTORY,2026-03-15 16:38:22
CUPID,2025-11-26 09:35:00,67.1,67.3,67.1,67.25,26025,DHAN_HISTORY,2026-03-15 16:38:22
CUPID,2025-11-26 09:36:00,67.25,67.25,67.2,67.2,22670,DHAN_HISTORY,2026-03-15 16:38:22
CUPID,2025-11-26 09:37:00,67.2,67.25,67.2,67.25,4135,DHAN_HISTORY,2026-03-15 16:38:22
CUPID,2025-11-26 09:38:00,67.25,67.3,67.25,67.25,14085,DHAN_HISTORY,2026-03-15 16:38:22
CUPID,2025-11-26 09:39:00,67.25,67.4,67.25,67.3,15000,DHAN_HISTORY,2026-03-15 16:38:22
CUPID,2025-11-26 09:40:00,67.25,67.3,67.25,67.3,18450,DHAN_HISTORY,2026-03-15 16:38:22
CUPID,2025-11-26 09:41:00,67.25,67.35,67.25,67.35,20165,DHAN_HISTORY,2026-03-15 16:38:22
CUPID,2025-11-26 09:42:00,67.4,67.4,67.3,67.35,69570,DHAN_HISTORY,2026-03-15 16:38:22
CUPID,2025-11-26 09:43:00,67.35,67.4,67.35,67.4,14775,DHAN_HISTORY,2026-03-15 16:38:22
