symbol,timestamp,open,high,low,close,volume,source,last_updated
DABUR,2025-12-30 09:15:00,489.4,489.9,487.2,487.9,11826,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 09:16:00,487.95,489.05,487.85,488.05,9530,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 09:17:00,487.8,488.9,487.6,488.85,5035,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 09:18:00,488.5,488.8,488.05,488.45,3273,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 09:19:00,488.45,488.7,488.05,488.15,621,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 09:20:00,488.15,488.45,488.05,488.05,339,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 09:21:00,488.1,488.3,488.05,488.3,642,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 09:22:00,488.05,488.45,488.05,488.45,1663,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 09:23:00,488.1,488.55,488.1,488.2,739,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 09:24:00,488.1,488.5,488.05,488.15,1461,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 09:25:00,488.15,488.4,488.1,488.4,136,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 09:26:00,488.1,488.4,488.05,488.05,276,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 09:27:00,488.05,488.1,487.6,487.7,1099,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 09:28:00,487.95,487.95,487.5,487.55,238,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 09:29:00,487.55,487.55,487.05,487.1,2502,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 09:30:00,487.3,487.3,487.05,487.2,492,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 09:31:00,487.2,487.55,487.0,487.4,1955,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 09:32:00,487.2,487.35,487.1,487.35,196,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 09:33:00,487.1,487.55,487.1,487.55,677,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 09:34:00,487.55,487.75,487.55,487.75,1688,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 09:35:00,487.6,488.25,487.55,488.25,2046,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 09:36:00,487.95,488.45,487.95,488.2,919,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 09:37:00,488.25,488.25,488.0,488.0,142,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 09:38:00,487.9,488.15,487.75,488.0,190,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 09:39:00,488.2,488.5,488.1,488.45,1764,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 09:40:00,488.4,488.4,488.1,488.1,239,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 09:41:00,488.35,488.35,488.0,488.0,77,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 09:42:00,488.0,488.5,488.0,488.4,3217,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 09:43:00,488.6,488.9,488.6,488.9,1692,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 09:44:00,488.9,489.0,488.85,488.85,718,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 09:45:00,488.8,488.95,488.65,488.8,160,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 09:46:00,488.65,488.8,488.55,488.55,61,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 09:47:00,488.55,488.75,488.5,488.5,132,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 09:48:00,488.5,488.7,488.3,488.3,1265,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 09:49:00,488.3,488.5,488.3,488.5,79,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 09:50:00,488.3,488.5,488.2,488.5,325,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 09:51:00,488.3,488.5,488.3,488.5,641,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 09:52:00,488.5,488.5,488.3,488.5,188,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 09:53:00,488.5,488.5,488.3,488.5,324,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 09:54:00,488.5,488.5,488.35,488.35,68,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 09:55:00,488.3,488.35,488.05,488.35,918,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 09:56:00,488.4,488.45,488.1,488.45,1228,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 09:57:00,488.35,488.4,488.2,488.2,297,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 09:58:00,488.35,488.7,488.2,488.55,995,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 09:59:00,488.7,488.7,488.4,488.4,54,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 10:00:00,488.65,488.7,488.4,488.7,716,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 10:01:00,488.65,488.7,488.4,488.5,697,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 10:02:00,488.4,489.25,488.4,489.25,4115,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 10:03:00,489.25,489.35,489.15,489.35,1428,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 10:04:00,489.35,489.55,489.35,489.5,3084,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 10:05:00,489.55,489.7,489.5,489.7,2058,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 10:06:00,489.75,489.75,489.15,489.4,5760,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 10:07:00,489.4,489.4,489.05,489.3,2078,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 10:08:00,489.35,489.5,489.0,489.5,9192,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 10:09:00,489.8,490.5,489.6,490.4,34036,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 10:10:00,490.5,490.5,490.15,490.15,481,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 10:11:00,490.15,490.3,489.95,490.05,2090,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 10:12:00,490.05,490.25,490.05,490.25,286,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 10:13:00,490.25,490.25,490.05,490.15,195,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 10:14:00,490.25,490.25,489.7,489.7,2215,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 10:15:00,489.65,489.95,489.6,489.95,3184,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 10:16:00,489.75,490.45,489.75,490.45,5189,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 10:17:00,490.45,490.7,490.45,490.7,2279,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 10:18:00,490.55,490.95,490.5,490.55,2749,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 10:19:00,490.75,490.8,490.5,490.6,1935,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 10:20:00,490.5,490.75,490.5,490.5,1571,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 10:21:00,490.8,490.8,490.25,490.25,1383,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 10:22:00,490.3,490.5,490.3,490.5,875,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 10:23:00,490.5,490.85,490.3,490.5,7159,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 10:24:00,490.55,490.7,490.4,490.65,3822,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 10:25:00,490.7,490.75,490.4,490.45,508,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 10:26:00,490.55,490.6,490.3,490.6,1391,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 10:27:00,490.3,490.55,490.3,490.5,1056,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 10:28:00,490.5,490.5,490.3,490.3,710,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 10:29:00,490.35,490.35,489.65,490.0,5377,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 10:30:00,490.1,490.3,489.95,490.05,1382,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 10:31:00,490.0,490.2,489.8,489.8,555,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 10:32:00,489.85,490.1,489.85,490.05,235,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 10:33:00,490.0,490.05,489.85,490.0,710,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 10:34:00,489.9,490.0,489.9,490.0,299,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 10:35:00,489.9,490.05,489.85,489.9,518,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 10:36:00,489.9,490.05,489.9,490.0,316,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 10:37:00,490.0,490.05,489.8,489.85,736,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 10:38:00,489.9,489.95,489.55,489.6,3553,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 10:39:00,489.95,490.0,489.6,489.85,437,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 10:40:00,489.85,490.1,489.8,490.1,774,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 10:41:00,490.1,490.3,489.85,490.25,2424,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 10:42:00,489.95,490.0,489.85,489.85,606,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 10:43:00,489.8,490.0,489.75,490.0,486,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 10:44:00,489.95,489.95,489.8,489.95,369,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 10:45:00,489.95,490.0,489.75,489.75,3179,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 10:46:00,489.75,489.85,489.5,489.8,959,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 10:47:00,489.8,489.8,489.5,489.6,1378,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 10:48:00,489.35,489.55,489.2,489.45,1089,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 10:49:00,489.25,489.6,488.95,489.35,10137,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 10:50:00,489.5,489.5,489.25,489.25,388,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 10:51:00,489.2,489.5,489.2,489.3,2349,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 10:52:00,489.25,489.45,489.05,489.2,1094,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 10:53:00,489.05,489.25,488.95,489.25,1024,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 10:54:00,489.0,489.25,488.95,489.0,1161,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 10:55:00,489.0,489.25,488.95,489.05,852,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 10:56:00,489.15,489.35,489.0,489.25,4718,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 10:57:00,489.05,489.25,489.0,489.0,168,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 10:58:00,488.95,489.1,488.75,488.95,1212,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 10:59:00,488.95,488.95,488.7,488.95,2127,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 11:00:00,488.95,489.4,488.8,489.4,2033,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 11:01:00,489.05,489.35,489.0,489.05,200,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 11:02:00,489.3,489.35,489.15,489.3,315,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 11:03:00,489.05,489.25,488.95,489.0,351,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 11:04:00,489.25,489.25,489.0,489.15,203,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 11:05:00,489.0,489.35,489.0,489.3,676,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 11:06:00,489.2,489.35,489.05,489.05,1892,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 11:07:00,489.3,489.3,489.05,489.15,650,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 11:08:00,488.95,489.2,488.95,489.15,251,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 11:09:00,489.05,489.15,489.0,489.1,187,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 11:10:00,489.0,489.0,488.75,488.9,729,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 11:11:00,488.75,488.75,488.45,488.5,840,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 11:12:00,488.5,488.65,488.4,488.4,446,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 11:13:00,488.4,488.6,488.4,488.6,732,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 11:14:00,488.6,488.6,488.4,488.4,279,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 11:15:00,488.35,488.6,488.15,488.55,2174,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 11:16:00,488.55,488.55,488.3,488.3,345,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 11:17:00,488.45,488.55,488.25,488.4,984,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 11:18:00,488.35,488.65,488.35,488.65,581,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 11:19:00,488.8,488.85,488.45,488.75,174,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 11:20:00,488.75,488.75,488.35,488.45,292,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 11:21:00,488.4,488.6,488.35,488.6,265,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 11:22:00,488.4,488.6,488.4,488.55,154,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 11:23:00,488.4,488.5,488.4,488.45,372,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 11:24:00,488.5,488.8,488.45,488.5,2590,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 11:25:00,488.7,488.7,488.55,488.7,31,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 11:26:00,488.65,488.75,488.65,488.75,416,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 11:27:00,488.65,488.8,488.65,488.8,244,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 11:28:00,488.8,488.85,488.8,488.85,182,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 11:29:00,488.85,488.85,488.55,488.55,2540,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 11:30:00,488.7,488.7,488.35,488.5,310,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 11:31:00,488.5,488.6,488.35,488.5,213,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 11:32:00,488.5,488.6,488.5,488.5,451,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 11:33:00,488.6,488.7,488.5,488.5,273,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 11:34:00,488.75,488.75,488.5,488.7,300,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 11:35:00,488.7,488.7,488.5,488.7,28,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 11:36:00,488.8,488.8,488.5,488.55,574,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 11:37:00,488.5,488.85,488.5,488.7,366,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 11:38:00,488.8,488.8,488.5,488.5,171,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 11:39:00,488.5,489.3,488.5,489.0,2992,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 11:40:00,489.1,489.2,489.0,489.2,37,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 11:41:00,489.2,489.35,489.0,489.0,1285,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 11:42:00,489.25,489.25,489.05,489.05,50,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 11:43:00,489.05,489.25,489.0,489.25,296,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 11:44:00,489.05,489.25,489.0,489.25,1158,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 11:45:00,489.25,489.25,489.05,489.05,60,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 11:46:00,489.1,489.25,489.1,489.1,66,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 11:47:00,489.25,489.25,489.0,489.25,350,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 11:48:00,489.05,489.25,489.0,489.25,87,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 11:49:00,489.05,489.25,489.0,489.05,55,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 11:50:00,489.05,489.25,489.0,489.0,62,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 11:51:00,489.0,489.2,489.0,489.05,101,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 11:52:00,489.0,489.2,489.0,489.1,203,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 11:53:00,489.2,489.2,489.1,489.1,280,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 11:54:00,489.1,489.2,489.0,489.0,96,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 11:55:00,489.0,489.2,489.0,489.15,108,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 11:56:00,489.15,489.2,489.0,489.2,1593,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 11:57:00,489.0,489.2,489.0,489.2,8373,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 11:58:00,489.2,489.2,489.0,489.1,767,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 11:59:00,489.2,489.2,489.0,489.05,78,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 12:00:00,489.0,489.15,489.0,489.0,246,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 12:01:00,489.0,489.15,489.0,489.0,69,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 12:02:00,489.15,489.15,489.0,489.0,362,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 12:03:00,489.0,489.15,489.0,489.0,188,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 12:04:00,489.0,489.15,489.0,489.15,354,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 12:05:00,489.15,489.15,489.0,489.0,635,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 12:06:00,489.15,489.15,489.0,489.0,306,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 12:07:00,489.1,489.1,489.0,489.05,280,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 12:08:00,489.15,489.15,489.0,489.0,255,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 12:09:00,489.0,489.15,489.0,489.15,42,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 12:10:00,489.05,489.15,489.0,489.15,328,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 12:11:00,489.15,489.15,489.0,489.0,41,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 12:12:00,489.05,490.2,489.05,490.2,8131,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 12:13:00,490.0,490.15,489.95,490.0,1707,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 12:14:00,490.05,490.1,489.8,490.0,3635,DHAN_HISTORY,2026-03-15 18:02:45
DABUR,2025-12-30 12:15:00,490.0,490.1,489.95,490.0,2101,DHAN_HISTORY,2026-03-15 18:02:45
