symbol,timestamp,open,high,low,close,volume,source,last_updated
DBREALTY,2025-10-15 09:15:00,153.85,153.9,153.17,153.81,4636,DHAN_HISTORY,2026-03-15 16:38:35
DBREALTY,2025-10-15 09:16:00,153.75,154.5,153.51,153.81,8188,DHAN_HISTORY,2026-03-15 16:38:35
DBREALTY,2025-10-15 09:17:00,153.81,153.91,153.71,153.71,1139,DHAN_HISTORY,2026-03-15 16:38:35
DBREALTY,2025-10-15 09:18:00,153.9,154.09,153.9,153.98,275,DHAN_HISTORY,2026-03-15 16:38:35
DBREALTY,2025-10-15 09:19:00,154.23,154.23,153.71,153.88,3416,DHAN_HISTORY,2026-03-15 16:38:35
DBREALTY,2025-10-15 09:20:00,153.8,153.97,153.8,153.84,3530,DHAN_HISTORY,2026-03-15 16:38:35
DBREALTY,2025-10-15 09:21:00,153.71,153.88,153.54,153.7,1504,DHAN_HISTORY,2026-03-15 16:38:35
DBREALTY,2025-10-15 09:22:00,153.78,153.78,153.61,153.61,208,DHAN_HISTORY,2026-03-15 16:38:35
DBREALTY,2025-10-15 09:23:00,153.75,153.78,153.75,153.78,2353,DHAN_HISTORY,2026-03-15 16:38:35
DBREALTY,2025-10-15 09:24:00,153.86,153.95,153.86,153.95,27,DHAN_HISTORY,2026-03-15 16:38:35
DBREALTY,2025-10-15 09:25:00,153.95,154.0,153.85,153.85,914,DHAN_HISTORY,2026-03-15 16:38:35
DBREALTY,2025-10-15 09:26:00,153.68,153.86,153.44,153.44,4657,DHAN_HISTORY,2026-03-15 16:38:35
DBREALTY,2025-10-15 09:27:00,153.53,153.79,153.53,153.79,620,DHAN_HISTORY,2026-03-15 16:38:35
DBREALTY,2025-10-15 09:28:00,153.6,154.2,153.6,154.2,2004,DHAN_HISTORY,2026-03-15 16:38:35
DBREALTY,2025-10-15 09:29:00,153.97,153.97,153.89,153.89,458,DHAN_HISTORY,2026-03-15 16:38:35
DBREALTY,2025-10-15 09:30:00,153.78,154.1,153.78,153.95,1591,DHAN_HISTORY,2026-03-15 16:38:35
DBREALTY,2025-10-15 09:31:00,153.96,153.96,153.95,153.96,426,DHAN_HISTORY,2026-03-15 16:38:35
DBREALTY,2025-10-15 09:32:00,153.88,153.88,153.68,153.81,387,DHAN_HISTORY,2026-03-15 16:38:35
DBREALTY,2025-10-15 09:33:00,153.78,153.78,153.78,153.78,104,DHAN_HISTORY,2026-03-15 16:38:35
