symbol,timestamp,open,high,low,close,volume,source,last_updated
DIVISLAB,2026-03-10 09:15:00,6364.5,6429.5,6364.5,6423.5,3812,DHAN_HISTORY,2026-03-15 18:03:09
DIVISLAB,2026-03-10 09:16:00,6432.5,6439.5,6420.5,6439.5,2136,DHAN_HISTORY,2026-03-15 18:03:09
DIVISLAB,2026-03-10 09:17:00,6435.5,6479.0,6435.5,6457.0,14839,DHAN_HISTORY,2026-03-15 18:03:09
DIVISLAB,2026-03-10 09:18:00,6452.5,6468.5,6452.5,6464.0,3800,DHAN_HISTORY,2026-03-15 18:03:09
DIVISLAB,2026-03-10 09:19:00,6456.0,6463.5,6448.0,6449.5,1421,DHAN_HISTORY,2026-03-15 18:03:09
DIVISLAB,2026-03-10 09:20:00,6447.0,6456.0,6443.5,6450.5,3353,DHAN_HISTORY,2026-03-15 18:03:09
DIVISLAB,2026-03-10 09:21:00,6448.5,6450.5,6433.0,6440.0,586,DHAN_HISTORY,2026-03-15 18:03:09
DIVISLAB,2026-03-10 09:22:00,6438.5,6458.5,6438.5,6454.5,1383,DHAN_HISTORY,2026-03-15 18:03:09
DIVISLAB,2026-03-10 09:23:00,6454.5,6460.5,6450.5,6450.5,691,DHAN_HISTORY,2026-03-15 18:03:09
DIVISLAB,2026-03-10 09:24:00,6453.0,6453.0,6438.5,6451.5,3353,DHAN_HISTORY,2026-03-15 18:03:09
DIVISLAB,2026-03-10 09:25:00,6451.0,6458.0,6451.0,6454.5,1285,DHAN_HISTORY,2026-03-15 18:03:09
DIVISLAB,2026-03-10 09:26:00,6451.0,6465.0,6451.0,6457.0,1452,DHAN_HISTORY,2026-03-15 18:03:09
DIVISLAB,2026-03-10 09:27:00,6460.0,6463.5,6457.0,6457.5,2318,DHAN_HISTORY,2026-03-15 18:03:09
DIVISLAB,2026-03-10 09:28:00,6459.0,6459.0,6447.0,6447.0,180,DHAN_HISTORY,2026-03-15 18:03:09
DIVISLAB,2026-03-10 09:29:00,6450.0,6455.0,6446.5,6450.5,2585,DHAN_HISTORY,2026-03-15 18:03:09
DIVISLAB,2026-03-10 09:30:00,6452.5,6453.0,6439.0,6442.0,469,DHAN_HISTORY,2026-03-15 18:03:09
DIVISLAB,2026-03-10 09:31:00,6438.0,6438.0,6432.0,6437.5,522,DHAN_HISTORY,2026-03-15 18:03:09
DIVISLAB,2026-03-10 09:32:00,6439.5,6446.5,6436.5,6436.5,496,DHAN_HISTORY,2026-03-15 18:03:09
DIVISLAB,2026-03-10 09:33:00,6436.0,6449.5,6436.0,6445.5,791,DHAN_HISTORY,2026-03-15 18:03:09
DIVISLAB,2026-03-10 09:34:00,6446.0,6452.5,6446.0,6449.0,301,DHAN_HISTORY,2026-03-15 18:03:09
DIVISLAB,2026-03-10 09:35:00,6450.0,6450.0,6443.0,6443.0,450,DHAN_HISTORY,2026-03-15 18:03:09
DIVISLAB,2026-03-10 09:36:00,6443.5,6446.0,6433.5,6439.0,190,DHAN_HISTORY,2026-03-15 18:03:09
DIVISLAB,2026-03-10 09:37:00,6435.0,6445.5,6435.0,6442.0,1391,DHAN_HISTORY,2026-03-15 18:03:09
DIVISLAB,2026-03-10 09:38:00,6436.0,6436.0,6430.0,6433.5,271,DHAN_HISTORY,2026-03-15 18:03:09
DIVISLAB,2026-03-10 09:39:00,6434.0,6437.5,6434.0,6434.5,1006,DHAN_HISTORY,2026-03-15 18:03:09
DIVISLAB,2026-03-10 09:40:00,6433.0,6433.0,6412.0,6416.0,1518,DHAN_HISTORY,2026-03-15 18:03:09
DIVISLAB,2026-03-10 09:41:00,6415.0,6418.0,6414.0,6414.0,200,DHAN_HISTORY,2026-03-15 18:03:09
DIVISLAB,2026-03-10 09:42:00,6414.5,6423.0,6414.0,6418.5,388,DHAN_HISTORY,2026-03-15 18:03:09
DIVISLAB,2026-03-10 09:43:00,6420.0,6426.5,6414.5,6420.0,1024,DHAN_HISTORY,2026-03-15 18:03:09
DIVISLAB,2026-03-10 09:44:00,6424.5,6426.5,6422.0,6426.5,225,DHAN_HISTORY,2026-03-15 18:03:09
DIVISLAB,2026-03-10 09:45:00,6425.0,6426.5,6419.5,6422.0,486,DHAN_HISTORY,2026-03-15 18:03:09
DIVISLAB,2026-03-10 09:46:00,6422.0,6426.0,6422.0,6423.0,280,DHAN_HISTORY,2026-03-15 18:03:09
DIVISLAB,2026-03-10 09:47:00,6426.0,6433.5,6423.0,6426.5,1894,DHAN_HISTORY,2026-03-15 18:03:09
DIVISLAB,2026-03-10 09:48:00,6425.0,6430.5,6417.0,6427.0,617,DHAN_HISTORY,2026-03-15 18:03:09
DIVISLAB,2026-03-10 09:49:00,6424.0,6431.0,6421.5,6426.5,512,DHAN_HISTORY,2026-03-15 18:03:09
DIVISLAB,2026-03-10 09:50:00,6425.0,6426.5,6421.5,6421.5,271,DHAN_HISTORY,2026-03-15 18:03:09
DIVISLAB,2026-03-10 09:51:00,6420.5,6426.5,6420.0,6425.5,762,DHAN_HISTORY,2026-03-15 18:03:09
DIVISLAB,2026-03-10 09:52:00,6431.0,6437.5,6430.5,6437.5,1014,DHAN_HISTORY,2026-03-15 18:03:09
DIVISLAB,2026-03-10 09:53:00,6437.5,6439.0,6430.0,6439.0,1188,DHAN_HISTORY,2026-03-15 18:03:09
DIVISLAB,2026-03-10 09:54:00,6438.0,6448.5,6438.0,6447.5,1317,DHAN_HISTORY,2026-03-15 18:03:09
DIVISLAB,2026-03-10 09:55:00,6443.5,6444.0,6441.0,6443.0,277,DHAN_HISTORY,2026-03-15 18:03:09
DIVISLAB,2026-03-10 09:56:00,6444.0,6444.0,6434.0,6434.0,383,DHAN_HISTORY,2026-03-15 18:03:09
DIVISLAB,2026-03-10 09:57:00,6433.5,6438.0,6432.0,6436.5,1446,DHAN_HISTORY,2026-03-15 18:03:09
DIVISLAB,2026-03-10 09:58:00,6434.5,6434.5,6426.5,6426.5,101,DHAN_HISTORY,2026-03-15 18:03:09
DIVISLAB,2026-03-10 09:59:00,6429.0,6434.5,6427.0,6430.0,367,DHAN_HISTORY,2026-03-15 18:03:09
DIVISLAB,2026-03-10 10:00:00,6433.5,6433.5,6425.0,6425.0,259,DHAN_HISTORY,2026-03-15 18:03:09
DIVISLAB,2026-03-10 10:01:00,6425.0,6433.5,6425.0,6433.5,714,DHAN_HISTORY,2026-03-15 18:03:09
DIVISLAB,2026-03-10 10:02:00,6436.5,6447.5,6434.0,6443.5,1533,DHAN_HISTORY,2026-03-15 18:03:09
DIVISLAB,2026-03-10 10:03:00,6443.0,6443.0,6440.0,6440.5,92,DHAN_HISTORY,2026-03-15 18:03:09
DIVISLAB,2026-03-10 10:04:00,6438.0,6438.0,6434.0,6434.0,48,DHAN_HISTORY,2026-03-15 18:03:09
DIVISLAB,2026-03-10 10:05:00,6436.5,6436.5,6430.5,6432.0,14,DHAN_HISTORY,2026-03-15 18:03:09
DIVISLAB,2026-03-10 10:06:00,6430.0,6432.0,6428.0,6428.0,53,DHAN_HISTORY,2026-03-15 18:03:09
DIVISLAB,2026-03-10 10:07:00,6428.0,6428.0,6427.0,6428.0,153,DHAN_HISTORY,2026-03-15 18:03:09
DIVISLAB,2026-03-10 10:08:00,6427.0,6429.5,6427.0,6429.5,448,DHAN_HISTORY,2026-03-15 18:03:09
DIVISLAB,2026-03-10 10:09:00,6429.5,6430.0,6425.0,6429.5,221,DHAN_HISTORY,2026-03-15 18:03:09
DIVISLAB,2026-03-10 10:10:00,6427.5,6428.0,6425.0,6427.5,230,DHAN_HISTORY,2026-03-15 18:03:09
DIVISLAB,2026-03-10 10:11:00,6425.0,6427.0,6425.0,6425.0,422,DHAN_HISTORY,2026-03-15 18:03:09
DIVISLAB,2026-03-10 10:12:00,6425.0,6427.0,6425.0,6425.0,70,DHAN_HISTORY,2026-03-15 18:03:09
DIVISLAB,2026-03-10 10:13:00,6425.0,6425.5,6425.0,6425.5,63,DHAN_HISTORY,2026-03-15 18:03:09
DIVISLAB,2026-03-10 10:14:00,6425.0,6435.5,6425.0,6435.5,1133,DHAN_HISTORY,2026-03-15 18:03:09
DIVISLAB,2026-03-10 10:15:00,6435.5,6439.5,6431.5,6439.5,630,DHAN_HISTORY,2026-03-15 18:03:09
DIVISLAB,2026-03-10 10:16:00,6439.0,6441.0,6438.0,6441.0,282,DHAN_HISTORY,2026-03-15 18:03:09
DIVISLAB,2026-03-10 10:17:00,6441.0,6441.0,6435.0,6435.0,182,DHAN_HISTORY,2026-03-15 18:03:09
DIVISLAB,2026-03-10 10:18:00,6436.5,6436.5,6428.0,6432.5,430,DHAN_HISTORY,2026-03-15 18:03:09
DIVISLAB,2026-03-10 10:19:00,6431.5,6431.5,6426.5,6430.5,14,DHAN_HISTORY,2026-03-15 18:03:09
DIVISLAB,2026-03-10 10:20:00,6430.0,6434.0,6428.0,6434.0,311,DHAN_HISTORY,2026-03-15 18:03:09
DIVISLAB,2026-03-10 10:21:00,6436.0,6436.0,6431.0,6433.5,437,DHAN_HISTORY,2026-03-15 18:03:09
DIVISLAB,2026-03-10 10:22:00,6429.0,6435.0,6429.0,6434.0,482,DHAN_HISTORY,2026-03-15 18:03:09
DIVISLAB,2026-03-10 10:23:00,6433.0,6433.5,6433.0,6433.5,160,DHAN_HISTORY,2026-03-15 18:03:09
DIVISLAB,2026-03-10 10:24:00,6433.5,6435.5,6433.5,6435.5,522,DHAN_HISTORY,2026-03-15 18:03:09
DIVISLAB,2026-03-10 10:25:00,6435.0,6438.0,6435.0,6435.0,140,DHAN_HISTORY,2026-03-15 18:03:09
DIVISLAB,2026-03-10 10:26:00,6436.0,6436.0,6436.0,6436.0,53,DHAN_HISTORY,2026-03-15 18:03:09
DIVISLAB,2026-03-10 10:27:00,6433.5,6441.0,6433.5,6438.5,619,DHAN_HISTORY,2026-03-15 18:03:09
DIVISLAB,2026-03-10 10:28:00,6438.5,6441.5,6435.5,6439.5,495,DHAN_HISTORY,2026-03-15 18:03:09
DIVISLAB,2026-03-10 10:29:00,6441.0,6441.0,6440.5,6440.5,121,DHAN_HISTORY,2026-03-15 18:03:09
DIVISLAB,2026-03-10 10:30:00,6441.5,6449.0,6441.5,6446.0,890,DHAN_HISTORY,2026-03-15 18:03:09
DIVISLAB,2026-03-10 10:31:00,6448.0,6448.0,6446.0,6447.0,211,DHAN_HISTORY,2026-03-15 18:03:09
DIVISLAB,2026-03-10 10:32:00,6443.0,6446.0,6442.0,6443.5,403,DHAN_HISTORY,2026-03-15 18:03:09
DIVISLAB,2026-03-10 10:33:00,6442.0,6444.0,6440.0,6442.0,267,DHAN_HISTORY,2026-03-15 18:03:09
DIVISLAB,2026-03-10 10:34:00,6444.5,6444.5,6439.5,6439.5,116,DHAN_HISTORY,2026-03-15 18:03:09
DIVISLAB,2026-03-10 10:35:00,6440.0,6441.0,6440.0,6441.0,264,DHAN_HISTORY,2026-03-15 18:03:09
DIVISLAB,2026-03-10 10:36:00,6441.0,6443.0,6440.0,6441.5,428,DHAN_HISTORY,2026-03-15 18:03:09
DIVISLAB,2026-03-10 10:37:00,6440.0,6440.0,6433.5,6436.0,75,DHAN_HISTORY,2026-03-15 18:03:09
DIVISLAB,2026-03-10 10:38:00,6436.0,6445.0,6432.5,6441.0,646,DHAN_HISTORY,2026-03-15 18:03:09
DIVISLAB,2026-03-10 10:39:00,6444.5,6444.5,6441.5,6443.0,105,DHAN_HISTORY,2026-03-15 18:03:09
DIVISLAB,2026-03-10 10:40:00,6443.0,6443.0,6440.0,6442.0,240,DHAN_HISTORY,2026-03-15 18:03:09
DIVISLAB,2026-03-10 10:41:00,6442.0,6442.0,6437.5,6437.5,381,DHAN_HISTORY,2026-03-15 18:03:09
DIVISLAB,2026-03-10 10:42:00,6440.0,6443.0,6439.5,6439.5,428,DHAN_HISTORY,2026-03-15 18:03:09
DIVISLAB,2026-03-10 10:43:00,6442.0,6449.0,6439.5,6447.0,694,DHAN_HISTORY,2026-03-15 18:03:09
DIVISLAB,2026-03-10 10:44:00,6449.0,6449.0,6444.5,6444.5,284,DHAN_HISTORY,2026-03-15 18:03:09
DIVISLAB,2026-03-10 10:45:00,6447.5,6448.5,6443.5,6445.0,205,DHAN_HISTORY,2026-03-15 18:03:09
DIVISLAB,2026-03-10 10:46:00,6447.5,6447.5,6443.0,6447.0,124,DHAN_HISTORY,2026-03-15 18:03:09
DIVISLAB,2026-03-10 10:47:00,6446.0,6446.0,6442.0,6442.5,442,DHAN_HISTORY,2026-03-15 18:03:09
DIVISLAB,2026-03-10 10:48:00,6444.5,6447.0,6444.5,6445.5,24,DHAN_HISTORY,2026-03-15 18:03:09
DIVISLAB,2026-03-10 10:49:00,6447.0,6447.0,6438.5,6438.5,212,DHAN_HISTORY,2026-03-15 18:03:09
DIVISLAB,2026-03-10 10:50:00,6440.5,6440.5,6435.0,6436.0,64,DHAN_HISTORY,2026-03-15 18:03:09
DIVISLAB,2026-03-10 10:51:00,6438.0,6438.0,6433.0,6433.0,202,DHAN_HISTORY,2026-03-15 18:03:09
DIVISLAB,2026-03-10 10:52:00,6434.5,6436.0,6433.5,6433.5,124,DHAN_HISTORY,2026-03-15 18:03:09
DIVISLAB,2026-03-10 10:53:00,6435.0,6436.0,6430.0,6431.5,239,DHAN_HISTORY,2026-03-15 18:03:09
DIVISLAB,2026-03-10 10:54:00,6431.0,6443.0,6425.0,6441.0,853,DHAN_HISTORY,2026-03-15 18:03:09
DIVISLAB,2026-03-10 10:55:00,6443.0,6445.0,6437.5,6445.0,389,DHAN_HISTORY,2026-03-15 18:03:09
DIVISLAB,2026-03-10 10:56:00,6445.0,6445.0,6440.5,6443.5,819,DHAN_HISTORY,2026-03-15 18:03:09
DIVISLAB,2026-03-10 10:57:00,6444.0,6448.0,6441.0,6446.5,516,DHAN_HISTORY,2026-03-15 18:03:09
DIVISLAB,2026-03-10 10:58:00,6445.5,6448.5,6443.5,6445.0,2174,DHAN_HISTORY,2026-03-15 18:03:09
DIVISLAB,2026-03-10 10:59:00,6448.0,6448.0,6438.0,6445.0,1381,DHAN_HISTORY,2026-03-15 18:03:09
DIVISLAB,2026-03-10 11:00:00,6447.0,6449.5,6442.5,6448.0,459,DHAN_HISTORY,2026-03-15 18:03:09
DIVISLAB,2026-03-10 11:01:00,6448.5,6450.0,6442.0,6450.0,1075,DHAN_HISTORY,2026-03-15 18:03:09
DIVISLAB,2026-03-10 11:02:00,6450.0,6450.0,6442.5,6446.5,428,DHAN_HISTORY,2026-03-15 18:03:09
DIVISLAB,2026-03-10 11:03:00,6447.5,6450.0,6447.0,6447.0,507,DHAN_HISTORY,2026-03-15 18:03:09
DIVISLAB,2026-03-10 11:04:00,6447.5,6450.0,6446.0,6446.5,394,DHAN_HISTORY,2026-03-15 18:03:09
DIVISLAB,2026-03-10 11:05:00,6449.0,6450.0,6445.0,6450.0,480,DHAN_HISTORY,2026-03-15 18:03:09
DIVISLAB,2026-03-10 11:06:00,6450.0,6450.5,6450.0,6450.0,366,DHAN_HISTORY,2026-03-15 18:03:09
