symbol,timestamp,open,high,low,close,volume,source,last_updated
DIXON,2026-01-07 09:15:00,11640.0,11640.0,11480.0,11550.0,24232,DHAN_HISTORY,2026-03-15 18:03:22
DIXON,2026-01-07 09:16:00,11554.0,11656.0,11543.0,11652.0,15256,DHAN_HISTORY,2026-03-15 18:03:22
DIXON,2026-01-07 09:17:00,11639.0,11649.0,11591.0,11596.0,12488,DHAN_HISTORY,2026-03-15 18:03:22
DIXON,2026-01-07 09:18:00,11586.0,11598.0,11555.0,11567.0,5983,DHAN_HISTORY,2026-03-15 18:03:22
DIXON,2026-01-07 09:19:00,11567.0,11582.0,11550.0,11562.0,5010,DHAN_HISTORY,2026-03-15 18:03:22
DIXON,2026-01-07 09:20:00,11568.0,11590.0,11532.0,11590.0,5944,DHAN_HISTORY,2026-03-15 18:03:22
DIXON,2026-01-07 09:21:00,11587.0,11609.0,11583.0,11592.0,9380,DHAN_HISTORY,2026-03-15 18:03:22
DIXON,2026-01-07 09:22:00,11593.0,11597.0,11558.0,11562.0,3063,DHAN_HISTORY,2026-03-15 18:03:22
DIXON,2026-01-07 09:23:00,11563.0,11567.0,11521.0,11547.0,7071,DHAN_HISTORY,2026-03-15 18:03:22
DIXON,2026-01-07 09:24:00,11546.0,11555.0,11540.0,11550.0,3765,DHAN_HISTORY,2026-03-15 18:03:22
DIXON,2026-01-07 09:25:00,11548.0,11570.0,11544.0,11554.0,2783,DHAN_HISTORY,2026-03-15 18:03:22
DIXON,2026-01-07 09:26:00,11552.0,11552.0,11515.0,11527.0,5280,DHAN_HISTORY,2026-03-15 18:03:22
DIXON,2026-01-07 09:27:00,11527.0,11550.0,11527.0,11550.0,2271,DHAN_HISTORY,2026-03-15 18:03:22
DIXON,2026-01-07 09:28:00,11550.0,11568.0,11538.0,11566.0,8170,DHAN_HISTORY,2026-03-15 18:03:22
DIXON,2026-01-07 09:29:00,11564.0,11594.0,11561.0,11593.0,4374,DHAN_HISTORY,2026-03-15 18:03:22
DIXON,2026-01-07 09:30:00,11593.0,11605.0,11587.0,11600.0,5667,DHAN_HISTORY,2026-03-15 18:03:22
DIXON,2026-01-07 09:31:00,11595.0,11595.0,11569.0,11575.0,2496,DHAN_HISTORY,2026-03-15 18:03:22
DIXON,2026-01-07 09:32:00,11571.0,11590.0,11570.0,11582.0,1733,DHAN_HISTORY,2026-03-15 18:03:22
DIXON,2026-01-07 09:33:00,11585.0,11593.0,11570.0,11585.0,884,DHAN_HISTORY,2026-03-15 18:03:22
DIXON,2026-01-07 09:34:00,11587.0,11644.0,11581.0,11635.0,4247,DHAN_HISTORY,2026-03-15 18:03:22
DIXON,2026-01-07 09:35:00,11633.0,11677.0,11630.0,11653.0,11300,DHAN_HISTORY,2026-03-15 18:03:22
DIXON,2026-01-07 09:36:00,11660.0,11714.0,11655.0,11706.0,7965,DHAN_HISTORY,2026-03-15 18:03:22
DIXON,2026-01-07 09:37:00,11702.0,11729.0,11677.0,11715.0,7169,DHAN_HISTORY,2026-03-15 18:03:22
DIXON,2026-01-07 09:38:00,11715.0,11730.0,11702.0,11707.0,6326,DHAN_HISTORY,2026-03-15 18:03:22
DIXON,2026-01-07 09:39:00,11710.0,11735.0,11707.0,11726.0,3218,DHAN_HISTORY,2026-03-15 18:03:22
DIXON,2026-01-07 09:40:00,11719.0,11725.0,11707.0,11721.0,2009,DHAN_HISTORY,2026-03-15 18:03:22
DIXON,2026-01-07 09:41:00,11721.0,11731.0,11715.0,11726.0,1676,DHAN_HISTORY,2026-03-15 18:03:22
DIXON,2026-01-07 09:42:00,11726.0,11739.0,11721.0,11730.0,2373,DHAN_HISTORY,2026-03-15 18:03:22
DIXON,2026-01-07 09:43:00,11732.0,11732.0,11696.0,11699.0,4023,DHAN_HISTORY,2026-03-15 18:03:22
DIXON,2026-01-07 09:44:00,11695.0,11696.0,11674.0,11695.0,3779,DHAN_HISTORY,2026-03-15 18:03:22
DIXON,2026-01-07 09:45:00,11690.0,11735.0,11690.0,11715.0,3368,DHAN_HISTORY,2026-03-15 18:03:22
DIXON,2026-01-07 09:46:00,11721.0,11722.0,11706.0,11713.0,1041,DHAN_HISTORY,2026-03-15 18:03:22
DIXON,2026-01-07 09:47:00,11711.0,11716.0,11702.0,11711.0,998,DHAN_HISTORY,2026-03-15 18:03:22
