symbol,timestamp,open,high,low,close,volume,source,last_updated
DLF,2025-12-18 09:15:00,681.1,681.5,679.0,679.8,14331,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 09:16:00,679.7,680.35,679.3,680.05,9934,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 09:17:00,680.3,681.0,680.0,680.2,10618,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 09:18:00,680.05,680.4,679.25,679.35,16943,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 09:19:00,679.3,679.85,679.3,679.85,3371,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 09:20:00,679.6,679.95,678.15,678.45,20630,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 09:21:00,678.1,678.5,677.5,677.65,8826,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 09:22:00,677.85,678.0,676.35,678.0,27758,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 09:23:00,678.0,678.3,677.8,678.0,3884,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 09:24:00,678.0,678.95,677.9,678.05,7099,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 09:25:00,678.0,678.9,678.0,678.35,8601,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 09:26:00,678.15,678.55,678.15,678.35,3642,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 09:27:00,678.25,679.6,678.25,678.5,13889,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 09:28:00,678.75,678.8,677.75,677.75,4488,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 09:29:00,678.55,678.55,677.1,677.1,25416,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 09:30:00,676.8,677.3,676.75,677.1,15664,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 09:31:00,677.4,677.95,676.7,676.75,10502,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 09:32:00,676.75,676.75,675.8,676.2,13094,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 09:33:00,676.3,676.5,675.9,676.45,4317,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 09:34:00,676.6,677.1,676.2,676.2,6178,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 09:35:00,676.05,676.2,675.25,675.35,6845,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 09:36:00,675.25,675.7,675.25,675.65,3231,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 09:37:00,676.0,676.05,675.15,675.3,3091,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 09:38:00,675.25,676.3,675.25,675.55,2502,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 09:39:00,675.5,675.5,675.0,675.25,4393,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 09:40:00,675.05,675.2,674.2,674.6,8399,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 09:41:00,674.5,675.0,674.5,674.55,6940,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 09:42:00,674.5,674.8,674.4,674.5,4816,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 09:43:00,674.3,674.65,674.2,674.55,5860,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 09:44:00,674.6,674.6,673.5,673.65,7241,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 09:45:00,673.65,674.0,673.65,673.75,4306,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 09:46:00,673.65,673.85,672.9,673.05,9087,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 09:47:00,673.15,673.3,672.8,673.1,5582,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 09:48:00,673.05,673.6,672.6,673.3,9812,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 09:49:00,673.3,673.8,673.15,673.25,2816,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 09:50:00,673.25,673.4,672.35,672.7,4468,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 09:51:00,672.8,673.6,672.7,673.15,1447,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 09:52:00,673.05,674.0,673.05,673.85,5628,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 09:53:00,673.8,673.95,673.2,673.35,1767,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 09:54:00,673.5,673.5,672.5,673.0,4995,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 09:55:00,673.2,673.6,673.0,673.05,2106,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 09:56:00,673.05,673.15,672.9,673.05,2818,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 09:57:00,673.0,673.0,672.0,672.35,4893,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 09:58:00,672.45,672.95,672.35,672.55,2090,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 09:59:00,672.6,673.15,672.2,672.35,5466,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 10:00:00,672.35,672.65,672.35,672.5,1365,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 10:01:00,672.5,672.65,672.5,672.5,1713,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 10:02:00,672.4,673.05,672.4,673.05,13246,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 10:03:00,673.1,673.35,672.4,672.6,5341,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 10:04:00,672.65,672.95,672.45,672.75,2467,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 10:05:00,672.85,673.95,672.65,673.6,4585,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 10:06:00,673.55,673.6,673.15,673.15,3095,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 10:07:00,673.25,673.5,673.0,673.5,1764,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 10:08:00,673.5,674.0,673.5,674.0,1319,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 10:09:00,673.95,674.8,673.95,674.75,28979,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 10:10:00,674.75,675.0,674.3,674.5,2656,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 10:11:00,674.35,675.0,674.35,674.85,887,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 10:12:00,675.0,675.8,675.0,675.7,5833,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 10:13:00,675.5,675.95,675.35,675.75,4377,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 10:14:00,675.75,675.75,674.95,675.25,6874,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 10:15:00,675.3,675.3,674.3,674.4,2123,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 10:16:00,674.5,675.15,674.5,675.0,1832,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 10:17:00,675.1,675.75,674.6,675.5,2772,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 10:18:00,675.55,675.75,675.35,675.55,3676,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 10:19:00,675.7,676.3,675.7,676.25,4078,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 10:20:00,676.4,676.9,675.95,676.0,8894,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 10:21:00,676.0,677.2,675.65,676.8,8964,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 10:22:00,676.75,677.8,676.5,677.65,5167,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 10:23:00,677.65,678.6,677.65,678.2,8377,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 10:24:00,678.3,678.5,678.15,678.25,3863,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 10:25:00,678.2,678.3,677.75,677.95,7586,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 10:26:00,677.9,678.15,677.5,677.5,5204,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 10:27:00,677.3,677.75,677.1,677.4,5769,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 10:28:00,677.1,677.95,677.1,677.95,7649,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 10:29:00,677.85,678.15,677.05,677.4,8909,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 10:30:00,677.4,677.45,677.2,677.35,1101,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 10:31:00,677.35,677.65,677.35,677.35,1666,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 10:32:00,677.45,678.25,677.35,678.2,15043,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 10:33:00,677.95,678.35,677.95,678.2,2498,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 10:34:00,678.4,678.4,677.5,677.8,9420,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 10:35:00,677.9,678.25,677.85,678.25,1622,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 10:36:00,678.05,678.6,677.65,678.1,8209,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 10:37:00,678.05,678.5,678.0,678.4,2962,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 10:38:00,678.3,678.45,677.85,678.0,3382,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 10:39:00,677.95,679.55,677.95,679.4,14025,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 10:40:00,679.55,679.9,679.25,679.8,4378,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 10:41:00,680.4,680.4,679.5,680.15,10883,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 10:42:00,680.15,680.95,680.15,680.8,6139,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 10:43:00,681.0,681.6,680.8,681.2,15076,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 10:44:00,681.15,681.2,680.55,680.55,8598,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 10:45:00,680.5,682.5,680.5,682.2,20339,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 10:46:00,681.85,682.0,681.05,681.05,8248,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 10:47:00,681.05,681.65,680.9,681.35,5730,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 10:48:00,681.65,681.65,681.05,681.05,1281,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 10:49:00,681.15,681.2,680.25,680.55,5417,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 10:50:00,680.3,680.55,679.7,680.0,3208,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 10:51:00,680.05,680.3,679.5,679.6,2919,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 10:52:00,679.6,679.9,679.5,679.55,3364,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 10:53:00,679.45,679.75,678.9,679.4,12815,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 10:54:00,679.4,679.75,679.0,679.1,1842,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 10:55:00,679.1,679.2,678.5,679.1,1728,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 10:56:00,679.2,679.55,679.0,679.25,3389,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 10:57:00,679.4,679.95,679.05,679.75,3752,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 10:58:00,679.8,679.9,679.5,679.7,1776,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 10:59:00,679.8,680.0,679.6,679.85,1219,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 11:00:00,679.9,679.9,679.45,679.65,4952,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 11:01:00,679.65,679.8,679.6,679.6,238,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 11:02:00,679.5,680.0,679.5,679.65,2408,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 11:03:00,679.65,679.85,679.5,679.5,1880,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 11:04:00,679.4,679.5,678.85,679.0,4868,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 11:05:00,679.2,679.5,679.0,679.3,382,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 11:06:00,679.4,679.55,679.1,679.1,641,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 11:07:00,678.9,679.1,678.85,678.95,695,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 11:08:00,679.1,679.25,678.8,679.25,911,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 11:09:00,679.25,679.6,678.95,679.6,924,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 11:10:00,679.55,679.85,679.2,679.5,2272,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 11:11:00,679.5,679.8,679.3,679.7,568,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 11:12:00,679.65,679.8,679.5,679.7,620,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 11:13:00,679.6,679.6,678.8,678.8,793,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 11:14:00,678.95,679.7,678.8,678.85,5755,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 11:15:00,678.8,679.2,678.25,678.95,10732,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 11:16:00,678.85,678.85,678.2,678.5,6091,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 11:17:00,678.4,678.6,678.4,678.55,636,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 11:18:00,678.55,678.6,678.2,678.25,3617,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 11:19:00,678.1,678.7,678.1,678.4,2905,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 11:20:00,678.55,678.9,678.35,678.65,1209,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 11:21:00,678.75,678.9,678.5,678.6,794,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 11:22:00,678.6,679.15,678.6,679.0,2252,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 11:23:00,679.0,679.5,678.9,679.3,2100,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 11:24:00,679.45,680.0,679.4,679.8,2093,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 11:25:00,679.65,680.1,679.65,679.75,1863,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 11:26:00,679.75,679.75,679.25,679.4,3801,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 11:27:00,679.65,679.7,679.35,679.5,1166,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 11:28:00,679.5,679.75,679.3,679.65,3439,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 11:29:00,679.75,679.75,679.55,679.55,471,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 11:30:00,679.5,679.7,679.5,679.6,404,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 11:31:00,679.7,679.7,679.55,679.7,710,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 11:32:00,679.7,680.15,679.55,680.15,1462,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 11:33:00,680.7,680.9,680.0,680.2,6918,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 11:34:00,680.25,680.45,680.1,680.3,623,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 11:35:00,680.3,680.35,679.95,679.95,923,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 11:36:00,679.9,680.35,679.9,680.3,201,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 11:37:00,680.25,680.35,679.9,680.05,1849,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 11:38:00,680.0,680.3,679.95,680.25,1503,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 11:39:00,680.25,680.5,680.25,680.4,943,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 11:40:00,680.35,680.5,679.9,680.0,6721,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 11:41:00,680.2,680.2,679.85,680.0,3710,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 11:42:00,679.95,680.5,679.95,680.35,1169,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 11:43:00,680.35,680.5,680.3,680.4,477,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 11:44:00,680.45,680.6,680.25,680.5,1577,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 11:45:00,680.5,680.5,680.0,680.15,423,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 11:46:00,680.2,680.3,680.0,680.1,112,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 11:47:00,680.1,680.55,679.95,680.55,2565,DHAN_HISTORY,2026-03-15 18:03:41
DLF,2025-12-18 11:48:00,680.5,681.0,680.5,680.9,1811,DHAN_HISTORY,2026-03-15 18:03:41
