symbol,timestamp,open,high,low,close,volume,source,last_updated
EXIDEIND,2026-02-13 09:15:00,337.7,338.0,335.45,336.6,15201,DHAN_HISTORY,2026-03-15 17:29:26
EXIDEIND,2026-02-13 09:16:00,337.05,337.05,335.15,335.6,7513,DHAN_HISTORY,2026-03-15 17:29:26
EXIDEIND,2026-02-13 09:17:00,335.4,335.75,335.0,335.0,4667,DHAN_HISTORY,2026-03-15 17:29:26
EXIDEIND,2026-02-13 09:18:00,335.15,336.0,335.15,335.2,2740,DHAN_HISTORY,2026-03-15 17:29:26
EXIDEIND,2026-02-13 09:19:00,335.2,335.5,335.0,335.25,19417,DHAN_HISTORY,2026-03-15 17:29:26
EXIDEIND,2026-02-13 09:20:00,335.25,335.25,334.6,334.75,7997,DHAN_HISTORY,2026-03-15 17:29:26
EXIDEIND,2026-02-13 09:21:00,335.05,335.25,334.6,334.85,2406,DHAN_HISTORY,2026-03-15 17:29:26
EXIDEIND,2026-02-13 09:22:00,334.8,334.8,334.3,334.65,4258,DHAN_HISTORY,2026-03-15 17:29:26
EXIDEIND,2026-02-13 09:23:00,334.5,335.3,334.5,334.95,4523,DHAN_HISTORY,2026-03-15 17:29:26
EXIDEIND,2026-02-13 09:24:00,334.95,335.05,334.7,334.75,2764,DHAN_HISTORY,2026-03-15 17:29:26
EXIDEIND,2026-02-13 09:25:00,334.75,334.8,334.5,334.75,1100,DHAN_HISTORY,2026-03-15 17:29:26
EXIDEIND,2026-02-13 09:26:00,335.0,335.1,334.5,334.7,3816,DHAN_HISTORY,2026-03-15 17:29:26
EXIDEIND,2026-02-13 09:27:00,334.4,335.0,334.3,334.8,1786,DHAN_HISTORY,2026-03-15 17:29:26
EXIDEIND,2026-02-13 09:28:00,334.75,334.95,334.45,334.8,2242,DHAN_HISTORY,2026-03-15 17:29:26
EXIDEIND,2026-02-13 09:29:00,334.8,334.9,334.55,334.75,2182,DHAN_HISTORY,2026-03-15 17:29:26
EXIDEIND,2026-02-13 09:30:00,334.75,334.75,334.05,334.15,4450,DHAN_HISTORY,2026-03-15 17:29:26
EXIDEIND,2026-02-13 09:31:00,334.35,334.8,334.05,334.75,8210,DHAN_HISTORY,2026-03-15 17:29:26
EXIDEIND,2026-02-13 09:32:00,334.6,334.85,334.4,334.65,1983,DHAN_HISTORY,2026-03-15 17:29:26
EXIDEIND,2026-02-13 09:33:00,334.65,334.85,334.35,334.55,8793,DHAN_HISTORY,2026-03-15 17:29:26
EXIDEIND,2026-02-13 09:34:00,334.55,334.85,334.3,334.45,3299,DHAN_HISTORY,2026-03-15 17:29:26
EXIDEIND,2026-02-13 09:35:00,334.45,334.45,334.0,334.4,6017,DHAN_HISTORY,2026-03-15 17:29:26
EXIDEIND,2026-02-13 09:36:00,334.45,334.5,334.05,334.1,2353,DHAN_HISTORY,2026-03-15 17:29:26
