symbol,timestamp,open,high,low,close,volume,source,last_updated
GMRAIRPORT,2025-11-07 09:15:00,94.3,94.6,94.05,94.32,78754,DHAN_HISTORY,2026-03-15 17:29:56
GMRAIRPORT,2025-11-07 09:16:00,94.35,94.36,94.09,94.12,59167,DHAN_HISTORY,2026-03-15 17:29:56
GMRAIRPORT,2025-11-07 09:17:00,94.12,94.56,94.06,94.37,94976,DHAN_HISTORY,2026-03-15 17:29:56
GMRAIRPORT,2025-11-07 09:18:00,94.42,94.45,94.27,94.28,37534,DHAN_HISTORY,2026-03-15 17:29:56
GMRAIRPORT,2025-11-07 09:19:00,94.27,94.39,94.25,94.36,17646,DHAN_HISTORY,2026-03-15 17:29:56
GMRAIRPORT,2025-11-07 09:20:00,94.33,94.39,94.27,94.32,21664,DHAN_HISTORY,2026-03-15 17:29:56
GMRAIRPORT,2025-11-07 09:21:00,94.27,94.3,94.15,94.16,19791,DHAN_HISTORY,2026-03-15 17:29:56
GMRAIRPORT,2025-11-07 09:22:00,94.16,94.16,94.0,94.11,33311,DHAN_HISTORY,2026-03-15 17:29:56
GMRAIRPORT,2025-11-07 09:23:00,94.1,94.74,94.1,94.52,274769,DHAN_HISTORY,2026-03-15 17:29:56
GMRAIRPORT,2025-11-07 09:24:00,94.57,95.02,94.56,94.94,345312,DHAN_HISTORY,2026-03-15 17:29:56
GMRAIRPORT,2025-11-07 09:25:00,94.98,95.08,94.91,95.0,71795,DHAN_HISTORY,2026-03-15 17:29:56
GMRAIRPORT,2025-11-07 09:26:00,94.98,95.0,94.8,94.83,37359,DHAN_HISTORY,2026-03-15 17:29:56
GMRAIRPORT,2025-11-07 09:27:00,94.83,95.0,94.76,94.99,58861,DHAN_HISTORY,2026-03-15 17:29:56
GMRAIRPORT,2025-11-07 09:28:00,95.0,95.26,94.95,95.15,120068,DHAN_HISTORY,2026-03-15 17:29:56
GMRAIRPORT,2025-11-07 09:29:00,95.15,95.23,95.03,95.14,38255,DHAN_HISTORY,2026-03-15 17:29:56
GMRAIRPORT,2025-11-07 09:30:00,95.1,95.1,94.9,94.93,21656,DHAN_HISTORY,2026-03-15 17:29:56
GMRAIRPORT,2025-11-07 09:31:00,94.91,95.03,94.82,95.0,127927,DHAN_HISTORY,2026-03-15 17:29:56
GMRAIRPORT,2025-11-07 09:32:00,95.06,95.17,94.99,95.07,28356,DHAN_HISTORY,2026-03-15 17:29:56
GMRAIRPORT,2025-11-07 09:33:00,95.02,95.08,95.01,95.01,22582,DHAN_HISTORY,2026-03-15 17:29:56
GMRAIRPORT,2025-11-07 09:34:00,95.01,95.04,94.87,94.87,25902,DHAN_HISTORY,2026-03-15 17:29:56
