symbol,timestamp,open,high,low,close,volume,source,last_updated
GOLDADD,2026-01-27 09:15:00,153.73,154.26,153.11,153.48,3374,DHAN_HISTORY,2026-03-15 16:40:21
GOLDADD,2026-01-27 09:16:00,153.3,153.99,153.22,153.96,11946,DHAN_HISTORY,2026-03-15 16:40:21
GOLDADD,2026-01-27 09:17:00,153.89,154.3,153.89,154.12,12133,DHAN_HISTORY,2026-03-15 16:40:21
GOLDADD,2026-01-27 09:18:00,154.3,154.3,154.07,154.27,13095,DHAN_HISTORY,2026-03-15 16:40:21
GOLDADD,2026-01-27 09:19:00,154.1,154.27,154.0,154.27,13881,DHAN_HISTORY,2026-03-15 16:40:21
GOLDADD,2026-01-27 09:20:00,154.05,154.19,154.05,154.09,140,DHAN_HISTORY,2026-03-15 16:40:21
GOLDADD,2026-01-27 09:21:00,154.02,154.14,153.28,153.29,2634,DHAN_HISTORY,2026-03-15 16:40:21
GOLDADD,2026-01-27 09:22:00,153.33,153.61,153.33,153.61,1722,DHAN_HISTORY,2026-03-15 16:40:21
GOLDADD,2026-01-27 09:23:00,153.76,153.76,153.33,153.43,2177,DHAN_HISTORY,2026-03-15 16:40:21
GOLDADD,2026-01-27 09:24:00,153.43,153.67,153.43,153.51,704,DHAN_HISTORY,2026-03-15 16:40:21
GOLDADD,2026-01-27 09:25:00,153.51,153.87,153.51,153.65,2299,DHAN_HISTORY,2026-03-15 16:40:21
GOLDADD,2026-01-27 09:26:00,153.54,153.54,153.26,153.38,2696,DHAN_HISTORY,2026-03-15 16:40:21
GOLDADD,2026-01-27 09:27:00,153.49,153.84,153.49,153.77,1897,DHAN_HISTORY,2026-03-15 16:40:21
GOLDADD,2026-01-27 09:28:00,153.89,153.89,153.52,153.63,605,DHAN_HISTORY,2026-03-15 16:40:21
GOLDADD,2026-01-27 09:29:00,153.66,153.7,153.51,153.67,2633,DHAN_HISTORY,2026-03-15 16:40:21
GOLDADD,2026-01-27 09:30:00,153.75,153.86,153.75,153.84,6372,DHAN_HISTORY,2026-03-15 16:40:21
GOLDADD,2026-01-27 09:31:00,153.8,153.88,153.8,153.84,6013,DHAN_HISTORY,2026-03-15 16:40:21
GOLDADD,2026-01-27 09:32:00,153.78,153.83,153.67,153.83,1228,DHAN_HISTORY,2026-03-15 16:40:21
GOLDADD,2026-01-27 09:33:00,153.82,153.84,153.8,153.81,637,DHAN_HISTORY,2026-03-15 16:40:21
GOLDADD,2026-01-27 09:34:00,153.85,153.94,153.85,153.87,431,DHAN_HISTORY,2026-03-15 16:40:21
GOLDADD,2026-01-27 09:35:00,153.87,154.09,153.87,154.08,1673,DHAN_HISTORY,2026-03-15 16:40:21
GOLDADD,2026-01-27 09:36:00,154.08,154.1,154.0,154.0,2229,DHAN_HISTORY,2026-03-15 16:40:21
GOLDADD,2026-01-27 09:37:00,154.02,154.1,154.0,154.05,550,DHAN_HISTORY,2026-03-15 16:40:21
GOLDADD,2026-01-27 09:38:00,154.24,154.24,154.15,154.15,2001,DHAN_HISTORY,2026-03-15 16:40:21
GOLDADD,2026-01-27 09:39:00,154.05,154.05,154.03,154.03,1335,DHAN_HISTORY,2026-03-15 16:40:21
GOLDADD,2026-01-27 09:40:00,154.06,154.17,154.03,154.03,2447,DHAN_HISTORY,2026-03-15 16:40:21
GOLDADD,2026-01-27 09:41:00,154.0,154.03,153.86,153.98,1199,DHAN_HISTORY,2026-03-15 16:40:21
GOLDADD,2026-01-27 09:42:00,153.98,154.0,153.98,154.0,154,DHAN_HISTORY,2026-03-15 16:40:21
GOLDADD,2026-01-27 09:43:00,154.0,154.0,154.0,154.0,283,DHAN_HISTORY,2026-03-15 16:40:21
