symbol,timestamp,open,high,low,close,volume,source,last_updated
GOLDBEES,2025-10-03 09:15:00,96.88,97.08,96.54,96.8,1318628,DHAN_HISTORY,2026-03-15 16:40:27
GOLDBEES,2025-10-03 09:16:00,96.81,96.82,96.68,96.73,576314,DHAN_HISTORY,2026-03-15 16:40:27
GOLDBEES,2025-10-03 09:17:00,96.74,96.74,96.7,96.74,394021,DHAN_HISTORY,2026-03-15 16:40:27
GOLDBEES,2025-10-03 09:18:00,96.74,96.79,96.72,96.74,436814,DHAN_HISTORY,2026-03-15 16:40:27
GOLDBEES,2025-10-03 09:19:00,96.74,96.75,96.73,96.74,311828,DHAN_HISTORY,2026-03-15 16:40:27
GOLDBEES,2025-10-03 09:20:00,96.74,96.74,96.72,96.73,182553,DHAN_HISTORY,2026-03-15 16:40:27
GOLDBEES,2025-10-03 09:21:00,96.73,96.73,96.66,96.7,559961,DHAN_HISTORY,2026-03-15 16:40:27
GOLDBEES,2025-10-03 09:22:00,96.7,96.7,96.63,96.64,336716,DHAN_HISTORY,2026-03-15 16:40:27
GOLDBEES,2025-10-03 09:23:00,96.64,96.64,96.58,96.59,218782,DHAN_HISTORY,2026-03-15 16:40:27
GOLDBEES,2025-10-03 09:24:00,96.58,96.59,96.51,96.54,358228,DHAN_HISTORY,2026-03-15 16:40:27
GOLDBEES,2025-10-03 09:25:00,96.54,96.57,96.51,96.55,237165,DHAN_HISTORY,2026-03-15 16:40:27
GOLDBEES,2025-10-03 09:26:00,96.55,96.56,96.53,96.56,247050,DHAN_HISTORY,2026-03-15 16:40:27
GOLDBEES,2025-10-03 09:27:00,96.56,96.56,96.55,96.56,162338,DHAN_HISTORY,2026-03-15 16:40:27
GOLDBEES,2025-10-03 09:28:00,96.56,96.58,96.56,96.57,216143,DHAN_HISTORY,2026-03-15 16:40:27
GOLDBEES,2025-10-03 09:29:00,96.56,96.58,96.56,96.58,263378,DHAN_HISTORY,2026-03-15 16:40:27
GOLDBEES,2025-10-03 09:30:00,96.58,96.72,96.58,96.64,555334,DHAN_HISTORY,2026-03-15 16:40:27
GOLDBEES,2025-10-03 09:31:00,96.64,96.65,96.62,96.64,243342,DHAN_HISTORY,2026-03-15 16:40:27
GOLDBEES,2025-10-03 09:32:00,96.65,96.72,96.65,96.68,451061,DHAN_HISTORY,2026-03-15 16:40:27
GOLDBEES,2025-10-03 09:33:00,96.68,96.68,96.64,96.64,219321,DHAN_HISTORY,2026-03-15 16:40:27
GOLDBEES,2025-10-03 09:34:00,96.64,96.67,96.64,96.67,147490,DHAN_HISTORY,2026-03-15 16:40:27
GOLDBEES,2025-10-03 09:35:00,96.67,96.7,96.67,96.69,383514,DHAN_HISTORY,2026-03-15 16:40:27
GOLDBEES,2025-10-03 09:36:00,96.69,96.78,96.69,96.78,245602,DHAN_HISTORY,2026-03-15 16:40:27
GOLDBEES,2025-10-03 09:37:00,96.75,96.78,96.75,96.75,182329,DHAN_HISTORY,2026-03-15 16:40:27
GOLDBEES,2025-10-03 09:38:00,96.75,96.76,96.74,96.76,140064,DHAN_HISTORY,2026-03-15 16:40:27
GOLDBEES,2025-10-03 09:39:00,96.76,96.76,96.72,96.74,226426,DHAN_HISTORY,2026-03-15 16:40:27
GOLDBEES,2025-10-03 09:40:00,96.72,96.74,96.67,96.68,280162,DHAN_HISTORY,2026-03-15 16:40:27
GOLDBEES,2025-10-03 09:41:00,96.68,96.68,96.66,96.67,182864,DHAN_HISTORY,2026-03-15 16:40:27
GOLDBEES,2025-10-03 09:42:00,96.67,96.72,96.67,96.71,148101,DHAN_HISTORY,2026-03-15 16:40:27
GOLDBEES,2025-10-03 09:43:00,96.71,96.75,96.7,96.75,69422,DHAN_HISTORY,2026-03-15 16:40:27
GOLDBEES,2025-10-03 09:44:00,96.75,96.75,96.72,96.74,108213,DHAN_HISTORY,2026-03-15 16:40:27
GOLDBEES,2025-10-03 09:45:00,96.74,96.75,96.71,96.73,342015,DHAN_HISTORY,2026-03-15 16:40:27
GOLDBEES,2025-10-03 09:46:00,96.73,96.73,96.69,96.7,233256,DHAN_HISTORY,2026-03-15 16:40:27
GOLDBEES,2025-10-03 09:47:00,96.7,96.7,96.68,96.69,100356,DHAN_HISTORY,2026-03-15 16:40:27
GOLDBEES,2025-10-03 09:48:00,96.69,96.69,96.67,96.69,84487,DHAN_HISTORY,2026-03-15 16:40:27
GOLDBEES,2025-10-03 09:49:00,96.69,96.69,96.66,96.67,111099,DHAN_HISTORY,2026-03-15 16:40:27
GOLDBEES,2025-10-03 09:50:00,96.67,96.68,96.66,96.68,93260,DHAN_HISTORY,2026-03-15 16:40:27
GOLDBEES,2025-10-03 09:51:00,96.68,96.69,96.66,96.69,107467,DHAN_HISTORY,2026-03-15 16:40:27
GOLDBEES,2025-10-03 09:52:00,96.69,96.7,96.68,96.69,115901,DHAN_HISTORY,2026-03-15 16:40:27
GOLDBEES,2025-10-03 09:53:00,96.69,96.71,96.68,96.71,191363,DHAN_HISTORY,2026-03-15 16:40:27
GOLDBEES,2025-10-03 09:54:00,96.71,96.72,96.7,96.72,134988,DHAN_HISTORY,2026-03-15 16:40:27
GOLDBEES,2025-10-03 09:55:00,96.72,96.74,96.71,96.74,212838,DHAN_HISTORY,2026-03-15 16:40:27
GOLDBEES,2025-10-03 09:56:00,96.74,96.75,96.73,96.75,273095,DHAN_HISTORY,2026-03-15 16:40:27
GOLDBEES,2025-10-03 09:57:00,96.75,96.75,96.74,96.75,226467,DHAN_HISTORY,2026-03-15 16:40:27
GOLDBEES,2025-10-03 09:58:00,96.75,96.75,96.73,96.73,152249,DHAN_HISTORY,2026-03-15 16:40:27
GOLDBEES,2025-10-03 09:59:00,96.73,96.74,96.73,96.73,77076,DHAN_HISTORY,2026-03-15 16:40:27
GOLDBEES,2025-10-03 10:00:00,96.73,96.74,96.73,96.73,168821,DHAN_HISTORY,2026-03-15 16:40:27
GOLDBEES,2025-10-03 10:01:00,96.73,96.73,96.7,96.71,106419,DHAN_HISTORY,2026-03-15 16:40:27
GOLDBEES,2025-10-03 10:02:00,96.71,96.73,96.7,96.7,159095,DHAN_HISTORY,2026-03-15 16:40:27
GOLDBEES,2025-10-03 10:03:00,96.7,96.71,96.68,96.7,97565,DHAN_HISTORY,2026-03-15 16:40:27
GOLDBEES,2025-10-03 10:04:00,96.7,96.7,96.68,96.7,99212,DHAN_HISTORY,2026-03-15 16:40:27
GOLDBEES,2025-10-03 10:05:00,96.7,96.73,96.7,96.73,71712,DHAN_HISTORY,2026-03-15 16:40:27
GOLDBEES,2025-10-03 10:06:00,96.73,96.73,96.71,96.72,66854,DHAN_HISTORY,2026-03-15 16:40:27
GOLDBEES,2025-10-03 10:07:00,96.72,96.73,96.71,96.73,89977,DHAN_HISTORY,2026-03-15 16:40:27
GOLDBEES,2025-10-03 10:08:00,96.73,96.73,96.72,96.73,140454,DHAN_HISTORY,2026-03-15 16:40:27
GOLDBEES,2025-10-03 10:09:00,96.73,96.73,96.72,96.73,56549,DHAN_HISTORY,2026-03-15 16:40:27
GOLDBEES,2025-10-03 10:10:00,96.73,96.75,96.73,96.73,74134,DHAN_HISTORY,2026-03-15 16:40:27
GOLDBEES,2025-10-03 10:11:00,96.74,96.74,96.71,96.72,91585,DHAN_HISTORY,2026-03-15 16:40:27
GOLDBEES,2025-10-03 10:12:00,96.72,96.72,96.69,96.7,214957,DHAN_HISTORY,2026-03-15 16:40:27
GOLDBEES,2025-10-03 10:13:00,96.7,96.7,96.69,96.7,143669,DHAN_HISTORY,2026-03-15 16:40:27
GOLDBEES,2025-10-03 10:14:00,96.7,96.72,96.69,96.72,55023,DHAN_HISTORY,2026-03-15 16:40:27
GOLDBEES,2025-10-03 10:15:00,96.7,96.72,96.7,96.71,52534,DHAN_HISTORY,2026-03-15 16:40:27
GOLDBEES,2025-10-03 10:16:00,96.71,96.71,96.68,96.71,90445,DHAN_HISTORY,2026-03-15 16:40:27
GOLDBEES,2025-10-03 10:17:00,96.7,96.71,96.7,96.7,33709,DHAN_HISTORY,2026-03-15 16:40:27
GOLDBEES,2025-10-03 10:18:00,96.71,96.71,96.7,96.71,52180,DHAN_HISTORY,2026-03-15 16:40:27
GOLDBEES,2025-10-03 10:19:00,96.7,96.72,96.7,96.71,25927,DHAN_HISTORY,2026-03-15 16:40:27
GOLDBEES,2025-10-03 10:20:00,96.72,96.72,96.71,96.72,31661,DHAN_HISTORY,2026-03-15 16:40:27
GOLDBEES,2025-10-03 10:21:00,96.72,96.72,96.69,96.7,62021,DHAN_HISTORY,2026-03-15 16:40:27
GOLDBEES,2025-10-03 10:22:00,96.71,96.71,96.69,96.69,110534,DHAN_HISTORY,2026-03-15 16:40:27
GOLDBEES,2025-10-03 10:23:00,96.69,96.7,96.69,96.7,45592,DHAN_HISTORY,2026-03-15 16:40:27
GOLDBEES,2025-10-03 10:24:00,96.7,96.7,96.68,96.68,65768,DHAN_HISTORY,2026-03-15 16:40:27
GOLDBEES,2025-10-03 10:25:00,96.7,96.7,96.68,96.7,70184,DHAN_HISTORY,2026-03-15 16:40:27
GOLDBEES,2025-10-03 10:26:00,96.69,96.71,96.69,96.7,73192,DHAN_HISTORY,2026-03-15 16:40:27
GOLDBEES,2025-10-03 10:27:00,96.7,96.7,96.69,96.7,76507,DHAN_HISTORY,2026-03-15 16:40:27
GOLDBEES,2025-10-03 10:28:00,96.7,96.7,96.68,96.69,72576,DHAN_HISTORY,2026-03-15 16:40:27
GOLDBEES,2025-10-03 10:29:00,96.69,96.69,96.67,96.69,35323,DHAN_HISTORY,2026-03-15 16:40:27
GOLDBEES,2025-10-03 10:30:00,96.69,96.7,96.68,96.69,102381,DHAN_HISTORY,2026-03-15 16:40:27
GOLDBEES,2025-10-03 10:31:00,96.69,96.7,96.67,96.68,35833,DHAN_HISTORY,2026-03-15 16:40:27
GOLDBEES,2025-10-03 10:32:00,96.68,96.7,96.68,96.7,51025,DHAN_HISTORY,2026-03-15 16:40:27
GOLDBEES,2025-10-03 10:33:00,96.7,96.7,96.69,96.7,30742,DHAN_HISTORY,2026-03-15 16:40:27
GOLDBEES,2025-10-03 10:34:00,96.7,96.71,96.69,96.71,50977,DHAN_HISTORY,2026-03-15 16:40:27
