symbol,timestamp,open,high,low,close,volume,source,last_updated
HCLTECH,2025-11-24 09:15:00,1614.3,1623.6,1612.2,1621.1,37689,DHAN_HISTORY,2026-03-15 18:07:19
HCLTECH,2025-11-24 09:16:00,1620.4,1624.3,1618.4,1622.2,18572,DHAN_HISTORY,2026-03-15 18:07:19
HCLTECH,2025-11-24 09:17:00,1621.9,1624.0,1621.1,1622.8,12436,DHAN_HISTORY,2026-03-15 18:07:19
HCLTECH,2025-11-24 09:18:00,1622.8,1623.7,1621.1,1623.1,12549,DHAN_HISTORY,2026-03-15 18:07:19
HCLTECH,2025-11-24 09:19:00,1623.2,1632.0,1623.2,1631.3,24547,DHAN_HISTORY,2026-03-15 18:07:19
HCLTECH,2025-11-24 09:20:00,1631.2,1632.8,1630.0,1632.4,22689,DHAN_HISTORY,2026-03-15 18:07:19
HCLTECH,2025-11-24 09:21:00,1632.4,1636.9,1632.0,1636.3,14782,DHAN_HISTORY,2026-03-15 18:07:19
HCLTECH,2025-11-24 09:22:00,1636.4,1637.7,1635.0,1635.5,23276,DHAN_HISTORY,2026-03-15 18:07:19
HCLTECH,2025-11-24 09:23:00,1635.0,1635.6,1633.4,1634.5,17927,DHAN_HISTORY,2026-03-15 18:07:19
HCLTECH,2025-11-24 09:24:00,1634.5,1636.3,1634.0,1635.7,19218,DHAN_HISTORY,2026-03-15 18:07:19
HCLTECH,2025-11-24 09:25:00,1635.7,1638.0,1635.5,1637.4,20990,DHAN_HISTORY,2026-03-15 18:07:19
HCLTECH,2025-11-24 09:26:00,1637.4,1639.3,1636.6,1639.0,24939,DHAN_HISTORY,2026-03-15 18:07:19
HCLTECH,2025-11-24 09:27:00,1638.3,1639.0,1636.8,1638.1,21157,DHAN_HISTORY,2026-03-15 18:07:19
HCLTECH,2025-11-24 09:28:00,1637.8,1639.0,1637.3,1637.7,16409,DHAN_HISTORY,2026-03-15 18:07:19
HCLTECH,2025-11-24 09:29:00,1637.6,1639.8,1637.1,1639.8,9793,DHAN_HISTORY,2026-03-15 18:07:19
HCLTECH,2025-11-24 09:30:00,1639.8,1640.0,1638.7,1639.8,11522,DHAN_HISTORY,2026-03-15 18:07:19
HCLTECH,2025-11-24 09:31:00,1639.8,1639.8,1637.4,1637.7,13793,DHAN_HISTORY,2026-03-15 18:07:19
HCLTECH,2025-11-24 09:32:00,1637.4,1638.5,1635.4,1637.8,15019,DHAN_HISTORY,2026-03-15 18:07:19
HCLTECH,2025-11-24 09:33:00,1637.8,1637.8,1635.9,1635.9,6632,DHAN_HISTORY,2026-03-15 18:07:19
HCLTECH,2025-11-24 09:34:00,1635.9,1636.0,1635.2,1635.8,9864,DHAN_HISTORY,2026-03-15 18:07:19
HCLTECH,2025-11-24 09:35:00,1635.8,1635.8,1633.8,1633.8,9291,DHAN_HISTORY,2026-03-15 18:07:19
HCLTECH,2025-11-24 09:36:00,1633.8,1634.0,1631.5,1631.6,16871,DHAN_HISTORY,2026-03-15 18:07:19
HCLTECH,2025-11-24 09:37:00,1632.1,1633.7,1631.4,1633.6,10136,DHAN_HISTORY,2026-03-15 18:07:19
HCLTECH,2025-11-24 09:38:00,1633.6,1633.6,1632.1,1632.7,9564,DHAN_HISTORY,2026-03-15 18:07:19
HCLTECH,2025-11-24 09:39:00,1632.9,1633.3,1632.7,1633.0,7176,DHAN_HISTORY,2026-03-15 18:07:19
HCLTECH,2025-11-24 09:40:00,1632.3,1636.0,1631.5,1634.6,18056,DHAN_HISTORY,2026-03-15 18:07:19
HCLTECH,2025-11-24 09:41:00,1634.5,1634.5,1629.4,1631.3,25145,DHAN_HISTORY,2026-03-15 18:07:19
HCLTECH,2025-11-24 09:42:00,1631.2,1632.8,1630.7,1631.3,126453,DHAN_HISTORY,2026-03-15 18:07:19
HCLTECH,2025-11-24 09:43:00,1631.3,1632.1,1630.7,1630.8,6934,DHAN_HISTORY,2026-03-15 18:07:19
HCLTECH,2025-11-24 09:44:00,1631.1,1631.1,1630.3,1630.4,4637,DHAN_HISTORY,2026-03-15 18:07:19
HCLTECH,2025-11-24 09:45:00,1630.3,1631.9,1629.5,1631.2,11491,DHAN_HISTORY,2026-03-15 18:07:19
HCLTECH,2025-11-24 09:46:00,1631.1,1631.9,1630.0,1630.7,8354,DHAN_HISTORY,2026-03-15 18:07:19
HCLTECH,2025-11-24 09:47:00,1630.7,1630.7,1629.6,1630.7,5077,DHAN_HISTORY,2026-03-15 18:07:19
HCLTECH,2025-11-24 09:48:00,1630.0,1630.9,1629.5,1630.9,13193,DHAN_HISTORY,2026-03-15 18:07:19
HCLTECH,2025-11-24 09:49:00,1630.9,1631.9,1629.2,1630.2,11361,DHAN_HISTORY,2026-03-15 18:07:19
HCLTECH,2025-11-24 09:50:00,1630.0,1631.3,1629.8,1631.2,6359,DHAN_HISTORY,2026-03-15 18:07:19
HCLTECH,2025-11-24 09:51:00,1631.2,1632.5,1631.1,1632.3,13726,DHAN_HISTORY,2026-03-15 18:07:19
HCLTECH,2025-11-24 09:52:00,1632.0,1632.0,1629.3,1630.1,15580,DHAN_HISTORY,2026-03-15 18:07:19
HCLTECH,2025-11-24 09:53:00,1630.0,1630.7,1629.7,1630.7,8411,DHAN_HISTORY,2026-03-15 18:07:19
HCLTECH,2025-11-24 09:54:00,1630.7,1631.1,1630.0,1630.0,5558,DHAN_HISTORY,2026-03-15 18:07:19
HCLTECH,2025-11-24 09:55:00,1630.1,1630.1,1629.5,1630.1,7999,DHAN_HISTORY,2026-03-15 18:07:19
HCLTECH,2025-11-24 09:56:00,1630.0,1630.2,1629.2,1630.0,12178,DHAN_HISTORY,2026-03-15 18:07:19
