symbol,timestamp,open,high,low,close,volume,source,last_updated
HFCL,2025-10-28 09:15:00,77.0,77.15,76.8,77.1,199224,DHAN_HISTORY,2026-03-15 16:42:41
HFCL,2025-10-28 09:16:00,77.1,77.15,76.92,76.95,47208,DHAN_HISTORY,2026-03-15 16:42:41
HFCL,2025-10-28 09:17:00,76.96,77.18,76.94,77.05,129944,DHAN_HISTORY,2026-03-15 16:42:41
HFCL,2025-10-28 09:18:00,77.07,77.14,77.0,77.0,61073,DHAN_HISTORY,2026-03-15 16:42:41
HFCL,2025-10-28 09:19:00,76.97,77.03,76.85,76.9,109482,DHAN_HISTORY,2026-03-15 16:42:41
HFCL,2025-10-28 09:20:00,76.81,76.91,76.76,76.8,62337,DHAN_HISTORY,2026-03-15 16:42:41
HFCL,2025-10-28 09:21:00,76.8,76.99,76.77,76.99,27593,DHAN_HISTORY,2026-03-15 16:42:41
HFCL,2025-10-28 09:22:00,76.95,77.02,76.9,77.01,31289,DHAN_HISTORY,2026-03-15 16:42:41
HFCL,2025-10-28 09:23:00,76.98,77.02,76.95,76.96,24552,DHAN_HISTORY,2026-03-15 16:42:41
HFCL,2025-10-28 09:24:00,76.86,76.96,76.86,76.94,24442,DHAN_HISTORY,2026-03-15 16:42:41
HFCL,2025-10-28 09:25:00,76.86,76.88,76.82,76.87,32710,DHAN_HISTORY,2026-03-15 16:42:41
HFCL,2025-10-28 09:26:00,76.87,76.9,76.7,76.76,108173,DHAN_HISTORY,2026-03-15 16:42:41
HFCL,2025-10-28 09:27:00,76.73,76.75,76.63,76.72,37025,DHAN_HISTORY,2026-03-15 16:42:41
HFCL,2025-10-28 09:28:00,76.76,76.77,76.7,76.74,28293,DHAN_HISTORY,2026-03-15 16:42:41
HFCL,2025-10-28 09:29:00,76.75,76.81,76.74,76.81,13659,DHAN_HISTORY,2026-03-15 16:42:41
HFCL,2025-10-28 09:30:00,76.85,76.94,76.74,76.94,19751,DHAN_HISTORY,2026-03-15 16:42:41
HFCL,2025-10-28 09:31:00,76.96,76.97,76.89,76.92,25568,DHAN_HISTORY,2026-03-15 16:42:41
HFCL,2025-10-28 09:32:00,76.94,76.94,76.87,76.94,15735,DHAN_HISTORY,2026-03-15 16:42:41
HFCL,2025-10-28 09:33:00,76.94,76.95,76.78,76.82,32452,DHAN_HISTORY,2026-03-15 16:42:41
HFCL,2025-10-28 09:34:00,76.74,76.79,76.69,76.75,34117,DHAN_HISTORY,2026-03-15 16:42:41
HFCL,2025-10-28 09:35:00,76.75,76.8,76.71,76.8,17664,DHAN_HISTORY,2026-03-15 16:42:41
HFCL,2025-10-28 09:36:00,76.88,76.95,76.82,76.83,37153,DHAN_HISTORY,2026-03-15 16:42:41
HFCL,2025-10-28 09:37:00,76.85,76.87,76.78,76.81,25625,DHAN_HISTORY,2026-03-15 16:42:41
HFCL,2025-10-28 09:38:00,76.81,76.83,76.75,76.8,11873,DHAN_HISTORY,2026-03-15 16:42:41
HFCL,2025-10-28 09:39:00,76.72,76.76,76.67,76.74,32428,DHAN_HISTORY,2026-03-15 16:42:41
HFCL,2025-10-28 09:40:00,76.78,76.78,76.73,76.76,8231,DHAN_HISTORY,2026-03-15 16:42:41
HFCL,2025-10-28 09:41:00,76.76,76.83,76.7,76.83,15668,DHAN_HISTORY,2026-03-15 16:42:41
HFCL,2025-10-28 09:42:00,76.85,76.89,76.85,76.86,8229,DHAN_HISTORY,2026-03-15 16:42:41
HFCL,2025-10-28 09:43:00,76.87,76.89,76.78,76.82,17861,DHAN_HISTORY,2026-03-15 16:42:41
HFCL,2025-10-28 09:44:00,76.8,76.85,76.75,76.85,12920,DHAN_HISTORY,2026-03-15 16:42:41
HFCL,2025-10-28 09:45:00,76.8,76.89,76.8,76.81,9952,DHAN_HISTORY,2026-03-15 16:42:41
HFCL,2025-10-28 09:46:00,76.85,76.95,76.81,76.85,65466,DHAN_HISTORY,2026-03-15 16:42:41
HFCL,2025-10-28 09:47:00,76.85,77.14,76.85,77.04,176020,DHAN_HISTORY,2026-03-15 16:42:41
HFCL,2025-10-28 09:48:00,77.07,77.07,76.5,76.58,311913,DHAN_HISTORY,2026-03-15 16:42:41
HFCL,2025-10-28 09:49:00,76.63,76.83,76.57,76.79,135073,DHAN_HISTORY,2026-03-15 16:42:41
HFCL,2025-10-28 09:50:00,76.8,76.8,76.71,76.77,20373,DHAN_HISTORY,2026-03-15 16:42:41
HFCL,2025-10-28 09:51:00,76.76,76.8,76.76,76.8,2915,DHAN_HISTORY,2026-03-15 16:42:41
HFCL,2025-10-28 09:52:00,76.75,76.78,76.7,76.76,21494,DHAN_HISTORY,2026-03-15 16:42:41
HFCL,2025-10-28 09:53:00,76.75,76.78,76.68,76.71,21394,DHAN_HISTORY,2026-03-15 16:42:41
HFCL,2025-10-28 09:54:00,76.72,76.75,76.7,76.72,6745,DHAN_HISTORY,2026-03-15 16:42:41
HFCL,2025-10-28 09:55:00,76.69,76.77,76.69,76.75,20037,DHAN_HISTORY,2026-03-15 16:42:41
HFCL,2025-10-28 09:56:00,76.73,76.77,76.7,76.7,9487,DHAN_HISTORY,2026-03-15 16:42:41
HFCL,2025-10-28 09:57:00,76.7,76.76,76.68,76.69,13509,DHAN_HISTORY,2026-03-15 16:42:41
HFCL,2025-10-28 09:58:00,76.69,76.7,76.64,76.7,18505,DHAN_HISTORY,2026-03-15 16:42:41
HFCL,2025-10-28 09:59:00,76.69,76.69,76.64,76.65,6850,DHAN_HISTORY,2026-03-15 16:42:41
HFCL,2025-10-28 10:00:00,76.65,76.67,76.51,76.58,25838,DHAN_HISTORY,2026-03-15 16:42:41
HFCL,2025-10-28 10:01:00,76.58,76.59,76.41,76.42,56163,DHAN_HISTORY,2026-03-15 16:42:41
HFCL,2025-10-28 10:02:00,76.42,76.5,76.4,76.4,37369,DHAN_HISTORY,2026-03-15 16:42:41
HFCL,2025-10-28 10:03:00,76.45,76.47,76.4,76.4,30327,DHAN_HISTORY,2026-03-15 16:42:41
HFCL,2025-10-28 10:04:00,76.4,76.41,76.3,76.35,73497,DHAN_HISTORY,2026-03-15 16:42:41
HFCL,2025-10-28 10:05:00,76.36,76.41,76.33,76.39,32572,DHAN_HISTORY,2026-03-15 16:42:41
HFCL,2025-10-28 10:06:00,76.38,76.4,76.35,76.4,8078,DHAN_HISTORY,2026-03-15 16:42:41
HFCL,2025-10-28 10:07:00,76.4,76.44,76.36,76.4,16534,DHAN_HISTORY,2026-03-15 16:42:41
HFCL,2025-10-28 10:08:00,76.37,76.44,76.37,76.44,31868,DHAN_HISTORY,2026-03-15 16:42:41
HFCL,2025-10-28 10:09:00,76.44,76.48,76.4,76.47,7175,DHAN_HISTORY,2026-03-15 16:42:41
HFCL,2025-10-28 10:10:00,76.47,76.48,76.4,76.4,17872,DHAN_HISTORY,2026-03-15 16:42:41
HFCL,2025-10-28 10:11:00,76.4,76.43,76.4,76.4,4082,DHAN_HISTORY,2026-03-15 16:42:41
HFCL,2025-10-28 10:12:00,76.4,76.4,76.3,76.3,40395,DHAN_HISTORY,2026-03-15 16:42:41
HFCL,2025-10-28 10:13:00,76.37,76.37,76.31,76.31,10618,DHAN_HISTORY,2026-03-15 16:42:41
HFCL,2025-10-28 10:14:00,76.3,76.39,76.3,76.35,7584,DHAN_HISTORY,2026-03-15 16:42:41
HFCL,2025-10-28 10:15:00,76.38,76.43,76.31,76.41,7854,DHAN_HISTORY,2026-03-15 16:42:41
HFCL,2025-10-28 10:16:00,76.43,76.43,76.39,76.4,3716,DHAN_HISTORY,2026-03-15 16:42:41
HFCL,2025-10-28 10:17:00,76.41,76.48,76.38,76.41,15472,DHAN_HISTORY,2026-03-15 16:42:41
HFCL,2025-10-28 10:18:00,76.41,76.44,76.4,76.41,2552,DHAN_HISTORY,2026-03-15 16:42:41
HFCL,2025-10-28 10:19:00,76.41,76.52,76.26,76.26,75183,DHAN_HISTORY,2026-03-15 16:42:41
HFCL,2025-10-28 10:20:00,76.28,76.53,76.28,76.44,88280,DHAN_HISTORY,2026-03-15 16:42:41
HFCL,2025-10-28 10:21:00,76.43,76.53,76.43,76.5,11300,DHAN_HISTORY,2026-03-15 16:42:41
HFCL,2025-10-28 10:22:00,76.55,76.67,76.55,76.66,24078,DHAN_HISTORY,2026-03-15 16:42:41
HFCL,2025-10-28 10:23:00,76.67,76.7,76.59,76.61,14474,DHAN_HISTORY,2026-03-15 16:42:41
HFCL,2025-10-28 10:24:00,76.61,76.64,76.55,76.56,21703,DHAN_HISTORY,2026-03-15 16:42:41
HFCL,2025-10-28 10:25:00,76.58,76.58,76.4,76.4,22456,DHAN_HISTORY,2026-03-15 16:42:41
HFCL,2025-10-28 10:26:00,76.45,76.46,76.4,76.41,1038,DHAN_HISTORY,2026-03-15 16:42:41
HFCL,2025-10-28 10:27:00,76.42,76.42,76.3,76.4,21878,DHAN_HISTORY,2026-03-15 16:42:41
HFCL,2025-10-28 10:28:00,76.39,76.5,76.36,76.47,13599,DHAN_HISTORY,2026-03-15 16:42:41
HFCL,2025-10-28 10:29:00,76.48,76.54,76.36,76.39,5180,DHAN_HISTORY,2026-03-15 16:42:41
HFCL,2025-10-28 10:30:00,76.4,76.48,76.36,76.42,10631,DHAN_HISTORY,2026-03-15 16:42:41
HFCL,2025-10-28 10:31:00,76.43,76.48,76.42,76.42,3081,DHAN_HISTORY,2026-03-15 16:42:41
