symbol,timestamp,open,high,low,close,volume,source,last_updated
IDBI,2025-10-20 09:15:00,93.4,93.75,92.75,93.25,622414,DHAN_HISTORY,2026-03-15 16:43:38
IDBI,2025-10-20 09:16:00,93.23,93.33,92.93,93.0,232965,DHAN_HISTORY,2026-03-15 16:43:38
IDBI,2025-10-20 09:17:00,92.96,93.47,92.9,93.16,287993,DHAN_HISTORY,2026-03-15 16:43:38
IDBI,2025-10-20 09:18:00,93.15,93.2,92.89,92.95,180076,DHAN_HISTORY,2026-03-15 16:43:38
IDBI,2025-10-20 09:19:00,92.92,93.2,92.88,93.02,185075,DHAN_HISTORY,2026-03-15 16:43:38
IDBI,2025-10-20 09:20:00,92.99,92.99,92.7,92.81,80643,DHAN_HISTORY,2026-03-15 16:43:38
IDBI,2025-10-20 09:21:00,92.8,92.85,92.41,92.5,132054,DHAN_HISTORY,2026-03-15 16:43:38
IDBI,2025-10-20 09:22:00,92.49,92.52,92.25,92.36,239605,DHAN_HISTORY,2026-03-15 16:43:38
IDBI,2025-10-20 09:23:00,92.35,92.39,92.17,92.2,139566,DHAN_HISTORY,2026-03-15 16:43:38
IDBI,2025-10-20 09:24:00,92.14,92.24,92.06,92.08,149352,DHAN_HISTORY,2026-03-15 16:43:38
IDBI,2025-10-20 09:25:00,92.0,92.08,91.94,92.08,180531,DHAN_HISTORY,2026-03-15 16:43:38
IDBI,2025-10-20 09:26:00,92.01,92.01,91.75,91.88,144635,DHAN_HISTORY,2026-03-15 16:43:38
IDBI,2025-10-20 09:27:00,91.88,91.88,91.64,91.7,100548,DHAN_HISTORY,2026-03-15 16:43:38
IDBI,2025-10-20 09:28:00,91.71,91.78,91.56,91.7,115839,DHAN_HISTORY,2026-03-15 16:43:38
IDBI,2025-10-20 09:29:00,91.7,91.72,91.43,91.47,105129,DHAN_HISTORY,2026-03-15 16:43:38
IDBI,2025-10-20 09:30:00,91.45,91.89,91.45,91.89,249420,DHAN_HISTORY,2026-03-15 16:43:38
IDBI,2025-10-20 09:31:00,91.89,92.13,91.86,92.06,141537,DHAN_HISTORY,2026-03-15 16:43:38
IDBI,2025-10-20 09:32:00,92.06,92.75,92.06,92.64,221998,DHAN_HISTORY,2026-03-15 16:43:38
IDBI,2025-10-20 09:33:00,92.62,92.76,92.38,92.76,83292,DHAN_HISTORY,2026-03-15 16:43:38
IDBI,2025-10-20 09:34:00,92.82,92.83,92.54,92.55,23788,DHAN_HISTORY,2026-03-15 16:43:38
