symbol,timestamp,open,high,low,close,volume,source,last_updated
IDFCFIRSTB,2025-11-12 09:15:00,80.94,81.09,80.81,81.05,206121,DHAN_HISTORY,2026-03-15 17:32:33
IDFCFIRSTB,2025-11-12 09:16:00,81.01,81.14,80.92,80.93,196549,DHAN_HISTORY,2026-03-15 17:32:33
IDFCFIRSTB,2025-11-12 09:17:00,80.95,81.06,80.93,81.04,176094,DHAN_HISTORY,2026-03-15 17:32:33
IDFCFIRSTB,2025-11-12 09:18:00,81.04,81.1,80.74,80.92,224814,DHAN_HISTORY,2026-03-15 17:32:33
IDFCFIRSTB,2025-11-12 09:19:00,80.92,81.15,80.92,81.12,89659,DHAN_HISTORY,2026-03-15 17:32:33
IDFCFIRSTB,2025-11-12 09:20:00,81.12,81.21,81.07,81.1,194414,DHAN_HISTORY,2026-03-15 17:32:33
IDFCFIRSTB,2025-11-12 09:21:00,81.07,81.1,80.97,81.06,79754,DHAN_HISTORY,2026-03-15 17:32:33
IDFCFIRSTB,2025-11-12 09:22:00,81.01,81.03,80.95,80.97,57247,DHAN_HISTORY,2026-03-15 17:32:33
IDFCFIRSTB,2025-11-12 09:23:00,81.01,81.08,80.98,81.01,66548,DHAN_HISTORY,2026-03-15 17:32:33
IDFCFIRSTB,2025-11-12 09:24:00,81.01,81.04,80.95,80.98,116380,DHAN_HISTORY,2026-03-15 17:32:33
IDFCFIRSTB,2025-11-12 09:25:00,80.98,81.01,80.97,80.99,53777,DHAN_HISTORY,2026-03-15 17:32:33
IDFCFIRSTB,2025-11-12 09:26:00,80.99,80.99,80.9,80.92,70129,DHAN_HISTORY,2026-03-15 17:32:33
IDFCFIRSTB,2025-11-12 09:27:00,80.92,80.92,80.81,80.91,108130,DHAN_HISTORY,2026-03-15 17:32:33
IDFCFIRSTB,2025-11-12 09:28:00,80.94,80.94,80.78,80.78,67465,DHAN_HISTORY,2026-03-15 17:32:33
IDFCFIRSTB,2025-11-12 09:29:00,80.78,80.86,80.78,80.84,35684,DHAN_HISTORY,2026-03-15 17:32:33
IDFCFIRSTB,2025-11-12 09:30:00,80.84,80.91,80.83,80.86,71719,DHAN_HISTORY,2026-03-15 17:32:33
IDFCFIRSTB,2025-11-12 09:31:00,80.85,80.95,80.85,80.86,50390,DHAN_HISTORY,2026-03-15 17:32:33
IDFCFIRSTB,2025-11-12 09:32:00,80.86,81.1,80.86,81.1,55668,DHAN_HISTORY,2026-03-15 17:32:33
IDFCFIRSTB,2025-11-12 09:33:00,81.08,81.19,81.08,81.15,114410,DHAN_HISTORY,2026-03-15 17:32:33
IDFCFIRSTB,2025-11-12 09:34:00,81.15,81.16,81.1,81.14,67527,DHAN_HISTORY,2026-03-15 17:32:33
IDFCFIRSTB,2025-11-12 09:35:00,81.11,81.14,81.04,81.11,38047,DHAN_HISTORY,2026-03-15 17:32:33
IDFCFIRSTB,2025-11-12 09:36:00,81.11,81.19,81.11,81.12,52379,DHAN_HISTORY,2026-03-15 17:32:33
IDFCFIRSTB,2025-11-12 09:37:00,81.11,81.15,81.08,81.08,62909,DHAN_HISTORY,2026-03-15 17:32:33
IDFCFIRSTB,2025-11-12 09:38:00,81.11,81.15,81.08,81.1,19860,DHAN_HISTORY,2026-03-15 17:32:33
