symbol,timestamp,open,high,low,close,volume,source,last_updated
IEX,2026-02-03 09:15:00,126.51,128.17,126.51,127.16,272029,DHAN_HISTORY,2026-03-15 17:33:02
IEX,2026-02-03 09:16:00,127.0,127.1,126.0,126.17,179634,DHAN_HISTORY,2026-03-15 17:33:02
IEX,2026-02-03 09:17:00,126.0,126.03,125.64,125.79,107865,DHAN_HISTORY,2026-03-15 17:33:02
IEX,2026-02-03 09:18:00,125.81,126.04,125.61,125.63,123741,DHAN_HISTORY,2026-03-15 17:33:02
IEX,2026-02-03 09:19:00,125.58,125.8,125.45,125.78,76158,DHAN_HISTORY,2026-03-15 17:33:02
IEX,2026-02-03 09:20:00,125.84,126.36,125.74,126.22,72797,DHAN_HISTORY,2026-03-15 17:33:02
IEX,2026-02-03 09:21:00,126.22,126.22,125.65,125.73,86900,DHAN_HISTORY,2026-03-15 17:33:02
IEX,2026-02-03 09:22:00,125.67,126.0,125.61,125.7,41703,DHAN_HISTORY,2026-03-15 17:33:02
IEX,2026-02-03 09:23:00,125.7,125.76,125.17,125.52,62594,DHAN_HISTORY,2026-03-15 17:33:02
IEX,2026-02-03 09:24:00,125.51,125.59,125.32,125.43,47321,DHAN_HISTORY,2026-03-15 17:33:02
IEX,2026-02-03 09:25:00,125.36,125.36,124.93,125.0,73078,DHAN_HISTORY,2026-03-15 17:33:02
IEX,2026-02-03 09:26:00,125.0,125.16,124.88,125.14,61717,DHAN_HISTORY,2026-03-15 17:33:02
IEX,2026-02-03 09:27:00,125.2,125.51,125.04,125.21,67731,DHAN_HISTORY,2026-03-15 17:33:02
IEX,2026-02-03 09:28:00,125.24,125.31,125.0,125.2,37420,DHAN_HISTORY,2026-03-15 17:33:02
IEX,2026-02-03 09:29:00,125.26,125.5,125.17,125.32,50444,DHAN_HISTORY,2026-03-15 17:33:02
IEX,2026-02-03 09:30:00,125.32,125.48,125.24,125.48,44529,DHAN_HISTORY,2026-03-15 17:33:02
IEX,2026-02-03 09:31:00,125.4,125.67,125.35,125.48,38664,DHAN_HISTORY,2026-03-15 17:33:02
IEX,2026-02-03 09:32:00,125.41,125.59,125.29,125.38,21988,DHAN_HISTORY,2026-03-15 17:33:02
IEX,2026-02-03 09:33:00,125.47,125.75,125.43,125.52,37641,DHAN_HISTORY,2026-03-15 17:33:02
IEX,2026-02-03 09:34:00,125.52,125.7,125.43,125.54,43750,DHAN_HISTORY,2026-03-15 17:33:02
IEX,2026-02-03 09:35:00,125.58,125.7,125.46,125.54,36489,DHAN_HISTORY,2026-03-15 17:33:02
IEX,2026-02-03 09:36:00,125.54,125.61,125.38,125.41,31134,DHAN_HISTORY,2026-03-15 17:33:02
IEX,2026-02-03 09:37:00,125.4,125.69,125.4,125.56,37996,DHAN_HISTORY,2026-03-15 17:33:02
IEX,2026-02-03 09:38:00,125.52,125.89,125.52,125.81,39755,DHAN_HISTORY,2026-03-15 17:33:02
IEX,2026-02-03 09:39:00,125.84,125.89,125.54,125.73,32187,DHAN_HISTORY,2026-03-15 17:33:02
IEX,2026-02-03 09:40:00,125.7,125.89,125.6,125.65,28636,DHAN_HISTORY,2026-03-15 17:33:02
IEX,2026-02-03 09:41:00,125.67,125.72,125.47,125.57,45010,DHAN_HISTORY,2026-03-15 17:33:02
IEX,2026-02-03 09:42:00,125.57,125.75,125.47,125.48,27036,DHAN_HISTORY,2026-03-15 17:33:02
IEX,2026-02-03 09:43:00,125.48,125.65,125.48,125.63,30381,DHAN_HISTORY,2026-03-15 17:33:02
IEX,2026-02-03 09:44:00,125.63,125.75,125.59,125.69,11106,DHAN_HISTORY,2026-03-15 17:33:02
IEX,2026-02-03 09:45:00,125.72,125.72,125.5,125.5,32248,DHAN_HISTORY,2026-03-15 17:33:02
IEX,2026-02-03 09:46:00,125.5,125.77,125.5,125.74,26145,DHAN_HISTORY,2026-03-15 17:33:02
IEX,2026-02-03 09:47:00,125.77,125.88,125.72,125.87,24070,DHAN_HISTORY,2026-03-15 17:33:02
IEX,2026-02-03 09:48:00,125.87,126.1,125.82,125.93,73910,DHAN_HISTORY,2026-03-15 17:33:02
IEX,2026-02-03 09:49:00,125.93,126.0,125.7,125.99,38826,DHAN_HISTORY,2026-03-15 17:33:02
IEX,2026-02-03 09:50:00,126.0,126.1,125.85,125.96,45941,DHAN_HISTORY,2026-03-15 17:33:02
IEX,2026-02-03 09:51:00,126.0,126.19,125.93,126.09,43365,DHAN_HISTORY,2026-03-15 17:33:02
IEX,2026-02-03 09:52:00,126.09,126.24,126.02,126.1,55683,DHAN_HISTORY,2026-03-15 17:33:02
IEX,2026-02-03 09:53:00,126.08,126.14,126.0,126.02,37837,DHAN_HISTORY,2026-03-15 17:33:02
IEX,2026-02-03 09:54:00,126.06,126.09,125.86,125.95,20927,DHAN_HISTORY,2026-03-15 17:33:02
IEX,2026-02-03 09:55:00,126.0,126.18,125.88,125.96,44166,DHAN_HISTORY,2026-03-15 17:33:02
IEX,2026-02-03 09:56:00,125.96,126.09,125.87,125.89,34217,DHAN_HISTORY,2026-03-15 17:33:02
IEX,2026-02-03 09:57:00,125.98,126.0,125.8,125.87,22699,DHAN_HISTORY,2026-03-15 17:33:02
IEX,2026-02-03 09:58:00,125.86,126.06,125.85,125.89,31069,DHAN_HISTORY,2026-03-15 17:33:02
