symbol,timestamp,open,high,low,close,volume,source,last_updated
IFCI,2026-01-19 09:15:00,60.9,60.92,59.73,59.87,1992482,DHAN_HISTORY,2026-03-15 16:44:06
IFCI,2026-01-19 09:16:00,59.83,59.91,59.36,59.61,2133228,DHAN_HISTORY,2026-03-15 16:44:06
IFCI,2026-01-19 09:17:00,59.7,59.79,59.1,59.79,1099333,DHAN_HISTORY,2026-03-15 16:44:06
IFCI,2026-01-19 09:18:00,59.81,59.99,59.6,59.99,908709,DHAN_HISTORY,2026-03-15 16:44:06
IFCI,2026-01-19 09:19:00,60.03,60.36,59.96,60.36,1379382,DHAN_HISTORY,2026-03-15 16:44:06
IFCI,2026-01-19 09:20:00,60.33,60.36,60.1,60.36,715981,DHAN_HISTORY,2026-03-15 16:44:06
IFCI,2026-01-19 09:21:00,60.31,60.31,59.88,59.94,582750,DHAN_HISTORY,2026-03-15 16:44:06
IFCI,2026-01-19 09:22:00,59.94,59.95,59.69,59.91,384212,DHAN_HISTORY,2026-03-15 16:44:06
IFCI,2026-01-19 09:23:00,59.88,60.03,59.88,59.92,350627,DHAN_HISTORY,2026-03-15 16:44:06
IFCI,2026-01-19 09:24:00,59.92,60.12,59.91,60.12,274023,DHAN_HISTORY,2026-03-15 16:44:06
IFCI,2026-01-19 09:25:00,60.09,60.1,59.9,60.08,335852,DHAN_HISTORY,2026-03-15 16:44:06
IFCI,2026-01-19 09:26:00,60.08,60.7,60.04,60.63,1277435,DHAN_HISTORY,2026-03-15 16:44:06
IFCI,2026-01-19 09:27:00,60.71,61.47,60.71,61.15,2264897,DHAN_HISTORY,2026-03-15 16:44:06
IFCI,2026-01-19 09:28:00,61.23,62.98,61.23,62.88,4450951,DHAN_HISTORY,2026-03-15 16:44:06
IFCI,2026-01-19 09:29:00,62.91,63.23,62.58,63.01,3609500,DHAN_HISTORY,2026-03-15 16:44:06
IFCI,2026-01-19 09:30:00,63.05,63.05,62.65,62.9,1801786,DHAN_HISTORY,2026-03-15 16:44:06
IFCI,2026-01-19 09:31:00,62.94,63.06,62.25,62.48,2200179,DHAN_HISTORY,2026-03-15 16:44:06
IFCI,2026-01-19 09:32:00,62.49,63.01,62.49,62.9,1703044,DHAN_HISTORY,2026-03-15 16:44:06
IFCI,2026-01-19 09:33:00,62.85,63.02,62.74,62.93,1366466,DHAN_HISTORY,2026-03-15 16:44:06
IFCI,2026-01-19 09:34:00,62.91,63.0,62.64,62.93,1081862,DHAN_HISTORY,2026-03-15 16:44:06
IFCI,2026-01-19 09:35:00,62.89,63.4,62.89,63.13,2647054,DHAN_HISTORY,2026-03-15 16:44:06
IFCI,2026-01-19 09:36:00,63.21,63.38,62.99,63.2,1420535,DHAN_HISTORY,2026-03-15 16:44:06
IFCI,2026-01-19 09:37:00,63.15,63.48,62.93,63.34,1436330,DHAN_HISTORY,2026-03-15 16:44:06
IFCI,2026-01-19 09:38:00,63.36,63.4,62.88,62.91,1608417,DHAN_HISTORY,2026-03-15 16:44:06
IFCI,2026-01-19 09:39:00,62.88,63.05,62.79,62.85,1205378,DHAN_HISTORY,2026-03-15 16:44:06
IFCI,2026-01-19 09:40:00,62.85,62.85,62.1,62.23,3179937,DHAN_HISTORY,2026-03-15 16:44:06
IFCI,2026-01-19 09:41:00,62.31,62.31,62.01,62.2,2054700,DHAN_HISTORY,2026-03-15 16:44:06
IFCI,2026-01-19 09:42:00,62.23,62.62,62.13,62.14,949998,DHAN_HISTORY,2026-03-15 16:44:06
IFCI,2026-01-19 09:43:00,62.1,62.14,61.75,61.75,1595432,DHAN_HISTORY,2026-03-15 16:44:06
IFCI,2026-01-19 09:44:00,61.82,62.12,61.77,61.94,844030,DHAN_HISTORY,2026-03-15 16:44:06
IFCI,2026-01-19 09:45:00,61.91,62.28,61.89,62.27,468930,DHAN_HISTORY,2026-03-15 16:44:06
IFCI,2026-01-19 09:46:00,62.27,62.3,61.88,61.88,832903,DHAN_HISTORY,2026-03-15 16:44:06
IFCI,2026-01-19 09:47:00,61.87,62.04,61.8,61.96,582924,DHAN_HISTORY,2026-03-15 16:44:06
IFCI,2026-01-19 09:48:00,61.99,62.12,61.96,62.0,463426,DHAN_HISTORY,2026-03-15 16:44:06
IFCI,2026-01-19 09:49:00,62.0,62.0,61.66,61.84,939008,DHAN_HISTORY,2026-03-15 16:44:06
IFCI,2026-01-19 09:50:00,61.82,61.83,61.4,61.46,1094548,DHAN_HISTORY,2026-03-15 16:44:06
IFCI,2026-01-19 09:51:00,61.47,62.02,61.4,62.02,877115,DHAN_HISTORY,2026-03-15 16:44:06
IFCI,2026-01-19 09:52:00,62.02,62.09,61.83,61.94,473199,DHAN_HISTORY,2026-03-15 16:44:06
IFCI,2026-01-19 09:53:00,61.95,61.95,61.78,61.81,217098,DHAN_HISTORY,2026-03-15 16:44:06
IFCI,2026-01-19 09:54:00,61.81,61.95,61.68,61.92,430117,DHAN_HISTORY,2026-03-15 16:44:06
IFCI,2026-01-19 09:55:00,61.87,61.9,61.76,61.86,136375,DHAN_HISTORY,2026-03-15 16:44:06
IFCI,2026-01-19 09:56:00,61.88,62.34,61.86,62.26,986979,DHAN_HISTORY,2026-03-15 16:44:06
IFCI,2026-01-19 09:57:00,62.3,62.31,62.1,62.19,299244,DHAN_HISTORY,2026-03-15 16:44:06
IFCI,2026-01-19 09:58:00,62.08,62.09,61.92,62.0,488868,DHAN_HISTORY,2026-03-15 16:44:06
IFCI,2026-01-19 09:59:00,62.01,62.04,61.92,62.04,196557,DHAN_HISTORY,2026-03-15 16:44:06
IFCI,2026-01-19 10:00:00,62.04,62.04,61.83,61.92,263991,DHAN_HISTORY,2026-03-15 16:44:06
IFCI,2026-01-19 10:01:00,61.9,62.2,61.89,62.06,480228,DHAN_HISTORY,2026-03-15 16:44:06
IFCI,2026-01-19 10:02:00,61.97,62.06,61.9,61.96,347704,DHAN_HISTORY,2026-03-15 16:44:06
IFCI,2026-01-19 10:03:00,61.96,61.98,61.9,61.94,139515,DHAN_HISTORY,2026-03-15 16:44:06
IFCI,2026-01-19 10:04:00,61.94,61.94,61.75,61.81,439234,DHAN_HISTORY,2026-03-15 16:44:06
IFCI,2026-01-19 10:05:00,61.81,61.85,61.6,61.68,457220,DHAN_HISTORY,2026-03-15 16:44:06
IFCI,2026-01-19 10:06:00,61.8,61.84,61.7,61.76,389156,DHAN_HISTORY,2026-03-15 16:44:06
IFCI,2026-01-19 10:07:00,61.76,61.8,61.73,61.73,131553,DHAN_HISTORY,2026-03-15 16:44:06
IFCI,2026-01-19 10:08:00,61.76,62.05,61.67,61.99,538126,DHAN_HISTORY,2026-03-15 16:44:06
IFCI,2026-01-19 10:09:00,61.99,62.18,61.94,62.05,494270,DHAN_HISTORY,2026-03-15 16:44:06
IFCI,2026-01-19 10:10:00,62.02,62.14,62.02,62.07,242148,DHAN_HISTORY,2026-03-15 16:44:06
IFCI,2026-01-19 10:11:00,62.08,62.25,62.05,62.15,488931,DHAN_HISTORY,2026-03-15 16:44:06
IFCI,2026-01-19 10:12:00,62.15,62.25,61.94,62.25,542500,DHAN_HISTORY,2026-03-15 16:44:06
IFCI,2026-01-19 10:13:00,62.25,62.26,62.1,62.21,445396,DHAN_HISTORY,2026-03-15 16:44:06
IFCI,2026-01-19 10:14:00,62.2,62.2,61.95,62.0,372863,DHAN_HISTORY,2026-03-15 16:44:06
IFCI,2026-01-19 10:15:00,62.01,62.01,61.81,61.81,200791,DHAN_HISTORY,2026-03-15 16:44:06
IFCI,2026-01-19 10:16:00,61.82,61.9,61.81,61.89,92195,DHAN_HISTORY,2026-03-15 16:44:06
IFCI,2026-01-19 10:17:00,61.88,62.0,61.85,61.85,237303,DHAN_HISTORY,2026-03-15 16:44:06
IFCI,2026-01-19 10:18:00,61.71,61.86,61.7,61.78,431177,DHAN_HISTORY,2026-03-15 16:44:06
IFCI,2026-01-19 10:19:00,61.79,61.9,61.76,61.83,98630,DHAN_HISTORY,2026-03-15 16:44:06
IFCI,2026-01-19 10:20:00,61.84,61.9,61.8,61.89,141317,DHAN_HISTORY,2026-03-15 16:44:06
IFCI,2026-01-19 10:21:00,61.89,61.89,61.76,61.79,164350,DHAN_HISTORY,2026-03-15 16:44:06
IFCI,2026-01-19 10:22:00,61.76,61.85,61.75,61.77,103990,DHAN_HISTORY,2026-03-15 16:44:06
IFCI,2026-01-19 10:23:00,61.8,61.89,61.8,61.81,70920,DHAN_HISTORY,2026-03-15 16:44:06
IFCI,2026-01-19 10:24:00,61.87,61.95,61.85,61.92,131668,DHAN_HISTORY,2026-03-15 16:44:06
IFCI,2026-01-19 10:25:00,61.92,61.94,61.7,61.7,290941,DHAN_HISTORY,2026-03-15 16:44:06
IFCI,2026-01-19 10:26:00,61.75,61.87,61.7,61.82,109286,DHAN_HISTORY,2026-03-15 16:44:06
IFCI,2026-01-19 10:27:00,61.87,61.87,61.8,61.82,69425,DHAN_HISTORY,2026-03-15 16:44:06
IFCI,2026-01-19 10:28:00,61.83,61.95,61.77,61.85,352481,DHAN_HISTORY,2026-03-15 16:44:06
IFCI,2026-01-19 10:29:00,61.81,61.93,61.81,61.92,74609,DHAN_HISTORY,2026-03-15 16:44:06
IFCI,2026-01-19 10:30:00,61.86,61.91,61.81,61.89,133007,DHAN_HISTORY,2026-03-15 16:44:06
IFCI,2026-01-19 10:31:00,61.86,61.96,61.86,61.95,144607,DHAN_HISTORY,2026-03-15 16:44:06
IFCI,2026-01-19 10:32:00,61.95,61.95,61.81,61.84,124541,DHAN_HISTORY,2026-03-15 16:44:06
IFCI,2026-01-19 10:33:00,61.85,61.85,61.71,61.71,214874,DHAN_HISTORY,2026-03-15 16:44:06
IFCI,2026-01-19 10:34:00,61.58,61.63,61.5,61.54,1016910,DHAN_HISTORY,2026-03-15 16:44:06
IFCI,2026-01-19 10:35:00,61.55,61.6,61.54,61.58,292822,DHAN_HISTORY,2026-03-15 16:44:06
IFCI,2026-01-19 10:36:00,61.6,61.68,61.59,61.62,181837,DHAN_HISTORY,2026-03-15 16:44:06
IFCI,2026-01-19 10:37:00,61.62,61.74,61.62,61.68,121020,DHAN_HISTORY,2026-03-15 16:44:06
