symbol,timestamp,open,high,low,close,volume,source,last_updated
IGL,2025-10-16 09:15:00,213.84,213.84,212.26,212.66,8543,DHAN_HISTORY,2026-03-15 17:50:55
IGL,2025-10-16 09:16:00,212.57,212.82,212.41,212.66,15715,DHAN_HISTORY,2026-03-15 17:50:55
IGL,2025-10-16 09:17:00,212.52,212.68,212.25,212.49,10969,DHAN_HISTORY,2026-03-15 17:50:55
IGL,2025-10-16 09:18:00,212.28,212.76,212.17,212.61,12805,DHAN_HISTORY,2026-03-15 17:50:55
IGL,2025-10-16 09:19:00,212.73,212.88,212.05,212.84,55067,DHAN_HISTORY,2026-03-15 17:50:55
IGL,2025-10-16 09:20:00,212.84,212.87,212.03,212.22,37270,DHAN_HISTORY,2026-03-15 17:50:55
IGL,2025-10-16 09:21:00,212.22,212.23,212.03,212.18,4219,DHAN_HISTORY,2026-03-15 17:50:55
IGL,2025-10-16 09:22:00,212.06,212.18,212.0,212.05,7113,DHAN_HISTORY,2026-03-15 17:50:55
IGL,2025-10-16 09:23:00,212.15,212.15,211.68,211.83,12683,DHAN_HISTORY,2026-03-15 17:50:55
IGL,2025-10-16 09:24:00,211.81,211.83,211.63,211.63,1964,DHAN_HISTORY,2026-03-15 17:50:55
IGL,2025-10-16 09:25:00,211.71,211.74,211.53,211.6,10087,DHAN_HISTORY,2026-03-15 17:50:55
IGL,2025-10-16 09:26:00,211.65,211.91,211.65,211.8,2139,DHAN_HISTORY,2026-03-15 17:50:55
IGL,2025-10-16 09:27:00,211.91,212.0,211.82,211.99,768,DHAN_HISTORY,2026-03-15 17:50:55
IGL,2025-10-16 09:28:00,211.91,212.01,211.91,212.01,1184,DHAN_HISTORY,2026-03-15 17:50:55
IGL,2025-10-16 09:29:00,212.02,212.2,212.02,212.2,517,DHAN_HISTORY,2026-03-15 17:50:55
IGL,2025-10-16 09:30:00,212.15,212.16,212.02,212.16,3276,DHAN_HISTORY,2026-03-15 17:50:55
IGL,2025-10-16 09:31:00,212.16,212.16,211.8,211.81,8490,DHAN_HISTORY,2026-03-15 17:50:55
IGL,2025-10-16 09:32:00,211.93,211.93,211.82,211.85,853,DHAN_HISTORY,2026-03-15 17:50:55
IGL,2025-10-16 09:33:00,211.78,212.08,211.78,212.05,8040,DHAN_HISTORY,2026-03-15 17:50:55
IGL,2025-10-16 09:34:00,212.09,212.5,212.02,212.18,15878,DHAN_HISTORY,2026-03-15 17:50:55
IGL,2025-10-16 09:35:00,212.08,212.22,211.96,212.0,6093,DHAN_HISTORY,2026-03-15 17:50:55
IGL,2025-10-16 09:36:00,212.08,212.08,211.8,211.98,13261,DHAN_HISTORY,2026-03-15 17:50:55
IGL,2025-10-16 09:37:00,211.98,212.15,211.87,212.0,2378,DHAN_HISTORY,2026-03-15 17:50:55
IGL,2025-10-16 09:38:00,212.05,212.1,211.87,211.87,2006,DHAN_HISTORY,2026-03-15 17:50:55
IGL,2025-10-16 09:39:00,211.98,211.99,211.87,211.93,1876,DHAN_HISTORY,2026-03-15 17:50:55
IGL,2025-10-16 09:40:00,211.93,211.96,211.87,211.94,515,DHAN_HISTORY,2026-03-15 17:50:55
IGL,2025-10-16 09:41:00,211.87,211.94,211.87,211.87,832,DHAN_HISTORY,2026-03-15 17:50:55
IGL,2025-10-16 09:42:00,212.0,212.1,212.0,212.1,11247,DHAN_HISTORY,2026-03-15 17:50:55
IGL,2025-10-16 09:43:00,212.13,212.13,212.1,212.1,113,DHAN_HISTORY,2026-03-15 17:50:55
IGL,2025-10-16 09:44:00,212.1,212.13,212.09,212.09,2917,DHAN_HISTORY,2026-03-15 17:50:55
IGL,2025-10-16 09:45:00,212.0,212.08,211.95,212.06,2476,DHAN_HISTORY,2026-03-15 17:50:55
IGL,2025-10-16 09:46:00,211.95,212.05,211.95,212.05,361,DHAN_HISTORY,2026-03-15 17:50:55
IGL,2025-10-16 09:47:00,212.09,212.09,211.85,211.85,3419,DHAN_HISTORY,2026-03-15 17:50:55
IGL,2025-10-16 09:48:00,211.85,211.9,211.85,211.85,1124,DHAN_HISTORY,2026-03-15 17:50:55
IGL,2025-10-16 09:49:00,211.85,211.85,211.8,211.8,1770,DHAN_HISTORY,2026-03-15 17:50:55
IGL,2025-10-16 09:50:00,211.9,211.9,211.35,211.5,14172,DHAN_HISTORY,2026-03-15 17:50:55
IGL,2025-10-16 09:51:00,211.46,211.56,211.36,211.5,678,DHAN_HISTORY,2026-03-15 17:50:55
IGL,2025-10-16 09:52:00,211.5,211.5,211.2,211.33,6772,DHAN_HISTORY,2026-03-15 17:50:55
IGL,2025-10-16 09:53:00,211.21,211.63,211.18,211.63,7902,DHAN_HISTORY,2026-03-15 17:50:55
IGL,2025-10-16 09:54:00,211.51,211.83,211.51,211.77,3552,DHAN_HISTORY,2026-03-15 17:50:55
IGL,2025-10-16 09:55:00,211.6,211.73,211.57,211.73,1961,DHAN_HISTORY,2026-03-15 17:50:55
IGL,2025-10-16 09:56:00,211.73,211.8,211.71,211.71,2221,DHAN_HISTORY,2026-03-15 17:50:55
IGL,2025-10-16 09:57:00,211.65,211.74,211.62,211.65,1455,DHAN_HISTORY,2026-03-15 17:50:55
IGL,2025-10-16 09:58:00,211.65,211.65,211.59,211.59,948,DHAN_HISTORY,2026-03-15 17:50:55
IGL,2025-10-16 09:59:00,211.57,211.96,211.53,211.84,4730,DHAN_HISTORY,2026-03-15 17:50:55
IGL,2025-10-16 10:00:00,212.38,212.46,212.2,212.2,13516,DHAN_HISTORY,2026-03-15 17:50:55
IGL,2025-10-16 10:01:00,212.14,212.19,212.08,212.17,1932,DHAN_HISTORY,2026-03-15 17:50:55
IGL,2025-10-16 10:02:00,212.17,212.31,212.09,212.14,3369,DHAN_HISTORY,2026-03-15 17:50:55
IGL,2025-10-16 10:03:00,212.09,212.41,212.09,212.41,12661,DHAN_HISTORY,2026-03-15 17:50:55
IGL,2025-10-16 10:04:00,212.37,212.37,212.27,212.32,4074,DHAN_HISTORY,2026-03-15 17:50:55
IGL,2025-10-16 10:05:00,212.26,212.26,212.18,212.2,784,DHAN_HISTORY,2026-03-15 17:50:55
IGL,2025-10-16 10:06:00,212.11,212.25,212.11,212.25,5771,DHAN_HISTORY,2026-03-15 17:50:55
IGL,2025-10-16 10:07:00,212.16,212.22,212.12,212.2,1599,DHAN_HISTORY,2026-03-15 17:50:55
IGL,2025-10-16 10:08:00,212.16,212.23,212.16,212.23,1208,DHAN_HISTORY,2026-03-15 17:50:55
IGL,2025-10-16 10:09:00,212.23,212.41,212.15,212.41,21747,DHAN_HISTORY,2026-03-15 17:50:55
IGL,2025-10-16 10:10:00,212.43,212.44,212.36,212.37,4204,DHAN_HISTORY,2026-03-15 17:50:55
IGL,2025-10-16 10:11:00,212.29,212.37,212.23,212.23,2339,DHAN_HISTORY,2026-03-15 17:50:55
IGL,2025-10-16 10:12:00,212.23,212.33,212.15,212.18,4573,DHAN_HISTORY,2026-03-15 17:50:55
IGL,2025-10-16 10:13:00,212.23,212.3,212.23,212.3,206,DHAN_HISTORY,2026-03-15 17:50:55
IGL,2025-10-16 10:14:00,212.15,212.27,212.15,212.24,13623,DHAN_HISTORY,2026-03-15 17:50:55
IGL,2025-10-16 10:15:00,212.17,212.29,212.11,212.29,10159,DHAN_HISTORY,2026-03-15 17:50:55
IGL,2025-10-16 10:16:00,212.23,212.27,212.23,212.27,472,DHAN_HISTORY,2026-03-15 17:50:55
IGL,2025-10-16 10:17:00,212.24,212.27,212.19,212.19,2005,DHAN_HISTORY,2026-03-15 17:50:55
IGL,2025-10-16 10:18:00,212.11,212.2,212.07,212.2,2135,DHAN_HISTORY,2026-03-15 17:50:55
IGL,2025-10-16 10:19:00,212.27,212.27,212.22,212.26,918,DHAN_HISTORY,2026-03-15 17:50:55
IGL,2025-10-16 10:20:00,212.18,212.18,212.18,212.18,8651,DHAN_HISTORY,2026-03-15 17:50:55
IGL,2025-10-16 10:21:00,212.23,212.23,212.19,212.19,1997,DHAN_HISTORY,2026-03-15 17:50:55
IGL,2025-10-16 10:22:00,212.26,212.34,212.22,212.22,3005,DHAN_HISTORY,2026-03-15 17:50:55
IGL,2025-10-16 10:23:00,212.19,212.19,212.18,212.18,24,DHAN_HISTORY,2026-03-15 17:50:55
IGL,2025-10-16 10:24:00,212.21,212.24,212.17,212.24,12961,DHAN_HISTORY,2026-03-15 17:50:55
IGL,2025-10-16 10:25:00,212.5,212.5,212.22,212.32,5798,DHAN_HISTORY,2026-03-15 17:50:55
IGL,2025-10-16 10:26:00,212.32,212.35,212.28,212.35,1154,DHAN_HISTORY,2026-03-15 17:50:55
IGL,2025-10-16 10:27:00,212.4,212.4,212.35,212.35,308,DHAN_HISTORY,2026-03-15 17:50:55
IGL,2025-10-16 10:28:00,212.35,212.45,212.35,212.35,1725,DHAN_HISTORY,2026-03-15 17:50:55
IGL,2025-10-16 10:29:00,212.36,212.41,212.32,212.41,2066,DHAN_HISTORY,2026-03-15 17:50:55
IGL,2025-10-16 10:30:00,212.41,212.41,212.35,212.41,147,DHAN_HISTORY,2026-03-15 17:50:55
IGL,2025-10-16 10:31:00,212.41,212.41,212.37,212.37,184,DHAN_HISTORY,2026-03-15 17:50:55
