symbol,timestamp,open,high,low,close,volume,source,last_updated
INDHOTEL,2025-12-09 09:15:00,719.4,720.0,713.05,713.05,49447,DHAN_HISTORY,2026-03-15 18:08:58
INDHOTEL,2025-12-09 09:16:00,713.05,715.1,712.05,713.9,24707,DHAN_HISTORY,2026-03-15 18:08:58
INDHOTEL,2025-12-09 09:17:00,713.45,715.7,713.05,714.0,10136,DHAN_HISTORY,2026-03-15 18:08:58
INDHOTEL,2025-12-09 09:18:00,713.85,714.6,713.4,713.6,5264,DHAN_HISTORY,2026-03-15 18:08:58
INDHOTEL,2025-12-09 09:19:00,714.0,715.25,713.15,713.15,6154,DHAN_HISTORY,2026-03-15 18:08:58
INDHOTEL,2025-12-09 09:20:00,712.8,713.8,712.55,712.55,8935,DHAN_HISTORY,2026-03-15 18:08:58
INDHOTEL,2025-12-09 09:21:00,712.55,715.05,712.3,714.0,7549,DHAN_HISTORY,2026-03-15 18:08:58
INDHOTEL,2025-12-09 09:22:00,713.8,714.5,713.45,713.5,4485,DHAN_HISTORY,2026-03-15 18:08:58
INDHOTEL,2025-12-09 09:23:00,713.7,715.25,713.55,715.25,27165,DHAN_HISTORY,2026-03-15 18:08:58
INDHOTEL,2025-12-09 09:24:00,715.05,716.8,715.05,716.75,46491,DHAN_HISTORY,2026-03-15 18:08:58
INDHOTEL,2025-12-09 09:25:00,716.7,716.75,716.0,716.0,3880,DHAN_HISTORY,2026-03-15 18:08:58
INDHOTEL,2025-12-09 09:26:00,716.1,716.45,715.95,716.0,7011,DHAN_HISTORY,2026-03-15 18:08:58
INDHOTEL,2025-12-09 09:27:00,715.8,716.45,715.8,715.95,4076,DHAN_HISTORY,2026-03-15 18:08:58
INDHOTEL,2025-12-09 09:28:00,715.55,715.8,713.2,713.85,31044,DHAN_HISTORY,2026-03-15 18:08:58
INDHOTEL,2025-12-09 09:29:00,713.85,714.65,713.5,713.9,5458,DHAN_HISTORY,2026-03-15 18:08:58
INDHOTEL,2025-12-09 09:30:00,713.95,714.4,713.25,713.25,12424,DHAN_HISTORY,2026-03-15 18:08:58
INDHOTEL,2025-12-09 09:31:00,713.15,713.7,712.6,713.05,7323,DHAN_HISTORY,2026-03-15 18:08:58
INDHOTEL,2025-12-09 09:32:00,712.95,713.25,712.45,712.55,4613,DHAN_HISTORY,2026-03-15 18:08:58
INDHOTEL,2025-12-09 09:33:00,712.6,713.6,712.55,712.85,9476,DHAN_HISTORY,2026-03-15 18:08:58
INDHOTEL,2025-12-09 09:34:00,713.05,714.45,713.05,713.75,5894,DHAN_HISTORY,2026-03-15 18:08:58
INDHOTEL,2025-12-09 09:35:00,713.55,713.6,712.65,713.15,6273,DHAN_HISTORY,2026-03-15 18:08:58
INDHOTEL,2025-12-09 09:36:00,713.2,713.9,713.1,713.55,8291,DHAN_HISTORY,2026-03-15 18:08:58
INDHOTEL,2025-12-09 09:37:00,713.55,714.0,713.55,713.7,4577,DHAN_HISTORY,2026-03-15 18:08:58
INDHOTEL,2025-12-09 09:38:00,713.95,713.95,712.05,712.05,10466,DHAN_HISTORY,2026-03-15 18:08:58
INDHOTEL,2025-12-09 09:39:00,712.15,713.45,712.15,713.25,7100,DHAN_HISTORY,2026-03-15 18:08:58
INDHOTEL,2025-12-09 09:40:00,713.3,713.6,713.0,713.5,4944,DHAN_HISTORY,2026-03-15 18:08:58
INDHOTEL,2025-12-09 09:41:00,713.45,713.5,713.1,713.35,4857,DHAN_HISTORY,2026-03-15 18:08:58
INDHOTEL,2025-12-09 09:42:00,713.1,713.75,712.95,713.1,17919,DHAN_HISTORY,2026-03-15 18:08:58
INDHOTEL,2025-12-09 09:43:00,713.1,713.3,712.85,712.85,5664,DHAN_HISTORY,2026-03-15 18:08:58
INDHOTEL,2025-12-09 09:44:00,712.9,712.95,710.7,711.05,27775,DHAN_HISTORY,2026-03-15 18:08:58
INDHOTEL,2025-12-09 09:45:00,711.0,711.55,710.0,711.4,14411,DHAN_HISTORY,2026-03-15 18:08:58
INDHOTEL,2025-12-09 09:46:00,711.35,711.55,711.15,711.35,3843,DHAN_HISTORY,2026-03-15 18:08:58
INDHOTEL,2025-12-09 09:47:00,711.45,711.45,709.05,709.1,54970,DHAN_HISTORY,2026-03-15 18:08:58
INDHOTEL,2025-12-09 09:48:00,709.8,711.0,709.75,710.45,28610,DHAN_HISTORY,2026-03-15 18:08:58
INDHOTEL,2025-12-09 09:49:00,710.5,711.15,709.95,710.9,2982,DHAN_HISTORY,2026-03-15 18:08:58
INDHOTEL,2025-12-09 09:50:00,711.15,711.45,710.0,710.45,25824,DHAN_HISTORY,2026-03-15 18:08:58
INDHOTEL,2025-12-09 09:51:00,710.35,711.2,710.0,710.7,8254,DHAN_HISTORY,2026-03-15 18:08:58
INDHOTEL,2025-12-09 09:52:00,710.8,711.4,710.55,711.4,8784,DHAN_HISTORY,2026-03-15 18:08:58
INDHOTEL,2025-12-09 09:53:00,711.05,711.2,710.55,710.7,2967,DHAN_HISTORY,2026-03-15 18:08:58
INDHOTEL,2025-12-09 09:54:00,710.75,710.75,708.25,708.7,32198,DHAN_HISTORY,2026-03-15 18:08:58
INDHOTEL,2025-12-09 09:55:00,708.6,708.65,707.8,708.5,60689,DHAN_HISTORY,2026-03-15 18:08:58
INDHOTEL,2025-12-09 09:56:00,709.05,709.6,708.3,708.6,23512,DHAN_HISTORY,2026-03-15 18:08:58
INDHOTEL,2025-12-09 09:57:00,708.5,709.85,708.5,709.75,5586,DHAN_HISTORY,2026-03-15 18:08:58
INDHOTEL,2025-12-09 09:58:00,709.2,709.75,709.2,709.7,4520,DHAN_HISTORY,2026-03-15 18:08:58
INDHOTEL,2025-12-09 09:59:00,709.75,710.35,709.55,709.95,5398,DHAN_HISTORY,2026-03-15 18:08:58
INDHOTEL,2025-12-09 10:00:00,710.05,710.3,709.65,710.3,3167,DHAN_HISTORY,2026-03-15 18:08:58
INDHOTEL,2025-12-09 10:01:00,710.3,710.75,710.2,710.75,4917,DHAN_HISTORY,2026-03-15 18:08:58
INDHOTEL,2025-12-09 10:02:00,710.75,711.5,710.75,711.35,8124,DHAN_HISTORY,2026-03-15 18:08:58
INDHOTEL,2025-12-09 10:03:00,711.35,711.85,711.15,711.8,4752,DHAN_HISTORY,2026-03-15 18:08:58
INDHOTEL,2025-12-09 10:04:00,711.85,711.9,711.55,711.85,2928,DHAN_HISTORY,2026-03-15 18:08:58
INDHOTEL,2025-12-09 10:05:00,711.85,712.6,711.8,712.5,4652,DHAN_HISTORY,2026-03-15 18:08:58
INDHOTEL,2025-12-09 10:06:00,712.65,714.6,712.65,714.6,3894,DHAN_HISTORY,2026-03-15 18:08:58
INDHOTEL,2025-12-09 10:07:00,714.8,714.85,713.9,714.25,10632,DHAN_HISTORY,2026-03-15 18:08:58
INDHOTEL,2025-12-09 10:08:00,714.4,715.0,713.75,713.8,11819,DHAN_HISTORY,2026-03-15 18:08:58
