symbol,timestamp,open,high,low,close,volume,source,last_updated
IRB,2025-10-15 09:15:00,42.0,42.27,42.0,42.12,57647,DHAN_HISTORY,2026-03-15 17:51:18
IRB,2025-10-15 09:16:00,42.08,42.25,42.02,42.12,139376,DHAN_HISTORY,2026-03-15 17:51:18
IRB,2025-10-15 09:17:00,42.15,42.2,42.13,42.14,22378,DHAN_HISTORY,2026-03-15 17:51:18
IRB,2025-10-15 09:18:00,42.14,42.19,42.14,42.16,18319,DHAN_HISTORY,2026-03-15 17:51:18
IRB,2025-10-15 09:19:00,42.15,42.2,42.14,42.2,24039,DHAN_HISTORY,2026-03-15 17:51:18
IRB,2025-10-15 09:20:00,42.17,42.23,42.14,42.16,48925,DHAN_HISTORY,2026-03-15 17:51:18
IRB,2025-10-15 09:21:00,42.09,42.12,42.06,42.1,83077,DHAN_HISTORY,2026-03-15 17:51:18
IRB,2025-10-15 09:22:00,42.12,42.17,42.1,42.11,38097,DHAN_HISTORY,2026-03-15 17:51:18
IRB,2025-10-15 09:23:00,42.1,42.13,42.09,42.11,25483,DHAN_HISTORY,2026-03-15 17:51:18
IRB,2025-10-15 09:24:00,42.11,42.13,42.06,42.1,22048,DHAN_HISTORY,2026-03-15 17:51:18
IRB,2025-10-15 09:25:00,42.06,42.12,42.06,42.12,7181,DHAN_HISTORY,2026-03-15 17:51:18
IRB,2025-10-15 09:26:00,42.11,42.12,42.07,42.07,36521,DHAN_HISTORY,2026-03-15 17:51:18
IRB,2025-10-15 09:27:00,42.09,42.16,42.06,42.16,34876,DHAN_HISTORY,2026-03-15 17:51:18
IRB,2025-10-15 09:28:00,42.13,42.16,42.1,42.11,9491,DHAN_HISTORY,2026-03-15 17:51:18
IRB,2025-10-15 09:29:00,42.11,42.16,42.1,42.13,16053,DHAN_HISTORY,2026-03-15 17:51:18
IRB,2025-10-15 09:30:00,42.15,42.15,42.05,42.07,81841,DHAN_HISTORY,2026-03-15 17:51:18
IRB,2025-10-15 09:31:00,42.07,42.13,42.06,42.09,13940,DHAN_HISTORY,2026-03-15 17:51:18
IRB,2025-10-15 09:32:00,42.09,42.1,42.06,42.08,13835,DHAN_HISTORY,2026-03-15 17:51:18
IRB,2025-10-15 09:33:00,42.08,42.08,42.06,42.08,5904,DHAN_HISTORY,2026-03-15 17:51:18
IRB,2025-10-15 09:34:00,42.07,42.09,42.03,42.07,36692,DHAN_HISTORY,2026-03-15 17:51:18
IRB,2025-10-15 09:35:00,42.07,42.09,42.04,42.09,6217,DHAN_HISTORY,2026-03-15 17:51:18
IRB,2025-10-15 09:36:00,42.06,42.08,42.03,42.04,19242,DHAN_HISTORY,2026-03-15 17:51:18
IRB,2025-10-15 09:37:00,42.02,42.07,42.02,42.07,19185,DHAN_HISTORY,2026-03-15 17:51:18
IRB,2025-10-15 09:38:00,42.07,42.07,42.01,42.01,33137,DHAN_HISTORY,2026-03-15 17:51:18
IRB,2025-10-15 09:39:00,42.04,42.04,42.01,42.04,6070,DHAN_HISTORY,2026-03-15 17:51:18
IRB,2025-10-15 09:40:00,42.04,42.04,42.01,42.02,18269,DHAN_HISTORY,2026-03-15 17:51:18
IRB,2025-10-15 09:41:00,42.01,42.01,41.94,41.94,122620,DHAN_HISTORY,2026-03-15 17:51:18
IRB,2025-10-15 09:42:00,41.96,41.96,41.94,41.95,23037,DHAN_HISTORY,2026-03-15 17:51:18
IRB,2025-10-15 09:43:00,41.95,41.98,41.95,41.97,4931,DHAN_HISTORY,2026-03-15 17:51:18
IRB,2025-10-15 09:44:00,41.98,42.02,41.98,42.0,13778,DHAN_HISTORY,2026-03-15 17:51:18
IRB,2025-10-15 09:45:00,42.02,42.02,42.0,42.01,10011,DHAN_HISTORY,2026-03-15 17:51:18
IRB,2025-10-15 09:46:00,42.01,42.03,41.97,41.97,23790,DHAN_HISTORY,2026-03-15 17:51:18
IRB,2025-10-15 09:47:00,41.98,42.0,41.95,41.98,8217,DHAN_HISTORY,2026-03-15 17:51:18
IRB,2025-10-15 09:48:00,42.0,42.03,42.0,42.02,8130,DHAN_HISTORY,2026-03-15 17:51:18
IRB,2025-10-15 09:49:00,41.98,41.99,41.97,41.98,7231,DHAN_HISTORY,2026-03-15 17:51:18
IRB,2025-10-15 09:50:00,41.97,41.98,41.96,41.97,7380,DHAN_HISTORY,2026-03-15 17:51:18
IRB,2025-10-15 09:51:00,41.97,42.0,41.95,41.99,22880,DHAN_HISTORY,2026-03-15 17:51:18
IRB,2025-10-15 09:52:00,42.0,42.0,41.96,41.98,4918,DHAN_HISTORY,2026-03-15 17:51:18
IRB,2025-10-15 09:53:00,41.96,41.98,41.95,41.98,11811,DHAN_HISTORY,2026-03-15 17:51:18
IRB,2025-10-15 09:54:00,41.98,41.98,41.96,41.97,1579,DHAN_HISTORY,2026-03-15 17:51:18
IRB,2025-10-15 09:55:00,41.96,41.98,41.95,41.97,10610,DHAN_HISTORY,2026-03-15 17:51:18
IRB,2025-10-15 09:56:00,41.97,42.0,41.97,41.98,15861,DHAN_HISTORY,2026-03-15 17:51:18
IRB,2025-10-15 09:57:00,42.0,42.0,41.97,41.97,1701,DHAN_HISTORY,2026-03-15 17:51:18
IRB,2025-10-15 09:58:00,41.98,41.98,41.97,41.98,3809,DHAN_HISTORY,2026-03-15 17:51:18
IRB,2025-10-15 09:59:00,41.97,42.0,41.97,42.0,4958,DHAN_HISTORY,2026-03-15 17:51:18
IRB,2025-10-15 10:00:00,41.99,42.0,41.98,41.99,7079,DHAN_HISTORY,2026-03-15 17:51:18
IRB,2025-10-15 10:01:00,41.99,42.05,41.97,42.04,29792,DHAN_HISTORY,2026-03-15 17:51:18
IRB,2025-10-15 10:02:00,42.04,42.05,41.97,41.99,18388,DHAN_HISTORY,2026-03-15 17:51:18
IRB,2025-10-15 10:03:00,41.99,42.03,41.98,42.02,6717,DHAN_HISTORY,2026-03-15 17:51:18
IRB,2025-10-15 10:04:00,42.0,42.0,41.98,42.0,14959,DHAN_HISTORY,2026-03-15 17:51:18
IRB,2025-10-15 10:05:00,41.98,42.02,41.98,41.99,10742,DHAN_HISTORY,2026-03-15 17:51:18
IRB,2025-10-15 10:06:00,42.01,42.01,41.96,41.98,14553,DHAN_HISTORY,2026-03-15 17:51:18
IRB,2025-10-15 10:07:00,41.96,41.99,41.96,41.99,3170,DHAN_HISTORY,2026-03-15 17:51:18
IRB,2025-10-15 10:08:00,41.99,42.0,41.98,41.99,2122,DHAN_HISTORY,2026-03-15 17:51:18
IRB,2025-10-15 10:09:00,41.99,42.0,41.99,42.0,1388,DHAN_HISTORY,2026-03-15 17:51:18
