symbol,timestamp,open,high,low,close,volume,source,last_updated
IRCTC,2026-02-11 09:15:00,635.0,636.05,633.05,633.2,20724,DHAN_HISTORY,2026-03-15 18:10:18
IRCTC,2026-02-11 09:16:00,633.25,633.3,631.2,632.1,18108,DHAN_HISTORY,2026-03-15 18:10:18
IRCTC,2026-02-11 09:17:00,632.0,632.3,631.0,631.45,5535,DHAN_HISTORY,2026-03-15 18:10:18
IRCTC,2026-02-11 09:18:00,631.1,631.45,630.6,631.0,10307,DHAN_HISTORY,2026-03-15 18:10:18
IRCTC,2026-02-11 09:19:00,631.0,631.5,630.5,631.5,8087,DHAN_HISTORY,2026-03-15 18:10:18
IRCTC,2026-02-11 09:20:00,631.5,631.5,630.9,630.9,9572,DHAN_HISTORY,2026-03-15 18:10:18
IRCTC,2026-02-11 09:21:00,631.0,631.35,630.8,631.0,5244,DHAN_HISTORY,2026-03-15 18:10:18
IRCTC,2026-02-11 09:22:00,631.0,631.35,631.0,631.35,3282,DHAN_HISTORY,2026-03-15 18:10:18
IRCTC,2026-02-11 09:23:00,631.3,632.45,630.85,632.0,8247,DHAN_HISTORY,2026-03-15 18:10:18
IRCTC,2026-02-11 09:24:00,632.0,632.05,631.3,631.7,2954,DHAN_HISTORY,2026-03-15 18:10:18
IRCTC,2026-02-11 09:25:00,631.4,632.45,631.4,632.4,15866,DHAN_HISTORY,2026-03-15 18:10:18
IRCTC,2026-02-11 09:26:00,632.45,633.85,632.45,633.2,7169,DHAN_HISTORY,2026-03-15 18:10:18
IRCTC,2026-02-11 09:27:00,633.2,633.5,632.55,633.0,7666,DHAN_HISTORY,2026-03-15 18:10:18
IRCTC,2026-02-11 09:28:00,633.3,633.3,632.35,632.35,1768,DHAN_HISTORY,2026-03-15 18:10:18
IRCTC,2026-02-11 09:29:00,632.4,632.75,632.1,632.4,2740,DHAN_HISTORY,2026-03-15 18:10:18
IRCTC,2026-02-11 09:30:00,632.15,632.45,631.2,631.6,9311,DHAN_HISTORY,2026-03-15 18:10:18
IRCTC,2026-02-11 09:31:00,631.2,631.55,631.0,631.45,2509,DHAN_HISTORY,2026-03-15 18:10:18
IRCTC,2026-02-11 09:32:00,631.05,631.45,630.8,630.8,4436,DHAN_HISTORY,2026-03-15 18:10:18
IRCTC,2026-02-11 09:33:00,630.8,631.05,630.05,630.45,5137,DHAN_HISTORY,2026-03-15 18:10:18
IRCTC,2026-02-11 09:34:00,630.1,630.45,629.2,629.2,10856,DHAN_HISTORY,2026-03-15 18:10:18
IRCTC,2026-02-11 09:35:00,629.5,629.5,628.65,628.7,3697,DHAN_HISTORY,2026-03-15 18:10:18
IRCTC,2026-02-11 09:36:00,629.0,629.1,628.7,629.0,3149,DHAN_HISTORY,2026-03-15 18:10:18
IRCTC,2026-02-11 09:37:00,628.8,629.4,628.8,629.05,10969,DHAN_HISTORY,2026-03-15 18:10:18
IRCTC,2026-02-11 09:38:00,629.4,629.4,628.75,629.05,4251,DHAN_HISTORY,2026-03-15 18:10:18
IRCTC,2026-02-11 09:39:00,629.0,629.15,628.0,628.75,12582,DHAN_HISTORY,2026-03-15 18:10:18
IRCTC,2026-02-11 09:40:00,628.7,628.7,628.0,628.35,4617,DHAN_HISTORY,2026-03-15 18:10:18
IRCTC,2026-02-11 09:41:00,628.15,628.4,627.7,628.0,5522,DHAN_HISTORY,2026-03-15 18:10:18
IRCTC,2026-02-11 09:42:00,628.0,628.0,627.7,628.0,3069,DHAN_HISTORY,2026-03-15 18:10:18
IRCTC,2026-02-11 09:43:00,627.65,628.0,627.6,627.95,1782,DHAN_HISTORY,2026-03-15 18:10:18
IRCTC,2026-02-11 09:44:00,627.95,628.0,627.65,627.9,5913,DHAN_HISTORY,2026-03-15 18:10:18
IRCTC,2026-02-11 09:45:00,627.9,627.95,627.65,627.7,2212,DHAN_HISTORY,2026-03-15 18:10:18
IRCTC,2026-02-11 09:46:00,627.7,627.95,627.65,627.95,1475,DHAN_HISTORY,2026-03-15 18:10:18
IRCTC,2026-02-11 09:47:00,627.85,628.0,627.65,628.0,1429,DHAN_HISTORY,2026-03-15 18:10:18
