symbol,timestamp,open,high,low,close,volume,source,last_updated
ITC,2025-09-29 09:15:00,406.9,406.9,404.65,405.8,117099,DHAN_HISTORY,2026-03-15 17:34:42
ITC,2025-09-29 09:16:00,405.65,405.65,404.9,405.25,70074,DHAN_HISTORY,2026-03-15 17:34:42
ITC,2025-09-29 09:17:00,405.05,405.4,404.65,405.2,17853,DHAN_HISTORY,2026-03-15 17:34:42
ITC,2025-09-29 09:18:00,405.2,405.2,404.5,404.95,36712,DHAN_HISTORY,2026-03-15 17:34:42
ITC,2025-09-29 09:19:00,404.95,404.95,404.6,404.65,16240,DHAN_HISTORY,2026-03-15 17:34:42
ITC,2025-09-29 09:20:00,404.65,404.85,404.2,404.25,23520,DHAN_HISTORY,2026-03-15 17:34:42
ITC,2025-09-29 09:21:00,404.5,404.9,404.5,404.7,67084,DHAN_HISTORY,2026-03-15 17:34:42
ITC,2025-09-29 09:22:00,404.55,404.7,404.15,404.35,15102,DHAN_HISTORY,2026-03-15 17:34:42
ITC,2025-09-29 09:23:00,404.45,404.45,404.05,404.35,24099,DHAN_HISTORY,2026-03-15 17:34:42
ITC,2025-09-29 09:24:00,404.35,404.7,404.15,404.45,29511,DHAN_HISTORY,2026-03-15 17:34:42
ITC,2025-09-29 09:25:00,404.35,404.4,403.8,403.95,15247,DHAN_HISTORY,2026-03-15 17:34:42
ITC,2025-09-29 09:26:00,403.85,403.95,403.35,403.55,14984,DHAN_HISTORY,2026-03-15 17:34:42
ITC,2025-09-29 09:27:00,403.55,403.7,403.35,403.5,13899,DHAN_HISTORY,2026-03-15 17:34:42
ITC,2025-09-29 09:28:00,403.5,403.5,403.2,403.45,19516,DHAN_HISTORY,2026-03-15 17:34:42
ITC,2025-09-29 09:29:00,403.45,403.65,403.45,403.65,16534,DHAN_HISTORY,2026-03-15 17:34:42
ITC,2025-09-29 09:30:00,403.65,403.85,403.35,403.35,21132,DHAN_HISTORY,2026-03-15 17:34:42
ITC,2025-09-29 09:31:00,403.55,403.7,403.35,403.7,31066,DHAN_HISTORY,2026-03-15 17:34:42
