symbol,timestamp,open,high,low,close,volume,source,last_updated
ITCHOTELS,2025-10-23 09:15:00,226.5,226.59,224.13,224.55,67697,DHAN_HISTORY,2026-03-15 17:51:44
ITCHOTELS,2025-10-23 09:16:00,224.55,225.06,224.25,224.55,29261,DHAN_HISTORY,2026-03-15 17:51:44
ITCHOTELS,2025-10-23 09:17:00,224.48,225.7,224.34,225.26,20753,DHAN_HISTORY,2026-03-15 17:51:44
ITCHOTELS,2025-10-23 09:18:00,225.08,225.16,224.31,224.51,50978,DHAN_HISTORY,2026-03-15 17:51:44
ITCHOTELS,2025-10-23 09:19:00,224.46,224.7,224.21,224.58,13259,DHAN_HISTORY,2026-03-15 17:51:44
ITCHOTELS,2025-10-23 09:20:00,224.58,224.73,224.26,224.35,8459,DHAN_HISTORY,2026-03-15 17:51:44
ITCHOTELS,2025-10-23 09:21:00,224.51,224.73,224.0,224.03,14603,DHAN_HISTORY,2026-03-15 17:51:44
ITCHOTELS,2025-10-23 09:22:00,223.9,223.9,223.29,223.8,35810,DHAN_HISTORY,2026-03-15 17:51:44
ITCHOTELS,2025-10-23 09:23:00,223.75,224.24,223.75,224.15,26298,DHAN_HISTORY,2026-03-15 17:51:44
ITCHOTELS,2025-10-23 09:24:00,224.02,224.16,223.65,223.9,18357,DHAN_HISTORY,2026-03-15 17:51:44
ITCHOTELS,2025-10-23 09:25:00,223.85,224.14,223.76,224.02,6136,DHAN_HISTORY,2026-03-15 17:51:44
ITCHOTELS,2025-10-23 09:26:00,223.99,224.5,223.79,224.28,16760,DHAN_HISTORY,2026-03-15 17:51:44
ITCHOTELS,2025-10-23 09:27:00,224.28,224.42,224.05,224.2,4693,DHAN_HISTORY,2026-03-15 17:51:44
ITCHOTELS,2025-10-23 09:28:00,224.16,224.16,223.66,223.91,14552,DHAN_HISTORY,2026-03-15 17:51:44
ITCHOTELS,2025-10-23 09:29:00,224.02,224.28,223.72,224.01,27017,DHAN_HISTORY,2026-03-15 17:51:44
ITCHOTELS,2025-10-23 09:30:00,224.12,224.35,224.07,224.26,4752,DHAN_HISTORY,2026-03-15 17:51:44
ITCHOTELS,2025-10-23 09:31:00,224.22,224.51,224.0,224.51,18406,DHAN_HISTORY,2026-03-15 17:51:44
ITCHOTELS,2025-10-23 09:32:00,224.6,224.68,224.25,224.29,6730,DHAN_HISTORY,2026-03-15 17:51:44
ITCHOTELS,2025-10-23 09:33:00,224.34,224.46,224.26,224.3,5786,DHAN_HISTORY,2026-03-15 17:51:44
ITCHOTELS,2025-10-23 09:34:00,224.34,224.69,224.08,224.2,12700,DHAN_HISTORY,2026-03-15 17:51:44
ITCHOTELS,2025-10-23 09:35:00,224.27,224.35,224.07,224.29,12524,DHAN_HISTORY,2026-03-15 17:51:44
ITCHOTELS,2025-10-23 09:36:00,224.29,224.55,224.29,224.5,4052,DHAN_HISTORY,2026-03-15 17:51:44
ITCHOTELS,2025-10-23 09:37:00,224.5,224.59,224.17,224.57,15600,DHAN_HISTORY,2026-03-15 17:51:44
ITCHOTELS,2025-10-23 09:38:00,224.5,224.9,224.33,224.6,5561,DHAN_HISTORY,2026-03-15 17:51:44
ITCHOTELS,2025-10-23 09:39:00,224.64,224.79,224.59,224.61,11518,DHAN_HISTORY,2026-03-15 17:51:44
ITCHOTELS,2025-10-23 09:40:00,224.65,224.69,224.59,224.65,16257,DHAN_HISTORY,2026-03-15 17:51:44
ITCHOTELS,2025-10-23 09:41:00,224.61,224.82,224.59,224.71,11888,DHAN_HISTORY,2026-03-15 17:51:44
