symbol,timestamp,open,high,low,close,volume,source,last_updated
JINDALSTEL,2025-10-23 09:15:00,1012.0,1022.9,1012.0,1016.2,10553,DHAN_HISTORY,2026-03-15 18:10:27
JINDALSTEL,2025-10-23 09:16:00,1016.0,1017.4,1015.0,1015.0,15445,DHAN_HISTORY,2026-03-15 18:10:27
JINDALSTEL,2025-10-23 09:17:00,1014.4,1014.4,1011.4,1011.4,3813,DHAN_HISTORY,2026-03-15 18:10:27
JINDALSTEL,2025-10-23 09:18:00,1011.1,1012.3,1010.9,1012.2,9066,DHAN_HISTORY,2026-03-15 18:10:27
JINDALSTEL,2025-10-23 09:19:00,1012.2,1012.4,1010.2,1010.5,6284,DHAN_HISTORY,2026-03-15 18:10:27
JINDALSTEL,2025-10-23 09:20:00,1010.4,1010.7,1006.7,1008.6,18109,DHAN_HISTORY,2026-03-15 18:10:27
JINDALSTEL,2025-10-23 09:21:00,1008.1,1010.0,1008.1,1009.5,2658,DHAN_HISTORY,2026-03-15 18:10:27
JINDALSTEL,2025-10-23 09:22:00,1009.9,1014.5,1009.4,1014.5,13398,DHAN_HISTORY,2026-03-15 18:10:27
JINDALSTEL,2025-10-23 09:23:00,1015.1,1016.2,1013.8,1014.5,8335,DHAN_HISTORY,2026-03-15 18:10:27
JINDALSTEL,2025-10-23 09:24:00,1014.6,1015.2,1014.4,1015.1,4892,DHAN_HISTORY,2026-03-15 18:10:27
JINDALSTEL,2025-10-23 09:25:00,1015.1,1017.2,1015.1,1016.7,7644,DHAN_HISTORY,2026-03-15 18:10:27
JINDALSTEL,2025-10-23 09:26:00,1016.8,1016.8,1015.4,1015.4,5296,DHAN_HISTORY,2026-03-15 18:10:27
JINDALSTEL,2025-10-23 09:27:00,1015.4,1015.5,1014.0,1014.1,2165,DHAN_HISTORY,2026-03-15 18:10:27
JINDALSTEL,2025-10-23 09:28:00,1014.9,1015.2,1014.6,1015.0,879,DHAN_HISTORY,2026-03-15 18:10:27
