symbol,timestamp,open,high,low,close,volume,source,last_updated
KITEX,2026-03-11 09:15:00,169.0,170.56,169.0,170.56,7152,DHAN_HISTORY,2026-03-15 16:46:00
KITEX,2026-03-11 09:16:00,171.0,171.4,170.29,171.4,17418,DHAN_HISTORY,2026-03-15 16:46:00
KITEX,2026-03-11 09:17:00,171.0,172.99,171.0,172.55,23824,DHAN_HISTORY,2026-03-15 16:46:00
KITEX,2026-03-11 09:18:00,172.44,172.9,172.0,172.12,9766,DHAN_HISTORY,2026-03-15 16:46:00
KITEX,2026-03-11 09:19:00,172.15,173.0,172.0,172.64,16411,DHAN_HISTORY,2026-03-15 16:46:00
KITEX,2026-03-11 09:20:00,172.71,173.61,172.63,173.61,18628,DHAN_HISTORY,2026-03-15 16:46:00
KITEX,2026-03-11 09:21:00,173.46,173.54,172.9,173.33,12721,DHAN_HISTORY,2026-03-15 16:46:00
KITEX,2026-03-11 09:22:00,173.32,173.39,172.9,173.0,13628,DHAN_HISTORY,2026-03-15 16:46:00
KITEX,2026-03-11 09:23:00,172.99,173.12,172.74,172.74,9008,DHAN_HISTORY,2026-03-15 16:46:00
KITEX,2026-03-11 09:24:00,172.94,172.95,172.3,172.5,6474,DHAN_HISTORY,2026-03-15 16:46:00
KITEX,2026-03-11 09:25:00,172.3,172.51,172.3,172.4,2367,DHAN_HISTORY,2026-03-15 16:46:00
KITEX,2026-03-11 09:26:00,172.48,172.71,172.4,172.62,1568,DHAN_HISTORY,2026-03-15 16:46:00
KITEX,2026-03-11 09:27:00,172.7,173.5,172.58,173.29,8139,DHAN_HISTORY,2026-03-15 16:46:00
KITEX,2026-03-11 09:28:00,173.35,173.35,172.88,172.88,1093,DHAN_HISTORY,2026-03-15 16:46:00
KITEX,2026-03-11 09:29:00,173.19,173.25,172.56,172.68,3756,DHAN_HISTORY,2026-03-15 16:46:00
KITEX,2026-03-11 09:30:00,172.48,172.83,172.21,172.21,6114,DHAN_HISTORY,2026-03-15 16:46:00
KITEX,2026-03-11 09:31:00,172.08,172.51,172.0,172.0,8675,DHAN_HISTORY,2026-03-15 16:46:00
KITEX,2026-03-11 09:32:00,172.01,172.01,171.39,171.39,4920,DHAN_HISTORY,2026-03-15 16:46:00
KITEX,2026-03-11 09:33:00,171.43,171.64,171.4,171.5,3643,DHAN_HISTORY,2026-03-15 16:46:00
KITEX,2026-03-11 09:34:00,171.5,171.61,171.24,171.57,6543,DHAN_HISTORY,2026-03-15 16:46:00
KITEX,2026-03-11 09:35:00,171.57,171.77,171.15,171.44,14693,DHAN_HISTORY,2026-03-15 16:46:00
KITEX,2026-03-11 09:36:00,171.39,171.39,170.64,170.81,31506,DHAN_HISTORY,2026-03-15 16:46:00
KITEX,2026-03-11 09:37:00,170.52,170.55,170.3,170.47,3542,DHAN_HISTORY,2026-03-15 16:46:00
KITEX,2026-03-11 09:38:00,170.5,170.76,170.32,170.74,2696,DHAN_HISTORY,2026-03-15 16:46:00
KITEX,2026-03-11 09:39:00,170.74,170.74,170.48,170.72,2662,DHAN_HISTORY,2026-03-15 16:46:00
KITEX,2026-03-11 09:40:00,170.72,170.72,170.54,170.72,177,DHAN_HISTORY,2026-03-15 16:46:00
KITEX,2026-03-11 09:41:00,170.77,171.11,170.72,170.72,3137,DHAN_HISTORY,2026-03-15 16:46:00
KITEX,2026-03-11 09:42:00,170.8,170.87,170.8,170.86,990,DHAN_HISTORY,2026-03-15 16:46:00
KITEX,2026-03-11 09:43:00,170.86,171.0,170.79,170.79,2286,DHAN_HISTORY,2026-03-15 16:46:00
KITEX,2026-03-11 09:44:00,170.67,170.9,170.67,170.9,804,DHAN_HISTORY,2026-03-15 16:46:00
KITEX,2026-03-11 09:45:00,170.66,170.89,170.18,170.33,3013,DHAN_HISTORY,2026-03-15 16:46:00
KITEX,2026-03-11 09:46:00,170.0,170.56,170.0,170.5,11266,DHAN_HISTORY,2026-03-15 16:46:00
