symbol,timestamp,open,high,low,close,volume,source,last_updated
LICI,2026-01-12 09:15:00,829.0,831.0,827.7,830.95,6634,DHAN_HISTORY,2026-03-15 18:13:02
LICI,2026-01-12 09:16:00,830.3,830.95,829.25,829.65,3269,DHAN_HISTORY,2026-03-15 18:13:02
LICI,2026-01-12 09:17:00,829.65,829.9,828.15,828.35,10030,DHAN_HISTORY,2026-03-15 18:13:02
LICI,2026-01-12 09:18:00,828.75,829.9,828.75,829.6,5033,DHAN_HISTORY,2026-03-15 18:13:02
LICI,2026-01-12 09:19:00,829.6,830.8,829.0,829.7,9103,DHAN_HISTORY,2026-03-15 18:13:02
LICI,2026-01-12 09:20:00,829.65,830.9,829.45,830.6,2327,DHAN_HISTORY,2026-03-15 18:13:02
LICI,2026-01-12 09:21:00,830.75,831.8,830.05,831.8,4852,DHAN_HISTORY,2026-03-15 18:13:02
LICI,2026-01-12 09:22:00,832.0,832.0,830.6,830.6,1996,DHAN_HISTORY,2026-03-15 18:13:02
LICI,2026-01-12 09:23:00,830.45,831.5,830.1,830.75,15335,DHAN_HISTORY,2026-03-15 18:13:02
LICI,2026-01-12 09:24:00,830.75,830.75,829.4,829.85,3997,DHAN_HISTORY,2026-03-15 18:13:02
LICI,2026-01-12 09:25:00,829.85,829.85,829.05,829.35,822,DHAN_HISTORY,2026-03-15 18:13:02
LICI,2026-01-12 09:26:00,829.1,829.3,828.05,828.4,8530,DHAN_HISTORY,2026-03-15 18:13:02
LICI,2026-01-12 09:27:00,828.4,828.4,826.95,827.0,3653,DHAN_HISTORY,2026-03-15 18:13:02
LICI,2026-01-12 09:28:00,827.0,827.0,826.05,826.05,1775,DHAN_HISTORY,2026-03-15 18:13:02
LICI,2026-01-12 09:29:00,826.25,826.5,826.0,826.0,16974,DHAN_HISTORY,2026-03-15 18:13:02
LICI,2026-01-12 09:30:00,826.1,828.5,826.0,828.35,16359,DHAN_HISTORY,2026-03-15 18:13:02
LICI,2026-01-12 09:31:00,829.0,829.85,828.8,829.0,4799,DHAN_HISTORY,2026-03-15 18:13:02
LICI,2026-01-12 09:32:00,829.3,829.3,827.9,827.9,609,DHAN_HISTORY,2026-03-15 18:13:02
LICI,2026-01-12 09:33:00,828.05,829.35,828.05,828.8,2169,DHAN_HISTORY,2026-03-15 18:13:02
LICI,2026-01-12 09:34:00,828.8,830.4,828.8,829.75,4857,DHAN_HISTORY,2026-03-15 18:13:02
LICI,2026-01-12 09:35:00,829.5,829.95,828.8,829.5,3041,DHAN_HISTORY,2026-03-15 18:13:02
LICI,2026-01-12 09:36:00,829.7,830.5,829.5,830.5,8281,DHAN_HISTORY,2026-03-15 18:13:02
LICI,2026-01-12 09:37:00,830.9,831.95,830.9,831.75,5913,DHAN_HISTORY,2026-03-15 18:13:02
LICI,2026-01-12 09:38:00,831.4,832.75,831.4,832.6,7682,DHAN_HISTORY,2026-03-15 18:13:02
