symbol,timestamp,open,high,low,close,volume,source,last_updated
LLOYDSENGG,2026-02-19 09:15:00,52.4,52.4,52.07,52.3,26523,DHAN_HISTORY,2026-03-15 16:46:37
LLOYDSENGG,2026-02-19 09:16:00,52.44,52.9,52.44,52.8,85590,DHAN_HISTORY,2026-03-15 16:46:37
LLOYDSENGG,2026-02-19 09:17:00,52.81,53.59,52.77,53.4,80658,DHAN_HISTORY,2026-03-15 16:46:37
LLOYDSENGG,2026-02-19 09:18:00,53.38,53.53,52.98,53.04,84955,DHAN_HISTORY,2026-03-15 16:46:37
LLOYDSENGG,2026-02-19 09:19:00,53.06,53.18,52.75,52.8,86447,DHAN_HISTORY,2026-03-15 16:46:37
LLOYDSENGG,2026-02-19 09:20:00,52.82,52.82,52.53,52.63,114477,DHAN_HISTORY,2026-03-15 16:46:37
LLOYDSENGG,2026-02-19 09:21:00,52.8,52.94,52.71,52.71,26856,DHAN_HISTORY,2026-03-15 16:46:37
LLOYDSENGG,2026-02-19 09:22:00,52.7,52.77,52.59,52.59,8011,DHAN_HISTORY,2026-03-15 16:46:37
LLOYDSENGG,2026-02-19 09:23:00,52.63,52.63,52.53,52.53,1870,DHAN_HISTORY,2026-03-15 16:46:37
LLOYDSENGG,2026-02-19 09:24:00,52.53,52.57,52.47,52.47,11206,DHAN_HISTORY,2026-03-15 16:46:37
LLOYDSENGG,2026-02-19 09:25:00,52.45,52.5,52.42,52.42,6584,DHAN_HISTORY,2026-03-15 16:46:37
LLOYDSENGG,2026-02-19 09:26:00,52.41,52.49,52.36,52.4,24972,DHAN_HISTORY,2026-03-15 16:46:37
LLOYDSENGG,2026-02-19 09:27:00,52.4,52.4,52.25,52.34,8663,DHAN_HISTORY,2026-03-15 16:46:37
LLOYDSENGG,2026-02-19 09:28:00,52.25,52.35,52.22,52.33,26583,DHAN_HISTORY,2026-03-15 16:46:37
LLOYDSENGG,2026-02-19 09:29:00,52.28,52.3,52.21,52.3,8644,DHAN_HISTORY,2026-03-15 16:46:37
LLOYDSENGG,2026-02-19 09:30:00,52.3,52.3,52.16,52.2,10667,DHAN_HISTORY,2026-03-15 16:46:37
LLOYDSENGG,2026-02-19 09:31:00,52.2,52.31,52.17,52.25,16119,DHAN_HISTORY,2026-03-15 16:46:37
LLOYDSENGG,2026-02-19 09:32:00,52.2,52.27,52.16,52.21,9936,DHAN_HISTORY,2026-03-15 16:46:37
LLOYDSENGG,2026-02-19 09:33:00,52.24,52.24,52.2,52.23,1047,DHAN_HISTORY,2026-03-15 16:46:37
LLOYDSENGG,2026-02-19 09:34:00,52.27,52.31,52.24,52.31,1131,DHAN_HISTORY,2026-03-15 16:46:37
LLOYDSENGG,2026-02-19 09:35:00,52.31,52.31,52.25,52.3,1148,DHAN_HISTORY,2026-03-15 16:46:37
LLOYDSENGG,2026-02-19 09:36:00,52.3,52.3,52.25,52.25,4117,DHAN_HISTORY,2026-03-15 16:46:37
LLOYDSENGG,2026-02-19 09:37:00,52.25,52.25,52.15,52.18,21040,DHAN_HISTORY,2026-03-15 16:46:37
LLOYDSENGG,2026-02-19 09:38:00,52.11,52.11,52.05,52.06,23019,DHAN_HISTORY,2026-03-15 16:46:37
LLOYDSENGG,2026-02-19 09:39:00,52.05,52.06,52.02,52.06,5561,DHAN_HISTORY,2026-03-15 16:46:37
LLOYDSENGG,2026-02-19 09:40:00,52.06,52.16,52.0,52.16,13293,DHAN_HISTORY,2026-03-15 16:46:37
LLOYDSENGG,2026-02-19 09:41:00,52.12,52.31,52.12,52.17,14817,DHAN_HISTORY,2026-03-15 16:46:37
LLOYDSENGG,2026-02-19 09:42:00,52.11,52.16,52.11,52.12,2199,DHAN_HISTORY,2026-03-15 16:46:37
LLOYDSENGG,2026-02-19 09:43:00,52.12,52.12,52.1,52.1,1889,DHAN_HISTORY,2026-03-15 16:46:37
LLOYDSENGG,2026-02-19 09:44:00,52.1,52.1,52.05,52.05,1693,DHAN_HISTORY,2026-03-15 16:46:37
LLOYDSENGG,2026-02-19 09:45:00,52.06,52.06,52.05,52.05,1019,DHAN_HISTORY,2026-03-15 16:46:37
LLOYDSENGG,2026-02-19 09:46:00,52.05,52.05,52.05,52.05,215,DHAN_HISTORY,2026-03-15 16:46:37
LLOYDSENGG,2026-02-19 09:47:00,52.05,52.1,52.04,52.04,1373,DHAN_HISTORY,2026-03-15 16:46:37
LLOYDSENGG,2026-02-19 09:48:00,52.17,52.25,52.17,52.25,7295,DHAN_HISTORY,2026-03-15 16:46:37
LLOYDSENGG,2026-02-19 09:49:00,52.25,52.25,52.2,52.2,201,DHAN_HISTORY,2026-03-15 16:46:37
LLOYDSENGG,2026-02-19 09:50:00,52.15,52.2,52.1,52.2,6076,DHAN_HISTORY,2026-03-15 16:46:37
LLOYDSENGG,2026-02-19 09:51:00,52.2,52.2,52.14,52.15,260,DHAN_HISTORY,2026-03-15 16:46:37
