symbol,timestamp,open,high,low,close,volume,source,last_updated
MID150BEES,2025-12-18 09:15:00,228.4,228.4,224.85,225.24,1993,DHAN_HISTORY,2026-03-15 16:47:09
MID150BEES,2025-12-18 09:16:00,225.29,225.38,224.86,224.86,335,DHAN_HISTORY,2026-03-15 16:47:09
MID150BEES,2025-12-18 09:17:00,225.26,225.26,224.9,225.01,407,DHAN_HISTORY,2026-03-15 16:47:09
MID150BEES,2025-12-18 09:18:00,225.01,225.24,224.77,225.14,3517,DHAN_HISTORY,2026-03-15 16:47:09
MID150BEES,2025-12-18 09:19:00,225.0,225.2,224.83,224.96,217,DHAN_HISTORY,2026-03-15 16:47:09
MID150BEES,2025-12-18 09:20:00,225.0,225.11,224.8,225.06,547,DHAN_HISTORY,2026-03-15 16:47:09
MID150BEES,2025-12-18 09:21:00,225.0,225.08,224.8,224.81,1024,DHAN_HISTORY,2026-03-15 16:47:09
MID150BEES,2025-12-18 09:22:00,224.81,225.03,224.8,224.97,1078,DHAN_HISTORY,2026-03-15 16:47:09
MID150BEES,2025-12-18 09:23:00,224.81,225.07,224.81,224.92,284,DHAN_HISTORY,2026-03-15 16:47:09
MID150BEES,2025-12-18 09:24:00,225.07,225.07,224.82,225.0,845,DHAN_HISTORY,2026-03-15 16:47:09
MID150BEES,2025-12-18 09:25:00,225.0,225.07,224.83,225.07,579,DHAN_HISTORY,2026-03-15 16:47:09
MID150BEES,2025-12-18 09:26:00,225.07,225.07,224.92,225.07,572,DHAN_HISTORY,2026-03-15 16:47:09
MID150BEES,2025-12-18 09:27:00,225.07,225.07,225.07,225.07,5461,DHAN_HISTORY,2026-03-15 16:47:09
MID150BEES,2025-12-18 09:28:00,225.07,225.07,225.0,225.06,225,DHAN_HISTORY,2026-03-15 16:47:09
MID150BEES,2025-12-18 09:29:00,225.06,225.06,224.9,225.06,710,DHAN_HISTORY,2026-03-15 16:47:09
MID150BEES,2025-12-18 09:30:00,225.06,225.06,224.9,225.05,1273,DHAN_HISTORY,2026-03-15 16:47:09
MID150BEES,2025-12-18 09:31:00,225.05,225.06,224.9,225.01,860,DHAN_HISTORY,2026-03-15 16:47:09
MID150BEES,2025-12-18 09:32:00,224.9,225.04,224.81,224.91,1726,DHAN_HISTORY,2026-03-15 16:47:09
MID150BEES,2025-12-18 09:33:00,224.87,224.87,224.77,224.83,1512,DHAN_HISTORY,2026-03-15 16:47:09
MID150BEES,2025-12-18 09:34:00,224.75,224.88,224.75,224.8,66,DHAN_HISTORY,2026-03-15 16:47:09
MID150BEES,2025-12-18 09:35:00,224.84,224.84,224.63,224.65,1371,DHAN_HISTORY,2026-03-15 16:47:09
MID150BEES,2025-12-18 09:36:00,224.74,224.75,224.65,224.69,101,DHAN_HISTORY,2026-03-15 16:47:09
MID150BEES,2025-12-18 09:37:00,224.7,224.74,224.53,224.53,916,DHAN_HISTORY,2026-03-15 16:47:09
MID150BEES,2025-12-18 09:38:00,224.54,224.74,224.54,224.7,1607,DHAN_HISTORY,2026-03-15 16:47:09
MID150BEES,2025-12-18 09:39:00,224.52,224.69,224.51,224.65,1631,DHAN_HISTORY,2026-03-15 16:47:09
MID150BEES,2025-12-18 09:40:00,224.65,224.65,224.36,224.58,1480,DHAN_HISTORY,2026-03-15 16:47:09
MID150BEES,2025-12-18 09:41:00,224.54,224.54,224.44,224.44,2393,DHAN_HISTORY,2026-03-15 16:47:09
MID150BEES,2025-12-18 09:42:00,224.43,224.43,224.17,224.35,3172,DHAN_HISTORY,2026-03-15 16:47:09
MID150BEES,2025-12-18 09:43:00,224.34,224.35,224.14,224.35,397,DHAN_HISTORY,2026-03-15 16:47:09
MID150BEES,2025-12-18 09:44:00,224.35,224.35,224.22,224.22,581,DHAN_HISTORY,2026-03-15 16:47:09
MID150BEES,2025-12-18 09:45:00,224.2,224.2,224.1,224.11,1700,DHAN_HISTORY,2026-03-15 16:47:09
MID150BEES,2025-12-18 09:46:00,224.11,224.11,224.04,224.04,112,DHAN_HISTORY,2026-03-15 16:47:09
MID150BEES,2025-12-18 09:47:00,224.03,224.03,223.94,223.98,1852,DHAN_HISTORY,2026-03-15 16:47:09
MID150BEES,2025-12-18 09:48:00,223.97,224.0,223.92,224.0,308,DHAN_HISTORY,2026-03-15 16:47:09
MID150BEES,2025-12-18 09:49:00,224.0,224.0,224.0,224.0,630,DHAN_HISTORY,2026-03-15 16:47:09
MID150BEES,2025-12-18 09:50:00,223.99,223.99,223.93,223.96,1005,DHAN_HISTORY,2026-03-15 16:47:09
MID150BEES,2025-12-18 09:51:00,223.96,224.0,223.96,223.96,379,DHAN_HISTORY,2026-03-15 16:47:09
MID150BEES,2025-12-18 09:52:00,223.98,224.08,223.98,224.05,269,DHAN_HISTORY,2026-03-15 16:47:09
MID150BEES,2025-12-18 09:53:00,223.85,224.06,223.85,224.01,1613,DHAN_HISTORY,2026-03-15 16:47:09
MID150BEES,2025-12-18 09:54:00,224.03,224.03,223.98,223.99,730,DHAN_HISTORY,2026-03-15 16:47:09
MID150BEES,2025-12-18 09:55:00,223.99,224.03,223.98,224.03,334,DHAN_HISTORY,2026-03-15 16:47:09
MID150BEES,2025-12-18 09:56:00,224.03,224.05,223.39,224.05,23406,DHAN_HISTORY,2026-03-15 16:47:09
MID150BEES,2025-12-18 09:57:00,224.0,224.0,223.8,223.98,178,DHAN_HISTORY,2026-03-15 16:47:09
MID150BEES,2025-12-18 09:58:00,223.92,223.93,223.71,223.93,2585,DHAN_HISTORY,2026-03-15 16:47:09
MID150BEES,2025-12-18 09:59:00,223.93,224.0,223.8,223.8,891,DHAN_HISTORY,2026-03-15 16:47:09
MID150BEES,2025-12-18 10:00:00,223.91,223.95,223.87,223.87,904,DHAN_HISTORY,2026-03-15 16:47:09
MID150BEES,2025-12-18 10:01:00,223.88,223.9,223.82,223.9,695,DHAN_HISTORY,2026-03-15 16:47:09
MID150BEES,2025-12-18 10:02:00,223.89,223.91,223.82,223.91,850,DHAN_HISTORY,2026-03-15 16:47:09
MID150BEES,2025-12-18 10:03:00,223.9,223.91,223.67,223.82,1502,DHAN_HISTORY,2026-03-15 16:47:09
MID150BEES,2025-12-18 10:04:00,223.78,223.79,223.62,223.79,263,DHAN_HISTORY,2026-03-15 16:47:09
MID150BEES,2025-12-18 10:05:00,223.79,223.87,223.59,223.87,975,DHAN_HISTORY,2026-03-15 16:47:09
MID150BEES,2025-12-18 10:06:00,223.87,223.94,223.87,223.89,1082,DHAN_HISTORY,2026-03-15 16:47:09
MID150BEES,2025-12-18 10:07:00,223.9,223.92,223.71,223.92,315,DHAN_HISTORY,2026-03-15 16:47:09
MID150BEES,2025-12-18 10:08:00,223.99,224.17,223.91,224.17,2697,DHAN_HISTORY,2026-03-15 16:47:09
MID150BEES,2025-12-18 10:09:00,224.19,224.27,223.82,224.27,3046,DHAN_HISTORY,2026-03-15 16:47:09
MID150BEES,2025-12-18 10:10:00,224.29,224.29,223.94,224.23,309,DHAN_HISTORY,2026-03-15 16:47:09
MID150BEES,2025-12-18 10:11:00,224.23,224.28,223.98,224.26,247,DHAN_HISTORY,2026-03-15 16:47:09
MID150BEES,2025-12-18 10:12:00,224.3,224.48,224.26,224.48,207,DHAN_HISTORY,2026-03-15 16:47:09
MID150BEES,2025-12-18 10:13:00,224.48,224.51,224.45,224.51,322,DHAN_HISTORY,2026-03-15 16:47:09
MID150BEES,2025-12-18 10:14:00,224.5,224.5,224.32,224.32,203,DHAN_HISTORY,2026-03-15 16:47:09
MID150BEES,2025-12-18 10:15:00,224.49,224.49,224.26,224.35,713,DHAN_HISTORY,2026-03-15 16:47:09
MID150BEES,2025-12-18 10:16:00,224.38,224.43,224.19,224.35,2857,DHAN_HISTORY,2026-03-15 16:47:09
MID150BEES,2025-12-18 10:17:00,224.35,224.58,224.32,224.58,187,DHAN_HISTORY,2026-03-15 16:47:09
MID150BEES,2025-12-18 10:18:00,224.57,224.58,224.44,224.55,67,DHAN_HISTORY,2026-03-15 16:47:09
MID150BEES,2025-12-18 10:19:00,224.56,224.82,224.56,224.82,139,DHAN_HISTORY,2026-03-15 16:47:09
MID150BEES,2025-12-18 10:20:00,224.82,224.86,224.62,224.8,78,DHAN_HISTORY,2026-03-15 16:47:09
