symbol,timestamp,open,high,low,close,volume,source,last_updated
MOTHERSON,2026-01-21 09:15:00,106.32,108.0,106.32,107.89,521742,DHAN_HISTORY,2026-03-15 17:36:09
MOTHERSON,2026-01-21 09:16:00,108.04,109.0,108.04,109.0,297726,DHAN_HISTORY,2026-03-15 17:36:09
MOTHERSON,2026-01-21 09:17:00,109.0,109.09,108.91,109.01,76649,DHAN_HISTORY,2026-03-15 17:36:09
MOTHERSON,2026-01-21 09:18:00,109.08,109.9,109.08,109.9,81768,DHAN_HISTORY,2026-03-15 17:36:09
MOTHERSON,2026-01-21 09:19:00,109.99,110.17,109.71,109.8,153363,DHAN_HISTORY,2026-03-15 17:36:09
MOTHERSON,2026-01-21 09:20:00,109.77,109.88,109.27,109.3,130767,DHAN_HISTORY,2026-03-15 17:36:09
MOTHERSON,2026-01-21 09:21:00,109.25,109.4,109.12,109.3,100432,DHAN_HISTORY,2026-03-15 17:36:09
MOTHERSON,2026-01-21 09:22:00,109.22,109.49,109.16,109.16,93101,DHAN_HISTORY,2026-03-15 17:36:09
MOTHERSON,2026-01-21 09:23:00,109.41,109.74,109.25,109.37,258810,DHAN_HISTORY,2026-03-15 17:36:09
MOTHERSON,2026-01-21 09:24:00,109.31,109.8,109.31,109.8,111771,DHAN_HISTORY,2026-03-15 17:36:09
MOTHERSON,2026-01-21 09:25:00,109.8,110.0,109.68,110.0,96948,DHAN_HISTORY,2026-03-15 17:36:09
MOTHERSON,2026-01-21 09:26:00,110.0,110.17,109.9,110.12,203233,DHAN_HISTORY,2026-03-15 17:36:09
MOTHERSON,2026-01-21 09:27:00,110.1,110.13,109.69,109.73,107975,DHAN_HISTORY,2026-03-15 17:36:09
MOTHERSON,2026-01-21 09:28:00,109.77,109.86,109.45,109.52,116443,DHAN_HISTORY,2026-03-15 17:36:09
MOTHERSON,2026-01-21 09:29:00,109.52,109.52,109.2,109.26,133523,DHAN_HISTORY,2026-03-15 17:36:09
MOTHERSON,2026-01-21 09:30:00,109.26,109.71,109.23,109.71,142865,DHAN_HISTORY,2026-03-15 17:36:09
MOTHERSON,2026-01-21 09:31:00,109.67,109.74,109.27,109.68,132612,DHAN_HISTORY,2026-03-15 17:36:09
MOTHERSON,2026-01-21 09:32:00,109.68,109.83,109.61,109.63,41764,DHAN_HISTORY,2026-03-15 17:36:09
MOTHERSON,2026-01-21 09:33:00,109.68,109.81,109.3,109.3,71842,DHAN_HISTORY,2026-03-15 17:36:09
MOTHERSON,2026-01-21 09:34:00,109.3,109.65,109.3,109.65,37626,DHAN_HISTORY,2026-03-15 17:36:09
MOTHERSON,2026-01-21 09:35:00,109.66,109.66,109.27,109.33,55929,DHAN_HISTORY,2026-03-15 17:36:09
MOTHERSON,2026-01-21 09:36:00,109.27,109.43,109.11,109.16,76114,DHAN_HISTORY,2026-03-15 17:36:09
MOTHERSON,2026-01-21 09:37:00,109.14,109.14,108.98,109.02,67453,DHAN_HISTORY,2026-03-15 17:36:09
MOTHERSON,2026-01-21 09:38:00,109.01,109.14,108.5,108.58,196105,DHAN_HISTORY,2026-03-15 17:36:09
MOTHERSON,2026-01-21 09:39:00,108.63,108.75,108.48,108.49,36056,DHAN_HISTORY,2026-03-15 17:36:09
MOTHERSON,2026-01-21 09:40:00,108.49,108.8,108.47,108.52,116323,DHAN_HISTORY,2026-03-15 17:36:09
MOTHERSON,2026-01-21 09:41:00,108.55,108.74,108.4,108.46,60160,DHAN_HISTORY,2026-03-15 17:36:09
MOTHERSON,2026-01-21 09:42:00,108.51,109.04,108.46,108.55,126871,DHAN_HISTORY,2026-03-15 17:36:09
MOTHERSON,2026-01-21 09:43:00,108.53,108.57,108.4,108.52,49301,DHAN_HISTORY,2026-03-15 17:36:09
MOTHERSON,2026-01-21 09:44:00,108.57,108.87,108.38,108.45,138944,DHAN_HISTORY,2026-03-15 17:36:09
MOTHERSON,2026-01-21 09:45:00,108.45,108.47,108.28,108.41,65842,DHAN_HISTORY,2026-03-15 17:36:09
MOTHERSON,2026-01-21 09:46:00,108.43,108.46,108.24,108.32,61265,DHAN_HISTORY,2026-03-15 17:36:09
MOTHERSON,2026-01-21 09:47:00,108.32,108.73,108.17,108.19,171613,DHAN_HISTORY,2026-03-15 17:36:09
MOTHERSON,2026-01-21 09:48:00,108.19,108.41,108.0,108.4,89122,DHAN_HISTORY,2026-03-15 17:36:09
MOTHERSON,2026-01-21 09:49:00,108.42,108.7,108.35,108.35,78106,DHAN_HISTORY,2026-03-15 17:36:09
MOTHERSON,2026-01-21 09:50:00,108.29,108.37,108.21,108.35,21228,DHAN_HISTORY,2026-03-15 17:36:09
MOTHERSON,2026-01-21 09:51:00,108.41,108.64,108.41,108.61,54709,DHAN_HISTORY,2026-03-15 17:36:09
MOTHERSON,2026-01-21 09:52:00,108.57,108.72,108.44,108.72,69000,DHAN_HISTORY,2026-03-15 17:36:09
MOTHERSON,2026-01-21 09:53:00,108.72,108.93,108.52,108.52,82575,DHAN_HISTORY,2026-03-15 17:36:09
MOTHERSON,2026-01-21 09:54:00,108.52,108.53,108.42,108.43,14650,DHAN_HISTORY,2026-03-15 17:36:09
MOTHERSON,2026-01-21 09:55:00,108.52,108.63,108.2,108.24,31375,DHAN_HISTORY,2026-03-15 17:36:09
MOTHERSON,2026-01-21 09:56:00,108.24,108.87,108.24,108.87,48118,DHAN_HISTORY,2026-03-15 17:36:09
MOTHERSON,2026-01-21 09:57:00,108.89,108.89,108.36,108.39,29254,DHAN_HISTORY,2026-03-15 17:36:09
MOTHERSON,2026-01-21 09:58:00,108.39,108.54,108.36,108.5,19658,DHAN_HISTORY,2026-03-15 17:36:09
MOTHERSON,2026-01-21 09:59:00,108.35,108.5,108.33,108.39,23199,DHAN_HISTORY,2026-03-15 17:36:09
MOTHERSON,2026-01-21 10:00:00,108.37,108.59,108.33,108.49,23206,DHAN_HISTORY,2026-03-15 17:36:09
MOTHERSON,2026-01-21 10:01:00,108.45,108.68,108.33,108.34,30631,DHAN_HISTORY,2026-03-15 17:36:09
MOTHERSON,2026-01-21 10:02:00,108.41,108.51,108.34,108.47,46640,DHAN_HISTORY,2026-03-15 17:36:09
MOTHERSON,2026-01-21 10:03:00,108.42,108.76,108.42,108.59,23763,DHAN_HISTORY,2026-03-15 17:36:09
MOTHERSON,2026-01-21 10:04:00,108.51,108.65,108.51,108.57,11042,DHAN_HISTORY,2026-03-15 17:36:09
MOTHERSON,2026-01-21 10:05:00,108.6,108.84,108.57,108.75,34995,DHAN_HISTORY,2026-03-15 17:36:09
MOTHERSON,2026-01-21 10:06:00,108.71,108.77,108.6,108.66,12456,DHAN_HISTORY,2026-03-15 17:36:09
MOTHERSON,2026-01-21 10:07:00,108.69,108.75,108.62,108.66,9270,DHAN_HISTORY,2026-03-15 17:36:09
MOTHERSON,2026-01-21 10:08:00,108.64,108.76,108.61,108.66,18808,DHAN_HISTORY,2026-03-15 17:36:09
MOTHERSON,2026-01-21 10:09:00,108.67,108.75,108.6,108.7,15267,DHAN_HISTORY,2026-03-15 17:36:09
MOTHERSON,2026-01-21 10:10:00,108.7,108.73,108.59,108.64,33789,DHAN_HISTORY,2026-03-15 17:36:09
MOTHERSON,2026-01-21 10:11:00,108.69,108.94,108.57,108.57,28723,DHAN_HISTORY,2026-03-15 17:36:09
MOTHERSON,2026-01-21 10:12:00,108.6,108.62,108.43,108.62,37269,DHAN_HISTORY,2026-03-15 17:36:09
MOTHERSON,2026-01-21 10:13:00,108.7,109.12,108.64,109.09,60339,DHAN_HISTORY,2026-03-15 17:36:09
MOTHERSON,2026-01-21 10:14:00,109.09,109.09,108.74,108.77,40280,DHAN_HISTORY,2026-03-15 17:36:09
MOTHERSON,2026-01-21 10:15:00,108.8,108.91,108.69,108.88,69934,DHAN_HISTORY,2026-03-15 17:36:09
MOTHERSON,2026-01-21 10:16:00,108.82,108.99,108.82,108.88,44090,DHAN_HISTORY,2026-03-15 17:36:09
MOTHERSON,2026-01-21 10:17:00,108.81,109.1,108.81,109.05,41996,DHAN_HISTORY,2026-03-15 17:36:09
MOTHERSON,2026-01-21 10:18:00,109.05,109.05,108.85,108.85,22873,DHAN_HISTORY,2026-03-15 17:36:09
MOTHERSON,2026-01-21 10:19:00,108.8,109.06,108.76,108.95,40343,DHAN_HISTORY,2026-03-15 17:36:09
MOTHERSON,2026-01-21 10:20:00,108.95,109.12,108.89,108.98,35978,DHAN_HISTORY,2026-03-15 17:36:09
MOTHERSON,2026-01-21 10:21:00,108.89,108.9,108.66,108.73,27092,DHAN_HISTORY,2026-03-15 17:36:09
MOTHERSON,2026-01-21 10:22:00,108.73,108.78,108.65,108.73,11380,DHAN_HISTORY,2026-03-15 17:36:09
MOTHERSON,2026-01-21 10:23:00,108.73,108.85,108.59,108.8,15245,DHAN_HISTORY,2026-03-15 17:36:09
MOTHERSON,2026-01-21 10:24:00,108.81,108.97,108.74,108.89,14698,DHAN_HISTORY,2026-03-15 17:36:09
MOTHERSON,2026-01-21 10:25:00,108.92,109.09,108.84,108.87,28640,DHAN_HISTORY,2026-03-15 17:36:09
MOTHERSON,2026-01-21 10:26:00,108.82,108.87,108.69,108.76,42005,DHAN_HISTORY,2026-03-15 17:36:09
MOTHERSON,2026-01-21 10:27:00,108.78,109.01,108.73,108.85,47714,DHAN_HISTORY,2026-03-15 17:36:09
MOTHERSON,2026-01-21 10:28:00,108.76,108.81,108.63,108.78,24886,DHAN_HISTORY,2026-03-15 17:36:09
MOTHERSON,2026-01-21 10:29:00,108.73,108.85,108.66,108.78,26283,DHAN_HISTORY,2026-03-15 17:36:09
MOTHERSON,2026-01-21 10:30:00,108.77,108.8,108.66,108.66,18874,DHAN_HISTORY,2026-03-15 17:36:09
MOTHERSON,2026-01-21 10:31:00,108.6,108.66,108.41,108.6,67137,DHAN_HISTORY,2026-03-15 17:36:09
MOTHERSON,2026-01-21 10:32:00,108.61,108.61,108.44,108.55,22956,DHAN_HISTORY,2026-03-15 17:36:09
