symbol,timestamp,open,high,low,close,volume,source,last_updated
NESTLEIND,2025-09-24 09:15:00,1167.9,1170.0,1165.4,1166.3,6475,DHAN_HISTORY,2026-03-15 18:17:12
NESTLEIND,2025-09-24 09:16:00,1166.0,1169.1,1165.2,1168.6,4507,DHAN_HISTORY,2026-03-15 18:17:12
NESTLEIND,2025-09-24 09:17:00,1167.9,1169.7,1167.0,1169.7,5269,DHAN_HISTORY,2026-03-15 18:17:12
NESTLEIND,2025-09-24 09:18:00,1169.4,1169.9,1167.9,1167.9,2600,DHAN_HISTORY,2026-03-15 18:17:12
NESTLEIND,2025-09-24 09:19:00,1167.7,1169.0,1166.5,1166.5,4007,DHAN_HISTORY,2026-03-15 18:17:12
NESTLEIND,2025-09-24 09:20:00,1166.4,1166.4,1165.1,1165.1,6487,DHAN_HISTORY,2026-03-15 18:17:12
NESTLEIND,2025-09-24 09:21:00,1165.3,1165.7,1164.5,1165.0,4135,DHAN_HISTORY,2026-03-15 18:17:12
NESTLEIND,2025-09-24 09:22:00,1164.6,1164.6,1163.3,1164.0,5598,DHAN_HISTORY,2026-03-15 18:17:12
NESTLEIND,2025-09-24 09:23:00,1164.2,1164.6,1163.6,1164.1,6841,DHAN_HISTORY,2026-03-15 18:17:12
NESTLEIND,2025-09-24 09:24:00,1164.3,1165.0,1164.2,1164.6,3325,DHAN_HISTORY,2026-03-15 18:17:12
NESTLEIND,2025-09-24 09:25:00,1164.5,1164.9,1162.9,1162.9,3496,DHAN_HISTORY,2026-03-15 18:17:12
NESTLEIND,2025-09-24 09:26:00,1162.9,1163.9,1162.4,1163.5,4408,DHAN_HISTORY,2026-03-15 18:17:12
NESTLEIND,2025-09-24 09:27:00,1163.3,1163.4,1162.7,1162.9,2336,DHAN_HISTORY,2026-03-15 18:17:12
NESTLEIND,2025-09-24 09:28:00,1162.9,1163.9,1162.6,1163.4,4218,DHAN_HISTORY,2026-03-15 18:17:12
NESTLEIND,2025-09-24 09:29:00,1162.9,1163.6,1162.8,1163.5,2925,DHAN_HISTORY,2026-03-15 18:17:12
NESTLEIND,2025-09-24 09:30:00,1163.5,1164.0,1162.8,1162.8,2681,DHAN_HISTORY,2026-03-15 18:17:12
NESTLEIND,2025-09-24 09:31:00,1162.8,1164.0,1162.1,1163.8,5994,DHAN_HISTORY,2026-03-15 18:17:12
NESTLEIND,2025-09-24 09:32:00,1163.9,1165.4,1163.9,1165.4,2004,DHAN_HISTORY,2026-03-15 18:17:12
NESTLEIND,2025-09-24 09:33:00,1164.8,1164.8,1162.6,1163.5,7625,DHAN_HISTORY,2026-03-15 18:17:12
NESTLEIND,2025-09-24 09:34:00,1163.4,1164.5,1161.9,1162.7,16907,DHAN_HISTORY,2026-03-15 18:17:12
NESTLEIND,2025-09-24 09:35:00,1162.4,1162.6,1161.4,1162.5,6833,DHAN_HISTORY,2026-03-15 18:17:12
NESTLEIND,2025-09-24 09:36:00,1162.5,1164.6,1162.5,1164.2,10499,DHAN_HISTORY,2026-03-15 18:17:12
NESTLEIND,2025-09-24 09:37:00,1164.2,1166.5,1164.2,1165.9,8372,DHAN_HISTORY,2026-03-15 18:17:12
NESTLEIND,2025-09-24 09:38:00,1165.9,1165.9,1164.2,1164.9,1133,DHAN_HISTORY,2026-03-15 18:17:12
NESTLEIND,2025-09-24 09:39:00,1164.6,1164.7,1163.7,1164.0,1786,DHAN_HISTORY,2026-03-15 18:17:12
NESTLEIND,2025-09-24 09:40:00,1163.7,1164.7,1163.1,1164.7,1231,DHAN_HISTORY,2026-03-15 18:17:12
NESTLEIND,2025-09-24 09:41:00,1164.1,1164.2,1162.6,1163.1,1006,DHAN_HISTORY,2026-03-15 18:17:12
NESTLEIND,2025-09-24 09:42:00,1163.1,1163.8,1162.5,1162.7,993,DHAN_HISTORY,2026-03-15 18:17:12
NESTLEIND,2025-09-24 09:43:00,1162.5,1163.5,1162.5,1163.0,1018,DHAN_HISTORY,2026-03-15 18:17:12
NESTLEIND,2025-09-24 09:44:00,1162.8,1163.4,1162.6,1163.4,6056,DHAN_HISTORY,2026-03-15 18:17:12
NESTLEIND,2025-09-24 09:45:00,1162.9,1164.4,1162.8,1164.1,1165,DHAN_HISTORY,2026-03-15 18:17:12
NESTLEIND,2025-09-24 09:46:00,1164.0,1165.1,1163.7,1165.1,1559,DHAN_HISTORY,2026-03-15 18:17:12
NESTLEIND,2025-09-24 09:47:00,1164.6,1165.5,1164.5,1164.7,19497,DHAN_HISTORY,2026-03-15 18:17:12
NESTLEIND,2025-09-24 09:48:00,1164.7,1165.0,1164.1,1164.1,1356,DHAN_HISTORY,2026-03-15 18:17:12
NESTLEIND,2025-09-24 09:49:00,1164.2,1165.0,1164.2,1164.6,1061,DHAN_HISTORY,2026-03-15 18:17:12
NESTLEIND,2025-09-24 09:50:00,1164.5,1165.5,1164.0,1165.1,4351,DHAN_HISTORY,2026-03-15 18:17:12
NESTLEIND,2025-09-24 09:51:00,1164.8,1165.8,1164.8,1165.8,1573,DHAN_HISTORY,2026-03-15 18:17:12
NESTLEIND,2025-09-24 09:52:00,1166.1,1166.5,1165.3,1165.8,1808,DHAN_HISTORY,2026-03-15 18:17:12
NESTLEIND,2025-09-24 09:53:00,1165.3,1165.7,1165.1,1165.3,868,DHAN_HISTORY,2026-03-15 18:17:12
NESTLEIND,2025-09-24 09:54:00,1165.2,1165.7,1165.2,1165.2,796,DHAN_HISTORY,2026-03-15 18:17:12
NESTLEIND,2025-09-24 09:55:00,1165.2,1166.5,1165.2,1165.6,1746,DHAN_HISTORY,2026-03-15 18:17:12
NESTLEIND,2025-09-24 09:56:00,1165.6,1166.0,1165.2,1166.0,1061,DHAN_HISTORY,2026-03-15 18:17:12
NESTLEIND,2025-09-24 09:57:00,1166.0,1166.5,1165.7,1165.9,1243,DHAN_HISTORY,2026-03-15 18:17:12
