symbol,timestamp,open,high,low,close,volume,source,last_updated
NHPC,2025-09-23 09:15:00,87.85,88.3,87.51,87.56,168869,DHAN_HISTORY,2026-03-15 17:36:52
NHPC,2025-09-23 09:16:00,87.5,87.5,87.05,87.08,199693,DHAN_HISTORY,2026-03-15 17:36:52
NHPC,2025-09-23 09:17:00,87.04,87.14,87.0,87.11,56928,DHAN_HISTORY,2026-03-15 17:36:52
NHPC,2025-09-23 09:18:00,87.1,87.16,87.0,87.08,105395,DHAN_HISTORY,2026-03-15 17:36:52
NHPC,2025-09-23 09:19:00,87.1,87.38,87.08,87.37,96319,DHAN_HISTORY,2026-03-15 17:36:52
NHPC,2025-09-23 09:20:00,87.37,87.39,87.16,87.36,74029,DHAN_HISTORY,2026-03-15 17:36:52
NHPC,2025-09-23 09:21:00,87.3,87.37,87.3,87.3,28729,DHAN_HISTORY,2026-03-15 17:36:52
NHPC,2025-09-23 09:22:00,87.32,87.48,87.26,87.26,71843,DHAN_HISTORY,2026-03-15 17:36:52
NHPC,2025-09-23 09:23:00,87.29,87.29,87.2,87.21,80303,DHAN_HISTORY,2026-03-15 17:36:52
NHPC,2025-09-23 09:24:00,87.2,87.2,87.0,87.01,46156,DHAN_HISTORY,2026-03-15 17:36:52
NHPC,2025-09-23 09:25:00,87.04,87.05,86.91,86.93,109559,DHAN_HISTORY,2026-03-15 17:36:52
NHPC,2025-09-23 09:26:00,86.93,86.99,86.88,86.97,65808,DHAN_HISTORY,2026-03-15 17:36:52
NHPC,2025-09-23 09:27:00,86.99,87.0,86.91,86.95,64170,DHAN_HISTORY,2026-03-15 17:36:52
NHPC,2025-09-23 09:28:00,86.93,86.95,86.85,86.9,50995,DHAN_HISTORY,2026-03-15 17:36:52
NHPC,2025-09-23 09:29:00,86.88,86.88,86.81,86.85,39001,DHAN_HISTORY,2026-03-15 17:36:52
NHPC,2025-09-23 09:30:00,86.85,86.85,86.69,86.78,94499,DHAN_HISTORY,2026-03-15 17:36:52
NHPC,2025-09-23 09:31:00,86.8,86.8,86.65,86.69,41804,DHAN_HISTORY,2026-03-15 17:36:52
NHPC,2025-09-23 09:32:00,86.65,86.74,86.62,86.62,65965,DHAN_HISTORY,2026-03-15 17:36:52
NHPC,2025-09-23 09:33:00,86.63,86.7,86.57,86.7,57064,DHAN_HISTORY,2026-03-15 17:36:52
NHPC,2025-09-23 09:34:00,86.7,86.73,86.66,86.67,57467,DHAN_HISTORY,2026-03-15 17:36:52
NHPC,2025-09-23 09:35:00,86.69,86.75,86.63,86.68,71428,DHAN_HISTORY,2026-03-15 17:36:52
NHPC,2025-09-23 09:36:00,86.68,86.85,86.68,86.76,106741,DHAN_HISTORY,2026-03-15 17:36:52
NHPC,2025-09-23 09:37:00,86.72,86.87,86.72,86.87,24191,DHAN_HISTORY,2026-03-15 17:36:52
NHPC,2025-09-23 09:38:00,86.82,86.87,86.65,86.8,58951,DHAN_HISTORY,2026-03-15 17:36:52
NHPC,2025-09-23 09:39:00,86.79,86.97,86.76,86.94,46542,DHAN_HISTORY,2026-03-15 17:36:52
NHPC,2025-09-23 09:40:00,86.94,87.09,86.91,87.0,154268,DHAN_HISTORY,2026-03-15 17:36:52
NHPC,2025-09-23 09:41:00,87.02,87.03,86.9,86.91,40295,DHAN_HISTORY,2026-03-15 17:36:52
NHPC,2025-09-23 09:42:00,86.88,86.89,86.81,86.81,40521,DHAN_HISTORY,2026-03-15 17:36:52
NHPC,2025-09-23 09:43:00,86.81,86.81,86.7,86.77,23142,DHAN_HISTORY,2026-03-15 17:36:52
NHPC,2025-09-23 09:44:00,86.73,86.85,86.7,86.85,50784,DHAN_HISTORY,2026-03-15 17:36:52
