symbol,timestamp,open,high,low,close,volume,source,last_updated
NIFTYBEES,2025-12-12 09:15:00,293.4,294.09,293.08,293.95,34258,DHAN_HISTORY,2026-03-15 16:48:02
NIFTYBEES,2025-12-12 09:16:00,293.95,293.97,293.5,293.85,331884,DHAN_HISTORY,2026-03-15 16:48:02
NIFTYBEES,2025-12-12 09:17:00,293.88,293.95,293.81,293.9,42191,DHAN_HISTORY,2026-03-15 16:48:02
NIFTYBEES,2025-12-12 09:18:00,293.9,293.92,293.78,293.92,46890,DHAN_HISTORY,2026-03-15 16:48:02
NIFTYBEES,2025-12-12 09:19:00,293.92,294.0,293.91,294.0,20103,DHAN_HISTORY,2026-03-15 16:48:02
NIFTYBEES,2025-12-12 09:20:00,293.96,294.19,293.96,294.16,33194,DHAN_HISTORY,2026-03-15 16:48:02
NIFTYBEES,2025-12-12 09:21:00,294.18,294.18,294.03,294.15,18299,DHAN_HISTORY,2026-03-15 16:48:02
NIFTYBEES,2025-12-12 09:22:00,294.12,294.15,294.12,294.12,13082,DHAN_HISTORY,2026-03-15 16:48:02
NIFTYBEES,2025-12-12 09:23:00,294.13,294.16,294.0,294.1,21647,DHAN_HISTORY,2026-03-15 16:48:02
NIFTYBEES,2025-12-12 09:24:00,294.11,294.11,293.9,294.0,32382,DHAN_HISTORY,2026-03-15 16:48:02
NIFTYBEES,2025-12-12 09:25:00,293.99,294.0,293.87,293.87,6783,DHAN_HISTORY,2026-03-15 16:48:02
NIFTYBEES,2025-12-12 09:26:00,293.87,293.97,293.87,293.96,8207,DHAN_HISTORY,2026-03-15 16:48:02
NIFTYBEES,2025-12-12 09:27:00,293.96,294.1,293.92,294.1,25399,DHAN_HISTORY,2026-03-15 16:48:02
NIFTYBEES,2025-12-12 09:28:00,294.1,294.1,294.02,294.1,3668,DHAN_HISTORY,2026-03-15 16:48:02
NIFTYBEES,2025-12-12 09:29:00,294.09,294.14,294.06,294.1,18189,DHAN_HISTORY,2026-03-15 16:48:02
NIFTYBEES,2025-12-12 09:30:00,294.14,294.3,294.14,294.28,52229,DHAN_HISTORY,2026-03-15 16:48:02
NIFTYBEES,2025-12-12 09:31:00,294.28,294.52,294.28,294.5,91659,DHAN_HISTORY,2026-03-15 16:48:02
NIFTYBEES,2025-12-12 09:32:00,294.5,294.54,294.5,294.5,53137,DHAN_HISTORY,2026-03-15 16:48:02
NIFTYBEES,2025-12-12 09:33:00,294.52,294.54,294.5,294.54,36721,DHAN_HISTORY,2026-03-15 16:48:02
NIFTYBEES,2025-12-12 09:34:00,294.54,294.61,294.5,294.61,41551,DHAN_HISTORY,2026-03-15 16:48:02
NIFTYBEES,2025-12-12 09:35:00,294.61,294.64,294.52,294.59,148853,DHAN_HISTORY,2026-03-15 16:48:02
NIFTYBEES,2025-12-12 09:36:00,294.57,294.65,294.57,294.65,73991,DHAN_HISTORY,2026-03-15 16:48:02
NIFTYBEES,2025-12-12 09:37:00,294.65,294.66,294.6,294.66,17955,DHAN_HISTORY,2026-03-15 16:48:02
NIFTYBEES,2025-12-12 09:38:00,294.66,294.67,294.6,294.67,44236,DHAN_HISTORY,2026-03-15 16:48:02
NIFTYBEES,2025-12-12 09:39:00,294.66,294.67,294.6,294.67,53418,DHAN_HISTORY,2026-03-15 16:48:02
NIFTYBEES,2025-12-12 09:40:00,294.67,294.68,294.66,294.66,84854,DHAN_HISTORY,2026-03-15 16:48:02
NIFTYBEES,2025-12-12 09:41:00,294.66,294.66,294.37,294.5,26705,DHAN_HISTORY,2026-03-15 16:48:02
NIFTYBEES,2025-12-12 09:42:00,294.38,294.5,294.36,294.5,17211,DHAN_HISTORY,2026-03-15 16:48:02
NIFTYBEES,2025-12-12 09:43:00,294.5,294.5,294.32,294.49,9799,DHAN_HISTORY,2026-03-15 16:48:02
NIFTYBEES,2025-12-12 09:44:00,294.49,294.55,294.36,294.55,20670,DHAN_HISTORY,2026-03-15 16:48:02
NIFTYBEES,2025-12-12 09:45:00,294.5,294.57,294.5,294.51,9762,DHAN_HISTORY,2026-03-15 16:48:02
NIFTYBEES,2025-12-12 09:46:00,294.51,294.51,294.25,294.42,60905,DHAN_HISTORY,2026-03-15 16:48:02
