symbol,timestamp,open,high,low,close,volume,source,last_updated
NMDC,2025-09-18 09:15:00,75.69,75.84,75.6,75.6,85882,DHAN_HISTORY,2026-03-15 17:37:11
NMDC,2025-09-18 09:16:00,75.62,75.75,75.52,75.71,181607,DHAN_HISTORY,2026-03-15 17:37:11
NMDC,2025-09-18 09:17:00,75.74,75.8,75.71,75.74,52515,DHAN_HISTORY,2026-03-15 17:37:11
NMDC,2025-09-18 09:18:00,75.73,75.86,75.66,75.8,49784,DHAN_HISTORY,2026-03-15 17:37:11
NMDC,2025-09-18 09:19:00,75.8,75.85,75.78,75.78,25678,DHAN_HISTORY,2026-03-15 17:37:11
NMDC,2025-09-18 09:20:00,75.81,75.81,75.75,75.77,61424,DHAN_HISTORY,2026-03-15 17:37:11
NMDC,2025-09-18 09:21:00,75.77,75.77,75.69,75.71,29738,DHAN_HISTORY,2026-03-15 17:37:11
NMDC,2025-09-18 09:22:00,75.69,75.69,75.62,75.65,26031,DHAN_HISTORY,2026-03-15 17:37:11
NMDC,2025-09-18 09:23:00,75.65,75.66,75.64,75.66,5782,DHAN_HISTORY,2026-03-15 17:37:11
NMDC,2025-09-18 09:24:00,75.66,75.71,75.65,75.66,19845,DHAN_HISTORY,2026-03-15 17:37:11
NMDC,2025-09-18 09:25:00,75.7,75.7,75.62,75.62,39005,DHAN_HISTORY,2026-03-15 17:37:11
NMDC,2025-09-18 09:26:00,75.65,75.66,75.6,75.62,31187,DHAN_HISTORY,2026-03-15 17:37:11
NMDC,2025-09-18 09:27:00,75.64,75.68,75.62,75.68,8621,DHAN_HISTORY,2026-03-15 17:37:11
NMDC,2025-09-18 09:28:00,75.65,75.68,75.53,75.54,109848,DHAN_HISTORY,2026-03-15 17:37:11
NMDC,2025-09-18 09:29:00,75.53,75.59,75.49,75.53,66523,DHAN_HISTORY,2026-03-15 17:37:11
NMDC,2025-09-18 09:30:00,75.54,75.58,75.52,75.58,12426,DHAN_HISTORY,2026-03-15 17:37:11
NMDC,2025-09-18 09:31:00,75.57,75.57,75.48,75.52,65148,DHAN_HISTORY,2026-03-15 17:37:11
NMDC,2025-09-18 09:32:00,75.52,75.52,75.5,75.52,4091,DHAN_HISTORY,2026-03-15 17:37:11
NMDC,2025-09-18 09:33:00,75.52,75.55,75.5,75.55,18057,DHAN_HISTORY,2026-03-15 17:37:11
NMDC,2025-09-18 09:34:00,75.58,75.65,75.55,75.65,48932,DHAN_HISTORY,2026-03-15 17:37:11
NMDC,2025-09-18 09:35:00,75.65,75.66,75.6,75.63,12573,DHAN_HISTORY,2026-03-15 17:37:11
NMDC,2025-09-18 09:36:00,75.63,75.63,75.59,75.6,32801,DHAN_HISTORY,2026-03-15 17:37:11
NMDC,2025-09-18 09:37:00,75.59,75.59,75.55,75.59,35759,DHAN_HISTORY,2026-03-15 17:37:11
