symbol,timestamp,open,high,low,close,volume,source,last_updated
NTPC,2026-01-05 09:15:00,350.35,352.0,349.3,350.5,163333,DHAN_HISTORY,2026-03-15 17:37:39
NTPC,2026-01-05 09:16:00,350.5,351.15,350.0,350.65,167597,DHAN_HISTORY,2026-03-15 17:37:39
NTPC,2026-01-05 09:17:00,350.7,350.7,349.6,350.1,73815,DHAN_HISTORY,2026-03-15 17:37:39
NTPC,2026-01-05 09:18:00,350.15,350.7,349.8,350.5,53372,DHAN_HISTORY,2026-03-15 17:37:39
NTPC,2026-01-05 09:19:00,350.3,350.7,350.3,350.3,50595,DHAN_HISTORY,2026-03-15 17:37:39
NTPC,2026-01-05 09:20:00,350.3,350.65,350.0,350.0,64115,DHAN_HISTORY,2026-03-15 17:37:39
NTPC,2026-01-05 09:21:00,350.0,350.35,349.8,350.0,37972,DHAN_HISTORY,2026-03-15 17:37:39
NTPC,2026-01-05 09:22:00,349.95,350.3,349.85,350.1,37608,DHAN_HISTORY,2026-03-15 17:37:39
NTPC,2026-01-05 09:23:00,350.05,350.45,349.9,350.25,21876,DHAN_HISTORY,2026-03-15 17:37:39
NTPC,2026-01-05 09:24:00,350.25,350.3,350.0,350.0,23621,DHAN_HISTORY,2026-03-15 17:37:39
NTPC,2026-01-05 09:25:00,350.0,350.65,349.5,350.45,71768,DHAN_HISTORY,2026-03-15 17:37:39
NTPC,2026-01-05 09:26:00,350.35,350.35,349.6,349.6,17406,DHAN_HISTORY,2026-03-15 17:37:39
NTPC,2026-01-05 09:27:00,349.65,349.8,349.6,349.65,20764,DHAN_HISTORY,2026-03-15 17:37:39
NTPC,2026-01-05 09:28:00,349.6,349.65,349.25,349.25,42546,DHAN_HISTORY,2026-03-15 17:37:39
NTPC,2026-01-05 09:29:00,349.35,349.45,348.65,349.3,87233,DHAN_HISTORY,2026-03-15 17:37:39
NTPC,2026-01-05 09:30:00,349.25,349.3,348.85,349.0,26488,DHAN_HISTORY,2026-03-15 17:37:39
NTPC,2026-01-05 09:31:00,349.1,349.15,348.8,348.85,15849,DHAN_HISTORY,2026-03-15 17:37:39
NTPC,2026-01-05 09:32:00,348.95,349.0,348.6,348.75,25218,DHAN_HISTORY,2026-03-15 17:37:39
NTPC,2026-01-05 09:33:00,348.85,348.95,348.4,348.5,28669,DHAN_HISTORY,2026-03-15 17:37:39
NTPC,2026-01-05 09:34:00,348.6,348.65,348.45,348.55,24156,DHAN_HISTORY,2026-03-15 17:37:39
NTPC,2026-01-05 09:35:00,348.7,348.8,348.45,348.6,32391,DHAN_HISTORY,2026-03-15 17:37:39
NTPC,2026-01-05 09:36:00,348.7,348.9,348.5,348.7,14220,DHAN_HISTORY,2026-03-15 17:37:39
NTPC,2026-01-05 09:37:00,348.75,348.8,348.5,348.7,14734,DHAN_HISTORY,2026-03-15 17:37:39
NTPC,2026-01-05 09:38:00,348.7,348.95,348.65,348.85,13811,DHAN_HISTORY,2026-03-15 17:37:39
NTPC,2026-01-05 09:39:00,348.95,349.25,348.8,349.2,21307,DHAN_HISTORY,2026-03-15 17:37:39
NTPC,2026-01-05 09:40:00,349.25,349.65,349.2,349.55,31581,DHAN_HISTORY,2026-03-15 17:37:39
NTPC,2026-01-05 09:41:00,349.65,349.8,349.3,349.3,15583,DHAN_HISTORY,2026-03-15 17:37:39
NTPC,2026-01-05 09:42:00,349.3,349.4,348.9,349.0,16129,DHAN_HISTORY,2026-03-15 17:37:39
NTPC,2026-01-05 09:43:00,349.0,349.25,348.9,349.05,6455,DHAN_HISTORY,2026-03-15 17:37:39
NTPC,2026-01-05 09:44:00,349.0,349.9,349.0,349.9,24399,DHAN_HISTORY,2026-03-15 17:37:39
NTPC,2026-01-05 09:45:00,350.2,350.75,350.15,350.35,73777,DHAN_HISTORY,2026-03-15 17:37:39
NTPC,2026-01-05 09:46:00,350.45,350.45,350.0,350.3,26224,DHAN_HISTORY,2026-03-15 17:37:39
NTPC,2026-01-05 09:47:00,350.3,350.5,349.9,350.4,36625,DHAN_HISTORY,2026-03-15 17:37:39
NTPC,2026-01-05 09:48:00,350.45,350.8,350.25,350.7,28139,DHAN_HISTORY,2026-03-15 17:37:39
NTPC,2026-01-05 09:49:00,350.75,351.3,350.65,351.25,34138,DHAN_HISTORY,2026-03-15 17:37:39
