symbol,timestamp,open,high,low,close,volume,source,last_updated
NTPCGREEN,2025-10-17 09:15:00,99.2,99.85,99.2,99.74,11176,DHAN_HISTORY,2026-03-15 17:53:04
NTPCGREEN,2025-10-17 09:16:00,99.71,99.9,99.66,99.79,25766,DHAN_HISTORY,2026-03-15 17:53:04
NTPCGREEN,2025-10-17 09:17:00,99.79,99.87,99.67,99.8,21507,DHAN_HISTORY,2026-03-15 17:53:04
NTPCGREEN,2025-10-17 09:18:00,99.72,99.8,99.61,99.7,18062,DHAN_HISTORY,2026-03-15 17:53:04
NTPCGREEN,2025-10-17 09:19:00,99.7,99.76,99.58,99.7,20104,DHAN_HISTORY,2026-03-15 17:53:04
NTPCGREEN,2025-10-17 09:20:00,99.68,99.75,99.61,99.7,11215,DHAN_HISTORY,2026-03-15 17:53:04
NTPCGREEN,2025-10-17 09:21:00,99.74,99.8,99.66,99.66,5445,DHAN_HISTORY,2026-03-15 17:53:04
NTPCGREEN,2025-10-17 09:22:00,99.77,99.78,99.66,99.66,6217,DHAN_HISTORY,2026-03-15 17:53:04
NTPCGREEN,2025-10-17 09:23:00,99.68,99.7,99.63,99.7,5298,DHAN_HISTORY,2026-03-15 17:53:04
NTPCGREEN,2025-10-17 09:24:00,99.7,99.73,99.62,99.7,4825,DHAN_HISTORY,2026-03-15 17:53:04
NTPCGREEN,2025-10-17 09:25:00,99.69,99.77,99.63,99.71,7849,DHAN_HISTORY,2026-03-15 17:53:04
NTPCGREEN,2025-10-17 09:26:00,99.72,99.85,99.7,99.85,7388,DHAN_HISTORY,2026-03-15 17:53:04
NTPCGREEN,2025-10-17 09:27:00,99.85,99.85,99.75,99.8,2044,DHAN_HISTORY,2026-03-15 17:53:04
NTPCGREEN,2025-10-17 09:28:00,99.8,99.85,99.75,99.85,2672,DHAN_HISTORY,2026-03-15 17:53:04
NTPCGREEN,2025-10-17 09:29:00,99.78,99.84,99.71,99.82,3673,DHAN_HISTORY,2026-03-15 17:53:04
NTPCGREEN,2025-10-17 09:30:00,99.82,99.9,99.8,99.9,12250,DHAN_HISTORY,2026-03-15 17:53:04
NTPCGREEN,2025-10-17 09:31:00,99.9,100.0,99.9,100.0,6391,DHAN_HISTORY,2026-03-15 17:53:04
NTPCGREEN,2025-10-17 09:32:00,100.0,100.02,99.92,100.02,13533,DHAN_HISTORY,2026-03-15 17:53:04
NTPCGREEN,2025-10-17 09:33:00,100.02,100.05,99.82,99.91,28041,DHAN_HISTORY,2026-03-15 17:53:04
NTPCGREEN,2025-10-17 09:34:00,99.95,99.98,99.86,99.89,6191,DHAN_HISTORY,2026-03-15 17:53:04
NTPCGREEN,2025-10-17 09:35:00,99.91,99.91,99.78,99.89,4660,DHAN_HISTORY,2026-03-15 17:53:04
NTPCGREEN,2025-10-17 09:36:00,99.89,99.9,99.79,99.8,8047,DHAN_HISTORY,2026-03-15 17:53:04
NTPCGREEN,2025-10-17 09:37:00,99.8,99.84,99.73,99.8,2679,DHAN_HISTORY,2026-03-15 17:53:04
