symbol,timestamp,open,high,low,close,volume,source,last_updated
NXST,2026-01-21 09:15:00,159.89,160.0,159.89,159.99,138,DHAN_HISTORY,2026-03-15 16:48:45
NXST,2026-01-21 09:16:00,159.89,159.99,159.89,159.99,46,DHAN_HISTORY,2026-03-15 16:48:45
NXST,2026-01-21 09:17:00,160.0,160.46,159.89,159.99,927,DHAN_HISTORY,2026-03-15 16:48:45
NXST,2026-01-21 09:18:00,159.98,160.37,159.98,159.98,165,DHAN_HISTORY,2026-03-15 16:48:45
NXST,2026-01-21 09:19:00,160.36,160.36,160.36,160.36,12,DHAN_HISTORY,2026-03-15 16:48:45
NXST,2026-01-21 09:20:00,160.2,160.35,159.99,159.99,261,DHAN_HISTORY,2026-03-15 16:48:45
NXST,2026-01-21 09:21:00,159.99,160.28,159.91,160.19,215,DHAN_HISTORY,2026-03-15 16:48:45
NXST,2026-01-21 09:22:00,159.94,160.2,159.0,159.9,17382,DHAN_HISTORY,2026-03-15 16:48:45
NXST,2026-01-21 09:23:00,159.9,160.09,159.0,159.05,4026,DHAN_HISTORY,2026-03-15 16:48:45
NXST,2026-01-21 09:24:00,159.21,159.21,158.11,158.99,987,DHAN_HISTORY,2026-03-15 16:48:45
NXST,2026-01-21 09:25:00,158.75,158.98,158.75,158.76,427,DHAN_HISTORY,2026-03-15 16:48:45
NXST,2026-01-21 09:26:00,158.76,158.99,158.75,158.76,522,DHAN_HISTORY,2026-03-15 16:48:45
NXST,2026-01-21 09:27:00,158.99,159.41,158.93,159.41,221,DHAN_HISTORY,2026-03-15 16:48:45
NXST,2026-01-21 09:28:00,159.0,159.31,159.0,159.28,79,DHAN_HISTORY,2026-03-15 16:48:45
NXST,2026-01-21 09:29:00,159.05,159.43,159.05,159.29,660,DHAN_HISTORY,2026-03-15 16:48:45
NXST,2026-01-21 09:30:00,159.43,159.44,159.29,159.44,40,DHAN_HISTORY,2026-03-15 16:48:45
NXST,2026-01-21 09:31:00,159.44,159.84,159.44,159.79,97,DHAN_HISTORY,2026-03-15 16:48:45
NXST,2026-01-21 09:32:00,159.78,159.83,159.29,159.83,966,DHAN_HISTORY,2026-03-15 16:48:45
NXST,2026-01-21 09:33:00,159.53,159.55,159.53,159.55,13,DHAN_HISTORY,2026-03-15 16:48:45
