symbol,timestamp,open,high,low,close,volume,source,last_updated
PFOCUS,2025-10-07 09:15:00,175.85,178.2,175.85,177.4,40902,DHAN_HISTORY,2026-03-15 16:49:48
PFOCUS,2025-10-07 09:16:00,178.09,178.2,178.0,178.19,5565,DHAN_HISTORY,2026-03-15 16:49:48
PFOCUS,2025-10-07 09:17:00,178.1,178.5,178.05,178.26,19321,DHAN_HISTORY,2026-03-15 16:49:48
PFOCUS,2025-10-07 09:18:00,178.49,178.8,178.18,178.8,26107,DHAN_HISTORY,2026-03-15 16:49:48
PFOCUS,2025-10-07 09:19:00,178.77,179.19,178.77,178.91,10397,DHAN_HISTORY,2026-03-15 16:49:48
PFOCUS,2025-10-07 09:20:00,178.92,179.2,178.92,179.15,8006,DHAN_HISTORY,2026-03-15 16:49:48
PFOCUS,2025-10-07 09:21:00,179.0,179.29,179.0,179.12,15864,DHAN_HISTORY,2026-03-15 16:49:48
PFOCUS,2025-10-07 09:22:00,179.13,179.49,178.71,179.42,28041,DHAN_HISTORY,2026-03-15 16:49:48
PFOCUS,2025-10-07 09:23:00,179.12,179.45,178.9,179.27,17226,DHAN_HISTORY,2026-03-15 16:49:48
PFOCUS,2025-10-07 09:24:00,179.48,180.0,179.3,179.99,25570,DHAN_HISTORY,2026-03-15 16:49:48
PFOCUS,2025-10-07 09:25:00,180.0,180.24,179.85,180.24,16274,DHAN_HISTORY,2026-03-15 16:49:48
PFOCUS,2025-10-07 09:26:00,180.25,180.39,179.9,180.39,16149,DHAN_HISTORY,2026-03-15 16:49:48
PFOCUS,2025-10-07 09:27:00,180.5,180.5,180.32,180.5,16214,DHAN_HISTORY,2026-03-15 16:49:48
PFOCUS,2025-10-07 09:28:00,180.49,180.78,180.4,180.49,13365,DHAN_HISTORY,2026-03-15 16:49:48
PFOCUS,2025-10-07 09:29:00,180.77,182.0,180.77,181.12,55343,DHAN_HISTORY,2026-03-15 16:49:48
PFOCUS,2025-10-07 09:30:00,181.3,181.79,181.12,181.79,16542,DHAN_HISTORY,2026-03-15 16:49:48
PFOCUS,2025-10-07 09:31:00,181.58,182.0,181.58,181.86,19374,DHAN_HISTORY,2026-03-15 16:49:48
PFOCUS,2025-10-07 09:32:00,182.0,182.0,181.56,181.57,13547,DHAN_HISTORY,2026-03-15 16:49:48
PFOCUS,2025-10-07 09:33:00,181.75,182.4,181.56,181.61,66775,DHAN_HISTORY,2026-03-15 16:49:48
PFOCUS,2025-10-07 09:34:00,181.62,181.62,180.69,180.69,8301,DHAN_HISTORY,2026-03-15 16:49:48
PFOCUS,2025-10-07 09:35:00,180.7,181.36,180.49,181.2,30450,DHAN_HISTORY,2026-03-15 16:49:48
PFOCUS,2025-10-07 09:36:00,181.19,181.49,180.65,181.49,16643,DHAN_HISTORY,2026-03-15 16:49:48
PFOCUS,2025-10-07 09:37:00,181.49,181.5,181.2,181.2,1484,DHAN_HISTORY,2026-03-15 16:49:48
