symbol,timestamp,open,high,low,close,volume,source,last_updated
PGEL,2026-01-19 09:15:00,582.0,585.1,580.1,583.05,17748,DHAN_HISTORY,2026-03-15 17:39:34
PGEL,2026-01-19 09:16:00,582.35,583.15,582.0,582.0,9366,DHAN_HISTORY,2026-03-15 17:39:34
PGEL,2026-01-19 09:17:00,583.0,583.7,582.1,583.7,2428,DHAN_HISTORY,2026-03-15 17:39:34
PGEL,2026-01-19 09:18:00,583.45,585.75,582.9,585.3,4312,DHAN_HISTORY,2026-03-15 17:39:34
PGEL,2026-01-19 09:19:00,585.3,586.7,584.5,586.7,6939,DHAN_HISTORY,2026-03-15 17:39:34
PGEL,2026-01-19 09:20:00,586.0,586.3,584.65,586.3,9098,DHAN_HISTORY,2026-03-15 17:39:34
PGEL,2026-01-19 09:21:00,586.1,586.4,584.65,586.0,2126,DHAN_HISTORY,2026-03-15 17:39:34
PGEL,2026-01-19 09:22:00,585.55,585.75,584.35,584.65,1060,DHAN_HISTORY,2026-03-15 17:39:34
PGEL,2026-01-19 09:23:00,584.5,584.5,583.5,583.6,1633,DHAN_HISTORY,2026-03-15 17:39:34
PGEL,2026-01-19 09:24:00,584.0,584.0,582.85,583.1,2888,DHAN_HISTORY,2026-03-15 17:39:34
PGEL,2026-01-19 09:25:00,583.25,583.5,582.7,583.0,3254,DHAN_HISTORY,2026-03-15 17:39:34
PGEL,2026-01-19 09:26:00,582.85,583.2,582.15,582.6,1982,DHAN_HISTORY,2026-03-15 17:39:34
PGEL,2026-01-19 09:27:00,582.65,583.5,582.65,583.0,1706,DHAN_HISTORY,2026-03-15 17:39:34
PGEL,2026-01-19 09:28:00,583.0,583.2,582.25,582.75,2939,DHAN_HISTORY,2026-03-15 17:39:34
PGEL,2026-01-19 09:29:00,582.65,582.65,582.0,582.0,2832,DHAN_HISTORY,2026-03-15 17:39:34
PGEL,2026-01-19 09:30:00,582.0,582.55,581.3,581.7,4667,DHAN_HISTORY,2026-03-15 17:39:34
PGEL,2026-01-19 09:31:00,581.75,582.15,580.35,580.7,9029,DHAN_HISTORY,2026-03-15 17:39:34
PGEL,2026-01-19 09:32:00,580.6,583.2,580.6,582.45,10515,DHAN_HISTORY,2026-03-15 17:39:34
PGEL,2026-01-19 09:33:00,582.0,582.9,582.0,582.2,648,DHAN_HISTORY,2026-03-15 17:39:34
PGEL,2026-01-19 09:34:00,582.3,584.85,582.15,584.25,3538,DHAN_HISTORY,2026-03-15 17:39:34
PGEL,2026-01-19 09:35:00,583.5,584.9,582.2,582.65,4751,DHAN_HISTORY,2026-03-15 17:39:34
PGEL,2026-01-19 09:36:00,582.65,582.9,582.05,582.35,1810,DHAN_HISTORY,2026-03-15 17:39:34
PGEL,2026-01-19 09:37:00,582.3,582.3,581.6,581.8,2749,DHAN_HISTORY,2026-03-15 17:39:34
PGEL,2026-01-19 09:38:00,581.9,581.9,580.5,580.55,1910,DHAN_HISTORY,2026-03-15 17:39:34
PGEL,2026-01-19 09:39:00,580.75,580.85,580.35,580.35,147,DHAN_HISTORY,2026-03-15 17:39:34
PGEL,2026-01-19 09:40:00,580.7,580.85,579.4,579.5,9601,DHAN_HISTORY,2026-03-15 17:39:34
PGEL,2026-01-19 09:41:00,579.4,580.45,579.4,579.45,5009,DHAN_HISTORY,2026-03-15 17:39:34
PGEL,2026-01-19 09:42:00,579.4,579.6,578.6,578.6,3852,DHAN_HISTORY,2026-03-15 17:39:34
PGEL,2026-01-19 09:43:00,578.5,579.0,578.2,579.0,2702,DHAN_HISTORY,2026-03-15 17:39:34
PGEL,2026-01-19 09:44:00,578.85,579.8,578.55,579.4,3193,DHAN_HISTORY,2026-03-15 17:39:34
PGEL,2026-01-19 09:45:00,579.0,579.5,578.0,579.5,4211,DHAN_HISTORY,2026-03-15 17:39:34
PGEL,2026-01-19 09:46:00,579.4,580.25,578.4,578.65,3121,DHAN_HISTORY,2026-03-15 17:39:34
PGEL,2026-01-19 09:47:00,578.4,579.2,578.3,578.75,1809,DHAN_HISTORY,2026-03-15 17:39:34
PGEL,2026-01-19 09:48:00,578.45,578.75,577.65,578.25,5692,DHAN_HISTORY,2026-03-15 17:39:34
PGEL,2026-01-19 09:49:00,578.5,579.0,578.0,578.25,3012,DHAN_HISTORY,2026-03-15 17:39:34
PGEL,2026-01-19 09:50:00,578.0,578.3,577.6,578.05,5924,DHAN_HISTORY,2026-03-15 17:39:34
PGEL,2026-01-19 09:51:00,578.0,580.7,577.5,580.7,9880,DHAN_HISTORY,2026-03-15 17:39:34
PGEL,2026-01-19 09:52:00,580.9,581.35,580.0,580.3,8544,DHAN_HISTORY,2026-03-15 17:39:34
PGEL,2026-01-19 09:53:00,580.75,580.75,579.55,579.55,2067,DHAN_HISTORY,2026-03-15 17:39:34
PGEL,2026-01-19 09:54:00,579.5,579.85,579.3,579.6,756,DHAN_HISTORY,2026-03-15 17:39:34
PGEL,2026-01-19 09:55:00,580.0,580.0,579.45,579.65,2851,DHAN_HISTORY,2026-03-15 17:39:34
