symbol,timestamp,open,high,low,close,volume,source,last_updated
PGINVIT,2026-01-09 09:15:00,92.9,93.15,92.9,93.15,2572,DHAN_HISTORY,2026-03-15 16:50:17
PGINVIT,2026-01-09 09:16:00,93.15,93.23,92.9,93.15,15634,DHAN_HISTORY,2026-03-15 16:50:17
PGINVIT,2026-01-09 09:17:00,93.15,93.15,93.0,93.02,2108,DHAN_HISTORY,2026-03-15 16:50:17
PGINVIT,2026-01-09 09:18:00,93.0,93.15,93.0,93.14,4798,DHAN_HISTORY,2026-03-15 16:50:17
PGINVIT,2026-01-09 09:19:00,93.14,93.15,93.0,93.15,6414,DHAN_HISTORY,2026-03-15 16:50:17
PGINVIT,2026-01-09 09:20:00,93.1,93.15,93.0,93.1,6036,DHAN_HISTORY,2026-03-15 16:50:17
PGINVIT,2026-01-09 09:21:00,93.1,93.1,93.08,93.08,1086,DHAN_HISTORY,2026-03-15 16:50:17
PGINVIT,2026-01-09 09:22:00,93.1,93.16,93.01,93.15,13373,DHAN_HISTORY,2026-03-15 16:50:17
PGINVIT,2026-01-09 09:23:00,93.15,93.15,93.08,93.15,6423,DHAN_HISTORY,2026-03-15 16:50:17
PGINVIT,2026-01-09 09:24:00,93.1,93.15,93.1,93.15,6634,DHAN_HISTORY,2026-03-15 16:50:17
PGINVIT,2026-01-09 09:25:00,93.15,93.16,93.09,93.1,7410,DHAN_HISTORY,2026-03-15 16:50:17
PGINVIT,2026-01-09 09:26:00,93.1,93.15,93.1,93.15,127,DHAN_HISTORY,2026-03-15 16:50:17
PGINVIT,2026-01-09 09:27:00,93.15,93.15,93.02,93.03,3960,DHAN_HISTORY,2026-03-15 16:50:17
PGINVIT,2026-01-09 09:28:00,93.1,93.1,93.01,93.1,780,DHAN_HISTORY,2026-03-15 16:50:17
PGINVIT,2026-01-09 09:29:00,93.1,93.1,93.0,93.1,1467,DHAN_HISTORY,2026-03-15 16:50:17
PGINVIT,2026-01-09 09:30:00,93.09,93.74,93.03,93.41,12188,DHAN_HISTORY,2026-03-15 16:50:17
PGINVIT,2026-01-09 09:31:00,93.39,93.41,93.13,93.2,2330,DHAN_HISTORY,2026-03-15 16:50:17
PGINVIT,2026-01-09 09:32:00,93.33,93.37,93.0,93.34,3465,DHAN_HISTORY,2026-03-15 16:50:17
PGINVIT,2026-01-09 09:33:00,93.25,93.34,93.24,93.24,867,DHAN_HISTORY,2026-03-15 16:50:17
PGINVIT,2026-01-09 09:34:00,93.25,93.34,93.25,93.29,362,DHAN_HISTORY,2026-03-15 16:50:17
PGINVIT,2026-01-09 09:35:00,93.29,93.3,93.19,93.3,5754,DHAN_HISTORY,2026-03-15 16:50:17
PGINVIT,2026-01-09 09:36:00,93.29,93.29,93.04,93.19,43916,DHAN_HISTORY,2026-03-15 16:50:17
PGINVIT,2026-01-09 09:37:00,93.06,93.15,93.06,93.14,2120,DHAN_HISTORY,2026-03-15 16:50:17
PGINVIT,2026-01-09 09:38:00,93.14,93.14,93.0,93.07,2945,DHAN_HISTORY,2026-03-15 16:50:17
PGINVIT,2026-01-09 09:39:00,93.07,93.07,93.0,93.0,583,DHAN_HISTORY,2026-03-15 16:50:17
PGINVIT,2026-01-09 09:40:00,93.05,93.05,93.0,93.05,880,DHAN_HISTORY,2026-03-15 16:50:17
PGINVIT,2026-01-09 09:41:00,93.05,93.06,93.0,93.06,1240,DHAN_HISTORY,2026-03-15 16:50:17
PGINVIT,2026-01-09 09:42:00,93.05,93.14,93.01,93.14,809,DHAN_HISTORY,2026-03-15 16:50:17
PGINVIT,2026-01-09 09:43:00,93.14,93.4,93.14,93.4,10739,DHAN_HISTORY,2026-03-15 16:50:17
PGINVIT,2026-01-09 09:44:00,93.4,93.4,93.25,93.37,1179,DHAN_HISTORY,2026-03-15 16:50:17
PGINVIT,2026-01-09 09:45:00,93.37,93.39,93.25,93.39,474,DHAN_HISTORY,2026-03-15 16:50:17
PGINVIT,2026-01-09 09:46:00,93.38,93.38,93.26,93.37,1474,DHAN_HISTORY,2026-03-15 16:50:17
PGINVIT,2026-01-09 09:47:00,93.37,93.39,93.35,93.39,8051,DHAN_HISTORY,2026-03-15 16:50:17
PGINVIT,2026-01-09 09:48:00,93.38,93.4,93.37,93.4,4121,DHAN_HISTORY,2026-03-15 16:50:17
PGINVIT,2026-01-09 09:49:00,93.38,93.4,93.31,93.39,2343,DHAN_HISTORY,2026-03-15 16:50:17
PGINVIT,2026-01-09 09:50:00,93.4,93.44,93.39,93.4,1551,DHAN_HISTORY,2026-03-15 16:50:17
PGINVIT,2026-01-09 09:51:00,93.44,93.44,93.4,93.4,134,DHAN_HISTORY,2026-03-15 16:50:17
PGINVIT,2026-01-09 09:52:00,93.43,93.48,93.4,93.48,3997,DHAN_HISTORY,2026-03-15 16:50:17
PGINVIT,2026-01-09 09:53:00,93.48,93.48,93.47,93.48,2110,DHAN_HISTORY,2026-03-15 16:50:17
PGINVIT,2026-01-09 09:54:00,93.48,93.48,93.48,93.48,126,DHAN_HISTORY,2026-03-15 16:50:17
PGINVIT,2026-01-09 09:55:00,93.47,93.48,93.4,93.43,3306,DHAN_HISTORY,2026-03-15 16:50:17
PGINVIT,2026-01-09 09:56:00,93.4,93.43,93.39,93.4,1091,DHAN_HISTORY,2026-03-15 16:50:17
PGINVIT,2026-01-09 09:57:00,93.4,93.4,93.36,93.39,2978,DHAN_HISTORY,2026-03-15 16:50:17
PGINVIT,2026-01-09 09:58:00,93.39,93.4,93.39,93.39,634,DHAN_HISTORY,2026-03-15 16:50:17
PGINVIT,2026-01-09 09:59:00,93.39,93.4,93.38,93.4,526,DHAN_HISTORY,2026-03-15 16:50:17
PGINVIT,2026-01-09 10:00:00,93.4,93.4,93.38,93.4,672,DHAN_HISTORY,2026-03-15 16:50:17
PGINVIT,2026-01-09 10:01:00,93.4,93.4,93.38,93.38,499,DHAN_HISTORY,2026-03-15 16:50:17
PGINVIT,2026-01-09 10:02:00,93.38,93.4,93.34,93.4,1387,DHAN_HISTORY,2026-03-15 16:50:17
PGINVIT,2026-01-09 10:03:00,93.4,93.48,93.34,93.34,27657,DHAN_HISTORY,2026-03-15 16:50:17
