symbol,timestamp,open,high,low,close,volume,source,last_updated
PNB,2026-02-25 09:15:00,131.15,131.4,130.56,131.0,274684,DHAN_HISTORY,2026-03-15 17:39:55
PNB,2026-02-25 09:16:00,131.1,131.2,130.96,131.2,321996,DHAN_HISTORY,2026-03-15 17:39:55
PNB,2026-02-25 09:17:00,131.1,131.63,131.1,131.57,140577,DHAN_HISTORY,2026-03-15 17:39:55
PNB,2026-02-25 09:18:00,131.53,131.66,131.3,131.5,147659,DHAN_HISTORY,2026-03-15 17:39:55
PNB,2026-02-25 09:19:00,131.5,131.5,131.33,131.37,130047,DHAN_HISTORY,2026-03-15 17:39:55
PNB,2026-02-25 09:20:00,131.3,131.4,131.2,131.4,88835,DHAN_HISTORY,2026-03-15 17:39:55
PNB,2026-02-25 09:21:00,131.4,131.46,131.34,131.35,61021,DHAN_HISTORY,2026-03-15 17:39:55
PNB,2026-02-25 09:22:00,131.35,131.41,131.17,131.27,102879,DHAN_HISTORY,2026-03-15 17:39:55
PNB,2026-02-25 09:23:00,131.26,131.28,131.11,131.18,45375,DHAN_HISTORY,2026-03-15 17:39:55
PNB,2026-02-25 09:24:00,131.24,131.24,131.03,131.08,60324,DHAN_HISTORY,2026-03-15 17:39:55
PNB,2026-02-25 09:25:00,131.09,131.09,131.01,131.05,66111,DHAN_HISTORY,2026-03-15 17:39:55
PNB,2026-02-25 09:26:00,131.04,131.09,131.02,131.08,16527,DHAN_HISTORY,2026-03-15 17:39:55
PNB,2026-02-25 09:27:00,131.05,131.2,130.91,130.94,125682,DHAN_HISTORY,2026-03-15 17:39:55
PNB,2026-02-25 09:28:00,130.94,130.95,130.77,130.8,54245,DHAN_HISTORY,2026-03-15 17:39:55
PNB,2026-02-25 09:29:00,130.77,130.93,130.77,130.83,66819,DHAN_HISTORY,2026-03-15 17:39:55
PNB,2026-02-25 09:30:00,130.9,130.95,130.77,130.85,80994,DHAN_HISTORY,2026-03-15 17:39:55
PNB,2026-02-25 09:31:00,130.85,130.88,130.77,130.83,43573,DHAN_HISTORY,2026-03-15 17:39:55
PNB,2026-02-25 09:32:00,130.82,130.88,130.79,130.82,48414,DHAN_HISTORY,2026-03-15 17:39:55
PNB,2026-02-25 09:33:00,130.88,130.88,130.77,130.8,34886,DHAN_HISTORY,2026-03-15 17:39:55
PNB,2026-02-25 09:34:00,130.8,130.95,130.8,130.95,29717,DHAN_HISTORY,2026-03-15 17:39:55
