symbol,timestamp,open,high,low,close,volume,source,last_updated
POWERINDIA,2026-03-05 09:15:00,24700.0,24945.0,24645.0,24905.0,3451,DHAN_HISTORY,2026-03-15 18:20:34
POWERINDIA,2026-03-05 09:16:00,24915.0,24950.0,24870.0,24935.0,1652,DHAN_HISTORY,2026-03-15 18:20:34
POWERINDIA,2026-03-05 09:17:00,24940.0,24960.0,24900.0,24910.0,2039,DHAN_HISTORY,2026-03-15 18:20:34
POWERINDIA,2026-03-05 09:18:00,24940.0,24945.0,24915.0,24920.0,672,DHAN_HISTORY,2026-03-15 18:20:34
POWERINDIA,2026-03-05 09:19:00,24935.0,25000.0,24915.0,25000.0,1744,DHAN_HISTORY,2026-03-15 18:20:34
POWERINDIA,2026-03-05 09:20:00,24980.0,25155.0,24975.0,25120.0,2763,DHAN_HISTORY,2026-03-15 18:20:34
POWERINDIA,2026-03-05 09:21:00,25135.0,25190.0,25085.0,25150.0,1342,DHAN_HISTORY,2026-03-15 18:20:34
POWERINDIA,2026-03-05 09:22:00,25145.0,25170.0,25135.0,25165.0,1506,DHAN_HISTORY,2026-03-15 18:20:34
POWERINDIA,2026-03-05 09:23:00,25165.0,25175.0,25145.0,25160.0,476,DHAN_HISTORY,2026-03-15 18:20:34
POWERINDIA,2026-03-05 09:24:00,25160.0,25190.0,25125.0,25190.0,649,DHAN_HISTORY,2026-03-15 18:20:34
POWERINDIA,2026-03-05 09:25:00,25190.0,25200.0,25165.0,25195.0,708,DHAN_HISTORY,2026-03-15 18:20:34
POWERINDIA,2026-03-05 09:26:00,25185.0,25195.0,25160.0,25195.0,484,DHAN_HISTORY,2026-03-15 18:20:34
POWERINDIA,2026-03-05 09:27:00,25165.0,25195.0,25155.0,25185.0,1247,DHAN_HISTORY,2026-03-15 18:20:34
POWERINDIA,2026-03-05 09:28:00,25170.0,25295.0,25170.0,25250.0,1783,DHAN_HISTORY,2026-03-15 18:20:34
POWERINDIA,2026-03-05 09:29:00,25250.0,25340.0,25250.0,25330.0,1857,DHAN_HISTORY,2026-03-15 18:20:34
POWERINDIA,2026-03-05 09:30:00,25310.0,25330.0,25230.0,25235.0,1905,DHAN_HISTORY,2026-03-15 18:20:34
POWERINDIA,2026-03-05 09:31:00,25235.0,25240.0,25190.0,25225.0,1001,DHAN_HISTORY,2026-03-15 18:20:34
POWERINDIA,2026-03-05 09:32:00,25220.0,25290.0,25220.0,25240.0,680,DHAN_HISTORY,2026-03-15 18:20:34
POWERINDIA,2026-03-05 09:33:00,25235.0,25270.0,25230.0,25265.0,459,DHAN_HISTORY,2026-03-15 18:20:34
POWERINDIA,2026-03-05 09:34:00,25255.0,25280.0,25255.0,25280.0,212,DHAN_HISTORY,2026-03-15 18:20:34
POWERINDIA,2026-03-05 09:35:00,25265.0,25280.0,25260.0,25265.0,275,DHAN_HISTORY,2026-03-15 18:20:34
POWERINDIA,2026-03-05 09:36:00,25265.0,25265.0,25225.0,25240.0,480,DHAN_HISTORY,2026-03-15 18:20:34
POWERINDIA,2026-03-05 09:37:00,25225.0,25235.0,25165.0,25170.0,1116,DHAN_HISTORY,2026-03-15 18:20:34
POWERINDIA,2026-03-05 09:38:00,25170.0,25185.0,25165.0,25165.0,558,DHAN_HISTORY,2026-03-15 18:20:34
POWERINDIA,2026-03-05 09:39:00,25165.0,25180.0,25160.0,25170.0,305,DHAN_HISTORY,2026-03-15 18:20:34
POWERINDIA,2026-03-05 09:40:00,25170.0,25190.0,25165.0,25165.0,273,DHAN_HISTORY,2026-03-15 18:20:34
POWERINDIA,2026-03-05 09:41:00,25165.0,25200.0,25165.0,25190.0,314,DHAN_HISTORY,2026-03-15 18:20:34
POWERINDIA,2026-03-05 09:42:00,25190.0,25205.0,25185.0,25190.0,237,DHAN_HISTORY,2026-03-15 18:20:34
POWERINDIA,2026-03-05 09:43:00,25185.0,25200.0,25185.0,25190.0,57,DHAN_HISTORY,2026-03-15 18:20:34
POWERINDIA,2026-03-05 09:44:00,25190.0,25195.0,25180.0,25180.0,214,DHAN_HISTORY,2026-03-15 18:20:34
POWERINDIA,2026-03-05 09:45:00,25185.0,25220.0,25180.0,25220.0,349,DHAN_HISTORY,2026-03-15 18:20:34
POWERINDIA,2026-03-05 09:46:00,25210.0,25255.0,25210.0,25235.0,282,DHAN_HISTORY,2026-03-15 18:20:34
POWERINDIA,2026-03-05 09:47:00,25230.0,25250.0,25230.0,25245.0,249,DHAN_HISTORY,2026-03-15 18:20:34
POWERINDIA,2026-03-05 09:48:00,25240.0,25270.0,25210.0,25220.0,795,DHAN_HISTORY,2026-03-15 18:20:34
POWERINDIA,2026-03-05 09:49:00,25215.0,25230.0,25195.0,25230.0,269,DHAN_HISTORY,2026-03-15 18:20:34
POWERINDIA,2026-03-05 09:50:00,25220.0,25255.0,25220.0,25255.0,434,DHAN_HISTORY,2026-03-15 18:20:34
POWERINDIA,2026-03-05 09:51:00,25255.0,25300.0,25255.0,25300.0,438,DHAN_HISTORY,2026-03-15 18:20:34
