symbol,timestamp,open,high,low,close,volume,source,last_updated
RECLTD,2025-09-16 09:15:00,379.95,380.45,378.65,379.65,71523,DHAN_HISTORY,2026-03-15 17:40:35
RECLTD,2025-09-16 09:16:00,379.55,379.7,378.1,378.35,31882,DHAN_HISTORY,2026-03-15 17:40:35
RECLTD,2025-09-16 09:17:00,378.4,378.5,377.9,378.0,31867,DHAN_HISTORY,2026-03-15 17:40:35
RECLTD,2025-09-16 09:18:00,378.0,379.15,377.8,379.0,13925,DHAN_HISTORY,2026-03-15 17:40:35
RECLTD,2025-09-16 09:19:00,378.75,379.05,378.75,379.05,14332,DHAN_HISTORY,2026-03-15 17:40:35
RECLTD,2025-09-16 09:20:00,379.05,379.1,378.85,379.05,6014,DHAN_HISTORY,2026-03-15 17:40:35
RECLTD,2025-09-16 09:21:00,379.15,379.2,378.85,379.05,8299,DHAN_HISTORY,2026-03-15 17:40:35
RECLTD,2025-09-16 09:22:00,379.2,379.35,379.1,379.15,6362,DHAN_HISTORY,2026-03-15 17:40:35
RECLTD,2025-09-16 09:23:00,379.05,379.15,378.55,379.15,14980,DHAN_HISTORY,2026-03-15 17:40:35
RECLTD,2025-09-16 09:24:00,379.0,379.4,379.0,379.4,8489,DHAN_HISTORY,2026-03-15 17:40:35
RECLTD,2025-09-16 09:25:00,379.35,379.35,378.9,379.2,17414,DHAN_HISTORY,2026-03-15 17:40:35
RECLTD,2025-09-16 09:26:00,379.1,379.5,379.1,379.5,6991,DHAN_HISTORY,2026-03-15 17:40:35
RECLTD,2025-09-16 09:27:00,379.4,379.5,379.1,379.35,9219,DHAN_HISTORY,2026-03-15 17:40:35
RECLTD,2025-09-16 09:28:00,379.4,379.8,379.3,379.8,19615,DHAN_HISTORY,2026-03-15 17:40:35
RECLTD,2025-09-16 09:29:00,379.65,380.0,379.5,380.0,17477,DHAN_HISTORY,2026-03-15 17:40:35
RECLTD,2025-09-16 09:30:00,380.0,380.35,379.9,380.2,16203,DHAN_HISTORY,2026-03-15 17:40:35
RECLTD,2025-09-16 09:31:00,380.0,380.85,380.0,380.8,47366,DHAN_HISTORY,2026-03-15 17:40:35
RECLTD,2025-09-16 09:32:00,380.8,380.95,380.65,380.95,18548,DHAN_HISTORY,2026-03-15 17:40:35
RECLTD,2025-09-16 09:33:00,380.9,381.3,380.85,381.0,22928,DHAN_HISTORY,2026-03-15 17:40:35
RECLTD,2025-09-16 09:34:00,381.05,381.05,380.5,380.75,21300,DHAN_HISTORY,2026-03-15 17:40:35
RECLTD,2025-09-16 09:35:00,380.75,381.05,380.45,380.7,24149,DHAN_HISTORY,2026-03-15 17:40:35
RECLTD,2025-09-16 09:36:00,380.6,380.75,380.35,380.5,11347,DHAN_HISTORY,2026-03-15 17:40:35
RECLTD,2025-09-16 09:37:00,380.5,380.6,380.1,380.3,5010,DHAN_HISTORY,2026-03-15 17:40:35
RECLTD,2025-09-16 09:38:00,380.3,380.35,380.25,380.35,5324,DHAN_HISTORY,2026-03-15 17:40:35
RECLTD,2025-09-16 09:39:00,380.35,380.5,380.35,380.5,4998,DHAN_HISTORY,2026-03-15 17:40:35
RECLTD,2025-09-16 09:40:00,380.5,380.6,380.1,380.15,4026,DHAN_HISTORY,2026-03-15 17:40:35
RECLTD,2025-09-16 09:41:00,380.1,380.4,380.05,380.1,18117,DHAN_HISTORY,2026-03-15 17:40:35
RECLTD,2025-09-16 09:42:00,380.1,380.1,379.75,379.8,10914,DHAN_HISTORY,2026-03-15 17:40:35
RECLTD,2025-09-16 09:43:00,379.85,379.85,379.45,379.65,5661,DHAN_HISTORY,2026-03-15 17:40:35
RECLTD,2025-09-16 09:44:00,379.65,379.7,379.45,379.65,3339,DHAN_HISTORY,2026-03-15 17:40:35
RECLTD,2025-09-16 09:45:00,379.75,379.85,379.6,379.8,3736,DHAN_HISTORY,2026-03-15 17:40:35
RECLTD,2025-09-16 09:46:00,379.8,379.8,379.5,379.8,4634,DHAN_HISTORY,2026-03-15 17:40:35
RECLTD,2025-09-16 09:47:00,379.8,380.0,379.7,380.0,7048,DHAN_HISTORY,2026-03-15 17:40:35
RECLTD,2025-09-16 09:48:00,379.9,380.1,379.9,380.1,3793,DHAN_HISTORY,2026-03-15 17:40:35
RECLTD,2025-09-16 09:49:00,380.1,380.15,379.95,380.1,1834,DHAN_HISTORY,2026-03-15 17:40:35
RECLTD,2025-09-16 09:50:00,380.1,380.5,380.1,380.45,9452,DHAN_HISTORY,2026-03-15 17:40:35
RECLTD,2025-09-16 09:51:00,380.45,380.5,380.0,380.1,10043,DHAN_HISTORY,2026-03-15 17:40:35
RECLTD,2025-09-16 09:52:00,380.2,380.2,380.1,380.15,2814,DHAN_HISTORY,2026-03-15 17:40:35
RECLTD,2025-09-16 09:53:00,380.1,380.35,380.1,380.35,5714,DHAN_HISTORY,2026-03-15 17:40:35
RECLTD,2025-09-16 09:54:00,379.95,380.05,379.65,379.65,7618,DHAN_HISTORY,2026-03-15 17:40:35
RECLTD,2025-09-16 09:55:00,379.8,379.8,379.65,379.75,2992,DHAN_HISTORY,2026-03-15 17:40:35
RECLTD,2025-09-16 09:56:00,379.75,379.75,379.65,379.65,3976,DHAN_HISTORY,2026-03-15 17:40:35
RECLTD,2025-09-16 09:57:00,379.6,379.7,379.45,379.45,1833,DHAN_HISTORY,2026-03-15 17:40:35
RECLTD,2025-09-16 09:58:00,379.6,379.7,379.45,379.55,11031,DHAN_HISTORY,2026-03-15 17:40:35
RECLTD,2025-09-16 09:59:00,379.55,380.0,379.45,380.0,2939,DHAN_HISTORY,2026-03-15 17:40:35
RECLTD,2025-09-16 10:00:00,380.0,380.05,379.9,379.95,1538,DHAN_HISTORY,2026-03-15 17:40:35
RECLTD,2025-09-16 10:01:00,379.95,380.0,379.9,380.0,978,DHAN_HISTORY,2026-03-15 17:40:35
RECLTD,2025-09-16 10:02:00,380.0,380.2,379.95,380.2,3650,DHAN_HISTORY,2026-03-15 17:40:35
RECLTD,2025-09-16 10:03:00,380.15,380.2,380.0,380.0,3739,DHAN_HISTORY,2026-03-15 17:40:35
RECLTD,2025-09-16 10:04:00,379.65,379.95,379.65,379.95,3290,DHAN_HISTORY,2026-03-15 17:40:35
RECLTD,2025-09-16 10:05:00,379.95,379.95,379.8,379.8,1994,DHAN_HISTORY,2026-03-15 17:40:35
RECLTD,2025-09-16 10:06:00,379.95,380.0,379.9,379.95,3457,DHAN_HISTORY,2026-03-15 17:40:35
RECLTD,2025-09-16 10:07:00,379.95,380.2,379.95,380.0,7258,DHAN_HISTORY,2026-03-15 17:40:35
RECLTD,2025-09-16 10:08:00,380.1,380.3,380.0,380.3,3645,DHAN_HISTORY,2026-03-15 17:40:35
RECLTD,2025-09-16 10:09:00,380.35,380.35,380.1,380.25,4541,DHAN_HISTORY,2026-03-15 17:40:35
RECLTD,2025-09-16 10:10:00,380.1,380.25,380.1,380.2,1054,DHAN_HISTORY,2026-03-15 17:40:35
RECLTD,2025-09-16 10:11:00,380.2,380.2,379.7,380.0,12571,DHAN_HISTORY,2026-03-15 17:40:35
RECLTD,2025-09-16 10:12:00,380.0,380.15,379.9,380.05,3862,DHAN_HISTORY,2026-03-15 17:40:35
RECLTD,2025-09-16 10:13:00,380.05,380.1,379.75,380.0,3393,DHAN_HISTORY,2026-03-15 17:40:35
RECLTD,2025-09-16 10:14:00,379.95,380.05,379.8,379.95,975,DHAN_HISTORY,2026-03-15 17:40:35
RECLTD,2025-09-16 10:15:00,379.85,379.95,379.8,379.95,1297,DHAN_HISTORY,2026-03-15 17:40:35
RECLTD,2025-09-16 10:16:00,379.85,380.0,379.85,380.0,6180,DHAN_HISTORY,2026-03-15 17:40:35
RECLTD,2025-09-16 10:17:00,380.0,380.25,380.0,380.25,3805,DHAN_HISTORY,2026-03-15 17:40:35
RECLTD,2025-09-16 10:18:00,380.25,380.5,380.15,380.5,6368,DHAN_HISTORY,2026-03-15 17:40:35
RECLTD,2025-09-16 10:19:00,380.5,380.5,380.35,380.45,2523,DHAN_HISTORY,2026-03-15 17:40:35
RECLTD,2025-09-16 10:20:00,380.5,380.7,380.45,380.5,5634,DHAN_HISTORY,2026-03-15 17:40:35
RECLTD,2025-09-16 10:21:00,380.5,380.7,380.45,380.6,2162,DHAN_HISTORY,2026-03-15 17:40:35
RECLTD,2025-09-16 10:22:00,380.65,380.7,380.6,380.7,2018,DHAN_HISTORY,2026-03-15 17:40:35
RECLTD,2025-09-16 10:23:00,380.7,380.7,380.4,380.45,1974,DHAN_HISTORY,2026-03-15 17:40:35
RECLTD,2025-09-16 10:24:00,380.55,380.6,380.4,380.5,2328,DHAN_HISTORY,2026-03-15 17:40:35
RECLTD,2025-09-16 10:25:00,380.5,380.55,380.35,380.5,1999,DHAN_HISTORY,2026-03-15 17:40:35
