symbol,timestamp,open,high,low,close,volume,source,last_updated
RELIANCE,2025-09-16 09:15:00,1404.7,1405.9,1401.2,1402.0,184304,DHAN_HISTORY,2026-03-15 17:40:55
RELIANCE,2025-09-16 09:16:00,1401.4,1403.0,1401.0,1402.7,114589,DHAN_HISTORY,2026-03-15 17:40:55
RELIANCE,2025-09-16 09:17:00,1402.4,1402.5,1400.0,1401.0,142963,DHAN_HISTORY,2026-03-15 17:40:55
RELIANCE,2025-09-16 09:18:00,1401.6,1403.7,1400.5,1403.4,104395,DHAN_HISTORY,2026-03-15 17:40:55
RELIANCE,2025-09-16 09:19:00,1403.1,1404.4,1403.1,1404.2,25895,DHAN_HISTORY,2026-03-15 17:40:55
RELIANCE,2025-09-16 09:20:00,1404.2,1404.4,1403.7,1403.7,37042,DHAN_HISTORY,2026-03-15 17:40:55
RELIANCE,2025-09-16 09:21:00,1403.9,1404.1,1402.4,1403.5,26947,DHAN_HISTORY,2026-03-15 17:40:55
RELIANCE,2025-09-16 09:22:00,1403.5,1405.1,1403.4,1404.6,50485,DHAN_HISTORY,2026-03-15 17:40:55
RELIANCE,2025-09-16 09:23:00,1404.3,1405.5,1404.2,1405.5,27296,DHAN_HISTORY,2026-03-15 17:40:55
RELIANCE,2025-09-16 09:24:00,1405.4,1405.7,1405.0,1405.1,14170,DHAN_HISTORY,2026-03-15 17:40:55
RELIANCE,2025-09-16 09:25:00,1405.3,1405.3,1404.0,1404.4,19588,DHAN_HISTORY,2026-03-15 17:40:55
RELIANCE,2025-09-16 09:26:00,1404.1,1404.6,1403.6,1403.6,8802,DHAN_HISTORY,2026-03-15 17:40:55
RELIANCE,2025-09-16 09:27:00,1403.7,1404.0,1403.4,1403.8,7730,DHAN_HISTORY,2026-03-15 17:40:55
RELIANCE,2025-09-16 09:28:00,1404.1,1404.1,1403.4,1403.5,10383,DHAN_HISTORY,2026-03-15 17:40:55
RELIANCE,2025-09-16 09:29:00,1403.3,1403.6,1403.0,1403.1,8700,DHAN_HISTORY,2026-03-15 17:40:55
RELIANCE,2025-09-16 09:30:00,1403.4,1403.4,1403.0,1403.1,9881,DHAN_HISTORY,2026-03-15 17:40:55
RELIANCE,2025-09-16 09:31:00,1403.1,1403.1,1402.0,1402.9,17340,DHAN_HISTORY,2026-03-15 17:40:55
RELIANCE,2025-09-16 09:32:00,1402.5,1403.1,1402.5,1402.8,13874,DHAN_HISTORY,2026-03-15 17:40:55
RELIANCE,2025-09-16 09:33:00,1403.0,1403.5,1402.7,1403.1,12984,DHAN_HISTORY,2026-03-15 17:40:55
RELIANCE,2025-09-16 09:34:00,1403.0,1403.9,1403.0,1403.9,6612,DHAN_HISTORY,2026-03-15 17:40:55
RELIANCE,2025-09-16 09:35:00,1403.5,1404.1,1403.4,1404.1,4919,DHAN_HISTORY,2026-03-15 17:40:55
RELIANCE,2025-09-16 09:36:00,1404.1,1404.9,1404.0,1404.5,8320,DHAN_HISTORY,2026-03-15 17:40:55
RELIANCE,2025-09-16 09:37:00,1404.8,1405.0,1404.5,1404.8,8093,DHAN_HISTORY,2026-03-15 17:40:55
RELIANCE,2025-09-16 09:38:00,1404.8,1405.0,1404.7,1404.7,10408,DHAN_HISTORY,2026-03-15 17:40:55
RELIANCE,2025-09-16 09:39:00,1404.7,1405.4,1404.7,1405.4,17896,DHAN_HISTORY,2026-03-15 17:40:55
RELIANCE,2025-09-16 09:40:00,1405.4,1405.6,1404.6,1405.0,42498,DHAN_HISTORY,2026-03-15 17:40:55
RELIANCE,2025-09-16 09:41:00,1405.0,1405.0,1403.2,1403.2,34721,DHAN_HISTORY,2026-03-15 17:40:55
RELIANCE,2025-09-16 09:42:00,1403.3,1404.2,1403.3,1404.0,5483,DHAN_HISTORY,2026-03-15 17:40:55
RELIANCE,2025-09-16 09:43:00,1404.1,1404.4,1403.9,1404.1,3548,DHAN_HISTORY,2026-03-15 17:40:55
RELIANCE,2025-09-16 09:44:00,1404.5,1404.7,1404.1,1404.5,10309,DHAN_HISTORY,2026-03-15 17:40:55
RELIANCE,2025-09-16 09:45:00,1404.5,1405.0,1404.4,1404.8,5049,DHAN_HISTORY,2026-03-15 17:40:55
