symbol,timestamp,open,high,low,close,volume,source,last_updated
RPOWER,2026-02-16 09:15:00,26.8,26.8,26.43,26.5,791989,DHAN_HISTORY,2026-03-15 16:56:45
RPOWER,2026-02-16 09:16:00,26.5,26.5,26.4,26.44,528513,DHAN_HISTORY,2026-03-15 16:56:45
RPOWER,2026-02-16 09:17:00,26.47,26.49,26.33,26.43,280165,DHAN_HISTORY,2026-03-15 16:56:45
RPOWER,2026-02-16 09:18:00,26.43,26.48,26.39,26.47,346225,DHAN_HISTORY,2026-03-15 16:56:45
RPOWER,2026-02-16 09:19:00,26.53,26.59,26.49,26.59,231006,DHAN_HISTORY,2026-03-15 16:56:45
RPOWER,2026-02-16 09:20:00,26.59,26.62,26.56,26.61,165069,DHAN_HISTORY,2026-03-15 16:56:45
RPOWER,2026-02-16 09:21:00,26.6,26.65,26.6,26.64,150402,DHAN_HISTORY,2026-03-15 16:56:45
RPOWER,2026-02-16 09:22:00,26.63,26.7,26.63,26.68,196618,DHAN_HISTORY,2026-03-15 16:56:45
RPOWER,2026-02-16 09:23:00,26.69,26.7,26.61,26.64,150603,DHAN_HISTORY,2026-03-15 16:56:45
RPOWER,2026-02-16 09:24:00,26.64,26.68,26.58,26.64,165933,DHAN_HISTORY,2026-03-15 16:56:45
RPOWER,2026-02-16 09:25:00,26.64,26.64,26.58,26.6,142334,DHAN_HISTORY,2026-03-15 16:56:45
RPOWER,2026-02-16 09:26:00,26.58,26.6,26.55,26.58,138177,DHAN_HISTORY,2026-03-15 16:56:45
RPOWER,2026-02-16 09:27:00,26.55,26.55,26.45,26.49,165349,DHAN_HISTORY,2026-03-15 16:56:45
RPOWER,2026-02-16 09:28:00,26.47,26.55,26.46,26.54,98335,DHAN_HISTORY,2026-03-15 16:56:45
RPOWER,2026-02-16 09:29:00,26.54,26.54,26.48,26.5,39326,DHAN_HISTORY,2026-03-15 16:56:45
RPOWER,2026-02-16 09:30:00,26.52,26.64,26.51,26.63,186731,DHAN_HISTORY,2026-03-15 16:56:45
RPOWER,2026-02-16 09:31:00,26.63,26.69,26.61,26.69,110085,DHAN_HISTORY,2026-03-15 16:56:45
RPOWER,2026-02-16 09:32:00,26.69,26.78,26.65,26.75,242012,DHAN_HISTORY,2026-03-15 16:56:45
RPOWER,2026-02-16 09:33:00,26.73,26.76,26.7,26.76,125828,DHAN_HISTORY,2026-03-15 16:56:45
RPOWER,2026-02-16 09:34:00,26.76,26.77,26.72,26.74,112604,DHAN_HISTORY,2026-03-15 16:56:45
RPOWER,2026-02-16 09:35:00,26.74,26.75,26.64,26.69,112968,DHAN_HISTORY,2026-03-15 16:56:45
RPOWER,2026-02-16 09:36:00,26.68,26.69,26.62,26.65,59998,DHAN_HISTORY,2026-03-15 16:56:45
RPOWER,2026-02-16 09:37:00,26.64,26.68,26.59,26.61,181434,DHAN_HISTORY,2026-03-15 16:56:45
RPOWER,2026-02-16 09:38:00,26.61,26.63,26.59,26.6,54842,DHAN_HISTORY,2026-03-15 16:56:45
RPOWER,2026-02-16 09:39:00,26.61,26.63,26.59,26.59,56664,DHAN_HISTORY,2026-03-15 16:56:45
RPOWER,2026-02-16 09:40:00,26.59,26.62,26.56,26.61,227868,DHAN_HISTORY,2026-03-15 16:56:45
RPOWER,2026-02-16 09:41:00,26.61,26.7,26.59,26.68,115184,DHAN_HISTORY,2026-03-15 16:56:45
RPOWER,2026-02-16 09:42:00,26.66,26.67,26.63,26.65,28968,DHAN_HISTORY,2026-03-15 16:56:45
RPOWER,2026-02-16 09:43:00,26.64,26.65,26.6,26.6,55945,DHAN_HISTORY,2026-03-15 16:56:45
RPOWER,2026-02-16 09:44:00,26.6,26.6,26.54,26.56,130756,DHAN_HISTORY,2026-03-15 16:56:45
RPOWER,2026-02-16 09:45:00,26.56,26.58,26.5,26.57,109578,DHAN_HISTORY,2026-03-15 16:56:45
RPOWER,2026-02-16 09:46:00,26.57,26.64,26.53,26.63,162998,DHAN_HISTORY,2026-03-15 16:56:45
RPOWER,2026-02-16 09:47:00,26.6,26.6,26.55,26.55,25569,DHAN_HISTORY,2026-03-15 16:56:45
RPOWER,2026-02-16 09:48:00,26.58,26.58,26.53,26.53,71855,DHAN_HISTORY,2026-03-15 16:56:45
RPOWER,2026-02-16 09:49:00,26.55,26.56,26.51,26.53,45993,DHAN_HISTORY,2026-03-15 16:56:45
RPOWER,2026-02-16 09:50:00,26.53,26.53,26.47,26.49,140229,DHAN_HISTORY,2026-03-15 16:56:45
RPOWER,2026-02-16 09:51:00,26.49,26.5,26.47,26.49,83481,DHAN_HISTORY,2026-03-15 16:56:45
RPOWER,2026-02-16 09:52:00,26.48,26.55,26.47,26.52,73558,DHAN_HISTORY,2026-03-15 16:56:45
RPOWER,2026-02-16 09:53:00,26.57,26.58,26.54,26.55,85164,DHAN_HISTORY,2026-03-15 16:56:45
RPOWER,2026-02-16 09:54:00,26.55,26.61,26.55,26.59,72089,DHAN_HISTORY,2026-03-15 16:56:45
RPOWER,2026-02-16 09:55:00,26.61,26.64,26.59,26.64,39862,DHAN_HISTORY,2026-03-15 16:56:45
RPOWER,2026-02-16 09:56:00,26.64,26.65,26.62,26.65,56215,DHAN_HISTORY,2026-03-15 16:56:45
RPOWER,2026-02-16 09:57:00,26.65,26.69,26.63,26.69,127442,DHAN_HISTORY,2026-03-15 16:56:45
RPOWER,2026-02-16 09:58:00,26.7,26.72,26.65,26.67,82757,DHAN_HISTORY,2026-03-15 16:56:45
RPOWER,2026-02-16 09:59:00,26.69,26.72,26.66,26.72,78902,DHAN_HISTORY,2026-03-15 16:56:45
RPOWER,2026-02-16 10:00:00,26.7,26.75,26.7,26.72,100698,DHAN_HISTORY,2026-03-15 16:56:45
RPOWER,2026-02-16 10:01:00,26.72,26.75,26.71,26.71,203797,DHAN_HISTORY,2026-03-15 16:56:45
RPOWER,2026-02-16 10:02:00,26.71,26.72,26.68,26.7,90624,DHAN_HISTORY,2026-03-15 16:56:45
RPOWER,2026-02-16 10:03:00,26.7,26.72,26.68,26.7,86870,DHAN_HISTORY,2026-03-15 16:56:45
RPOWER,2026-02-16 10:04:00,26.7,26.72,26.66,26.72,139446,DHAN_HISTORY,2026-03-15 16:56:45
RPOWER,2026-02-16 10:05:00,26.69,26.72,26.67,26.71,30378,DHAN_HISTORY,2026-03-15 16:56:45
RPOWER,2026-02-16 10:06:00,26.72,26.74,26.71,26.74,30435,DHAN_HISTORY,2026-03-15 16:56:45
RPOWER,2026-02-16 10:07:00,26.73,26.73,26.68,26.7,61892,DHAN_HISTORY,2026-03-15 16:56:45
RPOWER,2026-02-16 10:08:00,26.7,26.72,26.69,26.7,30873,DHAN_HISTORY,2026-03-15 16:56:45
RPOWER,2026-02-16 10:09:00,26.7,26.72,26.68,26.71,26932,DHAN_HISTORY,2026-03-15 16:56:45
RPOWER,2026-02-16 10:10:00,26.71,26.72,26.69,26.7,19889,DHAN_HISTORY,2026-03-15 16:56:45
RPOWER,2026-02-16 10:11:00,26.7,26.74,26.7,26.73,99646,DHAN_HISTORY,2026-03-15 16:56:45
RPOWER,2026-02-16 10:12:00,26.7,26.78,26.69,26.77,266518,DHAN_HISTORY,2026-03-15 16:56:45
RPOWER,2026-02-16 10:13:00,26.77,26.78,26.74,26.77,57062,DHAN_HISTORY,2026-03-15 16:56:45
RPOWER,2026-02-16 10:14:00,26.76,26.77,26.73,26.75,82505,DHAN_HISTORY,2026-03-15 16:56:45
RPOWER,2026-02-16 10:15:00,26.75,26.76,26.7,26.7,57894,DHAN_HISTORY,2026-03-15 16:56:45
RPOWER,2026-02-16 10:16:00,26.7,26.7,26.63,26.67,118633,DHAN_HISTORY,2026-03-15 16:56:45
RPOWER,2026-02-16 10:17:00,26.68,26.71,26.66,26.69,34042,DHAN_HISTORY,2026-03-15 16:56:45
RPOWER,2026-02-16 10:18:00,26.65,26.68,26.62,26.65,132723,DHAN_HISTORY,2026-03-15 16:56:45
RPOWER,2026-02-16 10:19:00,26.65,26.68,26.63,26.64,26322,DHAN_HISTORY,2026-03-15 16:56:45
RPOWER,2026-02-16 10:20:00,26.62,26.65,26.61,26.61,43779,DHAN_HISTORY,2026-03-15 16:56:45
RPOWER,2026-02-16 10:21:00,26.61,26.65,26.61,26.65,63623,DHAN_HISTORY,2026-03-15 16:56:45
RPOWER,2026-02-16 10:22:00,26.63,26.64,26.62,26.64,13000,DHAN_HISTORY,2026-03-15 16:56:45
RPOWER,2026-02-16 10:23:00,26.64,26.65,26.62,26.63,24818,DHAN_HISTORY,2026-03-15 16:56:45
RPOWER,2026-02-16 10:24:00,26.62,26.63,26.59,26.62,113304,DHAN_HISTORY,2026-03-15 16:56:45
RPOWER,2026-02-16 10:25:00,26.62,26.63,26.59,26.61,39914,DHAN_HISTORY,2026-03-15 16:56:45
RPOWER,2026-02-16 10:26:00,26.6,26.64,26.59,26.62,19763,DHAN_HISTORY,2026-03-15 16:56:45
RPOWER,2026-02-16 10:27:00,26.64,26.64,26.61,26.63,24496,DHAN_HISTORY,2026-03-15 16:56:45
RPOWER,2026-02-16 10:28:00,26.63,26.64,26.61,26.63,58410,DHAN_HISTORY,2026-03-15 16:56:45
RPOWER,2026-02-16 10:29:00,26.63,26.64,26.62,26.64,6292,DHAN_HISTORY,2026-03-15 16:56:45
RPOWER,2026-02-16 10:30:00,26.64,26.68,26.63,26.68,63164,DHAN_HISTORY,2026-03-15 16:56:45
RPOWER,2026-02-16 10:31:00,26.68,26.7,26.66,26.68,19133,DHAN_HISTORY,2026-03-15 16:56:45
RPOWER,2026-02-16 10:32:00,26.68,26.69,26.66,26.66,47856,DHAN_HISTORY,2026-03-15 16:56:45
RPOWER,2026-02-16 10:33:00,26.66,26.68,26.64,26.64,36045,DHAN_HISTORY,2026-03-15 16:56:45
RPOWER,2026-02-16 10:34:00,26.65,26.65,26.62,26.62,24637,DHAN_HISTORY,2026-03-15 16:56:45
RPOWER,2026-02-16 10:35:00,26.63,26.63,26.6,26.62,27975,DHAN_HISTORY,2026-03-15 16:56:45
RPOWER,2026-02-16 10:36:00,26.62,26.62,26.59,26.61,14155,DHAN_HISTORY,2026-03-15 16:56:45
RPOWER,2026-02-16 10:37:00,26.61,26.62,26.59,26.62,32310,DHAN_HISTORY,2026-03-15 16:56:45
RPOWER,2026-02-16 10:38:00,26.62,26.62,26.54,26.57,85199,DHAN_HISTORY,2026-03-15 16:56:45
RPOWER,2026-02-16 10:39:00,26.57,26.59,26.56,26.59,9739,DHAN_HISTORY,2026-03-15 16:56:45
RPOWER,2026-02-16 10:40:00,26.6,26.6,26.58,26.58,7092,DHAN_HISTORY,2026-03-15 16:56:45
RPOWER,2026-02-16 10:41:00,26.6,26.62,26.58,26.62,32936,DHAN_HISTORY,2026-03-15 16:56:45
RPOWER,2026-02-16 10:42:00,26.6,26.63,26.6,26.63,13614,DHAN_HISTORY,2026-03-15 16:56:45
RPOWER,2026-02-16 10:43:00,26.62,26.63,26.59,26.62,41677,DHAN_HISTORY,2026-03-15 16:56:45
RPOWER,2026-02-16 10:44:00,26.62,26.62,26.59,26.6,7603,DHAN_HISTORY,2026-03-15 16:56:45
RPOWER,2026-02-16 10:45:00,26.6,26.62,26.59,26.62,13166,DHAN_HISTORY,2026-03-15 16:56:45
RPOWER,2026-02-16 10:46:00,26.62,26.64,26.59,26.64,50399,DHAN_HISTORY,2026-03-15 16:56:45
RPOWER,2026-02-16 10:47:00,26.64,26.67,26.63,26.67,20649,DHAN_HISTORY,2026-03-15 16:56:45
RPOWER,2026-02-16 10:48:00,26.66,26.7,26.64,26.64,44364,DHAN_HISTORY,2026-03-15 16:56:45
RPOWER,2026-02-16 10:49:00,26.66,26.68,26.63,26.65,92483,DHAN_HISTORY,2026-03-15 16:56:45
RPOWER,2026-02-16 10:50:00,26.65,26.65,26.62,26.63,13310,DHAN_HISTORY,2026-03-15 16:56:45
RPOWER,2026-02-16 10:51:00,26.63,26.63,26.62,26.63,33791,DHAN_HISTORY,2026-03-15 16:56:45
RPOWER,2026-02-16 10:52:00,26.63,26.65,26.62,26.62,32139,DHAN_HISTORY,2026-03-15 16:56:45
RPOWER,2026-02-16 10:53:00,26.62,26.63,26.6,26.62,47986,DHAN_HISTORY,2026-03-15 16:56:45
