symbol,timestamp,open,high,low,close,volume,source,last_updated
RUBICON,2025-12-26 09:15:00,684.0,691.8,684.0,689.55,3630,DHAN_HISTORY,2026-03-15 16:57:19
RUBICON,2025-12-26 09:16:00,689.05,691.85,688.5,690.9,1324,DHAN_HISTORY,2026-03-15 16:57:19
RUBICON,2025-12-26 09:17:00,690.15,695.5,689.6,695.5,4348,DHAN_HISTORY,2026-03-15 16:57:19
RUBICON,2025-12-26 09:18:00,695.25,695.5,692.15,694.55,2285,DHAN_HISTORY,2026-03-15 16:57:19
RUBICON,2025-12-26 09:19:00,695.0,697.4,694.95,696.95,3867,DHAN_HISTORY,2026-03-15 16:57:19
RUBICON,2025-12-26 09:20:00,696.95,697.5,695.0,695.0,2217,DHAN_HISTORY,2026-03-15 16:57:19
RUBICON,2025-12-26 09:21:00,694.35,698.9,692.55,696.2,9348,DHAN_HISTORY,2026-03-15 16:57:19
RUBICON,2025-12-26 09:22:00,695.55,696.9,692.5,692.5,11199,DHAN_HISTORY,2026-03-15 16:57:19
RUBICON,2025-12-26 09:23:00,692.4,692.4,688.95,692.4,6209,DHAN_HISTORY,2026-03-15 16:57:19
RUBICON,2025-12-26 09:24:00,690.9,691.25,689.4,691.2,902,DHAN_HISTORY,2026-03-15 16:57:19
RUBICON,2025-12-26 09:25:00,691.6,691.6,689.65,689.65,983,DHAN_HISTORY,2026-03-15 16:57:19
RUBICON,2025-12-26 09:26:00,689.6,691.15,689.6,690.6,435,DHAN_HISTORY,2026-03-15 16:57:19
RUBICON,2025-12-26 09:27:00,691.0,698.6,691.0,698.6,4743,DHAN_HISTORY,2026-03-15 16:57:19
RUBICON,2025-12-26 09:28:00,698.9,699.0,695.35,695.5,4486,DHAN_HISTORY,2026-03-15 16:57:19
RUBICON,2025-12-26 09:29:00,696.5,701.9,696.5,701.35,11333,DHAN_HISTORY,2026-03-15 16:57:19
RUBICON,2025-12-26 09:30:00,702.1,704.65,701.5,703.5,8858,DHAN_HISTORY,2026-03-15 16:57:19
RUBICON,2025-12-26 09:31:00,703.55,704.05,697.9,698.85,5632,DHAN_HISTORY,2026-03-15 16:57:19
RUBICON,2025-12-26 09:32:00,699.6,700.7,699.0,699.05,726,DHAN_HISTORY,2026-03-15 16:57:19
RUBICON,2025-12-26 09:33:00,699.0,699.1,697.85,697.95,2097,DHAN_HISTORY,2026-03-15 16:57:19
RUBICON,2025-12-26 09:34:00,697.5,698.3,696.35,697.3,1362,DHAN_HISTORY,2026-03-15 16:57:19
RUBICON,2025-12-26 09:35:00,696.35,698.35,696.35,697.5,1928,DHAN_HISTORY,2026-03-15 16:57:19
RUBICON,2025-12-26 09:36:00,697.15,698.0,696.9,697.35,524,DHAN_HISTORY,2026-03-15 16:57:19
RUBICON,2025-12-26 09:37:00,697.1,698.0,696.1,696.25,1751,DHAN_HISTORY,2026-03-15 16:57:19
RUBICON,2025-12-26 09:38:00,697.4,697.4,695.5,695.55,1385,DHAN_HISTORY,2026-03-15 16:57:19
RUBICON,2025-12-26 09:39:00,695.3,696.05,695.3,696.0,73,DHAN_HISTORY,2026-03-15 16:57:19
RUBICON,2025-12-26 09:40:00,696.0,696.0,695.05,695.05,262,DHAN_HISTORY,2026-03-15 16:57:19
RUBICON,2025-12-26 09:41:00,695.0,695.05,694.15,694.15,1636,DHAN_HISTORY,2026-03-15 16:57:19
RUBICON,2025-12-26 09:42:00,694.0,694.45,694.0,694.45,1110,DHAN_HISTORY,2026-03-15 16:57:19
RUBICON,2025-12-26 09:43:00,694.95,695.35,694.1,694.75,335,DHAN_HISTORY,2026-03-15 16:57:19
RUBICON,2025-12-26 09:44:00,695.45,696.45,695.45,696.0,2235,DHAN_HISTORY,2026-03-15 16:57:19
RUBICON,2025-12-26 09:45:00,696.05,696.05,694.45,694.45,331,DHAN_HISTORY,2026-03-15 16:57:19
RUBICON,2025-12-26 09:46:00,695.65,696.45,694.05,696.45,737,DHAN_HISTORY,2026-03-15 16:57:19
RUBICON,2025-12-26 09:47:00,696.4,699.0,696.4,698.0,6312,DHAN_HISTORY,2026-03-15 16:57:19
RUBICON,2025-12-26 09:48:00,698.0,698.1,696.3,697.15,875,DHAN_HISTORY,2026-03-15 16:57:19
RUBICON,2025-12-26 09:49:00,697.1,697.15,696.4,697.0,559,DHAN_HISTORY,2026-03-15 16:57:19
RUBICON,2025-12-26 09:50:00,697.7,699.0,697.3,698.15,610,DHAN_HISTORY,2026-03-15 16:57:19
