symbol,timestamp,open,high,low,close,volume,source,last_updated
SAGILITY,2026-01-01 09:15:00,52.4,52.4,52.2,52.27,70579,DHAN_HISTORY,2026-03-15 17:02:46
SAGILITY,2026-01-01 09:16:00,52.27,52.37,52.24,52.26,95809,DHAN_HISTORY,2026-03-15 17:02:46
SAGILITY,2026-01-01 09:17:00,52.24,52.35,52.24,52.31,126962,DHAN_HISTORY,2026-03-15 17:02:46
SAGILITY,2026-01-01 09:18:00,52.3,52.38,52.28,52.3,71224,DHAN_HISTORY,2026-03-15 17:02:46
SAGILITY,2026-01-01 09:19:00,52.3,52.38,52.27,52.33,18866,DHAN_HISTORY,2026-03-15 17:02:46
SAGILITY,2026-01-01 09:20:00,52.3,52.32,52.24,52.25,52610,DHAN_HISTORY,2026-03-15 17:02:46
SAGILITY,2026-01-01 09:21:00,52.25,52.34,52.21,52.28,47554,DHAN_HISTORY,2026-03-15 17:02:46
SAGILITY,2026-01-01 09:22:00,52.25,52.28,52.2,52.23,99412,DHAN_HISTORY,2026-03-15 17:02:46
SAGILITY,2026-01-01 09:23:00,52.24,52.24,52.16,52.16,105775,DHAN_HISTORY,2026-03-15 17:02:46
SAGILITY,2026-01-01 09:24:00,52.19,52.19,52.11,52.16,48087,DHAN_HISTORY,2026-03-15 17:02:46
SAGILITY,2026-01-01 09:25:00,52.12,52.12,52.05,52.1,101658,DHAN_HISTORY,2026-03-15 17:02:46
SAGILITY,2026-01-01 09:26:00,52.07,52.13,52.07,52.08,34540,DHAN_HISTORY,2026-03-15 17:02:46
SAGILITY,2026-01-01 09:27:00,52.08,52.11,52.08,52.1,74335,DHAN_HISTORY,2026-03-15 17:02:46
SAGILITY,2026-01-01 09:28:00,52.08,52.1,52.06,52.1,35300,DHAN_HISTORY,2026-03-15 17:02:46
SAGILITY,2026-01-01 09:29:00,52.07,52.14,52.06,52.12,23709,DHAN_HISTORY,2026-03-15 17:02:46
SAGILITY,2026-01-01 09:30:00,52.12,52.15,52.07,52.12,47990,DHAN_HISTORY,2026-03-15 17:02:46
SAGILITY,2026-01-01 09:31:00,52.15,52.15,52.11,52.15,29158,DHAN_HISTORY,2026-03-15 17:02:46
SAGILITY,2026-01-01 09:32:00,52.12,52.15,52.11,52.13,14162,DHAN_HISTORY,2026-03-15 17:02:46
SAGILITY,2026-01-01 09:33:00,52.13,52.13,52.09,52.09,43056,DHAN_HISTORY,2026-03-15 17:02:46
SAGILITY,2026-01-01 09:34:00,52.09,52.12,51.8,51.87,477055,DHAN_HISTORY,2026-03-15 17:02:46
SAGILITY,2026-01-01 09:35:00,51.87,51.93,51.87,51.92,17700,DHAN_HISTORY,2026-03-15 17:02:46
SAGILITY,2026-01-01 09:36:00,51.95,51.95,51.91,51.94,40885,DHAN_HISTORY,2026-03-15 17:02:46
SAGILITY,2026-01-01 09:37:00,51.92,51.93,51.9,51.9,22525,DHAN_HISTORY,2026-03-15 17:02:46
SAGILITY,2026-01-01 09:38:00,51.9,51.93,51.88,51.88,22047,DHAN_HISTORY,2026-03-15 17:02:46
